bombardment_key	arrival_window	num_projectiles	projectile_type	radius_spread	start_time	launch_source	launch_vfx	launch_height	audio_type	launch_height_underground	randomise_launch	deterministic_launch_cadence
wh2_main_unit_abilities_drop_rocks	0.7000	1	wh2_main_unit_abilities_drop_rocks	3.0000	0.1000	activaters_entities		1		1	true	false
wh2_main_unit_abilities_wake_of_fire	0.2000	1	wh2_main_unit_abilities_wake_of_fire	1.5000	0.1000	activaters_entities		1		1	false	false
wh3_dlc23_army_abilities_doom_of_hashut	5.0000	1	wh3_dlc23_army_abilities_doom_of_hashut	1.0000	0.1000	above_target	wh3_dlc23_bolts_of_burning	200	wh3_dlc23_ability_doom_of_hashut	75	true	false
wh3_dlc23_army_abilities_dreadquake_megacannon	2.0000	3	wh3_dlc23_chd_dreadquake_mortar_shell_bombardment	25.0000	0.1000	above_target		200		75	true	false
wh3_dlc23_army_abilities_dreadquake_megacannon_upgraded_toz	2.0000	5	wh3_dlc23_chd_dreadquake_mortar_shell_bombardment	25.0000	0.1000	above_target		200		75	true	false
wh3_dlc23_lord_abilities_flame_and_shadow	2.0000	6	wh3_dlc23_lord_abilities_flame_and_shadow	15.0000	0.1000	above_target	wh3_dlc23_bolts_of_burning	200	wh3_dlc23_ability_flame_and_shadow	75	true	false
wh3_dlc23_spell_hashut_flames_of_azgorh	2.0000	30	wh3_dlc23_spell_hashut_flames_of_azgorh	20.0000	0.1000	at_target		3		3	true	false
wh3_dlc23_spell_hashut_flames_of_azgorh_upgraded	2.0000	60	wh3_dlc23_spell_hashut_flames_of_azgorh	20.0000	0.1000	at_target		3		3	true	false
wh3_dlc23_spell_hashut_hell_hammer	0.1000	1	wh3_dlc23_spell_hashut_hell_hammer_dummy_explosion	0.1000	0.1000	launch_and_explode		1		1	false	false
wh3_dlc24_item_passive_sentient_stormcloud	20.0000	6	wh3_dlc24_item_passive_sentient_stormcloud	5.0000	1.0000	above_target	wh3_dlc24_ability_sentient_stormcloud_spawn	25		25	true	false
wh3_dlc24_spell_hags_cursed_cauldron	20.0000	30	wh3_dlc24_spell_hags_cursed_cauldron	15.0000	2.0000	at_target		3		3	true	false
wh3_dlc24_spell_hags_cursed_cauldron_upgraded	20.0000	30	wh3_dlc24_spell_hags_cursed_cauldron_upgraded	15.0000	2.0000	at_target		3		3	true	false
wh3_dlc24_unit_abilities_nan_gau_grenade	10.0000	1	wh3_dlc24_unit_abilities_nan_gau_grenade	3.0000	0.1000	activaters_entities		1		1	true	false
wh3_dlc25_active_ability_nemesis_crown	3.0000	40	wh3_dlc25_active_ability_nemesis_crown	15.0000	2.0000	at_target	wh3_dlc25_nemesis_crown_spawn	15	wh_main_spell_metal_searing_doom	15	true	false
wh3_dlc25_army_abilities_bjuna_bombard	3.0000	16	wh3_dlc25_bjuna_bombard_mortar_shell	30.0000	0.1000	off_map		200		75	true	false
wh3_dlc25_army_abilities_gyrobombing_run	2.0000	12	wh3_dlc25_dwf_gyrobombing_run_bombardment	20.0000	0.1000	above_target		200		75	true	false
wh3_dlc25_army_abilities_pandemicium	0.5000	30	wh3_dlc25_pandemicium_nurglings	25.0000	1.3000	above_target	wh3_dlc25_nur_pandemicium_spawn	50	wh3_dlc25_nur_pandemicium	50	true	false
wh3_dlc25_army_abilities_purple_eclipse	0.1000	1	wh3_dlc25_purple_eclipse_rocket	0.1000	0.1000	off_map		200	wh3_dlc25_unit_ability_purple_eclipse	150	true	false
wh3_dlc25_army_abilities_spirit_barrage	3.0000	3	wh3_dlc25_spirit_barrage_rocket	0.1000	0.1000	off_map		200		150	false	true
wh3_dlc25_character_abilities_pigeon_bomb	3.0000	15	wh3_dlc25_character_abilities_pigeon_bombs_stage_1	8.0000	2.0000	off_map		150	wh_main_spell_metal_searing_doom	75	true	false
wh3_dlc25_unit_abilities_gyrobomber_fire_bomb	0.2000	4	wh3_dlc25_unit_abilities_gyrobomber_fire_bomb	1.5000	0.1000	activaters_entities		1		1	true	false
wh3_dlc25_unit_abilities_gyrocopter_grenade	0.2000	60	wh3_dlc25_unit_abilities_gyrocopter_grenade	12.0000	0.1000	at_target		1		1	true	false
wh3_dlc25_unit_abilities_gyrocopter_grenade_anti_large	0.5000	12	wh3_dlc25_unit_abilities_gyrocopter_grenade_anti_large	3.0000	0.1000	activaters_entities		1		1	true	false
wh3_dlc25_unit_abilities_hurricane_of_death	7.0000	30	wh3_dlc25_unit_abilities_hurricane_of_death	20.0000	0.0100	at_target		3		3	false	false
wh3_dlc25_unit_abilities_marienburg_land_mines	0.7000	1	wh3_dlc25_unit_abilities_marienburg_land_mines	3.0000	0.1000	activaters_entities		1		1	true	false
wh3_dlc25_unit_abilities_thunderbarge_fire_bomb	0.2000	1	wh3_dlc25_unit_abilities_thunderbarge_fire_bomb	1.5000	0.1000	activaters_entities		1		1	true	false
wh3_dlc26_army_abilities_fly_at_da_smoke	2.0000	10	wh2_dlc15_army_abilities_doom_diver_strike	8.0000	1.0000	off_map		150	wh2_dlc15_ability_doom_diver_strike	75	true	false
wh3_dlc26_army_abilities_khornes_wrath	3.0000	1	wh3_dlc26_army_abilities_khornes_wrath	1.0000	2.0000	above_target	wh3_dlc23_bolts_of_burning	150	wh_main_spell_fire_piercing_bolts_of_burning	75	true	false
wh3_main_army_abilities_bolt_of_change	0.5000	1	wh3_main_army_abilities_bolt_of_change	6.0000	4.0000	above_target	wh3_main_army_abilities_bolt_of_change_bomb_spawn	150	wh3_main_army_abilities_bolt_of_change	75	true	false
wh3_main_army_abilities_celestial_intervention	1.0000	1	wh3_main_army_abilities_celestial_intervention	8.0000	4.0000	above_target	wh3_main_celestial_intervention_spawn	150	wh3_main_army_abilities_celestial_intervention	75	true	false
wh3_main_army_abilities_stoneshaker	0.1000	1	wh3_main_army_abilities_stoneshaker	0.1000	0.1000	above_target		75		75	true	false
wh3_main_army_abilities_storm_of_fire	12.0000	180	wh3_main_army_abilities_storm_of_fire	30.0000	2.0000	above_target	wh3_main_army_abilities_storm_of_fire_bomb_spawn	150	wh3_main_army_abilities_storm_of_fire	75	true	false
wh3_main_cataclysm_fire_magma_storm	9.0000	60	wh3_main_cataclysm_fire_magma_storm	60.0000	2.1000	at_target		3		3	true	false
wh3_main_cataclysm_heavens_thorsens_thunderstorm	31.0000	60	wh3_main_cataclysm_heavens_thorsens_thunderstorm	30.0000	1.0000	above_target	wh3_main_cataclysm_thorsens_thunderstorm_spawn	150	wh3_main_spell_thorsens_thunderstorm	75	true	false
wh3_main_spell_slaanesh_slicing_shards	1.5000	60	wh3_main_spell_slaanesh_slicing_shards	20.0000	5.0000	above_target	wh3_main_slaanesh_slicing_shards_launch	150	wh3_main_spell_slaanesh_slicing_shards	75	true	false
wh3_main_spell_slaanesh_slicing_shards_upgraded	1.5000	60	wh3_main_spell_slaanesh_slicing_shards_upgraded	20.0000	5.0000	above_target	wh3_main_slaanesh_slicing_shards_launch	150	wh3_main_spell_slaanesh_slicing_shards	75	true	false
wh3_main_spell_tempest_hailstorm	6.0000	40	wh3_main_spell_tempest_hailstorm	15.0000	2.0000	above_target	wh3_main_tempest_hailstorm_spawn	150	wh3_main_spell_tempest_hailstorm	75	true	false
wh3_main_spell_tempest_hailstorm_upgraded	12.0000	80	wh3_main_spell_tempest_hailstorm	15.0000	2.0000	above_target	wh3_main_tempest_hailstorm_spawn	150	wh3_main_spell_tempest_hailstorm	75	true	false
wh3_main_unit_abilities_sky_junk_bomb	0.2000	1	wh3_main_unit_abilities_sky_junk_bomb	1.5000	0.1000	activaters_entities		1		1	true	false
wh3_main_weapon_abilities_siegebreaker	0.1000	1	wh3_main_weapon_abilities_siegebreaker	0.1000	0.1000	above_target		75		75	true	false
wh3_main_weapon_abilities_thundermace	1.0000	5	wh3_main_weapon_abilities_thundermace	15.0000	3.0000	above_target	wh_main_heavens_urannons_thunderbolt_bomb_spawn	150		75	true	false
wh3_pro10_army_abilities_oblivion_bolt	0.1000	1	wh3_pro10_army_abilities_oblivion_bolt	20.0000	0.1000	above_target	wh2_dlc12_warpstorm_doomrocket_spawn	200	wh2_dlc12_ability_warpstorm_doomrocket	75	true	false
wh3_proto_storm_of_magic_damage_bombardment_meteor	20.0000	1	wh_main_spell_heavens_comet_of_casandora_upgraded	20.0000	10.0000	above_target	wh_main_heavens_comet_of_casandora_bomb_spawn	150	wh_main_spell_heavens_comet_of_casandora	75	true	false
wh3_proto_storm_of_magic_damage_bombardment_thunder_storm	20.0000	20	wh_main_spell_heavens_urannons_thunderbolt	30.0000	10.0000	above_target	wh_main_heavens_urannons_thunderbolt_bomb_spawn	150	wh_main_spell_heavens_urannons_thunderbolt	75	true	false
wh3_survival_environment_bombardment	3.0000	60	wh2_main_army_abilities_soul_torrent	32.0000	2.0000	above_target	wh2_main_abilities_soul_torrent_spawn	220	wh2_main_ability_soul_torrent	75	true	false
wh3_twa07_spell_bound_call_of_tor	2.0000	45	wh3_twa07_spell_bound_call_of_tor	25.0000	1.0000	above_target	wh3_twa07_call_of_tor_spawn	150	wh3_twa07_spell_bound_call_of_tor	75	true	false
wh3_twa07_unit_abilities_searing_torrent	0.7000	1	wh3_twa07_unit_abilities_searing_torrent	2.0000	0.1000	activaters_entities		1	wh3_twa07_unit_abilities_searing_torrent	1	true	false
wh_dl03_item_abilities_stone_of_spite	0.1000	1	wh_main_unit_abilities_gyrobomber_bomb	0.1000	0.1000	at_target		0		0	true	false
wh_dlc05_spell_life_the_dwellers_below	5.0000	30	wh_dlc05_spell_life_the_dwellers_below	20.0000	0.1000	at_target		3		3	true	false
wh_dlc05_spell_life_the_dwellers_below_upgraded	5.0000	50	wh_dlc05_spell_life_the_dwellers_below_upgraded	20.0000	0.1000	at_target		3		3	true	false
wh_dlc05_weapon_abilities_hawks_talon	3.0000	25	wh_dlc05_wef_hawks_talon	10.0000	2.0000	above_target	wh_dlc05_wef_hawks_talon_bomb_spawn	150	wh_dlc05_ability_hawks_talon	75	true	false
wh_dlc05_weapon_abilities_the_bow_of_loren	2.0000	15	wh_dlc05_wef_bow_of_loren	10.0000	2.0000	above_target	wh_dlc05_wef_bow_of_loren_spawn	150	wh_dlc05_ability_the_bow_of_loren_bombardment	75	true	false
wh_dlc06_quest_passive_squigs_go_boom	0.1000	1	wh_dlc06_quest_passive_squigs_go_boom	1.0000	0.1000	launch_and_explode		1		1	false	false
wh_dlc06_unit_abilities_skyhammer_bomb	0.2000	1	wh_dlc06_unit_abilities_skyhammer_bomb	1.5000	0.1000	activaters_entities		1		1	true	false
wh_dlc06_unit_abilities_skyhammer_fire_bomb	0.2000	1	wh_dlc06_unit_abilities_skyhammer_fire_bomb	1.5000	0.1000	activaters_entities		1		1	true	false
wh_dlc07_item_abilities_chalice_of_potions	1.0000	1	wh_dlc07_item_abilities_chalice_of_potions	8.0000	4.0000	above_target	wh_main_heavens_comet_of_casandora_bomb_spawn	150	wh_dlc07_ability_chalice_of_potions	75	true	false
wh_dlc08_quest_abilities_lightening_down	7.0000	60	wh_dlc08_abilities_lightening_down	40.0000	8.0000	above_target	wh_dlc08_abilities_lightening_down_spawn	150	wh_dlc08_ability_lightening_down	75	true	false
wh_dlc08_quest_abilities_minor_lightening_down	7.0000	30	wh_dlc08_abilities_lightening_down	25.0000	8.0000	above_target	wh_dlc08_abilities_lightening_down_spawn	150		75	true	false
wh_main_lord_abilities_lord_of_the_storm	1.0000	5	wh_main_lord_abilities_lord_of_the_storm	8.0000	3.0000	above_target	wh_main_heavens_urannons_thunderbolt_bomb_spawn	150	wh3_main_spell_lord_of_the_storm	75	true	false
wh_main_spell_bound_soulfire	2.0000	30	wh_main_spell_bound_soulfire	15.0000	1.0000	above_target	wh_main_spell_bound_soulfire_spawn	150	wh_main_spell_fire_grand_soulfire	75	true	false
wh_main_spell_bound_soulfire_upgraded	2.0000	60	wh_main_spell_bound_soulfire	15.0000	1.0000	above_target	wh_main_spell_bound_soulfire_spawn	150	wh_main_spell_fire_grand_soulfire	75	true	false
wh_main_spell_fire_piercing_bolts_of_burning	3.0000	30	wh_main_spell_fire_piercing_bolts_of_burning	8.0000	2.0000	above_target	wh3_dlc23_bolts_of_burning	150	wh_main_spell_fire_piercing_bolts_of_burning	75	true	false
wh_main_spell_fire_piercing_bolts_of_burning_upgraded	3.0000	60	wh_main_spell_fire_piercing_bolts_of_burning_upgraded	16.0000	2.0000	above_target	wh3_dlc23_bolts_of_burning	150	wh_main_spell_fire_piercing_bolts_of_burning	75	true	false
wh_main_spell_heavens_comet_of_casandora	1.0000	1	wh_main_spell_heavens_comet_of_casandora	8.0000	4.0000	above_target	wh_main_heavens_comet_of_casandora_bomb_spawn	150	wh_main_spell_heavens_comet_of_casandora	75	true	false
wh_main_spell_heavens_comet_of_casandora_bound	1.0000	1	wh_main_spell_heavens_comet_of_casandora_bound	8.0000	2.0000	above_target	wh_main_heavens_comet_of_casandora_bomb_spawn	150	wh_main_spell_heavens_comet_of_casandora	75	true	false
wh_main_spell_heavens_comet_of_casandora_upgraded	1.0000	1	wh_main_spell_heavens_comet_of_casandora_upgraded	8.0000	4.0000	above_target	wh_main_heavens_comet_of_casandora_bomb_spawn	150	wh_main_spell_heavens_comet_of_casandora	75	true	false
wh_main_spell_heavens_urannons_thunderbolt	0.1000	1	wh_main_spell_heavens_urannons_thunderbolt	1.0000	3.0000	above_target	wh_main_heavens_urannons_thunderbolt_bomb_spawn	150	wh_main_spell_heavens_urannons_thunderbolt	75	true	false
wh_main_spell_heavens_urannons_thunderbolt_upgraded	0.1000	1	wh_main_spell_heavens_urannons_thunderbolt_upgraded	1.0000	3.0000	above_target	wh_main_heavens_urannons_thunderbolt_bomb_spawn	150	wh_main_spell_heavens_urannons_thunderbolt	75	true	false
wh_main_spell_metal_searing_doom	3.0000	40	wh_main_spell_metal_searing_doom	10.0000	2.0000	above_target	wh3_dlc20_searing_doom_spawn	150	wh_main_spell_metal_searing_doom	75	true	false
wh_main_spell_metal_searing_doom_upgraded	3.0000	80	wh_main_spell_metal_searing_doom_upgraded	20.0000	2.0000	above_target	wh3_dlc20_searing_doom_spawn	150	wh_main_spell_metal_searing_doom	75	true	false
wh_main_unit_abilities_gyrobomber_bomb	0.2000	4	wh_main_unit_abilities_gyrobomber_bomb	1.5000	0.1000	activaters_entities		1		1	true	false
wh_main_unit_abilities_gyrocopter_grenade	0.5000	12	wh_main_unit_abilities_gyrocopter_grenade	3.0000	0.1000	activaters_entities		1		1	true	false
