mission_key	status_key	followup_dilemma_key
wh2_dlc16_wef_confederation_mission_talsyn	CANCELLED	wh2_dlc16_wef_confederation_dilemma_talsyn
wh2_dlc16_wef_confederation_mission_talsyn	SUCCESS	wh2_dlc16_wef_confederation_dilemma_talsyn
wh2_dlc16_wef_confederation_mission_torgovann	CANCELLED	wh2_dlc16_wef_confederation_dilemma_torgovann
wh2_dlc16_wef_confederation_mission_torgovann	SUCCESS	wh2_dlc16_wef_confederation_dilemma_torgovann
wh2_dlc16_wef_confederation_mission_wydrioth	CANCELLED	wh2_dlc16_wef_confederation_dilemma_wydrioth
wh2_dlc16_wef_confederation_mission_wydrioth	SUCCESS	wh2_dlc16_wef_confederation_dilemma_wydrioth
wh2_dlc17_dwf_thorek_karak_azul_confederation_mission	SUCCESS	wh2_dlc17_dwf_thorek_confederation_karak_azul
wh2_twa03_def_confederation_mission_karond_kar	SUCCESS	wh2_twa03_def_confederation_dilemma_karond_kar
wh3_dlc21_dwf_confederation_mission_angrund	CANCELLED	wh3_dlc21_dwf_confederation_dilemma_angrund
wh3_dlc21_dwf_confederation_mission_angrund	SUCCESS	wh3_dlc21_dwf_confederation_dilemma_angrund
wh3_dlc21_wef_confederation_mission_shanlin	CANCELLED	wh3_dlc21_wef_confederation_dilemma_shanlin
wh3_dlc21_wef_confederation_mission_shanlin	SUCCESS	wh3_dlc21_wef_confederation_dilemma_shanlin
wh3_pro12_mis_chs_karanak_unlock_01	CANCELLED	wh3_pro12_kho_karanak_choice
wh3_pro12_mis_dae_karanak_unlock_01	CANCELLED	wh3_pro12_kho_karanak_choice
wh3_pro12_mis_dae_karanak_unlock_01	SUCCESS	wh3_pro12_kho_karanak_choice
wh3_pro12_mis_ie_chs_karanak_unlock_01	CANCELLED	wh3_pro12_kho_karanak_choice
wh3_pro12_mis_ie_chs_karanak_unlock_01	SUCCESS	wh3_pro12_kho_karanak_choice
wh3_pro12_mis_ie_dae_karanak_unlock_01	CANCELLED	wh3_pro12_kho_karanak_choice
wh3_pro12_mis_ie_dae_karanak_unlock_01	SUCCESS	wh3_pro12_kho_karanak_choice
wh3_pro12_mis_ie_kho_karanak_unlock_01	CANCELLED	wh3_pro12_kho_karanak_choice
wh3_pro12_mis_ie_kho_karanak_unlock_01	SUCCESS	wh3_pro12_kho_karanak_choice
wh3_pro12_mis_kho_karanak_unlock_01	CANCELLED	wh3_pro12_kho_karanak_choice
wh3_pro12_mis_kho_karanak_unlock_01	SUCCESS	wh3_pro12_kho_karanak_choice
wh_dlc08_monster_hunt_0_stage_1	CANCELLED	wh_dlc08_qb_nor_monster_hunt_0_stage_2
wh_dlc08_monster_hunt_0_stage_1	SUCCESS	wh_dlc08_qb_nor_monster_hunt_0_stage_2
wh_dlc08_monster_hunt_2_stage_1	CANCELLED	wh_dlc08_qb_nor_monster_hunt_2_stage_2
wh_dlc08_monster_hunt_2_stage_1	SUCCESS	wh_dlc08_qb_nor_monster_hunt_2_stage_2
wh_dlc08_monster_hunt_4_stage_1b	CANCELLED	wh_dlc08_qb_nor_monster_hunt_4_stage_2
wh_dlc08_monster_hunt_4_stage_1b	SUCCESS	wh_dlc08_qb_nor_monster_hunt_4_stage_2
