key	force_effects	region_effects	garrison_effects
wh3_main_nur_base_Shakes	wh3_main_nur_base_Shakes_force	wh3_main_nur_base_Shakes_settlement	
wh3_main_nur_base_Shakes_festus	wh3_main_nur_base_Shakes_force_festus	wh3_main_nur_base_Shakes_settlement_festus	
wh3_main_plague_daemon_prince_bowelsteep	wh3_main_plague_daemon_prince_bowelsteep_force	wh3_main_plague_daemon_prince_bowelsteep_settlement	wh3_main_plague_daemon_prince_bowelsteep_force
wh3_main_plague_daemon_prince_grey_fever	wh3_main_plague_daemon_prince_grey_fever_force	wh3_main_plague_daemon_prince_grey_fever_settlement	wh3_main_plague_daemon_prince_grey_fever_force
wh3_main_plague_daemon_prince_ochre_pox	wh3_main_plague_daemon_prince_ochre_pox_force		wh3_main_plague_daemon_prince_ochre_pox_force
wh3_main_plague_daemon_prince_the_red_ague	wh3_main_plague_daemon_prince_the_red_ague_force		wh3_main_plague_daemon_prince_the_red_ague_force
wh3_nur_plague_component_1	wh3_nur_plague_component_1_force	wh3_nur_plague_component_1_settlement	
wh3_nur_plague_component_10	wh3_nur_plague_component_10_force	wh3_nur_plague_component_10_settlement	
wh3_nur_plague_component_11	wh3_nur_plague_component_11_force	wh3_nur_plague_component_11_settlement	
wh3_nur_plague_component_12	wh3_nur_plague_component_12_force	wh3_nur_plague_component_12_settlement	
wh3_nur_plague_component_13	wh3_nur_plague_component_13_force	wh3_nur_plague_component_13_settlement	
wh3_nur_plague_component_14	wh3_nur_plague_component_14_force	wh3_nur_plague_component_14_settlement	
wh3_nur_plague_component_15	wh3_nur_plague_component_15_force	wh3_nur_plague_component_15_settlement	
wh3_nur_plague_component_16	wh3_nur_plague_component_16_force	wh3_nur_plague_component_16_settlement	
wh3_nur_plague_component_17	wh3_nur_plague_component_17_force	wh3_nur_plague_component_17_settlement	
wh3_nur_plague_component_18	wh3_nur_plague_component_18_force	wh3_nur_plague_component_18_settlement	
wh3_nur_plague_component_19	wh3_nur_plague_component_19_force	wh3_nur_plague_component_19_settlement	
wh3_nur_plague_component_2	wh3_nur_plague_component_2_force	wh3_nur_plague_component_2_settlement	
wh3_nur_plague_component_20	wh3_nur_plague_component_20_force	wh3_nur_plague_component_20_settlement	
wh3_nur_plague_component_3	wh3_nur_plague_component_3_force	wh3_nur_plague_component_3_settlement	
wh3_nur_plague_component_4	wh3_nur_plague_component_4_force	wh3_nur_plague_component_4_settlement	
wh3_nur_plague_component_5	wh3_nur_plague_component_5_force	wh3_nur_plague_component_5_settlement	
wh3_nur_plague_component_6	wh3_nur_plague_component_6_force	wh3_nur_plague_component_6_settlement	
wh3_nur_plague_component_7	wh3_nur_plague_component_7_force	wh3_nur_plague_component_7_settlement	
wh3_nur_plague_component_7_festus	wh3_main_plague_component_7_force_festus	wh3_main_plague_component_7_settlement_festus	
wh3_nur_plague_component_8	wh3_nur_plague_component_8_force	wh3_nur_plague_component_8_settlement	
wh3_nur_plague_component_9	wh3_nur_plague_component_9_force	wh3_nur_plague_component_9_settlement	
wh3_nur_plague_recipe_1	wh3_nur_plague_recipe_1_force	wh3_nur_plague_recipe_1_settlement	wh3_nur_plague_recipe_1_force
wh3_nur_plague_recipe_2	wh3_nur_plague_recipe_2_force	wh3_nur_plague_recipe_2_settlement	wh3_nur_plague_recipe_2_force
wh3_nur_plague_recipe_3	wh3_nur_plague_recipe_3_force	wh3_nur_plague_recipe_3_settlement	wh3_nur_plague_recipe_3_force
wh3_nur_plague_recipe_4	wh3_nur_plague_recipe_4_force	wh3_nur_plague_recipe_4_settlement	wh3_nur_plague_recipe_4_force
wh3_nur_plague_recipe_5	wh3_nur_plague_recipe_5_force	wh3_nur_plague_recipe_5_settlement	wh3_nur_plague_recipe_5_force
