initiative	ui_graph_node
wh3_dlc29_black_pyramid_dead_rise_chance_2	wh3_dlc29_r0-c2-cell1-4
wh3_dlc29_black_pyramid_dead_rise_chance_3	wh3_dlc29_r0-c2-cell0-3
wh3_dlc29_black_pyramid_dead_rise_hp_1	wh3_dlc29_r0-c8-cell0-0
wh3_dlc29_black_pyramid_dead_rise_hp_2	wh3_dlc29_r0-c8-cell1-0
wh3_dlc29_black_pyramid_dead_rise_hp_3	wh3_dlc29_r0-c8-cell0-1
wh3_dlc29_black_pyramid_deck_droppers_1	wh3_dlc29_r1-c1-cell1-4
wh3_dlc29_black_pyramid_deck_droppers_2	wh3_dlc29_r1-c1-cell2-4
wh3_dlc29_black_pyramid_deck_droppers_3	wh3_dlc29_r1-c1-cell2-3
wh3_dlc29_black_pyramid_deck_droppers_4	wh3_dlc29_r1-c1-cell3-3
wh3_dlc29_black_pyramid_deck_droppers_5	wh3_dlc29_r1-c2-cell2-0
wh3_dlc29_black_pyramid_deck_droppers_6	wh3_dlc29_r1-c2-cell3-0
wh3_dlc29_black_pyramid_deck_droppers_7	wh3_dlc29_r1-c1-cell4-4
wh3_dlc29_black_pyramid_dieter_1	wh3_dlc29_r5-c4-cell2-2
wh3_dlc29_black_pyramid_dieter_2	wh3_dlc29_r5-c4-cell3-2
wh3_dlc29_black_pyramid_dieter_3	wh3_dlc29_r5-c4-cell4-2
wh3_dlc29_black_pyramid_dual_wield_1	wh3_dlc29_r4-c7-cell1-4
wh3_dlc29_black_pyramid_dual_wield_2	wh3_dlc29_r4-c7-cell1-3
wh3_dlc29_black_pyramid_dual_wield_3	wh3_dlc29_r4-c7-cell0-2
wh3_dlc29_black_pyramid_dual_wield_4	wh3_dlc29_r4-c7-cell0-4
wh3_dlc29_black_pyramid_dual_wield_5	wh3_dlc29_r5-c6-cell4-3
wh3_dlc29_black_pyramid_dual_wield_6	wh3_dlc29_r5-c6-cell4-2
wh3_dlc29_black_pyramid_gravecall_recruitment_1	wh3_dlc29_r1-c9-cell2-4
wh3_dlc29_black_pyramid_gravecall_recruitment_2	wh3_dlc29_r1-c10-cell3-0
wh3_dlc29_black_pyramid_gravecall_recruitment_3	wh3_dlc29_r1-c9-cell4-4
wh3_dlc29_black_pyramid_great_weapons_1	wh3_dlc29_r4-c3-cell1-0
wh3_dlc29_black_pyramid_great_weapons_2	wh3_dlc29_r4-c3-cell0-0
wh3_dlc29_black_pyramid_great_weapons_3	wh3_dlc29_r5-c2-cell4-1
wh3_dlc29_black_pyramid_great_weapons_4	wh3_dlc29_r4-c3-cell1-1
wh3_dlc29_black_pyramid_great_weapons_5	wh3_dlc29_r4-c3-cell0-2
wh3_dlc29_black_pyramid_great_weapons_6	wh3_dlc29_r5-c2-cell4-2
wh3_dlc29_black_pyramid_guards_1	wh3_dlc29_r3-c5-cell2-3
wh3_dlc29_black_pyramid_guards_2	wh3_dlc29_r3-c5-cell1-3
wh3_dlc29_black_pyramid_guards_3	wh3_dlc29_r4-c4-cell4-2
wh3_dlc29_black_pyramid_guards_4	wh3_dlc29_r4-c4-cell3-1
wh3_dlc29_black_pyramid_guards_5	wh3_dlc29_r4-c4-cell4-4
wh3_dlc29_black_pyramid_guards_6	wh3_dlc29_r4-c5-cell3-0
wh3_dlc29_black_pyramid_guards_7	wh3_dlc29_r4-c4-cell2-3
wh3_dlc29_black_pyramid_guards_8	wh3_dlc29_r4-c4-cell3-3
wh3_dlc29_black_pyramid_gunpowder_artillery_1	wh3_dlc29_r3-c1-cell2-3
wh3_dlc29_black_pyramid_gunpowder_artillery_2	wh3_dlc29_r3-c1-cell1-2
wh3_dlc29_black_pyramid_gunpowder_artillery_3	wh3_dlc29_r3-c1-cell1-1
wh3_dlc29_black_pyramid_gunpowder_artillery_4	wh3_dlc29_r3-c1-cell0-2
wh3_dlc29_black_pyramid_gunpowder_artillery_5	wh3_dlc29_r3-c1-cell2-2
wh3_dlc29_black_pyramid_gunpowder_artillery_6	wh3_dlc29_r3-c1-cell3-1
wh3_dlc29_black_pyramid_gunpowder_artillery_7	wh3_dlc29_r3-c1-cell1-3
wh3_dlc29_black_pyramid_gunpowder_artillery_8	wh3_dlc29_r3-c1-cell0-4
wh3_dlc29_black_pyramid_guns_1	wh3_dlc29_r0-c7-cell0-0
wh3_dlc29_black_pyramid_guns_2	wh3_dlc29_r0-c6-cell1-4
wh3_dlc29_black_pyramid_guns_3	wh3_dlc29_r0-c6-cell2-4
wh3_dlc29_black_pyramid_guns_4	wh3_dlc29_r0-c7-cell1-0
wh3_dlc29_black_pyramid_guns_5	wh3_dlc29_r0-c7-cell2-0
wh3_dlc29_black_pyramid_guns_6	wh3_dlc29_r0-c7-cell3-0
wh3_dlc29_black_pyramid_guns_7	wh3_dlc29_r0-c7-cell1-1
wh3_dlc29_black_pyramid_guns_8	wh3_dlc29_r0-c7-cell2-1
wh3_dlc29_black_pyramid_hero_1	wh3_dlc29_r4-c9-cell3-2
wh3_dlc29_black_pyramid_hero_2	wh3_dlc29_r4-c9-cell3-3
wh3_dlc29_black_pyramid_hero_3	wh3_dlc29_r4-c9-cell0-2
wh3_dlc29_black_pyramid_hero_4	wh3_dlc29_r4-c9-cell2-3
wh3_dlc29_black_pyramid_hero_5	wh3_dlc29_r4-c9-cell1-0
wh3_dlc29_black_pyramid_hero_6	wh3_dlc29_r4-c9-cell0-0
wh3_dlc29_black_pyramid_hero_7	wh3_dlc29_r4-c9-cell1-3
wh3_dlc29_black_pyramid_hero_8	wh3_dlc29_r4-c9-cell0-1
wh3_dlc29_black_pyramid_horsemen_1	wh3_dlc29_r1-c11-cell1-0
wh3_dlc29_black_pyramid_horsemen_2	wh3_dlc29_r1-c11-cell2-0
wh3_dlc29_black_pyramid_horsemen_3	wh3_dlc29_r1-c10-cell2-4
wh3_dlc29_black_pyramid_horsemen_4	wh3_dlc29_r1-c10-cell3-4
wh3_dlc29_black_pyramid_horsemen_5	wh3_dlc29_r1-c11-cell2-1
wh3_dlc29_black_pyramid_horsemen_6	wh3_dlc29_r1-c11-cell3-1
wh3_dlc29_black_pyramid_horsemen_7	wh3_dlc29_r1-c11-cell4-0
wh3_dlc29_black_pyramid_knights_1	wh3_dlc29_r3-c7-cell2-1
wh3_dlc29_black_pyramid_knights_2	wh3_dlc29_r3-c7-cell1-1
wh3_dlc29_black_pyramid_knights_3	wh3_dlc29_r4-c6-cell4-0
wh3_dlc29_black_pyramid_knights_4	wh3_dlc29_r4-c5-cell3-4
wh3_dlc29_black_pyramid_knights_5	wh3_dlc29_r4-c6-cell4-2
wh3_dlc29_black_pyramid_knights_6	wh3_dlc29_r4-c6-cell3-3
wh3_dlc29_black_pyramid_knights_7	wh3_dlc29_r4-c6-cell2-1
wh3_dlc29_black_pyramid_knights_8	wh3_dlc29_r4-c6-cell3-1
wh3_dlc29_black_pyramid_krell_1	wh3_dlc29_r5-c4-cell1-0
wh3_dlc29_black_pyramid_krell_2	wh3_dlc29_r5-c4-cell2-1
wh3_dlc29_black_pyramid_krell_3	wh3_dlc29_r5-c4-cell3-1
wh3_dlc29_black_pyramid_local_recruitment_1	wh3_dlc29_r1-c3-cell2-0
wh3_dlc29_black_pyramid_local_recruitment_2	wh3_dlc29_r1-c2-cell3-4
wh3_dlc29_black_pyramid_local_recruitment_3	wh3_dlc29_r1-c3-cell4-0
wh3_dlc29_black_pyramid_lock_1_a	wh3_dlc29_r1-c5-cell1-3
wh3_dlc29_black_pyramid_lock_1_b	wh3_dlc29_r1-c7-cell1-1
wh3_dlc29_black_pyramid_lock_2_a	wh3_dlc29_r2-c2-cell4-3
wh3_dlc29_black_pyramid_lock_2_b	wh3_dlc29_r4-c3-cell4-1
wh3_dlc29_black_pyramid_lock_2_c	wh3_dlc29_r4-c7-cell4-3
wh3_dlc29_black_pyramid_lock_2_d	wh3_dlc29_r2-c12-cell4-1
wh3_dlc29_black_pyramid_lock_3_a	wh3_dlc29_r5-c1-cell3-4
wh3_dlc29_black_pyramid_lock_3_b	wh3_dlc29_r5-c7-cell3-0
wh3_dlc29_black_pyramid_lord_1	wh3_dlc29_r4-c1-cell3-2
wh3_dlc29_black_pyramid_lord_2	wh3_dlc29_r4-c1-cell3-1
wh3_dlc29_black_pyramid_lord_3	wh3_dlc29_r4-c1-cell0-2
wh3_dlc29_black_pyramid_lord_4	wh3_dlc29_r4-c1-cell2-1
wh3_dlc29_black_pyramid_lord_5	wh3_dlc29_r4-c1-cell1-4
wh3_dlc29_black_pyramid_lord_6	wh3_dlc29_r4-c1-cell0-4
wh3_dlc29_black_pyramid_lord_7	wh3_dlc29_r4-c1-cell1-1
wh3_dlc29_black_pyramid_lord_8	wh3_dlc29_r4-c1-cell0-3
wh3_dlc29_black_pyramid_lore_of_death_1	wh3_dlc29_r2-c3-cell3-4
wh3_dlc29_black_pyramid_lore_of_death_2	wh3_dlc29_r2-c4-cell3-0
wh3_dlc29_black_pyramid_lore_of_death_3	wh3_dlc29_r2-c4-cell3-1
wh3_dlc29_black_pyramid_lore_of_death_4	wh3_dlc29_r2-c4-cell2-2
wh3_dlc29_black_pyramid_lore_of_deep_1	wh3_dlc29_r3-c9-cell2-0
wh3_dlc29_black_pyramid_lore_of_deep_2	wh3_dlc29_r3-c8-cell3-4
wh3_dlc29_black_pyramid_lore_of_deep_3	wh3_dlc29_r3-c8-cell4-4
wh3_dlc29_black_pyramid_lore_of_deep_4	wh3_dlc29_r2-c10-cell0-0
wh3_dlc29_black_pyramid_lore_of_light_1	wh3_dlc29_r2-c5-cell3-2
wh3_dlc29_black_pyramid_lore_of_light_2	wh3_dlc29_r2-c5-cell3-1
wh3_dlc29_black_pyramid_lore_of_light_3	wh3_dlc29_r2-c5-cell3-0
wh3_dlc29_black_pyramid_lore_of_light_4	wh3_dlc29_r2-c4-cell2-4
wh3_dlc29_black_pyramid_lore_of_light_5	wh3_dlc29_r2-c4-cell4-4
wh3_dlc29_black_pyramid_lore_of_nehekhara_1	wh3_dlc29_r3-c3-cell2-4
wh3_dlc29_black_pyramid_lore_of_nehekhara_2	wh3_dlc29_r3-c4-cell3-0
wh3_dlc29_black_pyramid_lore_of_nehekhara_3	wh3_dlc29_r3-c4-cell4-0
wh3_dlc29_black_pyramid_lore_of_nehekhara_4	wh3_dlc29_r2-c4-cell0-4
wh3_dlc29_black_pyramid_lore_of_shadows_1	wh3_dlc29_r2-c11-cell3-0
wh3_dlc29_black_pyramid_lore_of_shadows_2	wh3_dlc29_r2-c10-cell3-4
wh3_dlc29_black_pyramid_lore_of_shadows_3	wh3_dlc29_r2-c10-cell3-3
wh3_dlc29_black_pyramid_lore_of_shadows_4	wh3_dlc29_r2-c10-cell2-2
wh3_dlc29_black_pyramid_lore_of_undeath_1	wh3_dlc29_r2-c4-cell0-2
wh3_dlc29_black_pyramid_lore_of_undeath_2	wh3_dlc29_r3-c3-cell4-1
wh3_dlc29_black_pyramid_lore_of_undeath_3	wh3_dlc29_r3-c3-cell3-1
wh3_dlc29_black_pyramid_lore_of_undeath_4	wh3_dlc29_r3-c3-cell2-2
wh3_dlc29_black_pyramid_lore_of_undeath_5	wh3_dlc29_r2-c10-cell0-2
wh3_dlc29_black_pyramid_lore_of_undeath_6	wh3_dlc29_r3-c9-cell4-3
wh3_dlc29_black_pyramid_lore_of_undeath_7	wh3_dlc29_r3-c9-cell3-3
wh3_dlc29_black_pyramid_lore_of_undeath_8	wh3_dlc29_r3-c9-cell2-2
wh3_dlc29_black_pyramid_lore_of_vampires_1	wh3_dlc29_r2-c9-cell3-2
wh3_dlc29_black_pyramid_lore_of_vampires_2	wh3_dlc29_r2-c9-cell3-3
wh3_dlc29_black_pyramid_lore_of_vampires_3	wh3_dlc29_r2-c9-cell3-4
wh3_dlc29_black_pyramid_lore_of_vampires_4	wh3_dlc29_r2-c10-cell2-0
wh3_dlc29_black_pyramid_lore_of_vampires_5	wh3_dlc29_r2-c10-cell4-0
wh3_dlc29_black_pyramid_luthor_1	wh3_dlc29_r6-c3-cell3-4
wh3_dlc29_black_pyramid_luthor_2	wh3_dlc29_r6-c4-cell2-0
wh3_dlc29_black_pyramid_luthor_3	wh3_dlc29_r6-c4-cell1-0
wh3_dlc29_black_pyramid_magic_artillery_1	wh3_dlc29_r3-c11-cell2-1
wh3_dlc29_black_pyramid_magic_artillery_2	wh3_dlc29_r3-c11-cell1-2
wh3_dlc29_black_pyramid_magic_artillery_3	wh3_dlc29_r3-c11-cell0-2
wh3_dlc29_black_pyramid_magic_artillery_4	wh3_dlc29_r3-c11-cell1-3
wh3_dlc29_black_pyramid_magic_artillery_5	wh3_dlc29_r3-c11-cell2-2
wh3_dlc29_black_pyramid_magic_artillery_6	wh3_dlc29_r3-c11-cell3-3
wh3_dlc29_black_pyramid_magic_artillery_7	wh3_dlc29_r3-c11-cell1-1
wh3_dlc29_black_pyramid_magic_artillery_8	wh3_dlc29_r3-c11-cell0-0
wh3_dlc29_black_pyramid_magic_vehicles_1	wh3_dlc29_r2-c8-cell3-2
wh3_dlc29_black_pyramid_magic_vehicles_2	wh3_dlc29_r2-c8-cell2-1
wh3_dlc29_black_pyramid_magic_vehicles_3	wh3_dlc29_r2-c8-cell1-1
wh3_dlc29_black_pyramid_magic_vehicles_4	wh3_dlc29_r2-c8-cell0-0
wh3_dlc29_black_pyramid_magic_vehicles_5	wh3_dlc29_r3-c7-cell4-0
wh3_dlc29_black_pyramid_mannfred_1	wh3_dlc29_r6-c3-cell4-3
wh3_dlc29_black_pyramid_mannfred_2	wh3_dlc29_r6-c3-cell2-3
wh3_dlc29_black_pyramid_mannfred_3	wh3_dlc29_r6-c3-cell0-4
wh3_dlc29_black_pyramid_missile_artillery_siege_1	wh3_dlc29_r7-c3-cell3-2
wh3_dlc29_black_pyramid_missile_artillery_siege_2	wh3_dlc29_r7-c3-cell4-3
wh3_dlc29_black_pyramid_missile_artillery_siege_3	wh3_dlc29_r7-c3-cell4-2
wh3_dlc29_black_pyramid_missile_artillery_siege_4	wh3_dlc29_r7-c3-cell3-4
wh3_dlc29_black_pyramid_missile_artillery_siege_5	wh3_dlc29_r7-c4-cell3-0
wh3_dlc29_black_pyramid_missile_artillery_siege_6	wh3_dlc29_r7-c3-cell2-3
wh3_dlc29_black_pyramid_missile_artillery_siege_7	wh3_dlc29_r7-c3-cell1-3
wh3_dlc29_black_pyramid_missile_artillery_siege_8	wh3_dlc29_r7-c3-cell2-4
wh3_dlc29_black_pyramid_missile_artillery_siege_9	wh3_dlc29_r7-c4-cell1-0
wh3_dlc29_black_pyramid_morghasts_10	wh3_dlc29_r5-c6-cell2-1
wh3_dlc29_black_pyramid_morghasts_11	wh3_dlc29_r5-c6-cell1-1
wh3_dlc29_black_pyramid_morghasts_12	wh3_dlc29_r5-c2-cell1-3
wh3_dlc29_black_pyramid_morghasts_1	wh3_dlc29_r5-c2-cell4-4
wh3_dlc29_black_pyramid_morghasts_2	wh3_dlc29_r5-c2-cell3-4
wh3_dlc29_black_pyramid_morghasts_4	wh3_dlc29_r5-c2-cell2-3
wh3_dlc29_black_pyramid_morghasts_5	wh3_dlc29_r5-c6-cell4-0
wh3_dlc29_black_pyramid_morghasts_6	wh3_dlc29_r5-c6-cell3-0
wh3_dlc29_black_pyramid_morghasts_8	wh3_dlc29_r5-c6-cell2-0
wh3_dlc29_black_pyramid_morghasts_9	wh3_dlc29_r5-c2-cell2-4
wh3_dlc29_black_pyramid_movement_1	wh3_dlc29_r3-c2-cell1-3
wh3_dlc29_black_pyramid_movement_2	wh3_dlc29_r3-c2-cell2-3
wh3_dlc29_black_pyramid_movement_3	wh3_dlc29_r3-c2-cell2-4
wh3_dlc29_black_pyramid_movement_4	wh3_dlc29_r3-c10-cell1-1
wh3_dlc29_black_pyramid_movement_5	wh3_dlc29_r3-c10-cell2-1
wh3_dlc29_black_pyramid_movement_6	wh3_dlc29_r3-c10-cell2-0
wh3_dlc29_black_pyramid_nagash_early_1	wh3_dlc29_r0-c5-cell1-2
wh3_dlc29_black_pyramid_nagash_early_2	wh3_dlc29_r1-c6-cell4-2
wh3_dlc29_black_pyramid_nagash_early_3	wh3_dlc29_r1-c6-cell3-1
wh3_dlc29_black_pyramid_nagash_early_4	wh3_dlc29_r1-c6-cell3-3
wh3_dlc29_black_pyramid_nagash_early_5	wh3_dlc29_r1-c6-cell2-2
wh3_dlc29_black_pyramid_nagash_early_6	wh3_dlc29_r1-c6-cell0-2
wh3_dlc29_black_pyramid_nagash_late_10	wh3_dlc29_r8-c1-cell0-3
wh3_dlc29_black_pyramid_nagash_late_11	wh3_dlc29_r9-c0-cell4-4
wh3_dlc29_black_pyramid_nagash_late_12	wh3_dlc29_r9-c0-cell4-2
wh3_dlc29_black_pyramid_nagash_late_13	wh3_dlc29_r9-c0-cell3-1
wh3_dlc29_black_pyramid_nagash_late_14	wh3_dlc29_r9-c0-cell3-3
wh3_dlc29_black_pyramid_nagash_late_15	wh3_dlc29_r9-c0-cell3-2
wh3_dlc29_black_pyramid_nagash_late_16	wh3_dlc29_r9-c0-cell2-2
wh3_dlc29_black_pyramid_nagash_late_1	wh3_dlc29_r8-c1-cell0-2
wh3_dlc29_black_pyramid_nagash_late_2	wh3_dlc29_r8-c1-cell1-1
wh3_dlc29_black_pyramid_nagash_late_3	wh3_dlc29_r8-c1-cell1-0
wh3_dlc29_black_pyramid_nagash_late_4	wh3_dlc29_r8-c0-cell0-4
wh3_dlc29_black_pyramid_nagash_late_5	wh3_dlc29_r8-c1-cell1-3
wh3_dlc29_black_pyramid_nagash_late_6	wh3_dlc29_r8-c1-cell1-4
wh3_dlc29_black_pyramid_nagash_late_7	wh3_dlc29_r8-c2-cell0-0
wh3_dlc29_black_pyramid_nagash_late_8	wh3_dlc29_r8-c1-cell0-1
wh3_dlc29_black_pyramid_nagash_late_9	wh3_dlc29_r9-c0-cell4-0
wh3_dlc29_black_pyramid_nagash_mid_1	wh3_dlc29_r3-c6-cell2-0
wh3_dlc29_black_pyramid_nagash_mid_2	wh3_dlc29_r3-c6-cell1-0
wh3_dlc29_black_pyramid_nagash_mid_3	wh3_dlc29_r3-c6-cell0-1
wh3_dlc29_black_pyramid_nagash_mid_4	wh3_dlc29_r3-c6-cell2-4
wh3_dlc29_black_pyramid_nagash_mid_5	wh3_dlc29_r3-c6-cell1-4
wh3_dlc29_black_pyramid_nagash_mid_6	wh3_dlc29_r3-c6-cell0-3
wh3_dlc29_black_pyramid_nagash_mid_7	wh3_dlc29_r4-c5-cell4-2
wh3_dlc29_black_pyramid_nagash_mid_8	wh3_dlc29_r3-c6-cell1-2
wh3_dlc29_black_pyramid_nagash_shambling_horde_1	wh3_dlc29_r2-c1-cell2-3
wh3_dlc29_black_pyramid_nagash_shambling_horde_2	wh3_dlc29_r2-c1-cell2-2
wh3_dlc29_black_pyramid_nagash_shambling_horde_3	wh3_dlc29_r2-c1-cell2-1
wh3_dlc29_black_pyramid_nagash_shambling_horde_4	wh3_dlc29_r2-c1-cell2-0
wh3_dlc29_black_pyramid_nagash_shambling_horde_5	wh3_dlc29_r2-c1-cell1-1
wh3_dlc29_black_pyramid_nagash_shambling_horde_6	wh3_dlc29_r2-c1-cell0-2
wh3_dlc29_black_pyramid_nagash_shambling_horde_7	wh3_dlc29_r2-c1-cell3-1
wh3_dlc29_black_pyramid_nagash_shambling_horde_8	wh3_dlc29_r2-c1-cell4-2
wh3_dlc29_black_pyramid_nagash_transported_army_1	wh3_dlc29_r2-c13-cell2-1
wh3_dlc29_black_pyramid_nagash_transported_army_2	wh3_dlc29_r2-c13-cell2-2
wh3_dlc29_black_pyramid_nagash_transported_army_3	wh3_dlc29_r2-c13-cell2-3
wh3_dlc29_black_pyramid_nagash_transported_army_4	wh3_dlc29_r2-c13-cell2-4
wh3_dlc29_black_pyramid_nagash_transported_army_5	wh3_dlc29_r2-c13-cell1-3
wh3_dlc29_black_pyramid_nagash_transported_army_6	wh3_dlc29_r2-c13-cell0-2
wh3_dlc29_black_pyramid_nagash_transported_army_7	wh3_dlc29_r2-c13-cell3-3
wh3_dlc29_black_pyramid_nagash_transported_army_8	wh3_dlc29_r2-c13-cell4-2
wh3_dlc29_black_pyramid_nameless_1	wh3_dlc29_r4-c5-cell0-1
wh3_dlc29_black_pyramid_nameless_2	wh3_dlc29_r4-c5-cell0-3
wh3_dlc29_black_pyramid_nameless_3	wh3_dlc29_r4-c5-cell1-2
wh3_dlc29_black_pyramid_nameless_4	wh3_dlc29_r5-c3-cell4-3
wh3_dlc29_black_pyramid_nameless_5	wh3_dlc29_r5-c3-cell4-4
wh3_dlc29_black_pyramid_nameless_6	wh3_dlc29_r4-c5-cell0-0
wh3_dlc29_black_pyramid_nameless_7	wh3_dlc29_r5-c5-cell4-1
wh3_dlc29_black_pyramid_nameless_8	wh3_dlc29_r5-c5-cell4-0
wh3_dlc29_black_pyramid_nameless_9	wh3_dlc29_r4-c5-cell0-4
wh3_dlc29_black_pyramid_neferata_1	wh3_dlc29_r6-c3-cell3-2
wh3_dlc29_black_pyramid_neferata_2	wh3_dlc29_r6-c3-cell2-2
wh3_dlc29_black_pyramid_neferata_3	wh3_dlc29_r6-c3-cell1-2
wh3_dlc29_black_pyramid_post_battle_1	wh3_dlc29_r5-c7-cell2-3
wh3_dlc29_black_pyramid_post_battle_2	wh3_dlc29_r5-c7-cell1-3
wh3_dlc29_black_pyramid_post_battle_3	wh3_dlc29_r5-c7-cell2-4
wh3_dlc29_black_pyramid_post_battle_4	wh3_dlc29_r5-c7-cell1-4
