key	unit_ability	unit_set
wh2_dlc15_effect_ability_enable_mimic_cold_blooded	wh2_dlc15_unit_abilities_mimic_cold_blooded	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_ethereal	wh2_dlc15_unit_passive_mimic_ethereal	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_extra_powder	wh2_dlc15_unit_passive_mimic_extra_powder	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_feint_and_riposte	wh2_dlc15_unit_abilities_mimic_feint_and_riposte	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_forest_walker	wh2_dlc15_unit_passive_mimic_forest_walker	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_grand_hammer_of_faith	wh2_dlc15_unit_abilities_mimic_grand_hammer_of_faith	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_grom_waaagh	wh2_dlc15_unit_abilities_mimic_grom_waaagh	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_liquid_fortification	wh2_dlc15_unit_passive_mimic_liquid_fortification	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_loecs_shroud	wh2_dlc15_unit_abilities_mimic_loecs_shroud	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_murderous_prowess	wh2_dlc15_unit_abilities_mimic_murderous_prowess	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_primal_fury	wh2_dlc15_unit_passive_mimic_primal_fury	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_realm_of_souls_1	wh2_dlc15_unit_passive_mimic_realm_of_souls_1	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_realm_of_souls_2	wh2_dlc15_unit_passive_mimic_realm_of_souls_2	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_realm_of_souls_3	wh2_dlc15_unit_passive_mimic_realm_of_souls_3	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_ruinshelter	wh2_dlc15_unit_abilities_mimic_ruinshelter	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_scurry_away	wh2_dlc15_unit_passive_mimic_scurry_away	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_strength_in_numbers	wh2_dlc15_unit_passive_mimic_strength_in_numbers	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_waaagh	wh2_dlc15_unit_abilities_mimic_waaagh	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_unending_volley_1	wh2_dlc15_unit_abilities_unending_volley	missile_units
wh2_dlc15_frenzy_goblin_inf	wh_main_unit_passive_frenzy	grn_infantry_goblin
wh2_dlc15_grn_regeneration_goblin	wh_main_unit_passive_regeneration	grn_infantry_goblin
wh2_dlc15_regeneration_tree_spirits	wh_main_unit_passive_regeneration	wef_dlc05_trees
wh2_dlc15_spiky_skin_goblin_inf	wh2_dlc15_unit_passive_spiky_skin	grn_infantry_goblin
wh2_dlc15_unit_ability_ghostly_protection_idol	wh2_dlc15_unit_passive_ghostly_protection	wh2_dlc15_grn_mon_rogue_idol
wh2_dlc15_unit_ability_ignore_pain_trolls_giants	wh2_dlc15_unit_passive_ignore_pain	wh2_dlc15_grn_mon_trolls_giants
wh2_dlc15_unit_ability_immense_power_idol	wh2_dlc15_unit_passive_immense_power	wh2_dlc15_grn_mon_rogue_idol
wh2_dlc15_unit_ability_immense_power_idol_ror	wh2_dlc15_unit_passive_immense_power	wh2_dlc15_grn_mon_rogue_idol_ror
wh2_dlc15_unit_ability_journeys_end_slayers	wh2_dlc15_unit_passive_journeys_end	dwf_slayers
wh2_dlc15_unit_ability_maternal_instincts_arachnarok	wh_dlc06_unit_abilities_maternal_instinct	grn_arachnarok
wh2_dlc15_unit_ability_monstrous_disease_troll_giant	wh2_dlc15_unit_passive_monstrous_disease	wh2_dlc15_grn_mon_trolls_giants
wh2_dlc16_bound_flock_of_doom_ancient_treemen	wh_dlc08_spell_bound_flock_of_doom	wh2_dlc16_wef_ancient_treemen
wh2_dlc16_curse_of_anraheir_sisters_of_the_thorn	wh_dlc05_spell_bound_the_curse_of_anraheir	wef_dlc05_wood_elf_sisters_thorn
wh2_dlc16_deathblow_tree_spirits	wh_main_unit_passive_deathblow	wh2_dlc16_malevolent_trees
wh2_dlc16_effect_ability_enable_berserk_hidden	wh_dlc08_unit_passive_berserk	wh2_dlc16_chs_marauders_rank7
wh2_dlc16_effect_ability_enable_improved_scurry_away	wh2_dlc16_unit_passive_scurry_away_improved	wh2_dlc16_skv_scurry_away
wh2_dlc16_effect_ability_enable_rage_marauders_sigvald	wh_dlc08_unit_passive_rage	chs_marauders
wh2_dlc16_effect_ability_enable_unending_volley_character	wh2_dlc15_unit_abilities_unending_volley	characters
wh2_dlc16_frenzy_drycha_monsters	wh_main_unit_passive_frenzy	wh2_dlc16_drycha_monstermash
wh2_dlc16_glamour_lvl2_wef_elf_characters	wh2_dlc16_unit_passive_glamoured_lvl2	wef_dlc05_elf_characters
wh2_dlc16_glamour_lvl2_wef_elves	wh2_dlc16_unit_passive_glamoured_lvl2	wef_dlc05_wood_elf_elf_units
wh2_dlc16_glamour_wef_elf_characters	wh2_dlc16_unit_passive_glamoured	wef_dlc05_elf_characters
wh2_dlc16_glamour_wef_elves	wh2_dlc16_unit_passive_glamoured	wef_dlc05_wood_elf_elf_units
wh2_dlc16_guardian_for_orion	wh2_dlc09_unit_passive_guardian	wef_orion
wh2_dlc16_madness_of_khaine_wardancers_blade_singers	wh2_dlc16_unit_passive_madness_of_khaine	wef_dlc05_wardancers
wh2_dlc16_poison_attacks_tree_spirits_not_dryad_ror	wh2_dlc16_unit_passive_yewberry_infusion	wef_dlc05_trees_not_dryad_ror
wh2_dlc16_shield_of_thorns_sisters_of_the_thorn	wh_dlc05_spell_bound_shield_of_thorns	wef_dlc05_wood_elf_sisters_thorn
wh2_dlc16_spell_bound_vampires_lesser_raise_dead	wh2_dlc16_spell_bound_vampires_lesser_raise_dead	vmp_dlc04_corpse_carts_mortis_engine
wh2_dlc16_wef_annoyance_of_netlings_dryads_ror	wh2_dlc16_character_passive_annoyance_of_netlings	wh2_dlc16_wef_dryad_ror
wh2_dlc16_wef_annoyance_of_netlings_rank_7_dryads	wh2_dlc16_character_passive_annoyance_of_netlings	wh2_dlc16_wef_dryads_rank_7
wh2_dlc16_wef_berserker_trees	wh_dlc08_unit_passive_berserk	wef_dlc05_trees
wh2_dlc16_wef_cha_malicious_branchwraith_beasts_0_garrison_1	wh_dlc03_spell_beasts_wyssans_wildform	wh2_dlc16_wef_cha_malicious_branchwraith_beasts_0
wh2_dlc16_wef_shadows_coil_unmounted_glade_captain	wh_dlc05_unit_abilities_the_shadows_coil	wh2_twa02_wef_glade_captain_unmounted
wh2_dlc16_wef_sisters_call_to_ceithin_har	wh2_dlc16_lord_abilities_call_to_ceithin_har	wh2_dlc16_sisters_of_twilight_gwindalor_only
wh2_dlc16_wef_sisters_call_to_gwindalor	wh2_dlc16_lord_abilities_call_to_gwindalor	wh2_dlc16_sisters_of_twilight_ceithin_har_only
wh2_dlc16_wef_sisters_enable_hawk_riders_volley_of_kurnous	wh2_dlc16_unit_abilities_volley_of_kurnous	wef_hawk_riders
wh2_dlc17_ability_enable_frenzy_free_company_militia	wh_main_unit_passive_frenzy	emp_freecompany
wh2_dlc17_bloodgreed_upgraded_minotaurs	wh2_dlc17_unit_passive_bloodgreed_upgraded	bst_dlc03_minotaurs
wh2_dlc17_effect_ability_enable_horrible_regeneration	wh2_dlc17_unit_passive_horrible_regeneration	chs_spawns
wh2_dlc17_effect_ability_enable_horrible_regeneration_nor_trolls_skin_wolves	wh2_dlc17_unit_passive_horrible_regeneration	wh2_dlc17_throgg_focus_units_excluding_fimir
wh2_dlc17_effect_ability_enable_horrible_regeneration_rank7_spooky_units	wh2_dlc17_unit_passive_horrible_regeneration	wh2_dlc17_cairnwraith_hexwraith_rank7
wh2_dlc17_effect_ability_enable_horrible_regeneration_ror_spooky_units	wh2_dlc17_unit_passive_horrible_regeneration	wh2_dlc17_cairnwraith_hexwraith_ror
wh2_dlc17_effect_ability_enable_regeneration_fimir	wh_main_unit_passive_regeneration	dlc08_nor_fimirs
wh2_dlc17_effect_ability_enable_the_hunger_fellbats_direwolves	wh2_dlc11_unit_passive_the_hunger	wh2_dlc11_vmp_dire_wolves_fell_bats
wh2_dlc17_effect_ability_enable_wayfarer_clerical_units	wh2_dlc17_unit_passive_wayfarer	wh2_dlc17_volkmar_focus_units
wh2_dlc17_effect_ability_frenzy_throgg_focus_units	wh_main_unit_passive_frenzy	wh2_dlc17_throgg_focus_units
wh2_dlc17_effect_ability_upgrade_jabberslythe_aura	wh2_dlc17_unit_passive_greater_aura_of_madness	bst_dlc17_jabberslythes
wh2_dlc17_effect_cursed_attacks_vmp_rank7_spooky_units	wh2_dlc17_unit_passive_wightblades	wh2_dlc17_cairnwraith_hexwraith_ror
wh2_dlc17_effect_cursed_attacks_vmp_ror_spooky_units	wh2_dlc17_unit_passive_wightblades	wh2_dlc17_cairnwraith_hexwraith_rank7
wh2_dlc17_effect_enable_frenzy_bst_warhounds_harpies_razorgor_herd	wh_main_unit_passive_frenzy	wh2_dlc17_bst_warhounds_harpies_razorgor_herd
wh2_dlc17_effect_rune_stromni_redbeard_runesmiths	wh_main_rune_passive_master_rune_of_stromni_redbeard	dwf_runesmith
wh2_dlc17_guardian_ability_lords_heroes	wh2_dlc10_unit_passive_guardian	characters
wh2_dlc17_guardian_hammerers	wh2_dlc10_unit_passive_guardian	dwf_hammerers
wh2_dlc17_regen_minotaurs	wh_main_unit_passive_regeneration	bst_dlc03_minotaurs
wh2_dlc17_regeneration_spawn_jabberslythe	wh_main_unit_passive_regeneration	wh2_dlc17_spawn_jabberslythe
wh2_dlc17_skink_poison	wh2_dlc16_unit_passive_yewberry_infusion	lzd_skinks
wh2_dlc17_vmp_ability_enable_wayfarer__isabella_focus	wh2_dlc17_unit_passive_wayfarer	vmp_terrorgheist
wh2_dlc17_vmp_ability_enable_wayfarer_isabella_focus_2	wh2_dlc17_unit_passive_wayfarer	vmp_beasts
wh2_main_def_cha_sorceress_dark_0_garrison_1	wh2_main_spell_dark_magic_chillwind	wh2_main_def_cha_sorceress_dark_0
wh2_main_def_cha_sorceress_dark_0_garrison_2	wh2_main_spell_dark_magic_power_of_darkness	wh2_main_def_cha_sorceress_dark_0
wh2_main_hef_cha_mage_high_0_garrison_1	wh2_main_spell_high_magic_apotheosis	wh2_main_hef_cha_mage_high_0
wh2_main_hef_cha_mage_high_0_garrison_2	wh2_main_spell_high_magic_hand_of_glory	wh2_main_hef_cha_mage_high_0
wh2_main_lzd_cha_skink_priest_beasts_0_garrison_1	wh_dlc03_spell_beasts_wyssans_wildform	wh2_main_lzd_cha_skink_priest_beasts_0
wh2_main_lzd_cha_skink_priest_beasts_0_garrison_2	wh_dlc03_spell_beasts_flock_of_doom	wh2_main_lzd_cha_skink_priest_beasts_0
wh2_main_skv_cha_plague_priest_0_garrison_1	wh2_main_spell_plague_pestilent_breath	wh2_main_skv_cha_plague_priest_0
wh2_main_skv_cha_plague_priest_0_garrison_2	wh2_main_spell_plague_bless_with_filth	wh2_main_skv_cha_plague_priest_0
wh2_main_skv_cha_warlock_engineer_garrison_1	wh2_main_spell_ruin_scorch	wh2_main_skv_cha_warlock_engineer
wh2_twa02_heroic_killing_blow_glade_lords_captains	wh_main_character_abilities_heroic_killing_blow	wh2_twa02_wef_glade_lords_glade_captains
wh2_twa03_abyssal_howl_hydra	wh2_dlc10_unit_passive_abyssal_howl	def_hydra
wh2_twa03_another_takes_its_place_black_dragon	wh2_main_unit_passive_another_takes_its_place	def_dragons
wh2_twa03_frost_breath_kharybdiss	wh2_dlc10_unit_abilities_frost_breath	def_kharibdyss
wh2_twa03_murderous_prowess_indicator_monsters	wh2_main_faction_abilities_murderous_prowess_indicator	wh2_twa03_rakarth_monsters_in_monster_pen
wh2_twa03_murderous_prowess_monsters	wh2_main_faction_abilities_murderous_prowess	wh2_twa03_rakarth_monsters_in_monster_pen
wh2_twa03_ror_harpies_murderous_prowess	wh2_main_faction_abilities_murderous_prowess	mp_cap_unit_def_inf_harpies_ror
