name	global_water_rtpc	is_default	global_plains_rtpc	global_forest_rtpc	global_urban_rtpc	global_lava_rtpc	is_vo_hot	is_vo_cold
dlc12_prophet_tropical_island	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc12_skaven_qb_storm_daemon	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc13_lizardmen_qb_amber_bow	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc13_lizardmen_qb_final_battle	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc13_lizardmen_qb_golden_tributes	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc13_lizardmen_qb_ogham_shard	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc14_bretonnia_qb_guardian_of_lyonesse	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc14_bretonnia_qb_sword_of_lyonesse	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc14_bretonnia_qb_vanquisher_of_undead	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc14_dark_elves_qb_warpsword_of_khaine	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc17_beastmen_taurox_qb_rune_tortured_axes	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc17_dwarves_thorek_qb_klad_brakak	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc17_dwarves_thorek_qb_the_lost_vault	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc17_final_battle_heart_of_the_dark	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc17_lizardmen_oxotyl_qb_the_golden_blowpipe_of_ptoohee	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dwarf	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
empire	Generic_Water_Percentage	true		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
forge	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
greenskin	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
high_elves_beach	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
high_elves_hills	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
high_elves_mwnl_steps_of_isha_01	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
high_elves_mwnl_steps_of_isha_02	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
high_elves_mwnl_steps_of_isha_03	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
high_elves_mwnl_steps_of_isha_04	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
high_elves_qb_arnheim	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
high_elves_qb_tower_of_hoeth	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
khorne	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
khornestorm	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
kislev	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	true
lizardmen_jungle	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
lizardmen_mountain	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
lizardmen_mountain_thunder	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
lizardmen_qb_crimson_skull	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
lizardmen_qb_fallen_gates	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
lizardmen_qb_mosquito_swamp	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
lizardmen_swamp	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
nordic	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	true
nurgle	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
nurglestorm	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
ogres	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
prologue_kislev_chaos	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	true
prologue_kislev_tzeentch	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	true
skaven_cavern	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
skaven_desert	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
skaven_marsh	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
skaven_marsh_forest	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
slaanesh	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
slaaneshstorm	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
tomb_kings_cavern	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
tomb_kings_desert	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		true	false
tomb_kings_qb_final_battle	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
tomb_kings_qb_staff_of_nagash	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
tzeentch	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
tzeentchstorm	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
vampire	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
volcanic	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
wood_elves_autumn	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
wood_elves_generic	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
wood_elves_night	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
wood_elves_sea_is_lake	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
wood_elves_winter	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
