armory_item_set	effect	effect_scope	value
wh3_main_dae_daemon_prince_khorne_set_4	wh3_main_effect_force_recruit_rank_kho_all	general_to_force_own	2.0000
wh3_main_dae_daemon_prince_khorne_set_4	wh3_main_effect_force_stat_bonus_vs_infantry_kho	general_to_force_own	10.0000
wh3_main_dae_daemon_prince_nurgle_set_1	wh3_main_effect_ability_enable_unending_feast_upgraded	character_to_character_own	1.0000
wh3_main_dae_daemon_prince_nurgle_set_1	wh3_main_effect_enable_attribute_expert_charge_defence_vs_large_nur_plaguebearer	general_to_force_own	1.0000
wh3_main_dae_daemon_prince_nurgle_set_1	wh3_main_effect_force_replenishment_rate_nurgle	general_to_force_own	50.0000
wh3_main_dae_daemon_prince_nurgle_set_1	wh3_main_effect_recruitment_cost_nur_all	general_to_force_own	-25.0000
wh3_main_dae_daemon_prince_nurgle_set_1	wh3_main_effect_upkeep_nur_all	general_to_force_own	-60.0000
wh3_main_dae_daemon_prince_nurgle_set_2	wh3_main_effect_ability_enable_virulent_contagion_upgraded	character_to_character_own	1.0000
wh3_main_dae_daemon_prince_nurgle_set_2	wh3_main_effect_corruption_nurgle_adjacent_provinces	character_to_region_any_local_province_text	4.0000
wh3_main_dae_daemon_prince_nurgle_set_2	wh3_main_effect_recruitment_cost_nur_all	general_to_force_own	-25.0000
wh3_main_dae_daemon_prince_nurgle_set_2	wh3_main_effect_unit_stat_bonus_vs_infantry_beast_of_nurgle	general_to_force_own	30.0000
wh3_main_dae_daemon_prince_nurgle_set_2	wh3_main_effect_upkeep_nur_all	general_to_force_own	-60.0000
wh3_main_dae_daemon_prince_nurgle_set_3	wh3_main_effect_corruption_nurgle_adjacent_provinces	character_to_region_any_local_province_text	2.0000
wh3_main_dae_daemon_prince_nurgle_set_3	wh3_main_effect_corruption_nurgle_daemonic_progression	character_to_province_any	3.0000
wh3_main_dae_daemon_prince_nurgle_set_3	wh3_main_effect_force_stat_melee_defence_nur_plaguebearers	general_to_force_own	5.0000
wh3_main_dae_daemon_prince_nurgle_set_4	wh3_main_effect_dae_nurgle_points_percentage_multiplier_mod	general_to_force_own	10.0000
wh3_main_dae_daemon_prince_nurgle_set_4	wh3_main_effect_force_recruit_rank_nur_all	general_to_force_own	2.0000
wh3_main_dae_daemon_prince_nurgle_set_4	wh3_main_effect_force_replenishment_rate_nurgle	general_to_force_own	20.0000
wh3_main_dae_daemon_prince_slaanesh_set_1	wh3_main_effect_corruption_slaanesh_adjacent_provinces	character_to_region_any_local_province_text	5.0000
wh3_main_dae_daemon_prince_slaanesh_set_1	wh3_main_effect_pre_battle_bribery_cost_mod	general_to_force_own	-50.0000
wh3_main_dae_daemon_prince_slaanesh_set_1	wh3_main_effect_recruitment_cost_sla_all	general_to_force_own	-25.0000
wh3_main_dae_daemon_prince_slaanesh_set_1	wh3_main_effect_upkeep_sla_all	general_to_force_own	-60.0000
wh3_main_dae_daemon_prince_slaanesh_set_1	wh_main_faction_political_diplomacy_mod	character_to_faction_unseen	25.0000
wh3_main_dae_daemon_prince_slaanesh_set_2	wh3_main_effect_force_recruit_rank_sla_all	general_to_force_own	3.0000
wh3_main_dae_daemon_prince_slaanesh_set_2	wh3_main_effect_force_stat_armour_sla_marauders_furies_spawn_fiends	general_to_force_own	20.0000
wh3_main_dae_daemon_prince_slaanesh_set_2	wh3_main_effect_recruitment_cost_sla_all	general_to_force_own	-25.0000
wh3_main_dae_daemon_prince_slaanesh_set_2	wh3_main_effect_upkeep_sla_all	general_to_force_own	-60.0000
wh3_main_dae_daemon_prince_slaanesh_set_2	wh_main_effect_force_stat_leadership_enemy_unit	general_to_force_own	-5.0000
wh3_main_dae_daemon_prince_slaanesh_set_3	wh3_main_effect_corruption_slaanesh_daemonic_progression	character_to_province_any	3.0000
wh3_main_dae_daemon_prince_slaanesh_set_3	wh3_main_effect_force_stat_speed_sla_daemonettes	general_to_force_own	5.0000
wh3_main_dae_daemon_prince_slaanesh_set_3	wh_main_faction_political_diplomacy_mod	character_to_faction_unseen	10.0000
wh3_main_dae_daemon_prince_slaanesh_set_4	wh3_main_effect_dae_slaanesh_points_percentage_multiplier_mod	general_to_force_own	10.0000
wh3_main_dae_daemon_prince_slaanesh_set_4	wh3_main_effect_force_recruit_rank_sla_all	general_to_force_own	2.0000
wh3_main_dae_daemon_prince_slaanesh_set_4	wh3_main_effect_upkeep_sla_all	general_to_force_own	-25.0000
wh3_main_dae_daemon_prince_tzeentch_set_1	wh3_main_effect_ability_enable_blue_fire_of_chaos_upgraded	character_to_character_own	1.0000
wh3_main_dae_daemon_prince_tzeentch_set_1	wh3_main_effect_recruitment_cost_tze_all	general_to_force_own	-25.0000
wh3_main_dae_daemon_prince_tzeentch_set_1	wh3_main_effect_upkeep_tze_all	general_to_force_own	-60.0000
wh3_main_dae_daemon_prince_tzeentch_set_1	wh_main_effect_force_stat_magic_resistance	general_to_force_own	15.0000
wh3_main_dae_daemon_prince_tzeentch_set_1	wh_main_effect_force_stat_ward_save	general_to_force_own	10.0000
wh3_main_dae_daemon_prince_tzeentch_set_2	wh3_main_effect_ability_enable_gate_of_chaos_upgraded	character_to_character_own	1.0000
wh3_main_dae_daemon_prince_tzeentch_set_2	wh3_main_effect_battle_barrier_health_mod	general_to_force_own	25.0000
wh3_main_dae_daemon_prince_tzeentch_set_2	wh3_main_effect_force_stat_enable_warpflame_attacks_tze_horrors	general_to_force_own	1.0000
wh3_main_dae_daemon_prince_tzeentch_set_2	wh3_main_effect_recruitment_cost_tze_all	general_to_force_own	-25.0000
wh3_main_dae_daemon_prince_tzeentch_set_2	wh3_main_effect_upkeep_tze_all	general_to_force_own	-60.0000
wh3_main_dae_daemon_prince_tzeentch_set_3	wh3_main_effect_corruption_tzeentch_daemonic_progression	character_to_province_any	3.0000
wh3_main_dae_daemon_prince_tzeentch_set_3	wh3_main_effect_force_stat_ammunition_tze_horrors	general_to_force_own	10.0000
wh3_main_dae_daemon_prince_tzeentch_set_3	wh3_main_effect_winds_of_magic_channelling_stance	force_to_force_own	5.0000
wh3_main_dae_daemon_prince_tzeentch_set_4	wh3_main_effect_dae_tzeentch_points_percentage_multiplier_mod	general_to_force_own	10.0000
wh3_main_dae_daemon_prince_tzeentch_set_4	wh3_main_effect_force_recruit_rank_tze_all	general_to_force_own	2.0000
wh3_main_dae_daemon_prince_tzeentch_set_4	wh3_main_effect_force_stat_damage_tze_horrors	general_to_force_own	15.0000
wh3_pro_mom_trial_champion_set_01	wh3_dlc20_effect_ability_paragon_of_change	character_to_character_own	1.0000
wh3_pro_mom_trial_champion_set_01	wh3_main_effect_ability_enable_blue_fire_of_chaos_upgraded	character_to_character_own	1.0000
wh3_pro_mom_trial_champion_set_01	wh3_main_effect_battle_barrier_health_mod	general_to_force_own	25.0000
wh3_pro_mom_trial_champion_set_01	wh3_main_effect_recruitment_cost_tze_all	general_to_force_own	-25.0000
wh3_pro_mom_trial_champion_set_01	wh3_main_effect_upkeep_tze_all	general_to_force_own	-60.0000
wh3_pro_mom_trial_champion_set_01	wh3_main_effect_winds_of_magic_channelling_stance	force_to_force_own	5.0000
