key	sort_order	effect_state
wh2_dlc15_all_summon_mistwalkers	105	positive
wh2_dlc15_all_summon_rogue_idol	105	positive
wh2_dlc15_bombardment_passive_melee	1	positive
wh2_dlc15_captures_after_battle	1	magic
wh2_dlc15_generic_also_affects_enemies	300	negative
wh2_dlc15_self_bombard	1	positive
wh2_dlc15_self_bombard_allies	1	negative
wh2_dlc15_self_bombard_unit	0	positive
wh2_dlc15_spell_medium_stationary_aoe	105	positive
wh2_dlc15_tip_ignores_armour	3	positive
wh2_dlc15_tip_when_surrounded	2	positive
wh2_dlc16_all_added_contact_effect_weakened	101	positive
wh2_dlc16_all_deplete_ammo	105	negative
wh2_dlc16_all_deplete_ammo_high	106	negative
wh2_dlc16_all_summon_ceithin_har	103	positive
wh2_dlc16_all_summon_deepwood_scouts	103	positive
wh2_dlc16_all_summon_dryads	103	positive
wh2_dlc16_all_summon_glade_guard	103	positive
wh2_dlc16_all_summon_gwindalor	103	positive
wh2_dlc16_all_summon_rat_ogres	103	positive
wh2_dlc16_all_summon_waywatchers	103	positive
wh2_dlc16_all_summon_wolf_rats	103	positive
wh2_dlc16_all_summon_wolf_rats_poison	103	positive
wh2_dlc16_sisters_heal_timer	0	positive
wh2_dlc16_vortex_passive_melee	1	positive
wh2_dlc17_all_summon_chameleon_stalkers	103	positive
wh2_dlc17_kills_unit_on_expiry	900	negative
wh2_dlc17_locus_of_power_miscast_caster	100	positive
wh2_main_ability_range_30m	101	positive
wh2_main_all_allows_siege_assaults	308	positive
wh2_main_all_building_equipment_target	107	positive
wh2_main_all_flaming	104	positive
wh2_main_all_flanking	307	positive
wh2_main_all_good_against_armour	106	positive
wh2_main_all_hiding	106	positive
wh2_main_all_huge_static_aoe	105	positive
wh2_main_all_increases_with_enemies_in_range	0	negative
wh2_main_all_magical_and_flaming_major	104	positive
wh2_main_all_magical_and_flaming_massive	104	positive
wh2_main_all_magical_and_flaming_medium	104	positive
wh2_main_all_magical_and_flaming_minor	104	positive
wh2_main_all_magical_damage_major	104	positive
wh2_main_all_magical_damage_massive	104	positive
wh2_main_all_magical_damage_minor	104	positive
wh2_main_all_magical_damage_moderate	104	positive
wh2_main_all_random_launch_direction	202	negative
wh2_main_all_rebirth_buff_chance	106	positive
wh2_main_all_rebirth_debuff_chance	203	negative
wh2_main_all_rotating	147	positive
wh2_main_all_summon_clan_rats	105	positive
wh2_main_all_summon_clan_rats_shields	105	positive
wh2_main_all_summon_eagle	105	positive
wh2_main_all_summon_feral_cold_ones	105	positive
wh2_main_all_summon_plague_monks	12	positive
wh2_main_all_summon_skaven_slaves	103	positive
wh2_main_all_summon_skink_priest	105	positive
wh2_main_all_summon_stormvermin	103	positive
wh2_main_all_weak_against_armour	206	negative
wh2_main_army_ap_damage_explosion_ranged	1	magic
wh2_main_army_ap_damage_ranged	1	double_positive
wh2_main_army_damage_explosion_ranged	1	magic
wh2_main_army_damage_ranged	1	double_positive
wh2_main_army_homing	104	positive
wh2_main_army_projectiles	1	positive
wh2_main_army_projectiles_2	1	double_positive
wh2_main_army_projectiles_3	1	magic
wh2_main_army_sacrifice	204	negative
wh2_main_army_scattershot	1	positive
wh2_main_army_scattershot_2	1	double_positive
wh2_main_army_scattershot_3	1	magic
wh2_main_army_vortices_3	106	positive
wh2_main_bombardment_medium_strike_aoe	105	positive
wh2_main_spell_absorb_hp	105	positive
wh2_main_spell_escape	102	positive
wh2_main_spell_expanding_aoe	105	positive
wh2_main_spell_friendly_fire_explosion	101	positive
wh2_main_spell_huge_vortex	105	positive
wh2_main_spell_large_vortex	105	positive
wh2_main_spell_medium_vortex	105	positive
wh2_main_spell_medium_wind	105	positive
wh2_main_spell_shrapnel_flak	1	positive
wh2_main_spell_shrapnel_magical	1	positive
wh2_main_spell_shrapnel_magical_healing	1	positive
wh2_main_spell_small_vortex	105	positive
wh2_main_spell_small_wind	105	positive
wh2_main_spell_stationary_aoe	105	positive
wh2_main_spell_upgraded_cooldown	1	magic
wh2_main_spell_upgraded_friendly_fire_explosion	0	magic
wh2_main_spell_upgraded_frostbite	1	magic
wh2_main_spell_upgraded_melee_defence	1	magic
wh2_main_spell_upgraded_poison	1	magic
wh2_main_spell_upgraded_reloading	1	magic
wh2_main_spell_upgraded_speed	1	magic
wh3_dlc20_ability_intensity_combined_time_in_melee_and_ability_wind_up	1	positive
wh3_dlc20_ability_intensity_nearby_deaths	1	positive
wh3_dlc20_ability_intensity_nearby_enemy_kills	1	positive
wh3_dlc20_ability_intensity_time_in_melee	1	positive
wh3_dlc20_all_barrier_replenish	105	positive
wh3_dlc20_harbinger_of_pestilence	1	negative
wh3_dlc20_healing_elixirs	1	negative
wh3_main_abilities_sonic_boom_damage	203	negative
wh3_main_abilities_sonic_boom_disruption	105	positive
wh3_main_ability_explosion_damage_range	108	positive
wh3_main_ability_explosion_triggered_on_enemy	107	positive
wh3_main_ability_increased_effect_caster_num	105	positive
wh3_main_ability_intensity_enemy_low_morale_nearby	1	positive
wh3_main_ability_intensity_harmony_multiplier	2	positive
wh3_main_ability_intensity_kills	1	positive
wh3_main_ability_range_100	101	positive
wh3_main_ability_yang_nearby	1	positive
wh3_main_ability_yin_nearby	1	positive
wh3_main_all_active_when_an_enemy_is_destroyed_within_30m	104	positive
wh3_main_all_active_when_an_enemy_is_destroyed_within_45m	104	magic
wh3_main_all_building_equipment_destroy	108	positive
wh3_main_all_enemy_spreading_radius_30m	101	positive
wh3_main_all_exploding_summon	106	positive
wh3_main_all_friendly_spreading_radius_30m	101	positive
wh3_main_all_max_five_affected_units	102	positive
wh3_main_all_summon_ancestral_warriors	105	positive
wh3_main_all_summon_bloodletters	105	positive
wh3_main_all_summon_bloodthirster	105	positive
wh3_main_all_summon_blue_horrors	105	positive
wh3_main_all_summon_chaos_furies	105	positive
wh3_main_all_summon_daemonettes	105	positive
wh3_main_all_summon_elemental_bear	105	positive
wh3_main_all_summon_gorger	103	positive
wh3_main_all_summon_great_unclean_one	105	positive
wh3_main_all_summon_greatly_increased_stats	105	magic
wh3_main_all_summon_increased_stats	104	magic
wh3_main_all_summon_keeper_of_secrets	105	positive
wh3_main_all_summon_lord_of_change	105	positive
wh3_main_all_summon_nurglings	105	positive
wh3_main_all_summon_pink_horrors	105	positive
wh3_main_all_summon_plaguebearers	105	positive
wh3_main_all_summon_snow_leopard	103	positive
wh3_main_dragon_form_advantages	102	positive
wh3_main_dragon_form_disadvantages	103	negative
wh3_main_human_form_advantages	102	positive
wh3_main_human_form_advantages_spells	103	positive
wh3_main_item_abilities_the_portalglyph	106	positive
wh3_main_moves_available_to_reserves	103	negative
wh3_main_projectile_requires_line_of_sight	215	negative
wh3_main_reign_of_chaos_negates_chaotic_ebb	103	positive
wh3_main_reign_of_chaos_negates_chaotic_surge	103	negative
wh3_main_spell_expanding_wind	105	positive
wh3_main_spell_melee_damage_reflection	201	positive
wh3_main_spell_redirects_projectiles	1	positive
wh3_main_spell_upgraded_melee_damage_reflection	1	magic
wh3_main_transform_to_dragon_form	101	positive
wh3_main_transform_to_human_form	101	positive
wh_dlc01_all_summon_spawn	103	positive
wh_dlc03_all_reduce_accuracy	201	negative
wh_dlc03_all_summon_cygor	103	positive
wh_dlc03_all_summon_giant	103	positive
wh_dlc03_all_summon_manticore	103	positive
wh_dlc03_spell_upgraded_speed_reduction	1	magic
wh_dlc04_all_increases_with_enemies_in_range	105	positive
wh_dlc04_all_summon_crypt_ghouls	103	positive
wh_dlc04_all_summon_crypt_horrors	1	magic
wh_dlc04_all_summon_flanker	106	positive
wh_dlc04_all_summon_graveguard	103	positive
wh_dlc04_all_summon_melee_expert	106	positive
wh_dlc04_all_summon_wight_king	1	magic
wh_dlc05_ability_range	101	positive
wh_dlc05_effect_increase_with_time	10	positive
wh_dlc05_projectile_strikes_ahead	207	negative
wh_dlc05_spell_trigger_when_casting	1	positive
wh_dlc05_spell_upgraded_missile_block_chance	1	magic
wh_dlc05_spell_upgraded_replenish	1	magic
wh_dlc05_spell_upgraded_resistance_all	1	magic
wh_dlc05_spell_upgraded_resistance_fire	1	magic
wh_dlc05_spell_upgraded_resistance_magic	1	magic
wh_dlc05_spell_upgraded_resistance_missile	1	magic
wh_dlc05_spell_upgraded_resistance_physical	1	magic
wh_dlc06_all_defend_vs_charge	106	positive
wh_dlc06_all_summon_spider_hatchlings	103	positive
wh_dlc06_automatic	105	positive
wh_dlc06_projectile_cause_explosion	105	positive
wh_dlc06_projectile_shrapnels	105	positive
wh_dlc07_spell_ignores_ap	0	positive
wh_dlc08_direct_damage_character_unit	105	positive
wh_dlc08_direct_damage_elite_unit	105	positive
wh_dlc08_direct_damage_massive_unit	105	positive
wh_dlc08_direct_damage_medium_unit	105	positive
wh_dlc08_quest_abilities_summon_skeletons	105	positive
wh_dlc08_spell_removed_degrade_for_krell	5	magic
wh_dlc08_spell_upgraded_abilities_for_krell	2	magic
wh_dlc08_spell_upgraded_degrade_for_krell	1	magic
wh_dlc08_spell_upgraded_health_melee_defense_for_krell	3	magic
wh_dlc08_spell_upgraded_krell	0	magic
wh_dlc08_spell_upgraded_melee_attack_charge_bonus_for_krell	4	magic
wh_dlc08_spell_upgraded_melee_attack_for_krell	0	magic
wh_dlc08_spell_upgraded_melee_defense_for_krell	0	magic
wh_dlc09_all_summon_skeleton_warriors	105	positive
wh_dlc10_all_chance_resistance_fire_and_healing	104	positive
wh_main_all_armour_piercing	104	positive
wh_main_all_armour_piercing_ranged	104	positive
wh_main_all_can_disrupt_formation	105	positive
wh_main_all_defend_vs_charge	106	positive
wh_main_all_direct_damage	104	positive
wh_main_all_direct_damage_high	104	positive
wh_main_all_direct_damage_high_negative	201	negative
wh_main_all_direct_damage_negative	201	negative
wh_main_all_direct_damage_resist	201	negative
wh_main_all_direct_damage_resist_self	201	negative
wh_main_all_direct_damage_self	201	negative
wh_main_all_direct_damage_self_high	201	negative
wh_main_all_direct_damage_unbinding	203	negative
wh_main_all_good_against_flying	106	positive
wh_main_all_good_vs_artillery	106	positive
wh_main_all_good_vs_large	106	positive
wh_main_all_improved_recharge_rate	106	positive
wh_main_all_improved_recharge_rate_high	106	positive
wh_main_all_increased_max_power	106	positive
wh_main_all_increased_max_power_high	106	positive
wh_main_all_kill_self	201	negative
wh_main_all_large_aoe	105	positive
wh_main_all_magical	104	positive
wh_main_all_magical_and_flaming	104	positive
wh_main_all_poor_vs_large	206	negative
wh_main_all_reduced_max_power	202	negative
wh_main_all_reduced_max_power_high	206	negative
wh_main_all_reduced_recharge_rate	202	negative
wh_main_all_reduced_recharge_rate_high	202	negative
wh_main_all_reduced_recharge_rate_v_high	202	negative
wh_main_all_replenish	105	positive
wh_main_all_replenish_burst	0	positive
wh_main_all_replenish_high	106	positive
wh_main_all_resurrect	105	positive
wh_main_all_resurrect_hp	106	positive
wh_main_all_small_aoe	105	positive
wh_main_all_strong_against_multiple	106	positive
wh_main_all_strong_against_single	106	positive
wh_main_all_strong_against_unit	106	positive
wh_main_all_strong_against_units	106	positive
wh_main_all_summon_zombies	105	positive
wh_main_all_summoned_unit	105	positive
wh_main_all_summoned_unit_magic	105	positive
wh_main_all_summoned_unit_single_use	207	negative
wh_main_all_weak_against_multiple	203	negative
wh_main_all_weak_against_single	203	negative
wh_main_all_weak_against_unit	203	negative
wh_main_all_weak_against_units	203	negative
wh_main_bombardment_large_strike_aoe	105	positive
wh_main_bombardment_small_strike_aoe	105	positive
wh_main_projectile_effective_all_ranges	106	positive
wh_main_projectile_effective_close_range	106	positive
wh_main_projectile_effective_long_range	106	positive
wh_main_projectile_friendly_fire	203	negative
wh_main_projectile_good_high_angle	106	positive
wh_main_projectile_high_penetration	106	positive
wh_main_projectile_poor_low_angle	203	negative
wh_main_projectile_poor_penetration	203	negative
wh_main_projectile_powerful_explosion	105	positive
wh_main_spell_upgraded_added_armour	1	magic
wh_main_spell_upgraded_added_contact_effect	1	magic
wh_main_spell_upgraded_added_effect_range	1	magic
wh_main_spell_upgraded_added_melee_attack	1	magic
wh_main_spell_upgraded_ap_damage	1	magic
wh_main_spell_upgraded_ap_damage_explosion	1	magic
wh_main_spell_upgraded_ap_damage_explosion_ranged	1	magic
wh_main_spell_upgraded_ap_damage_ranged	1	magic
wh_main_spell_upgraded_area	1	magic
wh_main_spell_upgraded_armour	1	magic
wh_main_spell_upgraded_cast_range	1	magic
wh_main_spell_upgraded_damage	1	magic
wh_main_spell_upgraded_damage_explosion	1	magic
wh_main_spell_upgraded_duration	1	magic
wh_main_spell_upgraded_fire_damage	1	magic
wh_main_spell_upgraded_magic_and_fire_damage	1	magic
wh_main_spell_upgraded_melee_attack	1	magic
wh_main_spell_upgraded_melee_damage	1	magic
wh_main_spell_upgraded_projectiles	1	magic
wh_main_spell_upgraded_strike_area	1	magic
wh_main_spell_upgraded_summon_skeletons	1	magic
wh_main_vortex_large_breath	105	positive
wh_main_vortex_large_breath_long	105	positive
wh_main_vortex_large_breath_short	105	positive
wh_main_vortex_large_expanding_aoe	105	positive
wh_main_vortex_large_moving_aoe	105	positive
wh_main_vortex_large_static_aoe	105	positive
wh_main_vortex_unpredictable	203	negative
wh_pro03_all_summon_krell	0	magic
wh_pro04_ability_range	101	positive
