ancillary	agent
wh2_dlc11_anc_follower_vmp_the_ravenous_dead	general
wh2_dlc11_anc_magic_standard_bloodied_banner_of_slayers	general
wh2_dlc11_anc_magic_standard_boatswain	general
wh2_dlc11_anc_magic_standard_burnt_banner_of_knights	general
wh2_dlc11_anc_magic_standard_corpse_surgeon	general
wh2_dlc11_anc_magic_standard_dead_mans_chest	general
wh2_dlc11_anc_magic_standard_holed_banner_of_militia	general
wh2_dlc11_anc_magic_standard_rookie_gunner	general
wh2_dlc11_anc_magic_standard_ships_colors	general
wh2_dlc11_anc_magic_standard_skull_and_crossbones	general
wh2_dlc11_anc_magic_standard_spell_of_the_necromancers_apprentice	general
wh2_dlc11_anc_magic_standard_throwing_bombs	general
wh2_dlc11_anc_magic_standard_torn_banner_of_pilgrims	general
wh2_dlc11_anc_mount_brt_damned_paladin_barded_warhorse	spy
wh2_dlc11_anc_mount_cst_admiral_tech_01_rotting_promethean	general
wh2_dlc11_anc_mount_cst_admiral_tech_02_rotting_promethean	general
wh2_dlc11_anc_mount_cst_admiral_tech_03_rotting_promethean	general
wh2_dlc11_anc_mount_cst_admiral_tech_04_rotting_promethean	general
wh2_dlc11_anc_mount_cst_aranessa_rotting_promethean	general
wh2_dlc11_anc_mount_cst_count_noctilus_necrofex_colossus	general
wh2_dlc11_anc_mount_cst_cylostra_rotting_leviathon	general
wh2_dlc11_anc_mount_cst_fleet_admiral_death_fem_rotting_promethean	general
wh2_dlc11_anc_mount_cst_fleet_admiral_death_rotting_promethean	general
wh2_dlc11_anc_mount_cst_fleet_admiral_deep_fem_rotting_promethean	general
wh2_dlc11_anc_mount_cst_fleet_admiral_deep_rotting_promethean	general
wh2_dlc11_anc_mount_cst_fleet_admiral_fem_vampires_rotting_promethean	general
wh2_dlc11_anc_mount_cst_fleet_admiral_vampires_rotting_promethean	general
wh2_dlc11_anc_mount_cst_fleet_captain_death_rotting_promethean	dignitary
wh2_dlc11_anc_mount_cst_fleet_captain_deep_rotting_promethean	dignitary
wh2_dlc11_anc_mount_cst_fleet_captain_vampires_rotting_promethean	dignitary
wh2_dlc11_anc_mount_cst_gunnery_wight_rotting_promethean	engineer
wh2_dlc11_anc_mount_cst_luthor_harkon_terrorgheist	general
wh2_dlc11_anc_mount_def_lokhir_fellheart_black_dragon	general
wh2_dlc11_anc_mount_emp_boris_todbringer_imperial_griffon	general
wh2_dlc11_anc_mount_emp_boris_todbringer_imperial_pegasus	general
wh2_dlc11_anc_mount_vmp_bloodline_blood_dragon_barded_nightmare	general
wh2_dlc11_anc_mount_vmp_bloodline_blood_dragon_hellsteed	general
wh2_dlc11_anc_mount_vmp_bloodline_blood_dragon_zombie_dragon	general
wh2_dlc11_anc_mount_vmp_bloodline_lahmian_barded_nightmare	general
wh2_dlc11_anc_mount_vmp_bloodline_lahmian_hellsteed	general
wh2_dlc11_anc_mount_vmp_bloodline_lahmian_zombie_dragon	general
wh2_dlc11_anc_mount_vmp_bloodline_necrarch_barded_nightmare	general
wh2_dlc11_anc_mount_vmp_bloodline_necrarch_hellsteed	general
wh2_dlc11_anc_mount_vmp_bloodline_necrarch_zombie_dragon	general
wh2_dlc11_anc_mount_vmp_bloodline_strigoi_terrorgheist	general
wh2_dlc11_anc_mount_vmp_bloodline_von_carstein_barded_nightmare	general
wh2_dlc11_anc_mount_vmp_bloodline_von_carstein_hellsteed	general
wh2_dlc11_anc_mount_vmp_bloodline_von_carstein_zombie_dragon	general
wh2_dlc11_anc_mount_vmp_kemmler_barded_nightmare	general
wh2_dlc12_anc_follower_chameleon_spotter	champion
wh2_dlc12_anc_follower_chameleon_spotter	general
wh2_dlc12_anc_follower_chameleon_spotter	runesmith
wh2_dlc12_anc_follower_chameleon_spotter	wizard
wh2_dlc12_anc_follower_consul_of_calith	champion
wh2_dlc12_anc_follower_consul_of_calith	general
wh2_dlc12_anc_follower_consul_of_calith	runesmith
wh2_dlc12_anc_follower_consul_of_calith	wizard
wh2_dlc12_anc_follower_lotl_botls_spawn_brother	champion
wh2_dlc12_anc_follower_lotl_botls_spawn_brother	general
wh2_dlc12_anc_follower_lotl_botls_spawn_brother	runesmith
wh2_dlc12_anc_follower_lotl_botls_spawn_brother	wizard
wh2_dlc12_anc_follower_obsinite_miner_skink	champion
wh2_dlc12_anc_follower_obsinite_miner_skink	general
wh2_dlc12_anc_follower_obsinite_miner_skink	runesmith
wh2_dlc12_anc_follower_obsinite_miner_skink	wizard
wh2_dlc12_anc_follower_piqipoqi_qupacoco	champion
wh2_dlc12_anc_follower_piqipoqi_qupacoco	general
wh2_dlc12_anc_follower_piqipoqi_qupacoco	runesmith
wh2_dlc12_anc_follower_piqipoqi_qupacoco	wizard
wh2_dlc12_anc_follower_priest_of_the_star_chambers	champion
wh2_dlc12_anc_follower_priest_of_the_star_chambers	general
wh2_dlc12_anc_follower_priest_of_the_star_chambers	runesmith
wh2_dlc12_anc_follower_priest_of_the_star_chambers	wizard
wh2_dlc12_anc_follower_prophets_spawn_brother	champion
wh2_dlc12_anc_follower_prophets_spawn_brother	general
wh2_dlc12_anc_follower_prophets_spawn_brother	runesmith
wh2_dlc12_anc_follower_prophets_spawn_brother	wizard
wh2_dlc12_anc_follower_swamp_trawler_skink	champion
wh2_dlc12_anc_follower_swamp_trawler_skink	general
wh2_dlc12_anc_follower_swamp_trawler_skink	runesmith
wh2_dlc12_anc_follower_swamp_trawler_skink	wizard
wh2_dlc12_anc_magic_standard_cape_of_sniper	general
wh2_dlc12_anc_magic_standard_coatlpelt_flagstaff	general
wh2_dlc12_anc_magic_standard_culchan_feathered_standard	general
wh2_dlc12_anc_magic_standard_exalted_banner_of_xapati	general
wh2_dlc12_anc_magic_standard_flag_of_the_daystar	general
wh2_dlc12_anc_magic_standard_incendiary_rounds	general
wh2_dlc12_anc_magic_standard_shroud_of_chaqua	general
wh2_dlc12_anc_magic_standard_sign_of_the_coiled_one	general
wh2_dlc12_anc_magic_standard_totem_of_the_spitting_viper	general
wh2_dlc12_anc_magic_standard_totem_pole_of_destiny	general
wh2_dlc12_anc_magic_tracer_rounds	general
wh2_dlc12_anc_mount_lzd_tlaqua_skink_chief_terradon	spy
wh2_dlc12_anc_mount_lzd_tlaqua_skink_priest_beasts_terradon	wizard
wh2_dlc12_anc_mount_lzd_tlaqua_skink_priest_heavens_terradon	wizard
wh2_dlc14_anc_banner_jean_claude_sartre	general
wh2_dlc14_anc_banner_pierre_darden	general
wh2_dlc14_anc_banner_rene_de_cartes	general
wh2_dlc14_anc_follower_malus_bruglir	general
wh2_dlc14_anc_follower_malus_hathan_gul	general
wh2_dlc14_anc_follower_malus_lhunara	general
wh2_dlc14_anc_follower_malus_silar	general
wh2_dlc15_anc_follower_mandelour	general
wh2_dlc17_anc_banner_banner_of_madness	general
wh2_dlc17_anc_banner_banner_of_unholy_exultation	general
wh2_dlc17_anc_banner_bst_banner_of_ghorok	general
wh2_dlc17_anc_banner_lzd_poison_daemonbane	general
wh2_dlc17_anc_banner_lzd_poison_fireblood_toxin	general
wh2_dlc17_anc_banner_lzd_poison_slow_death	general
wh2_dlc17_anc_banner_lzd_poison_toadskin_essence	general
wh2_dlc17_anc_dread_retainer_fimir_banner	general
wh2_dlc17_anc_dread_retainer_skinwolf_banner	general
wh2_dlc17_anc_dread_retainer_troll_banner	general
wh2_dlc17_anc_mount_bst_cha_beastlord_tuskgor_chariot	general
wh2_dlc17_anc_mount_bst_cha_bray_shaman_beasts_tuskgor_chariot	wizard
wh2_dlc17_anc_mount_bst_cha_bray_shaman_death_tuskgor_chariot	wizard
wh2_dlc17_anc_mount_bst_cha_bray_shaman_shadows_tuskgor_chariot	wizard
wh2_dlc17_anc_mount_bst_cha_bray_shaman_wild_tuskgor_chariot	wizard
wh2_dlc17_anc_mount_bst_cha_great_bray_shaman_beasts_razorgor_chariot	general
wh2_dlc17_anc_mount_bst_cha_great_bray_shaman_beasts_tuskgor_chariot	general
wh2_dlc17_anc_mount_bst_cha_great_bray_shaman_death_razorgor_chariot	general
wh2_dlc17_anc_mount_bst_cha_great_bray_shaman_death_tuskgor_chariot	general
wh2_dlc17_anc_mount_bst_cha_great_bray_shaman_shadows_razorgor_chariot	general
wh2_dlc17_anc_mount_bst_cha_great_bray_shaman_shadows_tuskgor_chariot	general
wh2_dlc17_anc_mount_bst_cha_great_bray_shaman_wild_razorgor_chariot	general
wh2_dlc17_anc_mount_bst_cha_great_bray_shaman_wild_tuskgor_chariot	general
wh2_dlc17_anc_mount_bst_cha_khazrak_one_eye_tuskgor_chariot	general
wh2_dlc17_anc_mount_bst_cha_wargor_razorgor_chariot	spy
wh2_dlc17_anc_mount_bst_cha_wargor_tuskgor_chariot	spy
wh2_dlc17_anc_rune_engineering_flakksons_rune_of_seeking	general
wh2_dlc17_anc_rune_engineering_master_rune_of_disguise	general
wh2_dlc17_anc_rune_engineering_master_rune_of_immolation	general
wh2_dlc17_anc_rune_engineering_rune_of_burning	general
wh2_dlc17_anc_rune_engineering_rune_of_penetration	general
wh2_main_anc_armour_crown_of_authority	general
wh2_main_anc_enchanted_item_chest_of_sustenance	general
wh2_main_anc_enchanted_item_ring_of_hukon	general
wh2_main_anc_follower_def_apprentice_assassin	spy
wh2_main_anc_follower_def_beastmaster	general
wh2_main_anc_follower_def_bodyguard	champion
wh2_main_anc_follower_def_bodyguard	dignitary
wh2_main_anc_follower_def_bodyguard	general
wh2_main_anc_follower_def_cultist	champion
wh2_main_anc_follower_def_cultist	dignitary
wh2_main_anc_follower_def_cultist	general
wh2_main_anc_follower_def_cultist	spy
wh2_main_anc_follower_def_cultist	wizard
wh2_main_anc_follower_def_daemon_whisperer	wizard
wh2_main_anc_follower_def_diplomat_slaanesh	champion
wh2_main_anc_follower_def_diplomat_slaanesh	dignitary
wh2_main_anc_follower_def_diplomat_slaanesh	general
wh2_main_anc_follower_def_diplomat_slaanesh	spy
wh2_main_anc_follower_def_diplomat_slaanesh	wizard
wh2_main_anc_follower_def_diplomat	champion
wh2_main_anc_follower_def_diplomat	dignitary
wh2_main_anc_follower_def_diplomat	general
wh2_main_anc_follower_def_fanatic	dignitary
wh2_main_anc_follower_def_fimir_balefiend	wizard
wh2_main_anc_follower_def_gravedigger	champion
wh2_main_anc_follower_def_gravedigger	dignitary
wh2_main_anc_follower_def_gravedigger	general
wh2_main_anc_follower_def_gravedigger	spy
wh2_main_anc_follower_def_gravedigger	wizard
wh2_main_anc_follower_def_harem_attendant	dignitary
wh2_main_anc_follower_def_harem_attendant	general
wh2_main_anc_follower_def_harem_keeper	dignitary
wh2_main_anc_follower_def_harem_keeper	general
wh2_main_anc_follower_def_merchant	general
wh2_main_anc_follower_def_musician_choirmaster	general
wh2_main_anc_follower_def_musician_drum	general
wh2_main_anc_follower_def_musician_flute	general
wh2_main_anc_follower_def_organ_merchant	champion
wh2_main_anc_follower_def_organ_merchant	dignitary
wh2_main_anc_follower_def_organ_merchant	general
wh2_main_anc_follower_def_organ_merchant	spy
wh2_main_anc_follower_def_organ_merchant	wizard
wh2_main_anc_follower_def_overseer	champion
wh2_main_anc_follower_def_overseer	dignitary
wh2_main_anc_follower_def_overseer	general
wh2_main_anc_follower_def_propagandist	champion
wh2_main_anc_follower_def_propagandist	dignitary
wh2_main_anc_follower_def_propagandist	general
wh2_main_anc_follower_def_propagandist	spy
wh2_main_anc_follower_def_servant	champion
wh2_main_anc_follower_def_servant	dignitary
wh2_main_anc_follower_def_servant	general
wh2_main_anc_follower_def_servant	spy
wh2_main_anc_follower_def_servant	wizard
wh2_main_anc_follower_def_slave_trader	champion
wh2_main_anc_follower_def_slave_trader	dignitary
wh2_main_anc_follower_def_slave_trader	general
wh2_main_anc_follower_def_slave	champion
wh2_main_anc_follower_def_slave	engineer
wh2_main_anc_follower_def_slave	general
wh2_main_anc_follower_def_slave	spy
wh2_main_anc_follower_def_slave	wizard
wh2_main_anc_follower_hef_admiral	champion
wh2_main_anc_follower_hef_admiral	general
wh2_main_anc_follower_hef_assassin	champion
wh2_main_anc_follower_hef_assassin	dignitary
wh2_main_anc_follower_hef_assassin	general
wh2_main_anc_follower_hef_assassin	runesmith
wh2_main_anc_follower_hef_assassin	spy
wh2_main_anc_follower_hef_assassin	wizard
wh2_main_anc_follower_hef_bard	champion
wh2_main_anc_follower_hef_bard	dignitary
wh2_main_anc_follower_hef_bard	general
wh2_main_anc_follower_hef_beard_weaver	champion
wh2_main_anc_follower_hef_beard_weaver	dignitary
wh2_main_anc_follower_hef_beard_weaver	runesmith
wh2_main_anc_follower_hef_beard_weaver	wizard
wh2_main_anc_follower_hef_counsellor	general
wh2_main_anc_follower_hef_counterspy	champion
wh2_main_anc_follower_hef_counterspy	dignitary
wh2_main_anc_follower_hef_counterspy	general
wh2_main_anc_follower_hef_dragon_armourer	champion
wh2_main_anc_follower_hef_dragon_armourer	dignitary
wh2_main_anc_follower_hef_dragon_armourer	general
wh2_main_anc_follower_hef_dragon_tamer	general
wh2_main_anc_follower_hef_food_taster	champion
wh2_main_anc_follower_hef_food_taster	dignitary
wh2_main_anc_follower_hef_food_taster	general
wh2_main_anc_follower_hef_food_taster	runesmith
wh2_main_anc_follower_hef_food_taster	spy
wh2_main_anc_follower_hef_food_taster	wizard
wh2_main_anc_follower_hef_horsemaster	general
wh2_main_anc_follower_hef_librarian	dignitary
wh2_main_anc_follower_hef_librarian	runesmith
wh2_main_anc_follower_hef_librarian	wizard
wh2_main_anc_follower_hef_minstrel	champion
wh2_main_anc_follower_hef_minstrel	dignitary
wh2_main_anc_follower_hef_minstrel	general
wh2_main_anc_follower_hef_poisoner	dignitary
wh2_main_anc_follower_hef_poisoner	general
wh2_main_anc_follower_hef_poisoner	wizard
wh2_main_anc_follower_hef_raven_keeper	champion
wh2_main_anc_follower_hef_raven_keeper	dignitary
wh2_main_anc_follower_hef_raven_keeper	general
wh2_main_anc_follower_hef_raven_keeper	runesmith
wh2_main_anc_follower_hef_raven_keeper	spy
wh2_main_anc_follower_hef_raven_keeper	wizard
wh2_main_anc_follower_hef_scout	champion
wh2_main_anc_follower_hef_scout	dignitary
wh2_main_anc_follower_hef_scout	general
wh2_main_anc_follower_hef_shrine_keeper	dignitary
wh2_main_anc_follower_hef_shrine_keeper	wizard
wh2_main_anc_follower_hef_trappist	dignitary
wh2_main_anc_follower_hef_trappist	runesmith
wh2_main_anc_follower_hef_trappist	wizard
wh2_main_anc_follower_hef_wine_merchant	champion
wh2_main_anc_follower_hef_wine_merchant	dignitary
wh2_main_anc_follower_hef_wine_merchant	general
wh2_main_anc_follower_lzd_acolyte_priest	runesmith
wh2_main_anc_follower_lzd_acolyte_priest	wizard
wh2_main_anc_follower_lzd_architect	runesmith
wh2_main_anc_follower_lzd_architect	wizard
wh2_main_anc_follower_lzd_archivist	runesmith
wh2_main_anc_follower_lzd_archivist	wizard
wh2_main_anc_follower_lzd_army_beast_hunter	champion
wh2_main_anc_follower_lzd_army_beast_hunter	general
wh2_main_anc_follower_lzd_artefact_hunter	runesmith
wh2_main_anc_follower_lzd_artefact_hunter	wizard
wh2_main_anc_follower_lzd_astrologer	general
wh2_main_anc_follower_lzd_astrologer	runesmith
wh2_main_anc_follower_lzd_astrologer	wizard
wh2_main_anc_follower_lzd_astronomer	general
wh2_main_anc_follower_lzd_astronomer	runesmith
wh2_main_anc_follower_lzd_astronomer	wizard
wh2_main_anc_follower_lzd_attendant	champion
wh2_main_anc_follower_lzd_attendant	general
wh2_main_anc_follower_lzd_attendant	runesmith
wh2_main_anc_follower_lzd_attendant	spy
wh2_main_anc_follower_lzd_attendant	wizard
wh2_main_anc_follower_lzd_cleaner	champion
wh2_main_anc_follower_lzd_cleaner	general
wh2_main_anc_follower_lzd_cleaner	runesmith
wh2_main_anc_follower_lzd_cleaner	spy
wh2_main_anc_follower_lzd_cleaner	wizard
wh2_main_anc_follower_lzd_clerk	champion
wh2_main_anc_follower_lzd_clerk	general
wh2_main_anc_follower_lzd_defence_expert	general
wh2_main_anc_follower_lzd_fan_waver	general
wh2_main_anc_follower_lzd_gardener	general
wh2_main_anc_follower_lzd_librarian	runesmith
wh2_main_anc_follower_lzd_metallurgist	runesmith
wh2_main_anc_follower_lzd_metallurgist	wizard
wh2_main_anc_follower_lzd_sacrificial_victim_human	general
wh2_main_anc_follower_lzd_sacrificial_victim_human	runesmith
wh2_main_anc_follower_lzd_sacrificial_victim_human	spy
wh2_main_anc_follower_lzd_sacrificial_victim_human	wizard
wh2_main_anc_follower_lzd_sacrificial_victim_skv	general
wh2_main_anc_follower_lzd_sacrificial_victim_skv	runesmith
wh2_main_anc_follower_lzd_sacrificial_victim_skv	spy
wh2_main_anc_follower_lzd_sacrificial_victim_skv	wizard
wh2_main_anc_follower_lzd_temple_cleaner	runesmith
wh2_main_anc_follower_lzd_temple_cleaner	wizard
wh2_main_anc_follower_lzd_veteran_warrior	champion
wh2_main_anc_follower_lzd_veteran_warrior	general
wh2_main_anc_follower_lzd_zoat	champion
wh2_main_anc_follower_lzd_zoat	general
wh2_main_anc_follower_lzd_zoat	spy
wh2_main_anc_follower_lzd_zoat	wizard
wh2_main_anc_follower_skv_artefact_hunter	general
wh2_main_anc_follower_skv_bodyguard	general
wh2_main_anc_follower_skv_bodyguard	wizard
wh2_main_anc_follower_skv_chemist	general
wh2_main_anc_follower_skv_chemist	wizard
wh2_main_anc_follower_skv_clerk	spy
wh2_main_anc_follower_skv_engineering_student	engineer
wh2_main_anc_follower_skv_female	general
wh2_main_anc_follower_skv_female	wizard
wh2_main_anc_follower_skv_hell_pit_attendant	engineer
wh2_main_anc_follower_skv_hell_pit_attendant	general
wh2_main_anc_follower_skv_mechanic	engineer
wh2_main_anc_follower_skv_messenger	engineer
wh2_main_anc_follower_skv_messenger	general
wh2_main_anc_follower_skv_messenger	spy
wh2_main_anc_follower_skv_messenger	wizard
wh2_main_anc_follower_skv_pet_wolf_rat	engineer
wh2_main_anc_follower_skv_pet_wolf_rat	spy
wh2_main_anc_follower_skv_pet_wolf_rat	wizard
wh2_main_anc_follower_skv_saboteur	spy
wh2_main_anc_follower_skv_sacrificial_victim_dwarf	general
wh2_main_anc_follower_skv_sacrificial_victim_dwarf	wizard
wh2_main_anc_follower_skv_sacrificial_victim_lizardman	general
wh2_main_anc_follower_skv_sacrificial_victim_lizardman	wizard
wh2_main_anc_follower_skv_scavenger_1	engineer
wh2_main_anc_follower_skv_scavenger_1	general
wh2_main_anc_follower_skv_scavenger_1	spy
wh2_main_anc_follower_skv_scavenger_1	wizard
wh2_main_anc_follower_skv_scribe	general
wh2_main_anc_follower_skv_scribe	wizard
wh2_main_anc_follower_skv_slave_human	engineer
wh2_main_anc_follower_skv_slave_human	general
wh2_main_anc_follower_skv_slave_human	wizard
wh2_main_anc_follower_skv_slave_skv	engineer
wh2_main_anc_follower_skv_slave_skv	general
wh2_main_anc_follower_skv_slave_skv	wizard
wh2_main_anc_follower_skv_trainee_assassin	spy
wh2_main_anc_magic_standard_banner_of_ellyrion	general
wh2_main_anc_magic_standard_banner_of_murder	general
wh2_main_anc_magic_standard_banner_of_the_under_empire	general
wh2_main_anc_magic_standard_banner_of_the_world_dragon	general
wh2_main_anc_magic_standard_banner_of_verminous_scurrying	general
wh2_main_anc_magic_standard_battle_banner	general
wh2_main_anc_magic_standard_dread_banner	general
wh2_main_anc_magic_standard_dwarf_hide_banner	general
wh2_main_anc_magic_standard_grand_banner_of_clan_superiority	general
wh2_main_anc_magic_standard_horn_of_isha	general
wh2_main_anc_magic_standard_huanchis_blessed_totem	general
wh2_main_anc_magic_standard_hydra_banner	general
wh2_main_anc_magic_standard_lion_standard	general
wh2_main_anc_magic_standard_sacred_banner_of_the_horned_rat	general
wh2_main_anc_magic_standard_sea_serpent_standard	general
wh2_main_anc_magic_standard_shroud_of_dripping_death	general
wh2_main_anc_magic_standard_skavenpelt_banner	general
wh2_main_anc_magic_standard_standard_of_hag_graef	general
wh2_main_anc_magic_standard_storm_banner	general
wh2_main_anc_magic_standard_sun_standard_of_chotec	general
wh2_main_anc_magic_standard_sunburst_standard_of_hexoatl	general
wh2_main_anc_magic_standard_the_blood_banner	general
wh2_main_anc_magic_standard_the_jaguar_standard	general
wh2_main_anc_magic_standard_totem_of_prophecy	general
wh2_main_anc_mount_def_death_hag_cauldron_of_blood	dignitary
wh2_main_anc_mount_def_dreadlord_black_dragon	general
wh2_main_anc_mount_def_dreadlord_cold_one	general
wh2_main_anc_mount_def_dreadlord_dark_pegasus	general
wh2_main_anc_mount_def_dreadlord_dark_steed	general
wh2_main_anc_mount_def_dreadlord_fem_black_dragon	general
wh2_main_anc_mount_def_dreadlord_fem_cold_one	general
wh2_main_anc_mount_def_dreadlord_fem_dark_pegasus	general
wh2_main_anc_mount_def_dreadlord_fem_dark_steed	general
wh2_main_anc_mount_def_malekith_cold_one_chariot	general
wh2_main_anc_mount_def_malekith_cold_one	general
wh2_main_anc_mount_def_malekith_seraphon	general
wh2_main_anc_mount_def_morathi_sulephet	general
wh2_main_anc_mount_def_sorceress_dark_cold_one	wizard
wh2_main_anc_mount_def_sorceress_dark_dark_pegasus	wizard
wh2_main_anc_mount_def_sorceress_dark_dark_steed	wizard
wh2_main_anc_mount_def_sorceress_fire_cold_one	wizard
wh2_main_anc_mount_def_sorceress_fire_dark_pegasus	wizard
wh2_main_anc_mount_def_sorceress_fire_dark_steed	wizard
wh2_main_anc_mount_def_sorceress_shadow_cold_one	wizard
wh2_main_anc_mount_def_sorceress_shadow_dark_pegasus	wizard
wh2_main_anc_mount_def_sorceress_shadow_dark_steed	wizard
wh2_main_anc_mount_hef_mage_high_elven_steed	wizard
wh2_main_anc_mount_hef_mage_high_ithilmar_chariot	wizard
wh2_main_anc_mount_hef_mage_life_elven_steed	wizard
wh2_main_anc_mount_hef_mage_life_ithilmar_chariot	wizard
wh2_main_anc_mount_hef_mage_light_elven_steed	wizard
wh2_main_anc_mount_hef_mage_light_ithilmar_chariot	wizard
wh2_main_anc_mount_hef_noble_barded_ithilmar_steed	champion
wh2_main_anc_mount_hef_noble_eagle	champion
wh2_main_anc_mount_hef_noble_ithilmar_chariot	champion
wh2_main_anc_mount_hef_prince_barded_ithilmar_steed	general
wh2_main_anc_mount_hef_prince_great_eagle	general
wh2_main_anc_mount_hef_prince_star_dragon	general
wh2_main_anc_mount_hef_prince_sun_dragon	general
wh2_main_anc_mount_hef_tyrion_malhandhir	general
wh2_main_anc_mount_lzd_kroq_gar_cold_one	general
wh2_main_anc_mount_lzd_kroq_gar_grymloq	general
wh2_main_anc_mount_lzd_kroq_gar_horned_one	general
wh2_main_anc_mount_lzd_lord_mazdamundi_zlaaq	general
wh2_main_anc_mount_lzd_saurus_old_blood_carnosaur	general
wh2_main_anc_mount_lzd_saurus_old_blood_cold_one	general
wh2_main_anc_mount_lzd_saurus_scar_veteran_carnosaur	champion
wh2_main_anc_mount_lzd_saurus_scar_veteran_cold_one	champion
wh2_main_anc_mount_lzd_skink_chief_ancient_stegadon	spy
wh2_main_anc_mount_lzd_skink_chief_stegadon	spy
wh2_main_anc_mount_lzd_skink_chief_terradon	spy
wh2_main_anc_mount_lzd_skink_priest_beasts_ancient_stegadon	wizard
wh2_main_anc_mount_lzd_skink_priest_beasts_stegadon	wizard
wh2_main_anc_mount_lzd_skink_priest_beasts_terradon	wizard
wh2_main_anc_mount_lzd_skink_priest_heavens_ancient_stegadon	wizard
wh2_main_anc_mount_lzd_skink_priest_heavens_stegadon	wizard
wh2_main_anc_mount_lzd_skink_priest_heavens_terradon	wizard
wh2_main_anc_mount_skv_grey_seer_plague_screaming_bell	general
wh2_main_anc_mount_skv_grey_seer_ruin_screaming_bell	general
wh2_main_anc_mount_skv_plague_priest_plague_furnace	wizard
wh2_main_anc_mount_skv_warlord_bonebreaker	general
wh2_main_anc_talisman_amulet_of_foresight	general
wh3_dlc23_anc_banner_chd_banner_of_the_khanate	general
wh3_dlc23_anc_banner_chd_eye_of_hashut	general
