child_key	parent_key	child_link_position	parent_link_position	parent_link_position_offset	child_link_position_offset	mid_link_offset
wh3_dlc20_chs_forsaken_kho	wh3_dlc20_chs_marauder_inf_kho	3	4	0.0000	0.0000	0.0000
wh3_dlc20_chs_warriors_kho	wh3_dlc20_chs_marauder_inf_kho	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_forsaken_nur	wh3_dlc20_chs_marauder_inf_nur	3	4	0.0000	0.0000	0.0000
wh3_dlc20_chs_warriors_nur	wh3_dlc20_chs_marauder_inf_nur	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_forsaken_sla	wh3_dlc20_chs_marauder_inf_sla	3	4	0.0000	0.0000	0.0000
wh3_dlc20_chs_warriors_sla	wh3_dlc20_chs_marauder_inf_sla	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_forsaken_tze	wh3_dlc20_chs_marauder_inf_tze	3	4	0.0000	0.0000	0.0000
wh3_dlc20_chs_warriors_tze	wh3_dlc20_chs_marauder_inf_tze	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_forsaken_und	wh3_dlc20_chs_marauder_inf_und	3	4	0.0000	0.0000	0.0000
wh3_dlc20_chs_warriors_und	wh3_dlc20_chs_marauder_inf_und	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_trolls_armoured	wh3_dlc20_chs_trolls	3	1	0.0000	0.0000	0.0000
wh3_dlc25_nur_mon_bile_trolls	wh3_dlc20_chs_trolls	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_chosen_kho	wh3_dlc20_chs_warriors_kho	3	1	0.0000	0.0000	50.0000
wh3_dlc20_chs_knights_kho	wh3_dlc20_chs_warriors_kho	4	2	0.0000	0.0000	50.0000
wh3_dlc20_chs_chosen_nur	wh3_dlc20_chs_warriors_nur	3	1	0.0000	0.0000	50.0000
wh3_dlc20_chs_knights_nur	wh3_dlc20_chs_warriors_nur	4	2	0.0000	0.0000	50.0000
wh3_dlc20_chs_chosen_sla	wh3_dlc20_chs_warriors_sla	3	1	0.0000	0.0000	50.0000
wh3_dlc20_chs_knights_sla	wh3_dlc20_chs_warriors_sla	4	2	0.0000	0.0000	50.0000
wh3_dlc20_chs_chosen_tze	wh3_dlc20_chs_warriors_tze	3	1	0.0000	0.0000	50.0000
wh3_dlc20_chs_knights_tze	wh3_dlc20_chs_warriors_tze	4	2	0.0000	0.0000	50.0000
wh3_dlc20_chs_chosen_und	wh3_dlc20_chs_warriors_und	3	1	0.0000	0.0000	50.0000
wh3_dlc20_chs_knights_und	wh3_dlc20_chs_warriors_und	4	2	0.0000	0.0000	50.0000
wh3_main_chs_bloodletters_exalted	wh3_main_chs_bloodletters	3	1	0.0000	0.0000	0.0000
wh3_main_chs_daemonette_exalted	wh3_main_chs_daemonette	3	1	0.0000	0.0000	0.0000
wh3_main_chs_pink_horrors_exalted	wh3_main_chs_pink_horrors	3	1	0.0000	0.0000	0.0000
wh3_main_chs_plaguebearers_exalted	wh3_main_chs_plaguebearers	3	1	0.0000	0.0000	0.0000
