key	base_plague	component_set
wh3_plague_recipe_base_pox	wh3_main_nur_base_Pox	
wh3_plague_recipe_base_rot	wh3_main_nur_base_Rot	
wh3_plague_recipe_base_shakes	wh3_main_nur_base_Shakes	
wh3_plague_recipe_buboes_1	wh3_main_nur_base_Buboes	ai_set_buboes_1
wh3_plague_recipe_buboes_2	wh3_main_nur_base_Buboes	ai_set_buboes_2
wh3_plague_recipe_buboes_3	wh3_main_nur_base_Buboes	ai_set_buboes_3
wh3_plague_recipe_buboes_4	wh3_main_nur_base_Buboes	ai_set_buboes_4
wh3_plague_recipe_buboes_5	wh3_main_nur_base_Buboes	ai_set_buboes_5
wh3_plague_recipe_pox_1	wh3_main_nur_base_Pox	ai_set_pox_1
wh3_plague_recipe_pox_2	wh3_main_nur_base_Pox	ai_set_pox_2
wh3_plague_recipe_pox_3	wh3_main_nur_base_Pox	ai_set_pox_3
wh3_plague_recipe_pox_4	wh3_main_nur_base_Pox	ai_set_pox_4
wh3_plague_recipe_pox_5	wh3_main_nur_base_Pox	ai_set_pox_5
wh3_plague_recipe_rot_1	wh3_main_nur_base_Rot	ai_set_rot_1
wh3_plague_recipe_rot_2	wh3_main_nur_base_Rot	ai_set_rot_2
wh3_plague_recipe_rot_3	wh3_main_nur_base_Rot	ai_set_rot_3
wh3_plague_recipe_rot_4	wh3_main_nur_base_Rot	ai_set_rot_4
wh3_plague_recipe_rot_5	wh3_main_nur_base_Rot	ai_set_rot_5
wh3_plague_recipe_shakes_1	wh3_main_nur_base_Shakes	ai_set_shakes_1
wh3_plague_recipe_shakes_2	wh3_main_nur_base_Shakes	ai_set_shakes_2
wh3_plague_recipe_shakes_3	wh3_main_nur_base_Shakes	ai_set_shakes_3
wh3_plague_recipe_shakes_4	wh3_main_nur_base_Shakes	ai_set_shakes_4
wh3_plague_recipe_shakes_5	wh3_main_nur_base_Shakes	ai_set_shakes_5
