item	set	initially_locked
wh3_dlc20_character_initiative_chs_daemon_prince_nur_03	wh3_dlc20_character_initiative_set_boons_daemon_prince_nurgle	true
wh3_dlc20_character_initiative_chs_daemon_prince_nur_04	wh3_dlc20_character_initiative_set_boons_daemon_prince_nurgle	true
wh3_dlc20_character_initiative_chs_daemon_prince_nur_05	wh3_dlc20_character_initiative_set_boons_daemon_prince_nurgle	true
wh3_dlc20_character_initiative_chs_daemon_prince_nur_06	wh3_dlc20_character_initiative_set_boons_daemon_prince_nurgle	true
wh3_dlc20_character_initiative_chs_daemon_prince_nur_07	wh3_dlc20_character_initiative_set_boons_daemon_prince_nurgle	true
wh3_dlc20_character_initiative_chs_daemon_prince_nur_08	wh3_dlc20_character_initiative_set_boons_daemon_prince_nurgle	true
wh3_dlc20_character_initiative_chs_daemon_prince_nur_09	wh3_dlc20_character_initiative_set_boons_daemon_prince_nurgle	true
wh3_dlc20_character_initiative_chs_daemon_prince_sla_01	wh3_dlc20_character_initiative_set_boons_daemon_prince_slaanesh	true
wh3_dlc20_character_initiative_chs_daemon_prince_sla_02	wh3_dlc20_character_initiative_set_boons_daemon_prince_slaanesh	true
wh3_dlc20_character_initiative_chs_daemon_prince_sla_03	wh3_dlc20_character_initiative_set_boons_daemon_prince_slaanesh	true
wh3_dlc20_character_initiative_chs_daemon_prince_sla_04	wh3_dlc20_character_initiative_set_boons_daemon_prince_slaanesh	true
wh3_dlc20_character_initiative_chs_daemon_prince_sla_05	wh3_dlc20_character_initiative_set_boons_daemon_prince_slaanesh	true
wh3_dlc20_character_initiative_chs_daemon_prince_sla_06	wh3_dlc20_character_initiative_set_boons_daemon_prince_slaanesh	true
wh3_dlc20_character_initiative_chs_daemon_prince_sla_07	wh3_dlc20_character_initiative_set_boons_daemon_prince_slaanesh	true
wh3_dlc20_character_initiative_chs_daemon_prince_sla_08	wh3_dlc20_character_initiative_set_boons_daemon_prince_slaanesh	true
wh3_dlc20_character_initiative_chs_daemon_prince_sla_09	wh3_dlc20_character_initiative_set_boons_daemon_prince_slaanesh	true
wh3_dlc20_character_initiative_chs_daemon_prince_tze_01	wh3_dlc20_character_initiative_set_boons_daemon_prince_tzeentch	true
wh3_dlc20_character_initiative_chs_daemon_prince_tze_02	wh3_dlc20_character_initiative_set_boons_daemon_prince_tzeentch	true
wh3_dlc20_character_initiative_chs_daemon_prince_tze_03	wh3_dlc20_character_initiative_set_boons_daemon_prince_tzeentch	true
wh3_dlc20_character_initiative_chs_daemon_prince_tze_04	wh3_dlc20_character_initiative_set_boons_daemon_prince_tzeentch	true
wh3_dlc20_character_initiative_chs_daemon_prince_tze_05	wh3_dlc20_character_initiative_set_boons_daemon_prince_tzeentch	true
wh3_dlc20_character_initiative_chs_daemon_prince_tze_06	wh3_dlc20_character_initiative_set_boons_daemon_prince_tzeentch	true
wh3_dlc20_character_initiative_chs_daemon_prince_tze_07	wh3_dlc20_character_initiative_set_boons_daemon_prince_tzeentch	true
wh3_dlc20_character_initiative_chs_daemon_prince_tze_08	wh3_dlc20_character_initiative_set_boons_daemon_prince_tzeentch	true
wh3_dlc20_character_initiative_chs_daemon_prince_tze_09	wh3_dlc20_character_initiative_set_boons_daemon_prince_tzeentch	true
wh3_dlc20_character_initiative_chs_daemon_prince_und_01	wh3_dlc20_character_initiative_set_boons_daemon_prince_undivided	true
wh3_dlc20_character_initiative_chs_daemon_prince_und_02	wh3_dlc20_character_initiative_set_boons_daemon_prince_undivided	true
wh3_dlc20_character_initiative_chs_daemon_prince_und_03	wh3_dlc20_character_initiative_set_boons_daemon_prince_undivided	true
wh3_dlc20_character_initiative_chs_daemon_prince_und_04	wh3_dlc20_character_initiative_set_boons_daemon_prince_undivided	true
wh3_dlc20_character_initiative_chs_daemon_prince_und_05	wh3_dlc20_character_initiative_set_boons_daemon_prince_undivided	true
wh3_dlc20_character_initiative_chs_daemon_prince_und_06	wh3_dlc20_character_initiative_set_boons_daemon_prince_undivided	true
wh3_dlc20_character_initiative_chs_daemon_prince_und_07	wh3_dlc20_character_initiative_set_boons_daemon_prince_undivided	true
wh3_dlc20_character_initiative_chs_daemon_prince_und_08	wh3_dlc20_character_initiative_set_boons_daemon_prince_undivided	true
wh3_dlc20_character_initiative_chs_daemon_prince_und_09	wh3_dlc20_character_initiative_set_boons_daemon_prince_undivided	true
wh3_dlc20_character_initiative_chs_exalted_hero_kho_01	wh3_dlc20_character_initiative_set_boons_exalted_hero_khorne	true
wh3_dlc20_character_initiative_chs_exalted_hero_kho_02	wh3_dlc20_character_initiative_set_boons_exalted_hero_khorne	true
wh3_dlc20_character_initiative_chs_exalted_hero_kho_03	wh3_dlc20_character_initiative_set_boons_exalted_hero_khorne	true
wh3_dlc20_character_initiative_chs_exalted_hero_kho_04	wh3_dlc20_character_initiative_set_boons_exalted_hero_khorne	true
wh3_dlc20_character_initiative_chs_exalted_hero_kho_05	wh3_dlc20_character_initiative_set_boons_exalted_hero_khorne	true
wh3_dlc20_character_initiative_chs_exalted_hero_kho_06	wh3_dlc20_character_initiative_set_boons_exalted_hero_khorne	true
wh3_dlc20_character_initiative_chs_exalted_hero_kho_07	wh3_dlc20_character_initiative_set_boons_exalted_hero_khorne	true
wh3_dlc20_character_initiative_chs_exalted_hero_kho_08	wh3_dlc20_character_initiative_set_boons_exalted_hero_khorne	true
wh3_dlc20_character_initiative_chs_exalted_hero_kho_09	wh3_dlc20_character_initiative_set_boons_exalted_hero_khorne	true
wh3_dlc20_character_initiative_chs_exalted_hero_kho_10	wh3_dlc20_character_initiative_set_boons_exalted_hero_khorne	true
wh3_dlc20_character_initiative_chs_exalted_hero_nur_01	wh3_dlc20_character_initiative_set_boons_exalted_hero_nurgle	true
wh3_dlc20_character_initiative_chs_exalted_hero_nur_02	wh3_dlc20_character_initiative_set_boons_exalted_hero_nurgle	true
wh3_dlc20_character_initiative_chs_exalted_hero_nur_03	wh3_dlc20_character_initiative_set_boons_exalted_hero_nurgle	true
wh3_dlc20_character_initiative_chs_exalted_hero_nur_04	wh3_dlc20_character_initiative_set_boons_exalted_hero_nurgle	true
wh3_dlc20_character_initiative_chs_exalted_hero_nur_05	wh3_dlc20_character_initiative_set_boons_exalted_hero_nurgle	true
wh3_dlc20_character_initiative_chs_exalted_hero_nur_06	wh3_dlc20_character_initiative_set_boons_exalted_hero_nurgle	true
wh3_dlc20_character_initiative_chs_exalted_hero_nur_07	wh3_dlc20_character_initiative_set_boons_exalted_hero_nurgle	true
wh3_dlc20_character_initiative_chs_exalted_hero_nur_08	wh3_dlc20_character_initiative_set_boons_exalted_hero_nurgle	true
wh3_dlc20_character_initiative_chs_exalted_hero_nur_09	wh3_dlc20_character_initiative_set_boons_exalted_hero_nurgle	true
wh3_dlc20_character_initiative_chs_exalted_hero_nur_10	wh3_dlc20_character_initiative_set_boons_exalted_hero_nurgle	true
wh3_dlc20_character_initiative_chs_exalted_hero_und_01	wh3_dlc20_character_initiative_set_boons_exalted_hero_undivided	true
wh3_dlc20_character_initiative_chs_exalted_hero_und_02	wh3_dlc20_character_initiative_set_boons_exalted_hero_undivided	true
wh3_dlc20_character_initiative_chs_exalted_hero_und_03	wh3_dlc20_character_initiative_set_boons_exalted_hero_undivided	true
wh3_dlc20_character_initiative_chs_exalted_hero_und_04	wh3_dlc20_character_initiative_set_boons_exalted_hero_undivided	true
wh3_dlc20_character_initiative_chs_exalted_hero_und_05	wh3_dlc20_character_initiative_set_boons_exalted_hero_undivided	true
wh3_dlc20_character_initiative_chs_exalted_hero_und_06	wh3_dlc20_character_initiative_set_boons_exalted_hero_undivided	true
wh3_dlc20_character_initiative_chs_exalted_hero_und_07	wh3_dlc20_character_initiative_set_boons_exalted_hero_undivided	true
wh3_dlc20_character_initiative_chs_exalted_hero_und_08	wh3_dlc20_character_initiative_set_boons_exalted_hero_undivided	true
wh3_dlc20_character_initiative_chs_exalted_hero_und_09	wh3_dlc20_character_initiative_set_boons_exalted_hero_undivided	true
wh3_dlc27_character_initiative_devote_exalted_hero_to_slaanesh	wh3_dlc20_character_initiative_set_exalted_hero_upgrades_azazel	true
wh3_dlc20_character_initiative_devote_exalted_hero_to_nurgle	wh3_dlc20_character_initiative_set_exalted_hero_upgrades_festus	true
wh3_dlc20_character_initiative_devote_exalted_hero_to_nurgle	wh3_dlc20_character_initiative_set_exalted_hero_upgrades_glottkin	true
wh3_dlc20_character_initiative_devote_exalted_hero_to_khorne	wh3_dlc20_character_initiative_set_exalted_hero_upgrades_valkia	true
wh3_dlc24_character_initiative_devote_exalted_hero_to_tzeentch	wh3_dlc20_character_initiative_set_exalted_hero_upgrades_vilitch	true
wh3_dlc20_character_initiative_devote_exalted_hero_to_khorne	wh3_dlc20_character_initiative_set_exalted_hero_upgrades_warriors	true
wh3_dlc20_character_initiative_devote_exalted_hero_to_nurgle	wh3_dlc20_character_initiative_set_exalted_hero_upgrades_warriors	true
wh3_dlc24_character_initiative_devote_exalted_hero_to_tzeentch	wh3_dlc20_character_initiative_set_exalted_hero_upgrades_warriors	true
wh3_dlc27_character_initiative_devote_exalted_hero_to_slaanesh	wh3_dlc20_character_initiative_set_exalted_hero_upgrades_warriors	true
wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_khorne	wh3_dlc20_character_initiative_set_lord_mko_upgrades	true
wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_slaanesh	wh3_dlc20_character_initiative_set_lord_msla_upgrades	true
wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_slaanesh_from_und	wh3_dlc20_character_initiative_set_lord_upgrades_azazel	true
wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_undivided	wh3_dlc20_character_initiative_set_lord_upgrades_azazel	true
wh3_dlc20_character_initiative_devote_lord_to_slaanesh	wh3_dlc20_character_initiative_set_lord_upgrades_azazel	true
wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_undivided	wh3_dlc20_character_initiative_set_lord_upgrades_festus	true
wh3_dlc20_character_initiative_devote_lord_to_nurgle	wh3_dlc20_character_initiative_set_lord_upgrades_festus	true
wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_undivided	wh3_dlc20_character_initiative_set_lord_upgrades_glottkin	true
wh3_dlc20_character_initiative_devote_lord_to_nurgle	wh3_dlc20_character_initiative_set_lord_upgrades_glottkin	true
wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_undivided	wh3_dlc20_character_initiative_set_lord_upgrades_valkia	true
wh3_dlc20_character_initiative_devote_lord_to_khorne	wh3_dlc20_character_initiative_set_lord_upgrades_valkia	true
wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_tzeentch_from_und	wh3_dlc20_character_initiative_set_lord_upgrades_vilitch	true
wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_undivided	wh3_dlc20_character_initiative_set_lord_upgrades_vilitch	true
wh3_dlc24_character_initiative_devote_lord_to_tzeentch	wh3_dlc20_character_initiative_set_lord_upgrades_vilitch	true
wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_undivided	wh3_dlc20_character_initiative_set_lord_upgrades_warriors	true
wh3_dlc20_character_initiative_devote_lord_to_khorne	wh3_dlc20_character_initiative_set_lord_upgrades_warriors	true
wh3_dlc20_character_initiative_devote_lord_to_nurgle	wh3_dlc20_character_initiative_set_lord_upgrades_warriors	true
wh3_dlc20_character_initiative_devote_lord_to_slaanesh	wh3_dlc20_character_initiative_set_lord_upgrades_warriors	true
wh3_dlc24_character_initiative_devote_lord_to_tzeentch	wh3_dlc20_character_initiative_set_lord_upgrades_warriors	true
wh3_dlc20_character_initiative_devote_sorceror_to_slaanesh_shadows	wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_warriors	true
wh3_dlc20_character_initiative_devote_sorceror_to_slaanesh_slaanesh	wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_warriors	true
wh3_dlc20_character_initiative_devote_sorceror_to_tzeentch_metal	wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_warriors	true
wh3_dlc20_character_initiative_devote_sorceror_to_tzeentch_tzeentch	wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_warriors	true
wh3_dlc25_character_initiative_devote_sorceror_to_nurgle_death	wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_warriors	true
wh3_dlc25_character_initiative_devote_sorceror_to_nurgle_nurgle	wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_warriors	true
wh3_dlc20_character_initiative_devote_sorceror_to_slaanesh_shadows	wh3_dlc20_character_initiative_set_sorcerer_fire_metal_upgrades_warriors	true
wh3_dlc20_character_initiative_devote_sorceror_to_slaanesh_slaanesh	wh3_dlc20_character_initiative_set_sorcerer_fire_metal_upgrades_warriors	true
