key	effect_bundle	order	icon_path	campaign_vfx_id
wh3_main_edict_ksl_relief_columns	wh3_main_edict_ksl_relief_columns	3	UI/Campaign UI/edicts/wh3_main_edict_ksl_relief_columns.png	
wh3_main_edict_ksl_the_power_of_the_church	wh3_main_edict_ksl_the_power_of_the_church	4	UI/Campaign UI/edicts/wh3_main_edict_ksl_the_power_of_the_church.png	
wh3_main_edict_nur_foster_cults	wh3_main_edict_nur_foster_cults	1	UI/Campaign UI/edicts/wh3_main_edict_nur_foster_cults.png	
wh3_main_edict_nur_plague_gods_greenhouse	wh3_main_edict_nur_plague_gods_greenhouse	4	UI/Campaign UI/edicts/wh3_main_edict_nur_plague_gods_greenhouse.png	
wh3_main_edict_nur_plague_gods_nursery	wh3_main_edict_nur_plague_gods_nursery	3	UI/Campaign UI/edicts/wh3_main_edict_nur_plague_gods_nursery.png	
wh3_main_edict_nur_plague_gods_pasture	wh3_main_edict_nur_plague_gods_pasture	2	UI/Campaign UI/edicts/wh3_main_edict_nur_plague_gods_pasture.png	
wh3_main_edict_ogr_crude_ingenuity	wh3_main_edict_ogr_crude_ingenuity	3	UI/Campaign UI/edicts/wh3_main_edict_ogr_crude_ingenuity.png	
wh3_main_edict_ogr_feasts_for_the_strong	wh3_main_edict_ogr_feasts_for_the_strong	1	UI/Campaign UI/edicts/wh3_main_edict_ogr_feasts_for_the_strong.png	
wh3_main_edict_ogr_might_makes_right	wh3_main_edict_ogr_might_makes_right	2	UI/Campaign UI/edicts/wh3_main_edict_ogr_might_makes_right.png	
wh3_main_edict_sla_cavalcade_of_dark_desires	wh3_main_edict_sla_cavalcade_of_dark_desires	4	UI/Campaign UI/edicts/wh3_main_edict_sla_cavalcade_of_dark_desires.png	
wh3_main_edict_sla_festival_of_drinking_and_delights	wh3_main_edict_sla_festival_of_drinking_and_delights	3	UI/Campaign UI/edicts/wh3_main_edict_sla_festival_of_drinking_and_delights.png	
wh3_main_edict_sla_foster_cults	wh3_main_edict_sla_foster_cults	1	UI/Campaign UI/edicts/wh3_main_edict_sla_foster_cults.png	
wh3_main_edict_sla_revels_of_eternal_pleasure	wh3_main_edict_sla_revels_of_eternal_pleasure	2	UI/Campaign UI/edicts/wh3_main_edict_sla_revels_of_eternal_pleasure.png	
wh3_main_edict_tze_egrimms_contrivance_algorithm	wh3_main_edict_tze_egrimms_contrivance_algorithm	4	UI/Campaign UI/edicts/wh3_main_edict_tze_egrimms_contrivance_algorithm.png	
wh3_main_edict_tze_foster_cults	wh3_main_edict_tze_foster_cults	1	UI/Campaign UI/edicts/wh3_main_edict_tze_foster_cults.png	
wh3_main_edict_tze_mutalith_prism_formulae	wh3_main_edict_tze_mutalith_prism_formulae	2	UI/Campaign UI/edicts/wh3_main_edict_tze_mutalith_prism_formulae.png	
wh3_main_edict_tze_the_architects_theorem	wh3_main_edict_tze_the_architects_theorem	3	UI/Campaign UI/edicts/wh3_main_edict_tze_the_architects_theorem.png	
wh3_main_ie_edict_nor_construction	wh3_main_ie_edict_nor_construction	2	UI/Campaign UI/edicts/wh3_main_ie_edict_nor_construction.png	
wh3_main_ie_edict_nor_corruption	wh3_main_ie_edict_nor_corruption	1	UI/Campaign UI/edicts/wh3_main_ie_edict_nor_corruption.png	
wh3_main_ie_edict_nor_defence	wh3_main_ie_edict_nor_defence	3	UI/Campaign UI/edicts/wh3_main_ie_edict_nor_defence.png	
wh3_main_ie_edict_nor_recruitment	wh3_main_ie_edict_nor_recruitment	4	UI/Campaign UI/edicts/wh3_main_ie_edict_nor_recruitment.png	
wh_main_edict_brt_extensive_patrols	wh_main_edict_brt_extensive_patrols	4	UI/Campaign UI/edicts/wh_main_edict_state_troop_levy.png	
wh_main_edict_brt_levy_tithes	wh_main_edict_brt_levy_tithes	3	UI/Campaign UI/edicts/wh_main_edict_imperial_taxation.png	
wh_main_edict_brt_realm_of_chivalry	wh_main_edict_brt_realm_of_chivalry	2	UI/Campaign UI/edicts/wh_main_edict_masters_of_steel_and_stone.png	
wh_main_edict_brt_the_peasants_duty	wh_main_edict_brt_the_peasants_duty	5	UI/Campaign UI/edicts/wh_main_edict_host_festag.png	
wh_main_edict_brt_venerate_the_lady	wh_main_edict_brt_venerate_the_lady	1	UI/Campaign UI/edicts/wh_main_edict_venerate_the_lady.png	
wh_main_edict_dwf_empower_the_guilds	wh_main_edict_dwf_empower_the_guilds	3	UI/Campaign UI/edicts/wh_main_edict_empower_the_guilds.png	
wh_main_edict_dwf_high_kings_tribute	wh_main_edict_dwf_high_kings_tribute	2	UI/Campaign UI/edicts/wh_main_edict_high_kings_tribute.png	
wh_main_edict_dwf_masters_of_steel_and_stone	wh_main_edict_dwf_masters_of_steel_and_stone	5	UI/Campaign UI/edicts/wh_main_edict_masters_of_steel_and_stone.png	
wh_main_edict_dwf_venerate_the_ancestors	wh_main_edict_dwf_venerate_the_ancestors	1	UI/Campaign UI/edicts/wh_main_edict_venerate_the_ancestors.png	
wh_main_edict_emp_collect_tribute	wh_main_edict_emp_collect_tribute	3	UI/Campaign UI/edicts/wh_main_edict_collect_tribute.png	
wh_main_edict_emp_council_of_burgomeisters	wh_main_edict_emp_council_of_burgomeisters	4	UI/Campaign UI/edicts/wh_main_edict_council_of_burgomeisters.png	
wh_main_edict_emp_foster_independence	wh_main_edict_emp_foster_independence	2	UI/Campaign UI/edicts/wh_main_edict_foster_independence.png	
wh_main_edict_emp_host_festag	wh_main_edict_emp_host_festag	1	UI/Campaign UI/edicts/wh_main_edict_host_festag.png	
wh_main_edict_emp_imperial_taxation	wh_main_edict_emp_imperial_taxation	3	UI/Campaign UI/edicts/wh_main_edict_imperial_taxation.png	
wh_main_edict_emp_levy_conscripts	wh_main_edict_emp_levy_conscripts	5	UI/Campaign UI/edicts/wh_main_edict_levy_conscripts.png	
wh_main_edict_emp_sigmarite_dogma	wh_main_edict_emp_sigmarite_dogma	2	UI/Campaign UI/edicts/wh_main_edict_sigmarite_dogma.png	
wh_main_edict_emp_state_troop_levy	wh_main_edict_emp_state_troop_levy	5	UI/Campaign UI/edicts/wh_main_edict_state_troop_levy.png	
wh_main_edict_emp_stimulate_trade	wh_main_edict_emp_stimulate_trade	4	UI/Campaign UI/edicts/wh_main_edict_stimulate_trade.png	
wh_main_edict_grand_market_charter	wh_main_edict_grand_market_charter	4	UI/Campaign UI/edicts/wh_main_edict_grand_market_charter.png	
wh_main_edict_grn_brag_about_da_boss	wh_main_edict_grn_brag_about_da_boss	3	UI/Campaign UI/edicts/wh_main_edict_brag_about_da_boss.png	
wh_main_edict_grn_camp_ruckus	wh_main_edict_grn_camp_ruckus	1	UI/Campaign UI/edicts/wh_main_edict_camp_ruckus.png	
wh_main_edict_grn_give_it_ere	wh_main_edict_grn_give_it_ere	2	UI/Campaign UI/edicts/wh_main_edict_give_it_ere.png	
wh_main_edict_vmp_evocation_of_nagash	wh_main_edict_vmp_evocation_of_nagash	5	UI/Campaign UI/edicts/wh_main_edict_evocation_of_nagash.png	
wh_main_edict_vmp_foster_terror	wh_main_edict_vmp_foster_terror	2	UI/Campaign UI/edicts/wh_main_edict_foster_terror.png	
wh_main_edict_vmp_harvest_corpses	wh_main_edict_vmp_harvest_corpses	3	UI/Campaign UI/edicts/wh_main_edict_harvest_corpses.png	
wh_main_edict_vmp_repress_mortals	wh_main_edict_vmp_repress_mortals	1	UI/Campaign UI/edicts/wh_main_edict_repress_mortals.png	
