mission_key	weight
wh3_main_grudge_defeat_raiding_army_dae	2
wh3_main_grudge_defeat_raiding_army_ksl	2
wh3_main_grudge_defeat_raiding_army_ogr	2
wh3_main_grudge_defeat_sacking_army_cth	3
wh3_main_grudge_defeat_sacking_army_dae	3
wh3_main_grudge_defeat_sacking_army_ksl	3
wh3_main_grudge_defeat_sacking_army_ogr	3
wh3_main_grudge_legendary_grombrindal	10
wh3_main_grudge_recapture_settlement_cth	3
wh3_main_grudge_recapture_settlement_dae	3
wh3_main_grudge_recapture_settlement_ksl	3
wh3_main_grudge_recapture_settlement_ogr	3
wh_dlc03_grudge_defeat_army_bst	4
wh_dlc03_grudge_defeat_raiding_army_bst	2
wh_dlc03_grudge_defeat_sacking_army_bst	3
wh_dlc05_grudge_defeat_army_wef	4
wh_dlc05_grudge_defeat_raiding_army_wef	2
wh_dlc05_grudge_defeat_sacking_army_wef	3
wh_dlc05_grudge_recapture_settlement_wef	3
wh_dlc06_grudge_belegar_eight_peaks	2
wh_main_grudge_defeat_army_brt	4
wh_main_grudge_defeat_army_chs	4
wh_main_grudge_defeat_army_dwf	4
wh_main_grudge_defeat_army_emp	4
wh_main_grudge_defeat_army_grn	4
wh_main_grudge_defeat_army_vmp	4
wh_main_grudge_defeat_raiding_army_brt	2
wh_main_grudge_defeat_raiding_army_chs	2
wh_main_grudge_defeat_raiding_army_dwf	2
wh_main_grudge_defeat_raiding_army_emp	2
wh_main_grudge_defeat_raiding_army_grn	2
wh_main_grudge_defeat_raiding_army_vmp	2
wh_main_grudge_defeat_sacking_army_brt	3
wh_main_grudge_defeat_sacking_army_chs	3
wh_main_grudge_defeat_sacking_army_dwf	3
wh_main_grudge_defeat_sacking_army_emp	3
wh_main_grudge_defeat_sacking_army_grn	3
wh_main_grudge_defeat_sacking_army_vmp	3
wh_main_grudge_end_rebellion	5
wh_main_grudge_recapture_settlement_brt	3
wh_main_grudge_recapture_settlement_chs	3
wh_main_grudge_recapture_settlement_dwf_01	3
wh_main_grudge_recapture_settlement_dwf_02	3
wh_main_grudge_recapture_settlement_emp	3
wh_main_grudge_recapture_settlement_grn_01	3
wh_main_grudge_recapture_settlement_grn_02	3
wh_main_grudge_recapture_settlement_razed	3
wh_main_grudge_recapture_settlement_vmp	3
wh_main_grudge_the_abominable_puppet_grudge	1
wh_main_grudge_the_beard_lice_grudge	1
wh_main_grudge_the_boilermaker_grudge	1
wh_main_grudge_the_bretonnian_affair_grudge	1
wh_main_grudge_the_bugman_grudge	1
wh_main_grudge_the_dragonback_grudge	1
wh_main_grudge_the_halfling_pudding_grudge	1
wh_main_grudge_the_lost_beard_grudge	1
wh_main_grudge_the_pride_and_powderkeg_grudge	1
wh_main_grudge_the_short-changed_grudge	1
wh_main_prelude_attack_enemy_dwarfs_1	3
wh_main_prelude_capture_pillars_of_grungni_dwarfs_1	2
wh_main_prelude_solve_public_order_dwarfs_1	5
