path_key	technology_key	priority
dlc09_tmb_6th_dynasty	wh2_dlc09_tech_tmb_campaign_bonus_6_3	1
dlc09_tmb_6th_dynasty	wh2_dlc09_tech_tmb_dynasty_6	1
dlc09_tmb_6th_dynasty	wh2_dlc09_tech_tmb_faction_target_6	1
dlc09_tmb_6th_dynasty	wh2_dlc09_tech_tmb_liche_priest_6	1
dlc09_tmb_final_dynasty	wh2_dlc09_tech_tmb_extra_army_1	1
dlc09_tmb_final_dynasty	wh2_dlc09_tech_tmb_extra_army_2	1
dlc09_tmb_final_dynasty	wh2_dlc09_tech_tmb_extra_army_3	1
dlc09_tmb_final_dynasty	wh2_dlc09_tech_tmb_extra_army_4	1
dlc09_tmb_final_dynasty	wh2_dlc09_tech_tmb_extra_army_5	1
dlc09_tmb_final_dynasty	wh2_dlc09_tech_tmb_extra_army_6	1
dlc09_tmb_final_dynasty	wh2_dlc09_tech_tmb_extra_army_7	1
dlc09_tmb_final_dynasty	wh2_dlc09_tech_tmb_legions_of_legend	1
wh3_main_hef_cul_2	wh2_main_tech_hef_5_00	10
wh3_main_hef_cul_2	wh2_main_tech_hef_5_01	10
wh3_main_hef_cul_2	wh2_main_tech_hef_5_02	10
wh3_main_hef_cul_2	wh2_main_tech_hef_5_03	10
wh3_main_hef_cul_2	wh2_main_tech_hef_5_04	10
wh3_main_hef_cul_2	wh2_main_tech_hef_5_05	5
wh3_main_hef_cul_2	wh2_main_tech_hef_5_06	5
wh3_main_hef_cul_2	wh2_main_tech_hef_5_07	5
wh3_main_hef_cul_2	wh2_main_tech_hef_5_08	5
wh3_main_hef_mil_1	wh2_main_tech_hef_0_00	10
wh3_main_hef_mil_1	wh2_main_tech_hef_0_01	10
wh3_main_hef_mil_1	wh2_main_tech_hef_0_02	10
wh3_main_hef_mil_1	wh2_main_tech_hef_0_07	10
wh3_main_hef_mil_1	wh2_main_tech_hef_0_08	10
wh3_main_hef_mil_2	wh2_main_tech_hef_1_00	10
wh3_main_hef_mil_2	wh2_main_tech_hef_1_01	10
wh3_main_hef_mil_2	wh2_main_tech_hef_1_02	10
wh3_main_hef_mil_2	wh2_main_tech_hef_1_03	10
wh3_main_hef_mil_3	wh2_main_tech_hef_2_00	10
wh3_main_hef_mil_3	wh2_main_tech_hef_2_07	10
wh3_main_hef_mil_4	wh2_main_tech_hef_3_00	10
wh3_main_hef_mil_4	wh2_main_tech_hef_3_07	5
wh3_main_hef_mil_4	wh2_main_tech_hef_3_08	5
wh3_main_hef_mil_4	wh2_main_tech_hef_3_09	10
wh3_main_hef_mil_4	wh2_main_tech_hef_3_10	10
wh3_main_vmp_2	wh_main_tech_vmp_binding_01	10
wh3_main_vmp_2	wh_main_tech_vmp_binding_02	10
wh3_main_vmp_2	wh_main_tech_vmp_binding_05	10
wh3_main_vmp_3	wh_main_tech_vmp_blood_01	10
wh3_main_vmp_3	wh_main_tech_vmp_blood_02	10
wh3_main_vmp_3	wh_main_tech_vmp_blood_03	10
wh3_main_vmp_4	wh_main_tech_vmp_bones_01	10
wh3_main_vmp_4	wh_main_tech_vmp_bones_02	10
wh3_main_vmp_4	wh_main_tech_vmp_bones_02a	20
wh3_main_vmp_4	wh_main_tech_vmp_bones_03	10
wh3_main_vmp_4	wh_main_tech_vmp_bones_04	10
wh3_main_vmp_4	wh_main_tech_vmp_bones_05	10
wh3_main_vmp_4	wh_main_tech_vmp_bones_06	10
wh3_main_vmp_4	wh_main_tech_vmp_bones_07	10
