key	display_path	logic_file_override	collision_file_override	logic_file	collision_file
brt_alpha_flag_huge_01	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_flag_huge_01\brt_alpha_flag_huge_01_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_flag_huge_01\brt_alpha_flag_huge_01_tech.cs2.collision
brt_alpha_flag_large_01	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_flag_large_01\brt_alpha_flag_large_01_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_flag_large_01\brt_alpha_flag_large_01_tech.cs2.collision
brt_alpha_flag_large_02	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_flag_large_02\brt_alpha_flag_large_02_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_flag_large_02\brt_alpha_flag_large_02_tech.cs2.collision
brt_alpha_flag_med_01	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_flag_med_01\brt_alpha_flag_med_01_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_flag_med_01\brt_alpha_flag_med_01_tech.cs2.collision
brt_alpha_flag_med_02	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_flag_med_02\brt_alpha_flag_med_02_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_flag_med_02\brt_alpha_flag_med_02_tech.cs2.collision
brt_alpha_flag_small_01	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_flag_small_01\brt_alpha_flag_small_01_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_flag_small_01\brt_alpha_flag_small_01_tech.cs2.collision
brt_alpha_flag_small_02	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_flag_small_02\brt_alpha_flag_small_02_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_flag_small_02\brt_alpha_flag_small_02_tech.cs2.collision
brt_alpha_flag_tall_01	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_flag_tall_01\brt_alpha_flag_tall_01_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_flag_tall_01\brt_alpha_flag_tall_01_tech.cs2.collision
brt_alpha_fluer	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_fluer\brt_alpha_fluer_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_fluer\brt_alpha_fluer_tech.cs2.collision
brt_alpha_railing	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_railing\brt_alpha_railing_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_railing\brt_alpha_railing_tech.cs2.collision
brt_alpha_shield_01	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_shield_01\brt_alpha_shield_01_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_shield_01\brt_alpha_shield_01_tech.cs2.collision
brt_alpha_shield_02	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_shield_02\brt_alpha_shield_02_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_shield_02\brt_alpha_shield_02_tech.cs2.collision
brt_alpha_shield_03	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_shield_03\brt_alpha_shield_03_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_shield_03\brt_alpha_shield_03_tech.cs2.collision
brt_alpha_shield_04	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_shield_04\brt_alpha_shield_04_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_shield_04\brt_alpha_shield_04_tech.cs2.collision
brt_balcony_01	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_balcony_01\brt_balcony_01_tech.cs2.parsed	rigidmodels\buildings\brt_balcony_01\brt_balcony_01_tech.cs2.collision
brt_balcony_02	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_balcony_02\brt_balcony_02_tech.cs2.parsed	rigidmodels\buildings\brt_balcony_02\brt_balcony_02_tech.cs2.collision
brt_balcony_03	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_balcony_03\brt_balcony_03_tech.cs2.parsed	rigidmodels\buildings\brt_balcony_03\brt_balcony_03_tech.cs2.collision
brt_balcony_04	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_balcony_04\brt_balcony_04_tech.cs2.parsed	rigidmodels\buildings\brt_balcony_04\brt_balcony_04_tech.cs2.collision
brt_block_01	buildings/brt/hero_buildings			rigidmodels\buildings\brt_block_01\brt_block_01_tech.cs2.parsed	rigidmodels\buildings\brt_block_01\brt_block_01_tech.cs2.collision
brt_block_02	buildings/brt/hero_buildings			rigidmodels\buildings\brt_block_02\brt_block_02_tech.cs2.parsed	rigidmodels\buildings\brt_block_02\brt_block_02_tech.cs2.collision
brt_blockout_tower_40m	blockout/blockouts_bretonnia			rigidmodels\buildings\brt_blockout_tower_40m\brt_blockout_tower_40m_tech.cs2.parsed	rigidmodels\buildings\brt_blockout_tower_40m\brt_blockout_tower_40m_tech.cs2.collision
brt_blockwall_01	buildings/brt/hero_buildings			rigidmodels\buildings\brt_blockwall_01\brt_blockwall_01_tech.cs2.parsed	rigidmodels\buildings\brt_blockwall_01\brt_blockwall_01_tech.cs2.collision
brt_bolderlrg_01	terrain_props/wh_rocks			rigidmodels\buildings\brt_bolderlrg_01\brt_bolderlrg_01_tech.cs2.parsed	rigidmodels\buildings\brt_bolderlrg_01\brt_bolderlrg_01_tech.cs2.collision
brt_boldermed_01	terrain_props/wh_rocks			rigidmodels\buildings\brt_boldermed_01\brt_boldermed_01_tech.cs2.parsed	rigidmodels\buildings\brt_boldermed_01\brt_boldermed_01_tech.cs2.collision
brt_boldermed_02	terrain_props/wh_rocks			rigidmodels\buildings\brt_boldermed_02\brt_boldermed_02_tech.cs2.parsed	rigidmodels\buildings\brt_boldermed_02\brt_boldermed_02_tech.cs2.collision
brt_boldersml_01	terrain_props/wh_rocks			rigidmodels\buildings\brt_boldersml_01\brt_boldersml_01_tech.cs2.parsed	rigidmodels\buildings\brt_boldersml_01\brt_boldersml_01_tech.cs2.collision
brt_boldersml_02	terrain_props/wh_rocks			rigidmodels\buildings\brt_boldersml_02\brt_boldersml_02_tech.cs2.parsed	rigidmodels\buildings\brt_boldersml_02\brt_boldersml_02_tech.cs2.collision
brt_bridge_01	buildings/brt/hero_buildings			rigidmodels\buildings\brt_bridge_01\brt_bridge_01_tech.cs2.parsed	rigidmodels\buildings\brt_bridge_01\brt_bridge_01_tech.cs2.collision
brt_bridge_02	buildings/brt/hero_buildings			rigidmodels\buildings\brt_bridge_02\brt_bridge_02_tech.cs2.parsed	rigidmodels\buildings\brt_bridge_02\brt_bridge_02_tech.cs2.collision
brt_bridge_03	buildings/brt/hero_buildings			rigidmodels\buildings\brt_bridge_03\brt_bridge_03_tech.cs2.parsed	rigidmodels\buildings\brt_bridge_03\brt_bridge_03_tech.cs2.collision
brt_bridge_32m_01	buildings/brt/bridges			rigidmodels\buildings\brt_bridge_32m_01\brt_bridge_32m_01_tech.cs2.parsed	rigidmodels\buildings\brt_bridge_32m_01\brt_bridge_32m_01_tech.cs2.collision
brt_bridge_edge_01	buildings/brt/bridges			rigidmodels\buildings\brt_bridge_edge_01\brt_bridge_edge_01_tech.cs2.parsed	rigidmodels\buildings\brt_bridge_edge_01\brt_bridge_edge_01_tech.cs2.collision
brt_bridge_edge_02	buildings/brt/bridges			rigidmodels\buildings\brt_bridge_edge_02\brt_bridge_edge_02_tech.cs2.parsed	rigidmodels\buildings\brt_bridge_edge_02\brt_bridge_edge_02_tech.cs2.collision
brt_bridgebay_01	buildings/brt/bridges			rigidmodels\buildings\brt_bridgebay_01\brt_bridgebay_01_tech.cs2.parsed	rigidmodels\buildings\brt_bridgebay_01\brt_bridgebay_01_tech.cs2.collision
brt_bridgebay_02	buildings/brt/hero_buildings			rigidmodels\buildings\brt_bridgebay_02\brt_bridgebay_02_tech.cs2.parsed	rigidmodels\buildings\brt_bridgebay_02\brt_bridgebay_02_tech.cs2.collision
brt_bridgebay_03	buildings/brt/bridges			rigidmodels\buildings\brt_bridgebay_03\brt_bridgebay_03_tech.cs2.parsed	rigidmodels\buildings\brt_bridgebay_03\brt_bridgebay_03_tech.cs2.collision
brt_bridgetower_01	buildings/brt/bridges			rigidmodels\buildings\brt_bridgetower_01\brt_bridgetower_01_tech.cs2.parsed	rigidmodels\buildings\brt_bridgetower_01\brt_bridgetower_01_tech.cs2.collision
brt_bridgetower_02	buildings/brt/bridges			rigidmodels\buildings\brt_bridgetower_02\brt_bridgetower_02_tech.cs2.parsed	rigidmodels\buildings\brt_bridgetower_02\brt_bridgetower_02_tech.cs2.collision
brt_cliff_01	terrain_props/wh_cliffs			rigidmodels\buildings\brt_cliff_01\brt_cliff_01_tech.cs2.parsed	rigidmodels\buildings\brt_cliff_01\brt_cliff_01_tech.cs2.collision
brt_cliff_02	terrain_props/wh_rocks			rigidmodels\buildings\brt_cliff_02\brt_cliff_02_tech.cs2.parsed	rigidmodels\buildings\brt_cliff_02\brt_cliff_02_tech.cs2.collision
brt_cliff_03	terrain_props/wh_rocks			rigidmodels\buildings\brt_cliff_03\brt_cliff_03_tech.cs2.parsed	rigidmodels\buildings\brt_cliff_03\brt_cliff_03_tech.cs2.collision
brt_cliff_04	terrain_props/wh_rocks			rigidmodels\buildings\brt_cliff_04\brt_cliff_04_tech.cs2.parsed	rigidmodels\buildings\brt_cliff_04\brt_cliff_04_tech.cs2.collision
brt_crane_01	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_crane_01\brt_crane_01_tech.cs2.parsed	rigidmodels\buildings\brt_crane_01\brt_crane_01_tech.cs2.collision
brt_door_pc_01	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_door_pc_01\brt_door_pc_01_tech.cs2.parsed	rigidmodels\buildings\brt_door_pc_01\brt_door_pc_01_tech.cs2.collision
brt_dormer_01	buildings/brt/hero_buildings			rigidmodels\buildings\brt_dormer_01\brt_dormer_01_tech.cs2.parsed	rigidmodels\buildings\brt_dormer_01\brt_dormer_01_tech.cs2.collision
brt_dormer_02	buildings/brt/hero_buildings			rigidmodels\buildings\brt_dormer_02\brt_dormer_02_tech.cs2.parsed	rigidmodels\buildings\brt_dormer_02\brt_dormer_02_tech.cs2.collision
brt_dormer_03	buildings/brt/hero_buildings			rigidmodels\buildings\brt_dormer_03\brt_dormer_03_tech.cs2.parsed	rigidmodels\buildings\brt_dormer_03\brt_dormer_03_tech.cs2.collision
brt_dormer_04	buildings/brt/hero_buildings			rigidmodels\buildings\brt_dormer_04\brt_dormer_04_tech.cs2.parsed	rigidmodels\buildings\brt_dormer_04\brt_dormer_04_tech.cs2.collision
brt_dormer_05	buildings/brt/hero_buildings			rigidmodels\buildings\brt_dormer_05\brt_dormer_05_tech.cs2.parsed	rigidmodels\buildings\brt_dormer_05\brt_dormer_05_tech.cs2.collision
brt_grapevines_01	buildings/brt/rural			rigidmodels\buildings\brt_grapevines_01\brt_grapevines_01_tech.cs2.parsed	rigidmodels\buildings\brt_grapevines_01\brt_grapevines_01_tech.cs2.collision
brt_grapevines_02	buildings/brt/rural			rigidmodels\buildings\brt_grapevines_02\brt_grapevines_02_tech.cs2.parsed	rigidmodels\buildings\brt_grapevines_02\brt_grapevines_02_tech.cs2.collision
brt_grapevines_03	buildings/brt/rural			rigidmodels\buildings\brt_grapevines_03\brt_grapevines_03_tech.cs2.parsed	rigidmodels\buildings\brt_grapevines_03\brt_grapevines_03_tech.cs2.collision
brt_grapevines_04	buildings/brt/rural			rigidmodels\buildings\brt_grapevines_04\brt_grapevines_04_tech.cs2.parsed	rigidmodels\buildings\brt_grapevines_04\brt_grapevines_04_tech.cs2.collision
brt_house_add_01	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_add_01\brt_house_add_01_tech.cs2.parsed	rigidmodels\buildings\brt_house_add_01\brt_house_add_01_tech.cs2.collision
brt_house_add_02	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_add_02\brt_house_add_02_tech.cs2.parsed	rigidmodels\buildings\brt_house_add_02\brt_house_add_02_tech.cs2.collision
brt_house_add_03	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_add_03\brt_house_add_03_tech.cs2.parsed	rigidmodels\buildings\brt_house_add_03\brt_house_add_03_tech.cs2.collision
brt_house_add_04	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_add_04\brt_house_add_04_tech.cs2.parsed	rigidmodels\buildings\brt_house_add_04\brt_house_add_04_tech.cs2.collision
brt_house_add_05	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_add_05\brt_house_add_05_tech.cs2.parsed	rigidmodels\buildings\brt_house_add_05\brt_house_add_05_tech.cs2.collision
brt_house_add_06	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_add_06\brt_house_add_06_tech.cs2.parsed	rigidmodels\buildings\brt_house_add_06\brt_house_add_06_tech.cs2.collision
brt_house_add_07	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_add_07\brt_house_add_07_tech.cs2.parsed	rigidmodels\buildings\brt_house_add_07\brt_house_add_07_tech.cs2.collision
brt_house_add_08	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_add_08\brt_house_add_08_tech.cs2.parsed	rigidmodels\buildings\brt_house_add_08\brt_house_add_08_tech.cs2.collision
brt_house_add_09	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_add_09\brt_house_add_09_tech.cs2.parsed	rigidmodels\buildings\brt_house_add_09\brt_house_add_09_tech.cs2.collision
brt_house_add_10	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_add_10\brt_house_add_10_tech.cs2.parsed	rigidmodels\buildings\brt_house_add_10\brt_house_add_10_tech.cs2.collision
brt_house_add_11	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_add_11\brt_house_add_11_tech.cs2.parsed	rigidmodels\buildings\brt_house_add_11\brt_house_add_11_tech.cs2.collision
brt_house_add_12	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_add_12\brt_house_add_12_tech.cs2.parsed	rigidmodels\buildings\brt_house_add_12\brt_house_add_12_tech.cs2.collision
brt_house_domestic_01	buildings/brt/infield/houses			rigidmodels\buildings\brt_house_domestic_01\brt_house_domestic_01_tech.cs2.parsed	rigidmodels\buildings\brt_house_domestic_01\brt_house_domestic_01_tech.cs2.collision
brt_house_domestic_02	buildings/brt/infield/houses			rigidmodels\buildings\brt_house_domestic_02\brt_house_domestic_02_tech.cs2.parsed	rigidmodels\buildings\brt_house_domestic_02\brt_house_domestic_02_tech.cs2.collision
brt_house_domestic_03	buildings/brt/infield/houses			rigidmodels\buildings\brt_house_domestic_03\brt_house_domestic_03_tech.cs2.parsed	rigidmodels\buildings\brt_house_domestic_03\brt_house_domestic_03_tech.cs2.collision
brt_house_pc_chm_01	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_chm_01\brt_house_pc_chm_01_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_chm_01\brt_house_pc_chm_01_tech.cs2.collision
brt_house_pc_chm_03	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_chm_03\brt_house_pc_chm_03_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_chm_03\brt_house_pc_chm_03_tech.cs2.collision
brt_house_pc_chm_04	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_chm_04\brt_house_pc_chm_04_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_chm_04\brt_house_pc_chm_04_tech.cs2.collision
brt_house_pc_chm_05	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_chm_05\brt_house_pc_chm_05_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_chm_05\brt_house_pc_chm_05_tech.cs2.collision
brt_house_pc_lrg_01	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_lrg_01\brt_house_pc_lrg_01_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_lrg_01\brt_house_pc_lrg_01_tech.cs2.collision
brt_house_pc_lrg_02	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_lrg_02\brt_house_pc_lrg_02_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_lrg_02\brt_house_pc_lrg_02_tech.cs2.collision
brt_house_pc_lrg_03	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_lrg_03\brt_house_pc_lrg_03_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_lrg_03\brt_house_pc_lrg_03_tech.cs2.collision
brt_house_pc_lrg_04	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_lrg_04\brt_house_pc_lrg_04_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_lrg_04\brt_house_pc_lrg_04_tech.cs2.collision
brt_house_pc_med_01	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_med_01\brt_house_pc_med_01_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_med_01\brt_house_pc_med_01_tech.cs2.collision
brt_house_pc_med_02	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_med_02\brt_house_pc_med_02_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_med_02\brt_house_pc_med_02_tech.cs2.collision
brt_house_pc_med_03	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_med_03\brt_house_pc_med_03_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_med_03\brt_house_pc_med_03_tech.cs2.collision
brt_house_pc_med_04	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_med_04\brt_house_pc_med_04_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_med_04\brt_house_pc_med_04_tech.cs2.collision
brt_house_pc_sml_01	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_sml_01\brt_house_pc_sml_01_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_sml_01\brt_house_pc_sml_01_tech.cs2.collision
brt_house_pc_sml_02	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_sml_02\brt_house_pc_sml_02_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_sml_02\brt_house_pc_sml_02_tech.cs2.collision
brt_house_pc_sml_03	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_sml_03\brt_house_pc_sml_03_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_sml_03\brt_house_pc_sml_03_tech.cs2.collision
brt_house_pc_sml_04	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_sml_04\brt_house_pc_sml_04_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_sml_04\brt_house_pc_sml_04_tech.cs2.collision
brt_house_pc_tall_01	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_tall_01\brt_house_pc_tall_01_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_tall_01\brt_house_pc_tall_01_tech.cs2.collision
brt_house_pc_tall_02	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_tall_02\brt_house_pc_tall_02_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_tall_02\brt_house_pc_tall_02_tech.cs2.collision
brt_house_pc_tall_03	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_tall_03\brt_house_pc_tall_03_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_tall_03\brt_house_pc_tall_03_tech.cs2.collision
brt_house_pc_tall_04	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_tall_04\brt_house_pc_tall_04_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_tall_04\brt_house_pc_tall_04_tech.cs2.collision
brt_house_pc_tall_05	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_tall_05\brt_house_pc_tall_05_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_tall_05\brt_house_pc_tall_05_tech.cs2.collision
brt_house_pc_twr_01	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_twr_01\brt_house_pc_twr_01_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_twr_01\brt_house_pc_twr_01_tech.cs2.collision
brt_house_pc_twr_02	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_twr_02\brt_house_pc_twr_02_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_twr_02\brt_house_pc_twr_02_tech.cs2.collision
brt_house_pc_twr_04	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_twr_04\brt_house_pc_twr_04_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_twr_04\brt_house_pc_twr_04_tech.cs2.collision
brt_house_pc_twr_05	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_twr_05\brt_house_pc_twr_05_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_twr_05\brt_house_pc_twr_05_tech.cs2.collision
brt_house_pc_twr_06	buildings/brt/infield/house_pieces			rigidmodels\buildings\brt_house_pc_twr_06\brt_house_pc_twr_06_tech.cs2.parsed	rigidmodels\buildings\brt_house_pc_twr_06\brt_house_pc_twr_06_tech.cs2.collision
brt_house_slum_01	buildings/brt/slum_buildings			rigidmodels\buildings\brt_house_slum_01\brt_house_slum_01_tech.cs2.parsed	rigidmodels\buildings\brt_house_slum_01\brt_house_slum_01_tech.cs2.collision
brt_house_slum_02	buildings/brt/slum_buildings			rigidmodels\buildings\brt_house_slum_02\brt_house_slum_02_tech.cs2.parsed	rigidmodels\buildings\brt_house_slum_02\brt_house_slum_02_tech.cs2.collision
