bonus_value_id	effect	missile_weapon_junction
enable	wh2_dlc15_projectile_replacement_goblin_fire_arrow	1380238715
enable	wh2_dlc15_projectile_replacement_goblin_fire_arrow	1386185072
enable	wh2_dlc15_projectile_replacement_goblin_fire_arrow	161938269
enable	wh2_dlc15_projectile_replacement_goblin_fire_arrow	1658788804
enable	wh2_dlc15_projectile_replacement_goblin_fire_arrow	213452614
enable	wh2_dlc15_projectile_replacement_goblin_multi_shot	1058702443
enable	wh2_dlc15_projectile_replacement_goblin_multi_shot	1105983327
enable	wh2_dlc15_projectile_replacement_goblin_multi_shot	1165451784
enable	wh2_dlc15_projectile_replacement_goblin_multi_shot	1189767756
enable	wh2_dlc15_projectile_replacement_goblin_multi_shot	1954820847
enable	wh2_dlc16_projectile_replacement_orion_anti_large_javelins	238137928
enable	wh2_dlc17_effect_enable_rune_of_burning_bolt_throwers	1664643980
enable	wh2_dlc17_effect_enable_rune_of_seeking_grudge_throwers	826731954
enable	wh2_dlc17_effect_projectile_poison_daemonbane	1082319555
enable	wh2_dlc17_effect_projectile_poison_daemonbane	1098655678
enable	wh2_dlc17_effect_projectile_poison_daemonbane	1639073805
enable	wh2_dlc17_effect_projectile_poison_daemonbane	1794740906
enable	wh2_dlc17_effect_projectile_poison_daemonbane	199768333
enable	wh2_dlc17_effect_projectile_poison_daemonbane	2063365173
enable	wh2_dlc17_effect_projectile_poison_daemonbane	282392703
enable	wh2_dlc17_effect_projectile_poison_daemonbane	351800791
enable	wh2_dlc17_effect_projectile_poison_daemonbane	366874119
enable	wh2_dlc17_effect_projectile_poison_daemonbane	470417001
enable	wh2_dlc17_effect_projectile_poison_daemonbane	754907880
enable	wh2_dlc17_effect_projectile_poison_daemonbane	793263249
enable	wh2_dlc17_effect_projectile_poison_fireblood	155994205
enable	wh2_dlc17_effect_projectile_poison_fireblood	1600652999
enable	wh2_dlc17_effect_projectile_poison_fireblood	1612289384
enable	wh2_dlc17_effect_projectile_poison_fireblood	2075536707
enable	wh2_dlc17_effect_projectile_poison_fireblood	208903600
enable	wh2_dlc17_effect_projectile_poison_fireblood	24950255
enable	wh2_dlc17_effect_projectile_poison_fireblood	355192622
enable	wh2_dlc17_effect_projectile_poison_fireblood	523738972
enable	wh2_dlc17_effect_projectile_poison_fireblood	623481398
enable	wh2_dlc17_effect_projectile_poison_fireblood	733057159
enable	wh2_dlc17_effect_projectile_poison_fireblood	782615703
enable	wh2_dlc17_effect_projectile_poison_fireblood	843823161
enable	wh2_dlc17_effect_projectile_poison_slow_death	1067894246
enable	wh2_dlc17_effect_projectile_poison_slow_death	1327215941
enable	wh2_dlc17_effect_projectile_poison_slow_death	1414076752
enable	wh2_dlc17_effect_projectile_poison_slow_death	1497529358
enable	wh2_dlc17_effect_projectile_poison_slow_death	1595249493
enable	wh2_dlc17_effect_projectile_poison_slow_death	1712826220
enable	wh2_dlc17_effect_projectile_poison_slow_death	1993755337
enable	wh2_dlc17_effect_projectile_poison_slow_death	2029633149
enable	wh2_dlc17_effect_projectile_poison_slow_death	310684639
enable	wh2_dlc17_effect_projectile_poison_slow_death	59621307
enable	wh2_dlc17_effect_projectile_poison_slow_death	95309893
enable	wh2_dlc17_effect_projectile_poison_slow_death	965012505
enable	wh2_dlc17_effect_projectile_poison_toadskin	1004906084
enable	wh2_dlc17_effect_projectile_poison_toadskin	1112100306
enable	wh2_dlc17_effect_projectile_poison_toadskin	1119657043
enable	wh2_dlc17_effect_projectile_poison_toadskin	1282378622
enable	wh2_dlc17_effect_projectile_poison_toadskin	1733239392
enable	wh2_dlc17_effect_projectile_poison_toadskin	1913478050
enable	wh2_dlc17_effect_projectile_poison_toadskin	1925538838
enable	wh2_dlc17_effect_projectile_poison_toadskin	2133552310
enable	wh2_dlc17_effect_projectile_poison_toadskin	270416299
enable	wh2_dlc17_effect_projectile_poison_toadskin	419253227
enable	wh2_dlc17_effect_projectile_poison_toadskin	482728003
enable	wh2_dlc17_effect_projectile_poison_toadskin	667792178
enable	wh2_dlc17_effect_projectile_poison_toadskin	968487044
enable	wh2_dlc17_effect_projectile_poison_toadskin	975522553
enable	wh2_dlc17_effect_projectile_replacement_flaming_dwf	1159668143
enable	wh2_dlc17_effect_projectile_replacement_flaming_dwf	1178913254
enable	wh2_dlc17_effect_projectile_replacement_flaming_dwf	1647096754
enable	wh2_dlc17_effect_projectile_replacement_flaming_dwf	1664643980
enable	wh2_dlc17_effect_projectile_replacement_flaming_dwf	1962318217
enable	wh2_dlc17_effect_projectile_replacement_flaming_dwf	75967998
enable	wh2_dlc17_effect_projectile_replacement_penetrating_dwf	1057021936
enable	wh2_dlc17_effect_projectile_replacement_penetrating_dwf	1262202337
enable	wh2_dlc17_effect_projectile_replacement_penetrating_dwf	1948331745
enable	wh2_dlc17_effect_projectile_replacement_penetrating_dwf	1993502197
enable	wh2_dlc17_effect_projectile_replacement_penetrating_dwf	237821998
enable	wh2_dlc17_effect_projectile_replacement_penetrating_dwf	808291663
enable	wh2_dlc17_effect_projectile_replacement_seeking_dwf	1110372550
enable	wh2_dlc17_effect_projectile_replacement_seeking_dwf	1172731730
enable	wh2_dlc17_effect_projectile_replacement_seeking_dwf	1683317764
enable	wh2_dlc17_effect_projectile_replacement_seeking_dwf	2125442033
enable	wh2_dlc17_effect_projectile_replacement_seeking_dwf	474955032
enable	wh2_dlc17_effect_projectile_replacement_seeking_dwf	826731954
enable	wh2_dlc17_projectile_replacement_free_company_ap_bullet	156410515
enable	wh2_dlc17_projectile_replacement_free_company_ap_bullet	1687654132
enable	wh2_dlc17_projectile_replacement_master_engineer_grudge_raker	1651483008
enable	wh2_dlc17_projectile_replacement_master_engineer_grudge_raker	324625231
enable	wh2_dlc17_projectile_replacement_master_engineer_sharpshooter	289870553
enable	wh2_dlc17_projectile_replacement_master_engineer_sharpshooter	977854648
enable	wh2_dlc17_projectile_replacement_norsca_anti_large_javelin	1856283704
enable	wh2_dlc17_projectile_replacement_norsca_anti_large_javelin	542009814
enable	wh2_dlc17_projectile_replacement_norsca_anti_large_javelin	685791568
enable	wh2_dlc17_projectile_replacement_norsca_anti_large_javelin	806219079
enable	wh2_twa03_effect_suppressed_scourgerunners_bolt_throwers	1892523868
enable	wh2_twa03_effect_suppressed_scourgerunners_bolt_throwers	1971218159
enable	wh2_twa03_effect_suppressed_scourgerunners_bolt_throwers	872549507
enable	wh3_dlc23_effect_character_ammunition_type_castellan_explosive	1496402581
enable	wh3_dlc23_effect_character_stat_mod_bonus_v_large	1358052329
enable	wh3_dlc23_effect_character_stat_mod_bonus_v_large	646156771
enable	wh3_dlc23_effect_force_ammunition_type_double_shot_chd_warrior_blunderbuss	1672353955
enable	wh3_dlc24_effect_ammunition_type_ksl_horse_archers_anti_infantry_arrow	577722391
enable	wh3_dlc24_effect_character_ammunition_type_blue_scribe_explosive	576415301
enable	wh3_dlc24_projectile_replacement_sky_lantern_mount_debuff_bullet	1466802731
enable	wh3_main_effect_character_ammunition_type_necrotic_missiles	301849608
