payload	unit_list	capacity
wh3_dlc29_ritual_nag_unit_capacity_khemrian_warsphinx	wh2_dlc09_tmb_veh_khemrian_warsphinx_0	1
wh3_dlc29_ritual_nag_unit_capacity_khemric_titan	wh3_dlc29_tmb_mon_khemric_titan	1
wh3_dlc29_ritual_nag_unit_capacity_lahmian_handmaiden	wh3_unit_cap_vmp_inf_lahmian_handmaidens	1
wh3_dlc29_ritual_nag_unit_capacity_magic_artillery	wh3_dlc29_tmb_magical_artillery	1
wh3_dlc29_ritual_nag_unit_capacity_magic_chariots	wh3_dlc29_vmp_magical_chariots	1
wh3_dlc29_ritual_nag_unit_capacity_morghasts	wh3_dlc29_vmp_mon_morghast	1
wh3_dlc29_ritual_nag_unit_capacity_necrofex_colossus	wh2_dlc11_cst_mon_necrofex_colossus_0	1
wh3_dlc29_ritual_nag_unit_capacity_necropolis_knights	wh2_dlc09_tmb_cav_necropolis_knights	1
wh3_dlc29_ritual_nag_unit_capacity_necrosphinx	wh2_dlc09_tmb_mon_necrosphinx_0	1
wh3_dlc29_ritual_nag_unit_capacity_nehekharan_warrior	wh2_dlc09_tmb_inf_nehekhara_warriors_0	1
wh3_dlc29_ritual_nag_unit_capacity_polearm_inf	wh3_dlc29_nag_polearm_infantry	1
wh3_dlc29_ritual_nag_unit_capacity_rotting_leviathan	wh2_dlc11_cst_mon_rotting_leviathan_0	1
wh3_dlc29_ritual_nag_unit_capacity_rotting_prometheans	wh2_dlc11_cst_mon_rotting_prometheans	1
wh3_dlc29_ritual_nag_unit_capacity_sepulchral_stalkers	wh2_dlc09_tmb_mon_sepulchral_stalkers_0	1
wh3_dlc29_ritual_nag_unit_capacity_skeleton_chariots	wh3_dlc29_tmb_skeleton_chariots	1
wh3_dlc29_ritual_nag_unit_capacity_skeleton_horsemen	wh2_dlc09_tmb_cav_skeleton_horsemen	1
wh3_dlc29_ritual_nag_unit_capacity_spirit_host	wh3_dlc29_vmp_inf_spirit_host	1
wh3_dlc29_ritual_nag_unit_capacity_terrorgheist	wh_main_vmp_mon_terrorgheist	1
wh3_dlc29_ritual_nag_unit_capacity_tomb_guard	wh2_dlc09_tmb_inf_tomb_guard	1
wh3_dlc29_ritual_nag_unit_capacity_tomb_scorpian	wh2_dlc09_tmb_mon_tomb_scorpion_0	1
wh3_dlc29_ritual_nag_unit_capacity_undead_monstrosities	wh3_dlc29_nag_undead_monstrosities	1
wh3_dlc29_ritual_nag_unit_capacity_ushabti	wh2_dlc09_tmb_mon_ushabti	1
wh3_dlc29_ritual_nag_unit_capacity_vargheists	wh_main_vmp_mon_vargheists	1
wh3_dlc29_ritual_nag_unit_capacity_varghulf	wh_main_vmp_mon_varghulf	1
wh3_dlc29_ritual_nag_unit_capacity_zombie_dragon	wh3_dlc29_vmp_mon_zombie_dragon	1
