displayed_trait	displayed_trait_set
wh3_cai_displayed_trait_ruin_dweller	wh3_personality_displayed_trait_set_skaven_minor
wh3_cai_displayed_trait_spineless	wh3_personality_displayed_trait_set_skaven_minor
wh3_cai_displayed_trait_subterranean_empire	wh3_personality_displayed_trait_set_skaven_minor
wh3_cai_displayed_trait_corruptor	wh3_personality_displayed_trait_set_slaanesh_minor
wh3_cai_displayed_trait_raider	wh3_personality_displayed_trait_set_slaanesh_minor
wh3_cai_displayed_trait_seducer	wh3_personality_displayed_trait_set_slaanesh_minor
wh3_cai_displayed_trait_champion_of_great_game	wh3_personality_displayed_trait_set_slaanesh_nkari
wh3_cai_displayed_trait_corruptor	wh3_personality_displayed_trait_set_slaanesh_nkari
wh3_cai_displayed_trait_exploiter_of_decadence	wh3_personality_displayed_trait_set_slaanesh_nkari
wh3_cai_displayed_trait_seducer	wh3_personality_displayed_trait_set_slaanesh_nkari
wh3_cai_displayed_trait_protective	wh3_personality_displayed_trait_set_teb
wh3_cai_displayed_trait_aggressive	wh3_personality_displayed_trait_set_tombking_arkhan
wh3_cai_displayed_trait_desert_dweller	wh3_personality_displayed_trait_set_tombking_arkhan
wh3_cai_displayed_trait_resource_hoarder	wh3_personality_displayed_trait_set_tombking_arkhan
wh3_cai_displayed_trait_respects_strength	wh3_personality_displayed_trait_set_tombking_arkhan
wh3_cai_displayed_trait_tombking_endgame	wh3_personality_displayed_trait_set_tombking_endgame
wh3_cai_displayed_trait_desert_dweller	wh3_personality_displayed_trait_set_tombking_minor
wh3_cai_displayed_trait_resource_hoarder	wh3_personality_displayed_trait_set_tombking_minor
wh3_cai_displayed_trait_respects_strength	wh3_personality_displayed_trait_set_tombking_minor
wh3_cai_displayed_trait_aggressive	wh3_personality_displayed_trait_set_tombking_settra
wh3_cai_displayed_trait_desert_dweller	wh3_personality_displayed_trait_set_tombking_settra
wh3_cai_displayed_trait_resource_hoarder	wh3_personality_displayed_trait_set_tombking_settra
wh3_cai_displayed_trait_respects_strength	wh3_personality_displayed_trait_set_tombking_settra
wh3_cai_displayed_trait_champion_of_great_game	wh3_personality_displayed_trait_set_tzeentch_kairos
wh3_cai_displayed_trait_changer_of_ways	wh3_personality_displayed_trait_set_tzeentch_kairos
wh3_cai_displayed_trait_corruptor	wh3_personality_displayed_trait_set_tzeentch_kairos
wh3_cai_displayed_trait_warbringer	wh3_personality_displayed_trait_set_tzeentch_kairos
wh3_cai_displayed_trait_corruptor	wh3_personality_displayed_trait_set_tzeentch_minor
wh3_cai_displayed_trait_sorcerer	wh3_personality_displayed_trait_set_tzeentch_minor
wh3_cai_displayed_trait_warbringer	wh3_personality_displayed_trait_set_tzeentch_minor
wh3_cai_displayed_trait_vampire_endgame	wh3_personality_displayed_trait_set_vampire_endgame
wh3_cai_displayed_trait_corruptor	wh3_personality_displayed_trait_set_vampire_minor
wh3_cai_displayed_trait_protective	wh3_personality_displayed_trait_set_vampire_minor
wh3_cai_displayed_trait_subjugator	wh3_personality_displayed_trait_set_vampire_minor
wh3_cai_displayed_trait_naval_aggressor	wh3_personality_displayed_trait_set_vampirecoast_minor
wh3_cai_displayed_trait_pirate	wh3_personality_displayed_trait_set_vampirecoast_minor
wh3_cai_displayed_trait_raider	wh3_personality_displayed_trait_set_vampirecoast_minor
wh3_cai_displayed_trait_aggressive	wh3_personality_displayed_trait_set_woodelf_drycha
wh3_cai_displayed_trait_forest_dweller	wh3_personality_displayed_trait_set_woodelf_drycha
wh3_cai_displayed_trait_malevolent	wh3_personality_displayed_trait_set_woodelf_drycha
wh3_cai_displayed_trait_woodelf_endgame	wh3_personality_displayed_trait_set_woodelf_endgame
wh3_cai_displayed_trait_forest_dweller	wh3_personality_displayed_trait_set_woodelf_minor
wh3_cai_displayed_trait_isolationist	wh3_personality_displayed_trait_set_woodelf_minor
wh3_cai_displayed_trait_forest_dweller	wh3_personality_displayed_trait_set_woodelf_orion
wh3_cai_displayed_trait_seasonal	wh3_personality_displayed_trait_set_woodelf_orion
