faction	ownership_content_pack
wh2_dlc17_dwf_thorek_ironbrow	wh2_dlc17_thorek_free
wh2_dlc17_lzd_oxyotl	wh2_dlc17_silence
wh2_main_brt_knights_of_origo	wh1_bretonnia_free
wh2_main_brt_knights_of_the_flame	wh1_bretonnia_free
wh2_main_brt_thegans_crusaders	wh1_bretonnia_free
wh2_main_bst_blooded_axe	wh1_beastmen
wh2_main_bst_manblight	wh1_beastmen
wh2_main_bst_ripper_horn	wh1_beastmen
wh2_main_bst_shadowgor	wh1_beastmen
wh2_main_bst_skrinderkin	wh1_beastmen
wh2_main_bst_stone_horn	wh1_beastmen
wh2_main_def_bleak_holds	wh2_base_game
wh2_main_def_blood_hall_coven	wh2_base_game
wh2_main_def_clar_karond	wh2_base_game
wh2_main_def_cult_of_excess	wh2_base_game
wh2_main_def_cult_of_pleasure	wh2_base_game
wh2_main_def_dark_elves	wh2_base_game
wh2_main_def_deadwood_sentinels	wh2_base_game
wh2_main_def_drackla_coven	wh2_base_game
wh2_main_def_ghrond	wh2_base_game
wh2_main_def_hag_graef	wh2_dlc14_shadow
wh2_main_def_har_ganeth	wh2_dlc10_queen_crone
wh2_main_def_karond_kar	wh2_base_game
wh2_main_def_naggarond	wh2_base_game
wh2_main_def_scourge_of_khaine	wh2_base_game
wh2_main_def_ssildra_tor	wh2_base_game
wh2_main_def_the_forgebound	wh2_base_game
wh2_main_dwf_greybeards_prospectors	wh1_base_game
wh2_main_dwf_karak_zorn	wh1_base_game
wh2_main_dwf_spine_of_sotek_dwarfs	wh1_base_game
wh2_main_emp_new_world_colonies	wh1_base_game
wh2_main_grn_arachnos	wh1_base_game
wh2_main_grn_blue_vipers	wh1_base_game
wh2_main_hef_avelorn	wh2_dlc10_queen_crone
wh2_main_hef_caledor	wh2_base_game
wh2_main_hef_chrace	wh2_base_game
wh2_main_hef_citadel_of_dusk	wh2_base_game
wh2_main_hef_cothique	wh2_base_game
wh2_main_hef_eataine	wh2_base_game
wh2_main_hef_ellyrion	wh2_base_game
wh2_main_hef_fortress_of_dawn	wh2_base_game
wh2_main_hef_high_elves	wh2_base_game
wh2_main_hef_nagarythe	wh2_dlc10_alith_anar_free
wh2_main_hef_order_of_loremasters	wh2_base_game
wh2_main_hef_saphery	wh2_base_game
wh2_main_hef_tiranoc	wh2_base_game
wh2_main_hef_tor_elasor	wh2_base_game
wh2_main_hef_yvresse	wh2_dlc15_warden
wh2_main_lzd_hexoatl	wh2_base_game
wh2_main_lzd_itza	wh2_dlc13_gor_rok_free
wh2_main_lzd_last_defenders	wh2_base_game
wh2_main_lzd_lizardmen	wh2_base_game
wh2_main_lzd_sentinels_of_xeti	wh2_base_game
wh2_main_lzd_southern_sentinels	wh2_base_game
wh2_main_lzd_teotiqua	wh2_base_game
wh2_main_lzd_tlaqua	wh2_dlc12_tiktaqto_free
wh2_main_lzd_tlaxtlan	wh2_base_game
wh2_main_lzd_xlanhuapec	wh2_base_game
wh2_main_lzd_zlatan	wh2_base_game
wh2_main_nor_aghol	wh1_norsca
wh2_main_nor_mung	wh1_norsca
wh2_main_nor_skeggi	wh1_norsca
wh2_main_skv_clan_eshin	wh2_dlc14_shadow
wh2_main_skv_clan_gnaw	wh2_base_game
wh2_main_skv_clan_mordkin	wh2_base_game
wh2_main_skv_clan_mors	wh2_base_game
wh2_main_skv_clan_moulder	wh2_dlc16_twilight
wh2_main_skv_clan_pestilens	wh2_base_game
wh2_main_skv_clan_septik	wh2_base_game
wh2_main_skv_clan_skryre	wh2_dlc12_prophet
wh2_main_skv_clan_spittel	wh2_base_game
wh2_main_skv_grey_seer_clan	wh2_base_game
wh2_main_skv_skaven	wh2_base_game
wh2_main_vmp_necrarch_brotherhood	wh1_base_game
wh2_main_vmp_strygos_empire	wh1_base_game
wh2_main_vmp_the_silver_host	wh1_base_game
wh2_main_wef_bowmen_of_oreon	wh1_wood_elves
wh2_twa03_def_rakarth	wh2_rakarth
wh3_dlc20_brt_march_of_couronne	wh1_bretonnia_free
wh3_dlc20_chs_azazel	wh3_dlc20_champions
wh3_dlc20_chs_festus	wh3_dlc20_champions
wh3_dlc20_chs_kholek	wh1_chaos
wh3_dlc20_chs_sigvald	wh1_chaos
wh3_dlc20_chs_valkia	wh3_dlc20_champions
wh3_dlc20_chs_vilitch	wh3_dlc20_champions
wh3_dlc20_nor_dolgan	wh1_norsca
wh3_dlc20_nor_kuj	wh1_norsca
wh3_dlc20_nor_kul	wh1_norsca
wh3_dlc20_nor_yusak	wh1_norsca
wh3_dlc21_cst_dead_flag_fleet	wh2_dlc11_vampire_coast
wh3_dlc21_nor_wyrmkins	wh1_norsca
wh3_dlc21_vmp_jiangshi_rebels	wh1_base_game
wh3_dlc21_wef_spirits_of_shanlin	wh1_wood_elves
wh3_dlc23_chd_astragoth	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_chaos_dwarfs_rebels	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_conclave	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_legion_of_azgorh	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_minor_faction	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_zhatan	wh3_dlc23_chaos_dwarfs
wh3_dlc24_cst_vampire_coast_bloated_rebels	wh2_dlc11_vampire_coast
wh3_dlc24_cth_the_celestial_court	wh3_dlc24_shadows_of_change
wh3_dlc24_cth_the_celestial_court	wh3_dlc24_shadows_of_change_cth
wh3_dlc24_grn_chaos_dwarfs_labourer_rebels	wh1_base_game
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_shadows_of_change
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_shadows_of_change_ksl
wh3_dlc24_lzd_lizardmen_invasion	wh2_base_game
wh3_dlc24_tze_the_deceivers	wh3_dlc24_shadows_of_change
wh3_dlc24_tze_the_deceivers	wh3_dlc24_shadows_of_change_tze
wh3_dlc25_chd_chaos_dwarfs_invasion	wh3_base_game
wh3_dlc25_dwf_malakai	wh3_dlc25_thrones_of_decay_dwf
wh3_dlc25_kho_khorne_invasion	wh3_base_game
wh3_dlc25_nur_nurgle_invasion	wh3_base_game
wh3_dlc25_nur_tamurkhan	wh3_dlc25_thrones_of_decay_nur
wh3_dlc25_sla_slaanesh_invasion	wh3_base_game
wh3_dlc25_vmp_the_court_of_night	wh1_base_game
wh3_dlc25_vmp_vampire_counts_invasion	wh3_base_game
wh3_dlc25_wef_wood_elves_invasion	wh3_base_game
wh3_dlc26_def_dark_elves_invasion	wh2_base_game
wh3_dlc26_dwf_dwarfs_invasion	wh1_base_game
wh3_dlc26_grn_gorbad_ironclaw	wh3_dlc26_omens_of_destruction_grn
wh3_dlc26_hef_high_elves_invasion	wh2_base_game
wh3_dlc26_kho_skulltaker	wh3_dlc26_omens_of_destruction_kho
wh3_dlc26_ogr_golgfag	wh3_dlc26_omens_of_destruction_ogr
wh3_main_brt_aquitaine	wh1_bretonnia_free
wh3_main_chs_gharhar	wh1_chaos
wh3_main_chs_khazag	wh1_chaos
wh3_main_chs_kvellig	wh1_chaos
wh3_main_chs_tong	wh1_chaos
wh3_main_cst_dread_rock_privateers	wh2_dlc11_vampire_coast
wh3_main_dwf_karak_azorn	wh1_base_game
wh3_main_dwf_the_ancestral_throng	wh1_grombrindal
wh3_main_emp_cult_of_sigmar	wh1_lords_and_units_1
wh3_main_grn_da_cage_breakaz	wh1_base_game
wh3_main_grn_dark_land_orcs	wh1_base_game
wh3_main_grn_dimned_sun	wh1_base_game
wh3_main_grn_drippin_fangs	wh1_base_game
wh3_main_grn_moon_howlerz	wh1_base_game
wh3_main_grn_slaves_of_zharr	wh1_base_game
wh3_main_grn_tusked_sunz	wh1_base_game
wh3_main_ie_vmp_sires_of_mourkain	wh1_base_game
wh3_main_lzd_tepoks_spawn	wh2_base_game
wh3_main_ogr_blood_guzzlers	core_base_ogre_kingdoms
wh3_main_ogr_bloodmaw	core_base_ogre_kingdoms
wh3_main_ogr_crossed_clubs	core_base_ogre_kingdoms
wh3_main_ogr_disciples_of_the_maw	wh3_ogre_kingdoms
wh3_main_ogr_eyebiter	core_base_ogre_kingdoms
wh3_main_ogr_feastmaster	core_base_ogre_kingdoms
wh3_main_ogr_fleshgreeders	core_base_ogre_kingdoms
wh3_main_ogr_fulg	core_base_ogre_kingdoms
wh3_main_ogr_goldtooth	wh3_ogre_kingdoms
wh3_main_ogr_lazarghs	core_base_ogre_kingdoms
wh3_main_ogr_loose_tooth	core_base_ogre_kingdoms
wh3_main_ogr_mountaineaters	core_base_ogre_kingdoms
wh3_main_ogr_ogre_kingdoms_invasion	core_base_ogre_kingdoms
wh3_main_ogr_ogre_kingdoms_qb1	core_base_ogre_kingdoms
wh3_main_ogr_ogre_kingdoms	core_base_ogre_kingdoms
wh3_main_ogr_ogre_rebels	core_base_ogre_kingdoms
wh3_main_ogr_rock_skulls	core_base_ogre_kingdoms
wh3_main_ogr_sabreskin	core_base_ogre_kingdoms
wh3_main_ogr_sons_of_the_mountain	core_base_ogre_kingdoms
wh3_main_ogr_thunderguts	core_base_ogre_kingdoms
wh3_main_ogr_treehammers	core_base_ogre_kingdoms
wh3_main_ogre_flamegullets	core_base_ogre_kingdoms
wh3_main_ogre_sharktooth	core_base_ogre_kingdoms
wh3_main_ogre_stoneshatter	core_base_ogre_kingdoms
wh3_main_ogre_the_famished	core_base_ogre_kingdoms
wh3_main_skv_clan_carrion	wh2_base_game
wh3_main_skv_clan_gritus	wh2_base_game
wh3_main_skv_clan_krizzor	wh2_base_game
wh3_main_skv_clan_morbidus	wh2_base_game
wh3_main_skv_clan_skrat	wh2_base_game
wh3_main_skv_clan_treecherik	wh2_base_game
wh3_main_skv_clan_verms	wh2_base_game
wh3_main_tmb_deserters_of_khatep	wh2_tomb_kings
wh3_main_vmp_caravan_of_blue_roses	wh1_lords_and_units_1
wh3_main_vmp_lahmian_sisterhood	wh1_base_game
wh3_main_wef_laurelorn	wh1_wood_elves
wh_dlc03_bst_beastmen	wh1_beastmen
wh_dlc03_bst_jagged_horn	wh1_beastmen
wh_dlc03_bst_redhorn	wh1_beastmen
wh_dlc03_grn_black_pit	wh1_base_game
wh_dlc05_bst_morghur_herd	wh1_beastmen
wh_dlc05_wef_argwylon	wh1_wood_elves
wh_dlc05_wef_torgovann	wh1_wood_elves
wh_dlc05_wef_wood_elves	wh1_wood_elves
wh_dlc05_wef_wydrioth	wh1_wood_elves
wh_dlc08_nor_goromadny_tribe	wh1_norsca
wh_dlc08_nor_helspire_tribe	wh1_norsca
wh_dlc08_nor_naglfarlings	wh1_norsca
wh_dlc08_nor_norsca	wh1_norsca
wh_dlc08_nor_vanaheimlings	wh1_norsca
wh_dlc08_nor_wintertooth	wh1_norsca
wh_main_brt_artois	wh1_bretonnia_free
wh_main_brt_bastonne	wh1_bretonnia_free
wh_main_brt_bordeleaux	wh1_bretonnia_free
wh_main_brt_bretonnia	wh1_bretonnia_free
wh_main_brt_carcassonne	wh1_bretonnia_free
wh_main_brt_lyonesse	wh1_bretonnia_free
wh_main_brt_parravon	wh1_bretonnia_free
wh_main_chs_chaos	wh1_chaos
wh_main_dwf_barak_varr	wh1_base_game
wh_main_dwf_dwarfs	wh1_base_game
wh_main_dwf_karak_azul	wh1_base_game
wh_main_dwf_karak_hirn	wh1_base_game
wh_main_dwf_karak_izor	wh1_lords_and_units_2
wh_main_dwf_karak_kadrin	wh1_base_game
wh_main_dwf_karak_norn	wh1_base_game
wh_main_dwf_karak_ziflin	wh1_base_game
wh_main_dwf_kraka_drak	wh1_base_game
wh_main_dwf_zhufbar	wh1_base_game
wh_main_emp_averland	wh1_base_game
wh_main_emp_empire_separatists	wh1_base_game
wh_main_emp_empire	wh1_base_game
wh_main_emp_hochland	wh1_base_game
wh_main_emp_marienburg	wh1_base_game
wh_main_emp_middenland	wh1_base_game
wh_main_emp_nordland	wh1_base_game
wh_main_emp_ostermark	wh1_base_game
wh_main_emp_ostland	wh1_base_game
wh_main_emp_stirland	wh1_base_game
wh_main_emp_talabecland	wh1_base_game
wh_main_emp_wissenland	wh3_dlc25_thrones_of_decay_emp
wh_main_grn_black_venom	wh1_base_game
wh_main_grn_bloody_spearz	wh1_base_game
wh_main_grn_broken_nose	wh1_base_game
wh_main_grn_crooked_moon	wh1_lords_and_units_2
wh_main_grn_greenskins	wh1_base_game
wh_main_grn_necksnappers	wh1_base_game
wh_main_grn_orcs_of_the_bloody_hand	wh1_lords_and_units_2_free
wh_main_grn_red_eye	wh1_base_game
wh_main_grn_red_fangs	wh1_base_game
wh_main_grn_scabby_eye	wh1_base_game
wh_main_grn_skull-takerz	wh1_base_game
wh_main_grn_skullsmasherz	wh1_base_game
wh_main_grn_teef_snatchaz	wh1_base_game
wh_main_grn_top_knotz	wh1_base_game
wh_main_nor_aesling	wh1_norsca
wh_main_nor_baersonling	wh1_norsca
wh_main_nor_bjornling	wh1_norsca
wh_main_nor_graeling	wh1_norsca
wh_main_nor_sarl	wh1_norsca
wh_main_nor_skaeling	wh1_norsca
wh_main_nor_varg	wh1_norsca
wh_main_teb_border_princes	wh1_base_game
wh_main_teb_estalia	wh1_base_game
wh_main_teb_tilea	wh1_base_game
wh_main_vmp_mousillon	wh1_base_game
wh_main_vmp_rival_sylvanian_vamps	wh1_base_game
wh_main_vmp_schwartzhafen	wh1_isabella_free
wh_main_vmp_vampire_counts	wh1_base_game
wh_main_vmp_waldenhof	wh1_base_game
