building_level	campaign_bmd_layer_group
wh2_main_special_fortress_gate_phoenix_chaos_5	settlement_towers_level_3
wh2_main_special_fortress_gate_phoenix_chd_2	settlement_towers_level_2
wh2_main_special_fortress_gate_phoenix_chd_3	settlement_towers_level_2
wh2_main_special_fortress_gate_phoenix_chd_4	settlement_towers_level_3
wh2_main_special_fortress_gate_phoenix_chd_5	settlement_towers_level_3
wh2_main_special_fortress_gate_phoenix_cst_2	settlement_towers_level_1
wh2_main_special_fortress_gate_phoenix_cst_3	settlement_towers_level_2
wh2_main_special_fortress_gate_phoenix_cst_4	settlement_towers_level_3
wh2_main_special_fortress_gate_phoenix_cst_5	settlement_towers_level_3
wh2_main_special_fortress_gate_phoenix_hef_1	settlement_towers_level_2
wh2_main_special_fortress_gate_phoenix_hef_2	settlement_towers_level_2
wh2_main_special_fortress_gate_phoenix_hef_3	settlement_towers_level_2
wh2_main_special_fortress_gate_phoenix_hef_4	settlement_towers_level_3
wh2_main_special_fortress_gate_phoenix_hef_5	settlement_towers_level_3
wh2_main_special_fortress_gate_phoenix_skaven_2	settlement_towers_level_1
wh2_main_special_fortress_gate_phoenix_skaven_3	settlement_towers_level_2
wh2_main_special_fortress_gate_phoenix_skaven_4	settlement_towers_level_3
wh2_main_special_fortress_gate_phoenix_skaven_5	settlement_towers_level_3
wh2_main_special_fortress_gate_phoenix_vmp_2	settlement_towers_level_1
wh2_main_special_fortress_gate_phoenix_vmp_3	settlement_towers_level_2
wh2_main_special_fortress_gate_phoenix_vmp_4	settlement_towers_level_3
wh2_main_special_fortress_gate_phoenix_vmp_5	settlement_towers_level_3
wh2_main_special_fortress_gate_unicorn_chaos_2	settlement_towers_level_1
wh2_main_special_fortress_gate_unicorn_chaos_3	settlement_towers_level_2
wh2_main_special_fortress_gate_unicorn_chaos_4	settlement_towers_level_3
wh2_main_special_fortress_gate_unicorn_chaos_5	settlement_towers_level_3
wh2_main_special_fortress_gate_unicorn_chd_2	settlement_towers_level_2
wh2_main_special_fortress_gate_unicorn_chd_3	settlement_towers_level_2
wh2_main_special_fortress_gate_unicorn_chd_4	settlement_towers_level_3
wh2_main_special_fortress_gate_unicorn_chd_5	settlement_towers_level_3
wh2_main_special_fortress_gate_unicorn_cst_2	settlement_towers_level_1
wh2_main_special_fortress_gate_unicorn_cst_3	settlement_towers_level_2
wh2_main_special_fortress_gate_unicorn_cst_4	settlement_towers_level_3
wh2_main_special_fortress_gate_unicorn_cst_5	settlement_towers_level_3
wh2_main_special_fortress_gate_unicorn_hef_1	settlement_towers_level_2
wh2_main_special_fortress_gate_unicorn_hef_2	settlement_towers_level_2
wh2_main_special_fortress_gate_unicorn_hef_3	settlement_towers_level_2
wh2_main_special_fortress_gate_unicorn_hef_4	settlement_towers_level_3
wh2_main_special_fortress_gate_unicorn_hef_5	settlement_towers_level_3
wh2_main_special_fortress_gate_unicorn_skaven_2	settlement_towers_level_1
wh2_main_special_fortress_gate_unicorn_skaven_3	settlement_towers_level_2
wh2_main_special_fortress_gate_unicorn_skaven_4	settlement_towers_level_3
wh2_main_special_fortress_gate_unicorn_skaven_5	settlement_towers_level_3
wh2_main_special_fortress_gate_unicorn_vmp_2	settlement_towers_level_1
wh2_main_special_fortress_gate_unicorn_vmp_3	settlement_towers_level_2
wh2_main_special_fortress_gate_unicorn_vmp_4	settlement_towers_level_3
wh2_main_special_fortress_gate_unicorn_vmp_5	settlement_towers_level_3
wh2_main_special_settlement_hellpit_1	settlement_towers_level_1
wh2_main_special_settlement_hellpit_2	settlement_towers_level_1
wh2_main_special_settlement_hellpit_3	settlement_towers_level_2
wh2_main_special_settlement_hellpit_4	settlement_towers_level_3
wh2_main_special_settlement_hellpit_5	settlement_towers_level_3
wh2_main_special_settlement_hexoatl_lzd_1	settlement_towers_level_1
wh2_main_special_settlement_hexoatl_lzd_2	settlement_towers_level_1
wh2_main_special_settlement_hexoatl_lzd_3	settlement_towers_level_2
wh2_main_special_settlement_hexoatl_lzd_4	settlement_towers_level_3
wh2_main_special_settlement_hexoatl_lzd_5	settlement_towers_level_3
wh2_main_special_settlement_itza_lzd_1	settlement_towers_level_1
wh2_main_special_settlement_itza_lzd_2	settlement_towers_level_1
wh2_main_special_settlement_itza_lzd_3	settlement_towers_level_2
wh2_main_special_settlement_itza_lzd_4	settlement_towers_level_3
wh2_main_special_settlement_itza_lzd_5	settlement_towers_level_3
wh2_main_special_settlement_lothern_1	settlement_towers_level_1
wh2_main_special_settlement_lothern_2	settlement_towers_level_1
wh2_main_special_settlement_lothern_3	settlement_towers_level_2
wh2_main_special_settlement_lothern_4	settlement_towers_level_3
wh2_main_special_settlement_lothern_5	settlement_towers_level_3
wh2_main_special_settlement_naggarond_1	settlement_towers_level_1
wh2_main_special_settlement_naggarond_2	settlement_towers_level_1
wh2_main_special_settlement_naggarond_3	settlement_towers_level_2
wh2_main_special_settlement_naggarond_4	settlement_towers_level_3
wh2_main_special_settlement_naggarond_5	settlement_towers_level_3
wh2_main_special_settlement_skavenblight_1	settlement_towers_level_1
wh2_main_special_settlement_skavenblight_2	settlement_towers_level_1
wh2_main_special_settlement_skavenblight_3	settlement_towers_level_2
wh2_main_special_settlement_skavenblight_4	settlement_towers_level_3
wh2_main_special_settlement_skavenblight_5	settlement_towers_level_3
wh3_dlc23_special_empire_fort_chd_1	settlement_towers_level_1
wh3_dlc23_special_empire_fort_chd_2	settlement_towers_level_1
wh3_dlc23_special_empire_fort_chd_3	settlement_towers_level_2
wh3_dlc23_special_empire_fort_chd_4	settlement_towers_level_3
wh3_dlc23_special_empire_fort_chd_5	settlement_towers_level_3
wh3_dlc23_special_empire_fort_chd_ruin	razed_settlement_generic
wh3_dlc24_special_fu_chow_port_ruin	razed_settlement_generic
wh_dlc03_GRN-DWF_settlement_major_beastmenruin	razed_settlement_generic
wh_dlc03_GRN-DWF_settlement_minor_beastmenruin	razed_settlement_generic
wh_dlc03_HUMAN_settlement_major_beastmenruin	razed_settlement_generic
wh_dlc03_HUMAN_settlement_minor_beastmenruin	razed_settlement_generic
wh_dlc03_special_city_altdorf_beastmenruin	razed_settlement_generic
wh_dlc03_special_city_black_crag_beastmenruin	razed_settlement_generic
wh_dlc03_special_city_castle_drakenhof_beastmenruin	razed_settlement_generic
wh_dlc03_special_city_couronne_beastmenruin	razed_settlement_generic
wh_dlc03_special_city_karaz_a_karak_beastmenruin	razed_settlement_generic
wh_dlc03_special_city_kislev_beastmenruin	razed_settlement_generic
wh_dlc03_special_city_miragliano_beastmenruin	razed_settlement_generic
wh_dlc05_wef_settlement_major_main_ruin	razed_settlement_generic
wh_dlc06_grn_walls_1_skarsnik	settlement_towers_level_1
wh_dlc06_grn_walls_1_wurrzag	settlement_towers_level_1
wh_dlc06_grn_walls_2_skarsnik	settlement_towers_level_2
wh_dlc06_grn_walls_2_wurrzag	settlement_towers_level_2
wh_dlc06_grn_walls_3_skarsnik	settlement_towers_level_3
wh_dlc06_grn_walls_3_wurrzag	settlement_towers_level_3
wh_main_HUMAN_settlement_minor_vampireruin	razed_settlement_generic
wh_main_brt_legendary_port_ruin	razed_settlement_generic
wh_main_brt_port_ruin	razed_settlement_generic
wh_main_brt_settlement_major_2	settlement_level_1
wh_main_brt_settlement_major_3	settlement_level_2
wh_main_brt_settlement_major_4	settlement_level_3
wh_main_brt_settlement_major_5	settlement_level_4
wh_main_brt_settlement_major_ruin	razed_settlement_generic
wh_main_brt_settlement_minor_2	settlement_level_1
wh_main_brt_settlement_minor_3	settlement_level_2
wh_main_brt_settlement_minor_ruin	razed_settlement_generic
wh_main_brt_walls_1	settlement_towers_level_1
wh_main_brt_walls_2	settlement_towers_level_2
wh_main_brt_walls_3	settlement_towers_level_3
wh_main_dwf_grn_settlement_major_chaosruin	razed_settlement_generic
wh_main_dwf_port_ruin	razed_settlement_generic
wh_main_dwf_settlement_major_2	settlement_level_1
wh_main_dwf_settlement_major_3	settlement_level_2
wh_main_dwf_settlement_major_4	settlement_level_3
wh_main_dwf_settlement_major_5	settlement_level_4
wh_main_dwf_settlement_major_ruin	razed_settlement_generic
wh_main_dwf_settlement_minor_2	settlement_level_1
wh_main_dwf_settlement_minor_3	settlement_level_2
wh_main_dwf_settlement_minor_ruin	razed_settlement_generic
wh_main_dwf_wall_1	settlement_towers_level_1
wh_main_dwf_wall_2	settlement_towers_level_2
wh_main_dwf_wall_3	settlement_towers_level_3
wh_main_emp_settlement_major_2	settlement_level_1
wh_main_emp_settlement_major_3	settlement_level_2
wh_main_emp_settlement_major_4	settlement_level_3
wh_main_emp_settlement_major_5	settlement_level_4
wh_main_emp_settlement_major_ruin	razed_settlement_generic
wh_main_emp_settlement_minor_2	settlement_level_1
wh_main_emp_settlement_minor_3	settlement_level_2
wh_main_emp_settlement_minor_ruin	razed_settlement_generic
wh_main_emp_walls_1	settlement_towers_level_1
wh_main_emp_walls_2	settlement_towers_level_2
wh_main_emp_walls_3	settlement_towers_level_3
wh_main_grn_port_ruin	razed_settlement_generic
wh_main_grn_settlement_major_2	settlement_level_1
wh_main_grn_settlement_major_3	settlement_level_2
wh_main_grn_settlement_major_4	settlement_level_3
wh_main_grn_settlement_major_5	settlement_level_4
wh_main_grn_settlement_major_ruin_skarsnik	razed_settlement_generic
wh_main_grn_settlement_major_ruin_wurrzag	razed_settlement_generic
wh_main_grn_settlement_major_ruin	razed_settlement_generic
wh_main_grn_settlement_minor_2	settlement_level_1
wh_main_grn_settlement_minor_3	settlement_level_2
wh_main_grn_settlement_minor_ruin_skarsnik	razed_settlement_generic
wh_main_grn_settlement_minor_ruin_wurrzag	razed_settlement_generic
wh_main_grn_settlement_minor_ruin	razed_settlement_generic
wh_main_grn_walls_1	settlement_towers_level_1
wh_main_grn_walls_2	settlement_towers_level_2
wh_main_grn_walls_3	settlement_towers_level_3
wh_main_human_port_ruin	razed_settlement_generic
wh_main_nor_port_ruin	razed_settlement_generic
wh_main_nor_settlement_major_2	settlement_level_1
wh_main_nor_settlement_major_3	settlement_level_2
wh_main_nor_settlement_major_4	settlement_level_3
wh_main_nor_settlement_major_5	settlement_level_4
wh_main_nor_settlement_minor_2	settlement_level_1
wh_main_nor_settlement_minor_3	settlement_level_2
wh_main_savage_settlement_major_ruin	razed_settlement_generic
wh_main_savage_settlement_minor_ruin	razed_settlement_generic
wh_main_sch_settlement_major_norscaruin_khorne	razed_settlement_generic
wh_main_sch_settlement_major_norscaruin_nurgle	razed_settlement_generic
wh_main_sch_settlement_major_norscaruin_slaanesh	razed_settlement_generic
wh_main_sch_settlement_major_norscaruin_tzeentch	razed_settlement_generic
wh_main_special_erengrad_port_ruin	razed_settlement_generic
wh_main_special_marienburg_port_ruin	razed_settlement_generic
wh_main_special_settlement_altdorf_2_emp	settlement_level_1
wh_main_special_settlement_altdorf_2_emp	settlement_towers_level_1
wh_main_special_settlement_altdorf_2_vmp	settlement_level_1
wh_main_special_settlement_altdorf_3_emp	settlement_level_2
wh_main_special_settlement_altdorf_3_emp	settlement_towers_level_2
wh_main_special_settlement_altdorf_3_vmp	settlement_level_2
wh_main_special_settlement_altdorf_4_emp	settlement_level_3
wh_main_special_settlement_altdorf_4_emp	settlement_towers_level_3
wh_main_special_settlement_altdorf_4_vmp	settlement_level_3
wh_main_special_settlement_altdorf_5_emp	settlement_level_4
wh_main_special_settlement_altdorf_5_emp	settlement_towers_level_3
wh_main_special_settlement_altdorf_5_vmp	settlement_level_4
wh_main_special_settlement_altdorf_ruin_vmp	razed_settlement_generic
wh_main_special_settlement_altdorf_ruin	razed_settlement_generic
wh_main_special_settlement_black_crag_2_dwf	settlement_level_1
wh_main_special_settlement_black_crag_2_grn	settlement_level_1
wh_main_special_settlement_black_crag_2_grn	settlement_towers_level_1
wh_main_special_settlement_black_crag_2_savage	settlement_level_1
wh_main_special_settlement_black_crag_3_dwf	settlement_level_2
wh_main_special_settlement_black_crag_3_grn	settlement_level_2
wh_main_special_settlement_black_crag_3_grn	settlement_towers_level_2
wh_main_special_settlement_black_crag_3_savage	settlement_level_2
wh_main_special_settlement_black_crag_4_dwf	settlement_level_3
wh_main_special_settlement_black_crag_4_grn	settlement_level_3
wh_main_special_settlement_black_crag_4_grn	settlement_towers_level_3
wh_main_special_settlement_black_crag_5_dwf	settlement_level_4
wh_main_special_settlement_black_crag_5_grn	settlement_level_4
wh_main_special_settlement_black_crag_5_grn	settlement_towers_level_3
wh_main_special_settlement_black_crag_dwf_ruin	razed_settlement_generic
wh_main_special_settlement_black_crag_grn_ruin	razed_settlement_generic
wh_main_special_settlement_black_crag_savage_ruin	razed_settlement_generic
wh_main_special_settlement_castle_drakenhof_2_brt	settlement_level_1
wh_main_special_settlement_castle_drakenhof_2_emp	settlement_level_1
wh_main_special_settlement_castle_drakenhof_2_vmp	settlement_level_1
wh_main_special_settlement_castle_drakenhof_2_vmp	settlement_towers_level_1
wh_main_special_settlement_castle_drakenhof_3_brt	settlement_level_2
wh_main_special_settlement_castle_drakenhof_3_emp	settlement_level_2
wh_main_special_settlement_castle_drakenhof_3_vmp	settlement_level_2
wh_main_special_settlement_castle_drakenhof_3_vmp	settlement_towers_level_2
wh_main_special_settlement_castle_drakenhof_4_brt	settlement_level_3
wh_main_special_settlement_castle_drakenhof_4_emp	settlement_level_3
wh_main_special_settlement_castle_drakenhof_4_vmp	settlement_level_3
wh_main_special_settlement_castle_drakenhof_4_vmp	settlement_towers_level_3
wh_main_special_settlement_castle_drakenhof_5_brt	settlement_level_4
wh_main_special_settlement_castle_drakenhof_5_emp	settlement_level_4
wh_main_special_settlement_castle_drakenhof_5_vmp	settlement_level_4
wh_main_special_settlement_castle_drakenhof_5_vmp	settlement_towers_level_3
wh_main_special_settlement_castle_drakenhof_ruin_brt	razed_settlement_generic
wh_main_special_settlement_castle_drakenhof_ruin_emp	razed_settlement_generic
wh_main_special_settlement_castle_drakenhof_ruin	razed_settlement_generic
wh_main_special_settlement_couronne_2_brt	settlement_level_1
wh_main_special_settlement_couronne_2_brt	settlement_towers_level_1
wh_main_special_settlement_couronne_2_emp	settlement_level_1
wh_main_special_settlement_couronne_2_vmp	settlement_level_1
wh_main_special_settlement_couronne_3_brt	settlement_level_2
wh_main_special_settlement_couronne_3_brt	settlement_towers_level_2
wh_main_special_settlement_couronne_3_emp	settlement_level_2
wh_main_special_settlement_couronne_3_vmp	settlement_level_2
wh_main_special_settlement_couronne_4_brt	settlement_level_3
wh_main_special_settlement_couronne_4_brt	settlement_towers_level_3
wh_main_special_settlement_couronne_4_emp	settlement_level_3
wh_main_special_settlement_couronne_4_vmp	settlement_level_3
wh_main_special_settlement_couronne_5_brt	settlement_level_4
wh_main_special_settlement_couronne_5_brt	settlement_towers_level_3
wh_main_special_settlement_couronne_5_emp	settlement_level_4
wh_main_special_settlement_couronne_5_vmp	settlement_level_4
wh_main_special_settlement_couronne_ruin_emp	razed_settlement_generic
wh_main_special_settlement_couronne_ruin_vmp	razed_settlement_generic
wh_main_special_settlement_couronne_ruin	razed_settlement_generic
wh_main_special_settlement_eight_peaks_2_dwf	settlement_level_1
wh_main_special_settlement_eight_peaks_2_dwf	settlement_towers_level_1
wh_main_special_settlement_eight_peaks_3_dwf	settlement_level_2
wh_main_special_settlement_eight_peaks_3_dwf	settlement_towers_level_2
wh_main_special_settlement_eight_peaks_4_dwf	settlement_level_3
wh_main_special_settlement_eight_peaks_4_dwf	settlement_towers_level_3
wh_main_special_settlement_eight_peaks_5_dwf	settlement_level_4
wh_main_special_settlement_eight_peaks_5_dwf	settlement_towers_level_3
wh_main_special_settlement_karaz_a_karak_2_dwf	settlement_level_1
wh_main_special_settlement_karaz_a_karak_2_dwf	settlement_towers_level_1
wh_main_special_settlement_karaz_a_karak_2_grn	settlement_level_1
wh_main_special_settlement_karaz_a_karak_2_savage	settlement_level_1
wh_main_special_settlement_karaz_a_karak_3_dwf	settlement_level_2
wh_main_special_settlement_karaz_a_karak_3_dwf	settlement_towers_level_2
wh_main_special_settlement_karaz_a_karak_3_grn	settlement_level_2
wh_main_special_settlement_karaz_a_karak_3_savage	settlement_level_2
wh_main_special_settlement_karaz_a_karak_4_dwf	settlement_level_3
wh_main_special_settlement_karaz_a_karak_4_dwf	settlement_towers_level_3
wh_main_special_settlement_karaz_a_karak_4_grn	settlement_level_3
wh_main_special_settlement_karaz_a_karak_5_dwf	settlement_level_4
wh_main_special_settlement_karaz_a_karak_5_dwf	settlement_towers_level_3
wh_main_special_settlement_karaz_a_karak_5_grn	settlement_level_4
wh_main_special_settlement_karaz_a_karak_ruin_grn	razed_settlement_generic
wh_main_special_settlement_karaz_a_karak_ruin_savage	razed_settlement_generic
wh_main_special_settlement_karaz_a_karak_ruin	razed_settlement_generic
wh_main_special_settlement_miragliano_2_brt	settlement_level_1
wh_main_special_settlement_miragliano_2_emp	settlement_level_1
wh_main_special_settlement_miragliano_2_teb	settlement_level_1
wh_main_special_settlement_miragliano_2_teb	settlement_towers_level_1
wh_main_special_settlement_miragliano_3_brt	settlement_level_2
wh_main_special_settlement_miragliano_3_emp	settlement_level_2
wh_main_special_settlement_miragliano_3_teb	settlement_level_2
wh_main_special_settlement_miragliano_3_teb	settlement_towers_level_2
wh_main_special_settlement_miragliano_4_brt	settlement_level_3
wh_main_special_settlement_miragliano_4_emp	settlement_level_3
wh_main_special_settlement_miragliano_4_teb	settlement_level_3
wh_main_special_settlement_miragliano_4_teb	settlement_towers_level_3
wh_main_special_settlement_miragliano_5_brt	settlement_level_4
wh_main_special_settlement_miragliano_5_emp	settlement_level_4
wh_main_special_settlement_miragliano_5_teb	settlement_level_4
wh_main_special_settlement_miragliano_5_teb	settlement_towers_level_3
wh_main_special_settlement_miragliano_ruin_brt	razed_settlement_generic
wh_main_special_settlement_miragliano_ruin_emp	razed_settlement_generic
wh_main_special_settlement_miragliano_ruin	razed_settlement_generic
wh_main_teb_port_ruin	razed_settlement_generic
wh_main_teb_walls_1	settlement_towers_level_1
wh_main_teb_walls_2	settlement_towers_level_2
wh_main_teb_walls_3	settlement_towers_level_3
wh_main_vmp_port_ruin	razed_settlement_generic
wh_main_vmp_settlement_major_2	settlement_level_1
wh_main_vmp_settlement_major_3	settlement_level_2
wh_main_vmp_settlement_major_4	settlement_level_3
wh_main_vmp_settlement_major_5	settlement_level_4
wh_main_vmp_settlement_major_ruin	razed_settlement_generic
wh_main_vmp_settlement_minor_2	settlement_level_1
wh_main_vmp_settlement_minor_3	settlement_level_2
wh_main_vmp_settlement_minor_ruin	razed_settlement_generic
wh_main_vmp_walls_1	settlement_towers_level_1
wh_main_vmp_walls_2	settlement_towers_level_2
wh_main_vmp_walls_3	settlement_towers_level_3
