key	event	max_attenuation	obstruction_size	use_reverb	group_sound	only_trigger_once_per_volley	sphere_of_influence
wh2_dlc14_medusa_gaze_explosion	Battle_Individual_Projectile_dlc14_Medusa_Explosion	800.0000	0.0000	true		false	large_explosion_long
wh2_dlc14_poison_wind_globe	Battle_Individual_Projectile_dlc14_Poison_Wind_Mortar_Explosion	600.0000	0.0000	true		false	large_explosion_short
wh2_dlc14_poison_wind_globe_ROR	Battle_Individual_Projectile_dlc14_Poison_Wind_Mortar_RoR_mid_air_burst	600.0000	0.0000	true		true	
wh2_dlc14_poison_wind_globe_RoR_shrapnel		600.0000	0.0000	true	wh2_dlc14_grp_projectile_poison_wind_mortar_ROR_globe_explosion	false	
wh2_dlc15_arachneruption_explosion		350.0000	0.0000	true	wh2_dlc15_abilities_arachneruption_impact	true	
wh2_dlc15_rogue_idol_projectile_explosion	Battle_Individual_Projectile_Rogue_Idol_RoR_Rock_Explosion	500.0000	0.0000	true		false	large_explosion_short
wh2_dlc15_rubble_and_ruin_impact	IND_Magic_SABL_Rubble_And_Ruin_Impact	350.0000	0.0000	true		true	
wh2_dlc15_squig_explosion	Battle_Individual_Projectile_DLC15_Exploding_Squig_explosion	400.0000	0.0000	true		false	large_explosion_short
wh2_dlc16_item_abilities_dart_of_doom	Battle_IND_Magic_Dart_of_Doom_Explosion	1000.0000	0.0000	true		false	large_explosion_short
wh2_dlc16_snotling_pump_wagon_spore	Battle_Individual_Projectile_Snotling_Pump_Wagon_Spore_Explosion	240.0000	0.0000	true	wh2_dlc16_grp_explosion_snotling_pump_wagon_spore	false	
wh2_dlc16_talon_of_dawn	Battle_Individual_Projectile_Talon_of_Dawn_Arrow_Explosion	150.0000	0.0000	true		false	large_explosion_short
wh2_dlc17_ancestral_rune_of_grimnir		700.0000	0.0000	true		false	large_explosion_long
wh2_dlc17_chameleon_stalkers_blowpipe_explosion		400.0000	0.0000	true	wh2_dlc17_grp_projectile_chamaeleon_stalkers_blowpipe_explosions	true	
wh2_dlc17_troglodon_spit_explosion	Battle_Individual_Projectile_Troglodon_Spit_Explosion	400.0000	0.0000	true		true	large_explosion_short
wh2_dlc23_doom_of_hashut_explosion	IND_Magic_CHD_Doom_of_Hashut_Explosion_Play	500.0000	0.0000	true		false	large_explosion_long
wh2_dlc23_flame_and_shadow_explosion	ind_magic_chd_flame_and_shadow_explosion_play	500.0000	0.0000	true		true	large_explosion_short
wh2_dlc23_flames_of_azgorh_explosion		350.0000	0.0000	true		true	
wh2_dlc_10_bone_arrow_explosion	Battle_Individual_Projectile_Bone_Arrow_Explosion	800.0000	0.0000	true		false	large_explosion_long
wh2_dlc_12_queen_bess	Battle_Individual_Projectile_QueenBess_Impact	800.0000	0.0000	true		false	large_explosion_long
wh2_dlc_tmb_stalker_gaze	Battle_Individual_Projectile_tmb_Stalker_Gaze_Explosion	400.0000	0.0000	true		false	large_explosion_short
wh2_dragon_breath_dark		200.0000	0.0000	true	wh2_grp_projectile_dragons_breath_dark_explosion	false	
wh2_dragon_breath_fire		200.0000	0.0000	true	wh2_grp_projectile_dragons_breath_fire_explosion	false	
wh2_dragon_breath_poison		200.0000	0.0000	true	wh2_grp_projectile_dragons_breath_poison_explosion	false	
wh2_dragon_breath_zombie		200.0000	0.0000	true	wh2_grp_projectile_dragons_breath_zombie_explosion	false	
wh2_globe_death	Battle_Individual_Projectile_Death_Globe_Explosion	600.0000	0.0000	true		false	large_explosion_short
wh2_globe_magical	Battle_Individual_Projectile_Globe_Explosion	600.0000	0.0000	true		false	large_explosion_short
wh2_globe_poison	Battle_Individual_Projectile_Globe_Explosion	600.0000	0.0000	true		false	large_explosion_short
wh2_lzd_tower_magic_missile_explosion	Battle_Individual_Projectile_LZD_Tower_Magic_Missile_Impact	600.0000	0.0000	true		false	large_explosion_long
wh2_lzd_tower_solar_engine_explosion	Battle_Individual_Projectile_LZD_Tower_Solar_Engine_Explosion	600.0000	0.0000	true		false	large_explosion_long
wh2_magic_miscast_generic	Battle_IND_Magic_Casting_Miscast	500.0000	0.0000	true		false	large_explosion_long
wh2_main_ability_bloodwrack_cauldron	Battle_IND_Magic_Bloodwrack_Cauldron_Impact	700.0000	0.0000	true		false	large_explosion_long
wh2_main_ability_brazen_cauldron	Battle_IND_Magic_Brazen_Cauldron_Impact	700.0000	0.0000	true		false	large_explosion_long
wh2_main_ability_sky_cauldron	Battle_IND_Magic_Sky_Cauldron_Impact	700.0000	0.0000	true		false	large_explosion_long
wh2_main_ability_soul_rain	Battle_IND_Magic_Soul_Rain_Impact	600.0000	0.0000	true		false	large_explosion_short
wh2_main_ability_soul_storm	Battle_IND_Magic_Soul_Storm_Impact	600.0000	0.0000	true		false	large_explosion_short
wh2_main_ability_soul_torrent	Battle_IND_Magic_Soul_Torrent_Impact	600.0000	0.0000	true		false	large_explosion_short
wh2_main_ability_vauls_hammer	Battle_IND_Magic_Ability_Vauls_Hammer_Impact	500.0000	0.0000	false		false	magic_global_mute_one_shot_long
wh2_main_ability_vortic_blast	Battle_IND_Magic_Vortic_Blast_Explosion	3000.0000	0.0000	true		false	large_explosion_short
wh2_main_ability_vortic_enrichment	Battle_IND_Magic_Vortic_Enrichment_Explosion	3000.0000	0.0000	true		false	large_explosion_short
wh2_main_spell_high_magic_soul_quench		500.0000	0.0000	false		false	large_explosion_long
wh2_plagueclaw_catapult	Battle_Individual_Projectile_Plagueclaw_Catapult_Explosion	800.0000	0.0000	true		false	large_explosion_short
wh2_screamingskull_catapult	Battle_Individual_Projectile_Screaming_Skull_Catapult_Explosion	800.0000	0.0000	true	wh2_grp_projectile_screaming_skull_catapult_spread_impact	false	large_explosion_short
wh2_skv_tower_warp_lightning	Battle_Individual_Projectile_SKV_Tower_Warp_Lightning_Explosion	500.0000	0.0000	true		false	large_explosion_long
wh2_terradon_bomb	Battle_Individual_Projectile_Terradon_Bomb_Explosion	3000.0000	0.0000	true		false	large_explosion_short
wh2_tower_hef_explosion	Battle_Individual_Projectile_HEF_tower_missile_Explosion	400.0000	0.0000	true		false	large_explosion_long
wh2_vmp_tower_caged_bats_explosion	Battle_Individual_Projectile_VMP_Tower_Caged_Bats_Explosion	400.0000	0.0000	true		false	large_explosion_long
wh2_vmp_tower_corpse_ball_explosion	Battle_Individual_Projectile_VMP_Tower_Corpse_Ball_Explosion	400.0000	0.0000	true		false	large_explosion_long
wh3_def_tower_fireball_explosion	Battle_IND_Projectile_DEF_Fireball_Impact	500.0000	0.0000	true		false	large_explosion_long
wh3_dlc23_chd_deathshrieker	Battle_Individual_Projectile_Deathshrieker_Explosion	600.0000	0.0000	true		true	large_explosion_long
wh3_dlc23_chd_deathshrieker_demolition	Battle_Individual_Projectile_Explosion_Deathshrieker_Demolition	600.0000	0.0000	true		false	large_explosion_long
wh3_dlc23_chd_magma_cannon	Battle_Individual_Projectile_Magma_Cannon_Explosion	500.0000	0.0000	true		true	large_explosion_long
wh3_dlc23_chd_naptha_bomb_explosion		150.0000	0.0000	true	wh3_dlc23_chd_grp_projectile_naptha_bomb_explosion	false	large_explosion_short
wh3_dlc23_chd_wheelock_pistol_flare_Explosion	Battle_Individual_Wheelock_Pistol_Explosion	240.0000	0.0000	true		false	large_explosion_short
wh3_dlc23_dreadquake_mortar_explosion	Battle_Individual_Projectile_Dreadquake_Mortar_Explosion	500.0000	0.0000	true		false	large_explosion_long
wh3_dlc23_hashut_burning_wrath_exp	Battle_Individual_Magic_Ostankya_Spirit_Bear_Explosion	500.0000	0.0000	true		false	large_explosion_long
wh3_dlc23_skjalandirs_fall_explosion	Battle_IND_Magic_Ability_Skjalandirs_Fall_Explosion	350.0000	0.0000	true		false	
wh3_dlc24_hag_cursed_cauldron_explosion	IND_Magic_Hag_Cursed_Cauldron_Projectile_Impact	600.0000	0.0000	true		false	large_explosion_short
wh3_dlc24_mother_ostankya_spiritbear_exp	Battle_Individual_Magic_Ostankya_Spirit_Bear_Explosion	500.0000	0.0000	true		false	large_explosion_long
wh3_dlc24_nan_gau_grenade_explosion	Battle_Individual_Projectile_NanGauGrenade_Explosion	500.0000	0.0000	true		false	large_explosion_short
wh3_dlc24_sentient_stormcloud_impact	Battle_Individual_Magic_Chaos_Lord_Of_Tzentch_Lightning_Impact	150.0000	0.0000	true		false	large_explosion_long
wh3_ksl_tower_frost_explosion	Battle_Individual_Projectile_KSL_Tower_Frost_Explosion	500.0000	0.0000	true		false	large_explosion_long
wh3_ksl_tower_lightning_explosion	Battle_Individual_Projectile_KSL_Tower_Lightning_Explosion	500.0000	0.0000	true		false	large_explosion_long
wh3_kugath_explosion	Battle_Individual_Projectile_Kugath_Impact	400.0000	0.0000	true		false	large_explosion_short
wh3_main_ability_ogr_fire_breath	IND_Magic_Ogre_Fire_Breath_Impact	550.0000	0.0000	true		false	large_explosion_long
wh3_main_ability_ogre_siegebreaker	IND_Magic_Ogre_Siege_Breaker_Impact	500.0000	0.0000	true		false	large_explosion_long
wh3_main_army_abilities_celestial_intervention	IND_Magic_Cathay_Celestial_Intervention_Explosion	500.0000	0.0000	true		false	large_explosion_long
wh3_main_army_abilities_storm_of_fire	IND_Magic_Tzeentch_Storm_of_Fire_Projectile_Final_Impact	500.0000	0.0000	true		false	large_explosion_long
wh3_main_army_ability_ogr_stoneshaker	IND_Magic_Ogre_Stoneshaker_Impact	500.0000	0.0000	true		false	large_explosion_long
wh3_main_fire_rain_rocket_battery	Battle_Individual_Projectile_Fire_Rain_Rocket_Battery_Explosion	600.0000	0.0000	true		false	large_explosion_long
wh3_main_kho_skullcannon_projectile	Battle_Individual_Projectile_Skull_Cannon_Impact	400.0000	0.0000	true		true	large_explosion_short
wh3_main_nur_soul_grinder_explosion	Battle_Individual_Projectile_Nur_Soul_Grinder_Impact_Play	200.0000	0.0000	true		false	
wh3_main_unit_abilities_sky_junk_bomb	IND_Magic_Cathay_Sky_Junk_Bomb_Explosion	500.0000	0.0000	true		false	large_explosion_short
wh3_slicing_shards_explosion	IND_Magic_Slaanesh_Slicing_Shards_Projectile_Impact	500.0000	0.0000	true		false	large_explosion_short
wh3_thorsens_thunderstorm	Battle_IND_Magic_Heavens_Thorsens_Thunderstorm_Impact	700.0000	0.0000	true		false	large_explosion_long
wh_blasting_charge		400.0000	0.0000	true	wh_grp_projectile_blasting_charge_explosion	false	
wh_bomb	Battle_Individual_Projectile_Bomb_Explosion	3000.0000	0.0000	true		false	large_explosion_short
wh_brt_tower_carcass	Battle_Individual_Projectile_BRT_Tower_Carcass_Explosion	500.0000	0.0000	true		false	large_explosion_long
wh_carcass	Battle_Individual_Projectile_Carcass_Explosion	300.0000	0.0000	false		false	large_explosion_long
wh_comet_of_cas	Battle_IND_Magic_Heavens_Comet_Impact	700.0000	0.0000	true		false	large_explosion_long
wh_copter_steamgun	Battle_Individual_Projectile_Steamgun_Explosion	400.0000	0.0000	true	Battle_Group_Projectile_Steamgun_Explosion	false	large_explosion_long
wh_dlc07_ability_chalice_of_potions	Battle_IND_Magic_Bretonnia_Chalice_of_Potions_Impact	700.0000	0.0000	true		false	
wh_dlc08_lightening_down		700.0000	0.0000	false	wh_dlc08_ability_lightening_down_group	false	
wh_emp_tower_clockwork_bomb_explosion	Battle_Individual_Projectile_EMP_Tower_Clockwork_Bomb_Explosion	600.0000	0.0000	true		false	large_explosion_long
wh_explosive_fart	Battle_Individual_Projectile_Explosive_Fart_Explosion_Start	600.0000	0.0000	true		false	
wh_fireball	Battle_IND_Magic_Fire_Fireball_Explosion	85.0000	0.0000	false		true	
wh_generic_large	Battle_Individual_Projectile_Bomb_Explosion	600.0000	0.0000	true		false	large_explosion_short
wh_generic_small	Battle_Individual_Projectile_Grenade_Explosion	600.0000	0.0000	true		false	large_explosion_short
wh_grenade	Battle_Individual_Projectile_Grenade_Explosion	600.0000	0.0000	true		false	large_explosion_short
wh_grn_tower_rock_idol_explosion	Battle_Individual_Projectile_GRN_Rock_Idol_Explosion	400.0000	0.0000	true		false	large_explosion_long
wh_hell_cannon	Battle_Individual_Projectile_Hellcannon_Explosion	700.0000	0.0000	true		true	large_explosion_short
wh_hellcannon_nor	Battle_Individual_Projectile_Ice_Forged_Legion_Explosion	700.0000	0.0000	true		true	large_explosion_short
wh_hellcannon_ror	Battle_Individual_Projectile_Soul_Explosion	400.0000	0.0000	true		false	large_explosion_long
wh_large_rock	Battle_Individual_Projectile_Mortar_Explosion	600.0000	0.0000	true		false	large_explosion_short
wh_lord_of_the_storm	Battle_IND_Magic_Ability_Lord_of_the_Storm_Impacts	700.0000	0.0000	true		false	
wh_main_spell_dark_magic_doombolt	Battle_IND_Magic_Dark_Doombolt_Impact	500.0000	0.0000	true		false	large_explosion_long
wh_main_spell_fire_fireball	Battle_IND_Magic_Fire_Fireball_Explosion	500.0000	0.0000	true		true	large_explosion_long
wh_main_spell_light_shems_burning_gaze	Battle_IND_Magic_Light_Shems_Burning_Gaze_Explosion	500.0000	0.0000	true		false	large_explosion_short
wh_main_spell_ruin_warp_lightning	Battle_IND_Magic_Ruin_Warp_Lightning_Impact	500.0000	0.0000	true		false	large_explosion_long
wh_main_spell_vampires_gaze_of_nagash		100.0000	0.0000	false	wh_grp_spell_vampires_gaze_of_nagash_impact	false	large_explosion_long
wh_mortar	Battle_Individual_Projectile_Mortar_Explosion	400.0000	0.0000	true		false	large_explosion_short
wh_rocket	Battle_Individual_Projectile_Rocket_Explosion	600.0000	0.0000	true		false	large_explosion_long
wh_troll_hammer		100.0000	0.0000	false		false	
wh_urannons_thunderbolt	Battle_IND_Magic_Heavens_Urannons_Thunderbolt_Impact	700.0000	0.0000	true		false	large_explosion_long
