battle_set_piece_army	effect_bundle
wh2_dlc13_emp_final_battle_wulfhart_player	wh2_dlc13_hunter_final_battle_effect_rodrik_dummy
wh2_dlc13_lzd_final_battle_summoner_1_ally	wh2_main_bundle_quest_battle_feral_cold_ones_scripted
wh2_dlc13_lzd_final_battle_summoner_2_ally	wh2_main_bundle_quest_battle_feral_cold_ones_scripted
wh2_dlc14_qb_def_malus_final_battle_snikch_enemy	wh2_dlc14_final_battle_ability_summon_snikch_enable
wh2_dlc15_hef_imrik_black_dragon_stage_1_dragon	wh2_dlc15_bundle_blood_frenzy
wh2_dlc15_hef_imrik_black_dragon_stage_1_dragon	wh2_dlc15_quest_effect_bundle_spell_cooldown_cost
wh2_dlc15_hef_imrik_forest_dragon_stage_1	wh2_dlc15_quest_effect_bundle_spell_cooldown_cost
wh2_dlc15_hef_imrik_moon_dragon_stage_1_reinforcement_1	wh2_dlc15_bundle_chill
wh2_dlc15_hef_imrik_moon_dragon_stage_1_reinforcement_2	wh2_dlc15_bundle_chill
wh2_dlc15_hef_imrik_moon_dragon_stage_1	wh2_dlc15_bundle_chill
wh2_dlc15_hef_imrik_moon_dragon_stage_1	wh2_dlc15_quest_effect_bundle_spell_cooldown_cost
wh2_dlc15_hef_imrik_star_dragon_stage_1_reinforcements_1	wh2_dlc15_bundle_primal_rage
wh2_dlc15_hef_imrik_star_dragon_stage_1	wh2_dlc15_bundle_primal_rage
wh2_dlc15_hef_imrik_star_dragon_stage_1	wh2_dlc15_quest_effect_bundle_spell_cooldown_cost
wh2_dlc15_hef_imrik_sun_dragon_stage_1	wh2_dlc15_quest_effect_bundle_spell_cooldown_cost_sun_dragon
wh2_dlc16_qb_wef_sisters_dragon_stage_3_witch_wood_hollow_attacker_01	wh2_dlc16_call_to_ceithin_har_enable
wh2_dlc17_qb_bst_taurox_final_battle_enemy_01_morghur	wh2_dlc17_bundle_quest_battle_chaos_spawn_summon_qb_scripted
wh2_dlc17_qb_bst_taurox_final_battle_player	wh2_dlc17_bundle_quest_battle_ghorgon_summon_qb_scripted
wh2_dlc17_qb_lzd_oxyotl_final_battle_enemy_01_taurox	wh2_dlc17_bundle_quest_battle_ghorgon_summon_qb_scripted
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_attacker_01	wh2_main_bundle_quest_battle_feral_cold_ones
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_e3_easy_attacker_01	wh2_main_bundle_quest_battle_feral_cold_ones
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_e3_hard_attacker_01	wh2_main_bundle_quest_battle_feral_cold_ones
wh2_main_qb_skv_queek_dwarf_gouger_stage_4_gouger_gully_defender_01	wh2_main_bundle_pre_battle_purchase_menace_below_2
wh2_main_qb_skv_queek_headtaker_warp_shard_armour_stage_6_warp_shard_caverns_attacker_01	wh2_main_bundle_pre_battle_purchase_menace_below_2
wh3_dlc20_chs_azazel_survival_player_qb	wh3_main_bundle_sla_quest_battle_army_abilities
wh3_dlc20_chs_festus_survival_player_qb	wh3_main_bundle_nur_quest_battle_army_abilities
wh3_dlc20_chs_valkia_survival_player_qb	wh3_main_bundle_kho_quest_battle_army_abilities
wh3_dlc20_chs_vilitch_survival_player_qb	wh3_main_bundle_tze_quest_battle_army_abilities
wh3_dlc20_qb_chs_azazel_daemonblade_player	wh3_main_bundle_sla_quest_battle_army_abilities
wh3_dlc20_qb_chs_festus_pestilent_potions_player	wh3_main_bundle_nur_quest_battle_army_abilities
wh3_dlc20_qb_chs_valkia_the_spear_slaupnir_player	wh3_main_bundle_kho_quest_battle_army_abilities
wh3_dlc20_qb_chs_vilitch_vessel_of_chaos_player	wh3_main_bundle_tze_quest_battle_army_abilities
wh3_dlc23_final_battle_final_boss_dwf_belegar	wh3_dlc23_qb_final_battle_belegar
wh3_dlc23_final_battle_final_boss_dwf_thorek	wh3_dlc23_qb_final_battle_thorek
wh3_dlc23_final_battle_final_boss_dwf_thorgrim	wh3_dlc23_qb_final_battle_thorgrim
wh3_dlc23_final_battle_final_boss_ogr_campaign	wh3_dlc23_qb_final_battle_slaughtermaster
wh3_dlc23_qb_chd_zhatan_chaos_runeshield_player	wh3_dlc23_bundle_chaos_runeshield_quest_battle_army_abilities
wh3_main_qb_greasus_overtyrants_crown_fire_mouth_volcano_player	wh3_main_bundle_ogr_quest_battle_army_abilities
wh3_main_qb_kairos_staff_of_tomorrow_floating_chaos_island_player	wh3_main_bundle_tze_quest_battle_army_abilities
wh3_main_qb_kugath_necrotic_missiles_underway_player	wh3_main_bundle_nur_quest_battle_army_abilities
wh3_main_qb_nkari_sword_sea_of_dreams_player	wh3_main_bundle_sla_quest_battle_army_abilities
wh3_main_qb_skarbrand_slaughter_and_carnage_player	wh3_main_bundle_kho_quest_battle_army_abilities
wh3_main_qb_skrag_cauldron_of_the_great_maw_caverns_of_mourn_attacker_01	wh2_main_bundle_pre_battle_purchase_menace_below_2
wh3_main_qb_skrag_cauldron_of_the_great_maw_caverns_of_mourn_attacker_02	wh2_main_bundle_pre_battle_purchase_menace_below_2
wh3_main_qb_skrag_cauldron_of_the_great_maw_caverns_of_mourn_player	wh3_main_bundle_ogr_quest_battle_army_abilities
wh_dlc01_qb_chs_kholek_suneater_starcrusher_stage_3_defender_1	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc06_qb_dwf_belegar_ironhammer_hammer_of_angrund_stage_4_defender_1	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc06_qb_dwf_belegar_ironhammer_hammer_of_angrund_stage_4_defender_2	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc06_qb_dwf_belegar_ironhammer_hammer_of_angrund_stage_4_defender_3	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc06_qb_dwf_belegar_ironhammer_hammer_of_angrund_stage_4_defender_4	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc06_qb_dwf_belegar_ironhammer_shield_of_defiance_stage_3_defender_1	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc06_qb_dwf_belegar_ironhammer_shield_of_defiance_stage_3_defender_2_back	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc06_qb_dwf_belegar_ironhammer_shield_of_defiance_stage_3_defender_2	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc06_qb_dwf_belegar_ironhammer_shield_of_defiance_stage_3_defender_3	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc06_qb_grn_skarsnik_skarsniks_prodder_stage_5_player	wh2_dlc15_bundle_skarsniks_big_waaagh_army_ability
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_baleful_mask_stage_4_defender_1	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_baleful_mask_stage_4_defender_2	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_baleful_mask_stage_4_player	wh2_dlc15_bundle_wurrzags_big_waaagh_army_ability
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_bonewood_staff_stage_3_player	wh2_dlc15_bundle_wurrzags_big_waaagh_army_ability
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_squiggly_beast_stage_3_defender_1	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_squiggly_beast_stage_3_defender_2	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_squiggly_beast_stage_3_defender_3	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_squiggly_beast_stage_3_player	wh2_dlc15_bundle_wurrzags_big_waaagh_army_ability
wh_dlc07_qb_brt_errantry_war_badlands_stage_1_attacker_1	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc07_qb_brt_errantry_war_badlands_stage_1_attacker_2	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc07_qb_brt_errantry_war_badlands_stage_1_attacker_3	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc07_qb_brt_errantry_war_badlands_stage_1_attacker_4	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc07_qb_brt_louen_leoncouer_sword_of_couronne_stage_4_attacker_1	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc07_qb_brt_louen_leoncouer_sword_of_couronne_stage_4_attacker_2_reinforcements	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc07_qb_brt_louen_leoncouer_sword_of_couronne_stage_4_attacker_2	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc08_qb_nor_monster_hunt_10_reinforcement	wh2_dlc10_bundle_monster_hunt_army_rampage
wh_dlc08_qb_nor_monster_hunt_10	wh2_dlc10_bundle_monster_hunt_army_rampage
wh_dlc08_qb_nor_monster_hunt_3_reinforcement	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc08_qb_nor_monster_hunt_3	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc08_qb_nor_monster_hunt_4	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc08_qb_nor_monster_hunt_8_reinforcement_2	wh_main_bundle_military_upkeep_free_force_unbreakable_all
wh_dlc08_qb_nor_monster_hunt_8_reinforcement	wh_main_bundle_military_upkeep_free_force_unbreakable_all
wh_dlc08_qb_nor_monster_hunt_8	wh_main_bundle_military_upkeep_free_force_unbreakable_all
wh_dlc15_qb_grn_grom_axe_of_grom_git_guzzler_enemy	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc15_qb_grn_grom_axe_of_grom_player	wh2_dlc15_bundle_groms_big_waaagh_army_ability
wh_dlc15_qb_grn_grom_axe_of_grom_skarsniks_skulkers_enemy_reinforcements	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc15_qb_grn_grom_axe_of_grom_skarsniks_skulkers_enemy_reinforcements	wh2_dlc15_bundle_skarsniks_big_waaagh_army_ability
wh_dlc15_qb_grn_grom_axe_of_grom_squig_stampede_enemy_reinforcements	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc15_qb_grn_grom_final_battle_battle_boyz_ally_reinforcements	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc15_qb_grn_grom_final_battle_city_watch_enemy	wh2_dlc15_bundle_tor_yvresse_all_traps_army_abilities
wh_dlc15_qb_grn_grom_final_battle_eltharion_enemy	wh2_dlc15_bundle_invocation_of_ending_army_ability
wh_dlc15_qb_grn_grom_final_battle_eltharion_enemy	wh2_dlc15_bundle_oath_of_replenishment_upgraded_army_ability
wh_dlc15_qb_grn_grom_final_battle_eltharion_enemy	wh2_dlc15_bundle_summon_the_sentinals_upgraded_army_ability
wh_dlc15_qb_grn_grom_final_battle_eltharion_enemy	wh2_dlc15_hef_mist_of_yvresse_2
wh_dlc15_qb_grn_grom_final_battle_gobbo_waaagh_ally	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc15_qb_grn_grom_final_battle_player	wh2_dlc15_bundle_doom_diver_strike_army_ability
wh_dlc15_qb_grn_grom_final_battle_player	wh2_dlc15_bundle_groms_big_waaagh_army_ability
wh_dlc15_qb_hef_eltharion_final_battle_battle_boyz_enemy_reinforcements	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc15_qb_hef_eltharion_final_battle_city_watch_ally	wh2_dlc15_bundle_tor_yvresse_all_traps_army_abilities
wh_dlc15_qb_hef_eltharion_final_battle_eavy_smashas_enemy_reinforcements	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc15_qb_hef_eltharion_final_battle_grom_enemy	wh2_dlc15_bundle_doom_diver_strike_army_ability
wh_dlc15_qb_hef_eltharion_final_battle_grom_enemy	wh2_dlc15_bundle_doom_diver_strike_enhanced_army_ability
wh_dlc15_qb_hef_eltharion_final_battle_grom_enemy	wh2_dlc15_bundle_groms_big_waaagh_army_ability
wh_dlc15_qb_hef_eltharion_final_battle_player_2	wh2_dlc15_bundle_invocation_of_ending_army_ability
wh_dlc15_qb_hef_eltharion_final_battle_player_2	wh2_dlc15_bundle_oath_of_replenishment_upgraded_army_ability
wh_dlc15_qb_hef_eltharion_final_battle_player_2	wh2_dlc15_bundle_summon_the_sentinals_upgraded_army_ability
wh_dlc15_qb_hef_eltharion_final_battle_player_2	wh2_dlc15_hef_mist_of_yvresse_3
wh_dlc15_qb_hef_eltharion_final_battle_player	wh2_dlc15_bundle_invocation_of_ending_army_ability
wh_dlc15_qb_hef_eltharion_final_battle_player	wh2_dlc15_bundle_oath_of_replenishment_upgraded_army_ability
wh_dlc15_qb_hef_eltharion_final_battle_player	wh2_dlc15_bundle_summon_the_sentinals_upgraded_army_ability
wh_dlc15_qb_hef_eltharion_final_battle_player	wh2_dlc15_hef_mist_of_yvresse_3
wh_dlc15_qb_hef_eltharion_final_battle_spider_squad_enemy_flanks	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_dlc15_qb_qb_hef_eltharion_talisman_of_hoeth_stage_3_player	wh2_dlc15_bundle_talisman_of_hoeth_army_ability
wh_dlc17_qb_dwf_thorek_lost_vault_player	wh2_dlc17_qb_bundle_ancestor_rune_grimnir
wh_main_qb_dwf_thorgrim_grudgebearer_armour_of_skaldour_stage_4_defender_1	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_dwf_thorgrim_grudgebearer_armour_of_skaldour_stage_4_defender_2	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_dwf_thorgrim_grudgebearer_armour_of_skaldour_stage_4_defender_3	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_dwf_thorgrim_grudgebearer_armour_of_skaldour_stage_4_defender_4	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_dwf_thorgrim_grudgebearer_intro_subterranean_attacker_1	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_dwf_thorgrim_grudgebearer_intro_subterranean_attacker_2	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_dwf_thorgrim_grudgebearer_intro_subterranean_attacker_3	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_dwf_thorgrim_grudgebearer_intro_subterranean_attacker_4	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_dwf_ungrim_ironfist_dragon_cloak_of_fyrskar_stage_4_broken_leg_gully_defender_1	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_emp_karl_franz_ghal_maraz_stage_4_black_fire_pass_attacker_1	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_emp_karl_franz_ghal_maraz_stage_4_black_fire_pass_attacker_2	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_emp_karl_franz_ghal_maraz_stage_4_black_fire_pass_attacker_3	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_grn_azhag_the_slaughterer_azhags_ard_armour_stage_4_player	wh2_dlc15_bundle_azhags_big_waaagh_army_ability
wh_main_qb_grn_azhag_the_slaughterer_crown_of_sorcery_stage_3_player	wh2_dlc15_bundle_azhags_big_waaagh_army_ability
wh_main_qb_grn_azhag_the_slaughterer_slaggas_slashas_stage_4_defender_1	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_grn_azhag_the_slaughterer_slaggas_slashas_stage_4_defender_2	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_grn_azhag_the_slaughterer_slaggas_slashas_stage_4_player	wh2_dlc15_bundle_azhags_big_waaagh_army_ability
wh_main_qb_grn_grimgor_ironhide_blood_forged_armour_stage_4_player	wh2_dlc15_bundle_grn_grimgor_battle_army_abilities_waaagh
wh_main_qb_grn_grimgor_ironhide_gitsnik_stage_4_black_fire_pass_player_1	wh2_dlc15_bundle_grn_grimgor_battle_army_abilities_waaagh
wh_main_qb_grn_grimgor_ironhide_intro_subterranean_player	wh2_dlc15_bundle_grn_grimgor_battle_army_abilities_waaagh
wh_main_qb_vmp_heinrich_kemmler_cloak_of_mists_stage_3_defender_1	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_vmp_heinrich_kemmler_cloak_of_mists_stage_3_defender_2	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_vmp_heinrich_kemmler_cloak_of_mists_stage_3_defender_3	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_vmp_heinrich_kemmler_cloak_of_mists_stage_3_defender_4	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_vmp_mannfred_von_carstein_sword_of_unholy_power_stage_4_defender_1	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_vmp_mannfred_von_carstein_sword_of_unholy_power_stage_4_defender_2	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_main_qb_vmp_mannfred_von_carstein_sword_of_unholy_power_stage_4_defender_3	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_pro01_qb_dwf_grombrindal_rune_helm_of_zhufbar_stage_4_thundering_falls_attacker_1	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_pro01_qb_dwf_grombrindal_rune_helm_of_zhufbar_stage_4_thundering_falls_attacker_2	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_pro01_qb_dwf_grombrindal_rune_helm_of_zhufbar_stage_4_thundering_falls_attacker_3	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_pro01_qb_dwf_grombrindal_rune_helm_of_zhufbar_stage_4_thundering_falls_attacker_4	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh_pro01_qb_dwf_grombrindal_rune_helm_of_zhufbar_stage_4_thundering_falls_attacker_5	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
