agent	faction	subtype	mod_disabled
general	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_tomb_king_rakhash	false
general	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_tomb_king_setep	false
general	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_tomb_king_thutep	false
general	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_tomb_king_wakhaf	false
minister	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_tomb_king	false
wizard	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_liche_priest_death	false
wizard	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_liche_priest_light	false
wizard	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_liche_priest_nehekhara	false
wizard	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_liche_priest_shadow	false
champion	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_tomb_prince	false
colonel	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_tomb_king	false
engineer	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_necrotect	false
engineer	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_necrotect_ritual	false
general	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_arkhan	false
general	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_khalida	false
general	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_khatep	false
general	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_settra	false
general	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_tomb_king	false
general	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_tomb_king_alkhazzar_ii	false
general	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_tomb_king_lahmizzash	false
general	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_tomb_king_rakhash	false
general	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_tomb_king_setep	false
general	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_tomb_king_thutep	false
general	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_tomb_king_wakhaf	false
minister	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_tomb_king	false
wizard	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_liche_priest_death	false
wizard	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_liche_priest_light	false
wizard	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_liche_priest_nehekhara	false
wizard	wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_liche_priest_shadow	false
champion	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_tomb_prince	false
colonel	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_tomb_king	false
engineer	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_necrotect	false
engineer	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_necrotect_ritual	false
general	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_arkhan	false
general	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_khalida	false
general	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_khatep	false
general	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_settra	false
general	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_tomb_king	false
general	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_tomb_king_alkhazzar_ii	false
general	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_tomb_king_lahmizzash	false
general	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_tomb_king_rakhash	false
general	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_tomb_king_setep	false
general	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_tomb_king_thutep	false
general	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_tomb_king_wakhaf	false
minister	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_tomb_king	false
wizard	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_liche_priest_death	false
wizard	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_liche_priest_light	false
wizard	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_liche_priest_nehekhara	false
wizard	wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_liche_priest_shadow	false
champion	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_tomb_prince	false
colonel	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_tomb_king	false
engineer	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_necrotect	false
engineer	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_necrotect_ritual	false
general	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_arkhan	false
general	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_khalida	false
general	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_khatep	false
general	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_settra	false
general	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_tomb_king	false
general	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_tomb_king_alkhazzar_ii	false
general	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_tomb_king_lahmizzash	false
general	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_tomb_king_rakhash	false
general	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_tomb_king_setep	false
general	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_tomb_king_thutep	false
general	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_tomb_king_wakhaf	false
minister	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_tomb_king	false
wizard	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_liche_priest_death	false
wizard	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_liche_priest_light	false
wizard	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_liche_priest_nehekhara	false
wizard	wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_liche_priest_shadow	false
champion	wh2_dlc09_tmb_numas	wh2_dlc09_tmb_tomb_prince	false
colonel	wh2_dlc09_tmb_numas	wh2_dlc09_tmb_tomb_king	false
engineer	wh2_dlc09_tmb_numas	wh2_dlc09_tmb_necrotect	false
engineer	wh2_dlc09_tmb_numas	wh2_dlc09_tmb_necrotect_ritual	false
general	wh2_dlc09_tmb_numas	wh2_dlc09_tmb_tomb_king	false
minister	wh2_dlc09_tmb_numas	wh2_dlc09_tmb_tomb_king	false
wizard	wh2_dlc09_tmb_numas	wh2_dlc09_tmb_liche_priest_death	false
wizard	wh2_dlc09_tmb_numas	wh2_dlc09_tmb_liche_priest_light	false
wizard	wh2_dlc09_tmb_numas	wh2_dlc09_tmb_liche_priest_nehekhara	false
wizard	wh2_dlc09_tmb_numas	wh2_dlc09_tmb_liche_priest_shadow	false
champion	wh2_dlc09_tmb_rakaph_dynasty	wh2_dlc09_tmb_tomb_prince	false
colonel	wh2_dlc09_tmb_rakaph_dynasty	wh2_dlc09_tmb_tomb_king	false
engineer	wh2_dlc09_tmb_rakaph_dynasty	wh2_dlc09_tmb_necrotect	false
engineer	wh2_dlc09_tmb_rakaph_dynasty	wh2_dlc09_tmb_necrotect_ritual	false
general	wh2_dlc09_tmb_rakaph_dynasty	wh2_dlc09_tmb_tomb_king	false
minister	wh2_dlc09_tmb_rakaph_dynasty	wh2_dlc09_tmb_tomb_king	false
wizard	wh2_dlc09_tmb_rakaph_dynasty	wh2_dlc09_tmb_liche_priest_death	false
wizard	wh2_dlc09_tmb_rakaph_dynasty	wh2_dlc09_tmb_liche_priest_light	false
wizard	wh2_dlc09_tmb_rakaph_dynasty	wh2_dlc09_tmb_liche_priest_nehekhara	false
wizard	wh2_dlc09_tmb_rakaph_dynasty	wh2_dlc09_tmb_liche_priest_shadow	false
champion	wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_tomb_prince	false
colonel	wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_tomb_king	false
engineer	wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_necrotect	false
engineer	wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_necrotect_ritual	false
general	wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_tomb_king	false
minister	wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_tomb_king	false
wizard	wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_liche_priest_death	false
wizard	wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_liche_priest_light	false
wizard	wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_liche_priest_nehekhara	false
wizard	wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_liche_priest_shadow	false
champion	wh2_dlc09_tmb_tomb_kings_rebels	wh2_dlc09_tmb_tomb_prince	false
colonel	wh2_dlc09_tmb_tomb_kings_rebels	wh2_dlc09_tmb_tomb_king	false
engineer	wh2_dlc09_tmb_tomb_kings_rebels	wh2_dlc09_tmb_necrotect	false
engineer	wh2_dlc09_tmb_tomb_kings_rebels	wh2_dlc09_tmb_necrotect_ritual	false
general	wh2_dlc09_tmb_tomb_kings_rebels	wh2_dlc09_tmb_tomb_king	false
minister	wh2_dlc09_tmb_tomb_kings_rebels	wh2_dlc09_tmb_tomb_king	false
wizard	wh2_dlc09_tmb_tomb_kings_rebels	wh2_dlc09_tmb_liche_priest_death	false
wizard	wh2_dlc09_tmb_tomb_kings_rebels	wh2_dlc09_tmb_liche_priest_light	false
wizard	wh2_dlc09_tmb_tomb_kings_rebels	wh2_dlc09_tmb_liche_priest_nehekhara	false
wizard	wh2_dlc09_tmb_tomb_kings_rebels	wh2_dlc09_tmb_liche_priest_shadow	false
champion	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_tomb_prince	false
colonel	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_tomb_king	false
engineer	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_necrotect	false
engineer	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_necrotect_ritual	false
general	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_arkhan	false
general	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_khalida	false
general	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_khatep	false
general	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_settra	false
general	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_tomb_king	false
minister	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_tomb_king	false
wizard	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_liche_priest_death	false
wizard	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_liche_priest_light	false
wizard	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_liche_priest_nehekhara	false
wizard	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_liche_priest_shadow	false
engineer	wh2_dlc09_tmb_tombking_qb1	wh2_dlc09_tmb_necrotect_ritual	false
general	wh2_dlc09_tmb_tombking_qb1	wh2_dlc09_tmb_tomb_king	false
general	wh2_dlc09_tmb_tombking_qb1	wh2_dlc15_hef_sun_dragon_boss_imrik	false
engineer	wh2_dlc09_tmb_tombking_qb2	wh2_dlc09_tmb_necrotect_ritual	false
engineer	wh2_dlc09_tmb_tombking_qb3	wh2_dlc09_tmb_necrotect_ritual	false
engineer	wh2_dlc09_tmb_tombking_qb4	wh2_dlc09_tmb_necrotect_ritual	false
champion	wh2_dlc10_def_blood_voyage	wh2_dlc14_def_master	false
colonel	wh2_dlc10_def_blood_voyage	wh2_main_def_dreadlord	false
colonel	wh2_dlc10_def_blood_voyage	wh2_main_def_dreadlord_fem	false
dignitary	wh2_dlc10_def_blood_voyage	wh2_main_def_death_hag	false
general	wh2_dlc10_def_blood_voyage	wh2_dlc14_def_high_beastmaster	false
general	wh2_dlc10_def_blood_voyage	wh2_main_def_dreadlord	false
general	wh2_dlc10_def_blood_voyage	wh2_main_def_dreadlord_fem	false
minister	wh2_dlc10_def_blood_voyage	wh2_main_def_dreadlord	false
spy	wh2_dlc10_def_blood_voyage	wh2_main_def_khainite_assassin	false
wizard	wh2_dlc10_def_blood_voyage	wh2_dlc10_def_sorceress_death	false
wizard	wh2_dlc10_def_blood_voyage	wh2_main_def_sorceress_dark	false
wizard	wh2_dlc10_def_blood_voyage	wh2_main_def_sorceress_fire	false
wizard	wh2_dlc10_def_blood_voyage	wh2_main_def_sorceress_shadow	false
colonel	wh2_dlc11_brt_bretonnia_dil	wh_main_brt_lord	false
general	wh2_dlc11_brt_bretonnia_dil	wh_main_brt_lord	false
colonel	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	wh2_main_def_dreadlord_fem	false
general	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	wh2_main_def_dreadlord_fem	false
champion	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_mourngul	false
colonel	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_admiral_vampires	false
dignitary	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_fleet_captain_death	false
dignitary	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_fleet_captain_deep	false
dignitary	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_fleet_captain_vampires	false
engineer	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_gunnery_wight	false
general	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_admiral_death	false
general	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_admiral_deep	false
general	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_admiral_fem_death	false
general	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_admiral_fem_deep	false
general	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_admiral_fem_vampires	false
general	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_admiral_tech_01	false
general	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_admiral_tech_02	false
general	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_admiral_tech_03	false
general	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_admiral_tech_04	false
general	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_admiral_vampires	false
general	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_noctilus	false
minister	wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_cst_admiral_vampires	false
champion	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_mourngul	false
colonel	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_admiral_vampires	false
dignitary	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_fleet_captain_death	false
dignitary	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_fleet_captain_deep	false
dignitary	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_fleet_captain_vampires	false
engineer	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_gunnery_wight	false
general	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_admiral_death	false
general	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_admiral_deep	false
general	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_admiral_fem_death	false
general	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_admiral_fem_deep	false
general	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_admiral_fem_vampires	false
general	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_admiral_tech_01	false
general	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_admiral_tech_02	false
general	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_admiral_tech_03	false
general	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_admiral_tech_04	false
general	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_admiral_vampires	false
general	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_noctilus	false
minister	wh2_dlc11_cst_noctilus	wh2_dlc11_cst_admiral_vampires	false
champion	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_mourngul	false
colonel	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_admiral_vampires	false
dignitary	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_fleet_captain_death	false
dignitary	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_fleet_captain_deep	false
dignitary	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_fleet_captain_vampires	false
engineer	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_gunnery_wight	false
general	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_admiral_death	false
general	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_admiral_deep	false
general	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_admiral_fem_death	false
general	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_admiral_fem_deep	false
general	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_admiral_fem_vampires	false
general	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_admiral_tech_01	false
general	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_admiral_tech_02	false
general	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_admiral_tech_03	false
general	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_admiral_tech_04	false
general	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_admiral_vampires	false
general	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_noctilus	false
minister	wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_cst_admiral_vampires	false
champion	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_mourngul	false
colonel	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_admiral_vampires	false
dignitary	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_fleet_captain_death	false
dignitary	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_fleet_captain_deep	false
dignitary	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_fleet_captain_vampires	false
engineer	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_gunnery_wight	false
general	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_admiral_death	false
general	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_admiral_deep	false
general	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_admiral_fem_death	false
general	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_admiral_fem_deep	false
general	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_admiral_fem_vampires	false
general	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_admiral_tech_01	false
general	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_admiral_tech_02	false
general	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_admiral_tech_03	false
general	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_admiral_tech_04	false
general	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_admiral_vampires	false
general	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_aranessa	false
minister	wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_admiral_vampires	false
colonel	wh2_dlc11_cst_rogue_bleak_coast_buccaneers	wh_main_dwf_lord	false
general	wh2_dlc11_cst_rogue_bleak_coast_buccaneers	wh_main_dwf_lord	false
colonel	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	wh_main_grn_orc_warboss	false
general	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	wh_main_grn_orc_warboss	false
colonel	wh2_dlc11_cst_rogue_freebooters_of_port_royale	wh_main_emp_lord	false
general	wh2_dlc11_cst_rogue_freebooters_of_port_royale	wh_main_emp_lord	false
colonel	wh2_dlc11_cst_rogue_grey_point_scuttlers	wh2_main_skv_grey_seer_ruin	false
general	wh2_dlc11_cst_rogue_grey_point_scuttlers	wh2_main_skv_grey_seer_ruin	false
colonel	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	wh2_dlc11_cst_admiral_fem_vampires	false
general	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	wh2_dlc11_cst_admiral_fem_vampires	false
colonel	wh2_dlc11_cst_rogue_the_churning_gulf_raiders	wh_main_nor_marauder_chieftain	false
general	wh2_dlc11_cst_rogue_the_churning_gulf_raiders	wh_main_nor_marauder_chieftain	false
colonel	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	wh2_main_def_dreadlord	false
general	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	wh2_dlc14_def_high_beastmaster	false
general	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	wh2_main_def_dreadlord	false
