colour	culture	bmd	environment	agent_subtype_override
190		prefabs/campaign/darklands_battle.bmd	Weather/campaign/chaos/darklands.environment	
192		prefabs/campaign/darklands_battle.bmd	Weather/campaign/combi/darklands.environment	
195		prefabs/campaign/cth_blasted_desert_battle.bmd	Weather/campaign/chaos/cathay.environment	
197		prefabs/campaign/cth_blasted_desert_battle.bmd	Weather/campaign/combi/cathay.environment	
20		prefabs/campaign/chaos_battle.bmd	Weather/campaign/combi/chaos.environment	
200		prefabs/campaign/darkelf_battle.bmd	Weather/campaign/combi/naggaroth.environment	
210		prefabs/campaign/tzeentch_battle.bmd	Weather/campaign/chaos/tzeentch.environment	
215		prefabs/campaign/mountains_dwarf_battle.bmd	Weather/campaign/combi/dwarf.environment	
220		prefabs/campaign/mountains_dwarf_battle.bmd	Weather/campaign/chaos/dwarf.environment	
222		prefabs/campaign/slaanesh_battle.bmd	Weather/campaign/chaos/slaanesh.environment	
230		prefabs/campaign/southlands_battle.bmd	Weather/campaign/combi/southlands.environment	
240		prefabs/campaign/highelf_battle.bmd	Weather/campaign/combi/highelf.environment	
25		prefabs/campaign/badlands_battle.bmd	Weather/campaign/combi/badlands.environment	
255		prefabs/campaign/underground_battle.bmd	Weather/campaign/chaos/generic.environment	
255	wh2_dlc09_tmb_tomb_kings	prefabs/campaign/tombkings_underground_battle.bmd	Weather/campaign/chaos/generic.environment	
255	wh2_main_hef_high_elves	prefabs/campaign/shadow_underground_battle.bmd	Weather/campaign/chaos/generic.environment	
255	wh2_main_skv_skaven	prefabs/campaign/skaven_underground_battle.bmd	Weather/campaign/chaos/generic.environment	
255	wh_dlc03_bst_beastmen	prefabs/campaign/beastmen_beastpath_battle.bmd	Weather/campaign/chaos/generic.environment	
255	wh_dlc05_wef_wood_elves	prefabs/campaign/woodelf_worldroot_battle.bmd	Weather/campaign/chaos/generic.environment	
30		prefabs/campaign/forge_of_souls_battle.bmd	Weather/campaign/chaos/chaos.environment	
40		prefabs/campaign/norsca_battle.bmd	Weather/campaign/chaos/norsca.environment	
45		prefabs/campaign/norsca_battle.bmd	Weather/campaign/combi/norsca.environment	
60		prefabs/campaign/lizardmen_battle.bmd	Weather/campaign/chaos/lizardmen.environment	
65		prefabs/campaign/lizardmen_battle.bmd	Weather/campaign/combi/lizardmen.environment	
80		prefabs/campaign/ogrekingdoms_battle.bmd	Weather/campaign/combi/ogrekingdoms.environment	
83		prefabs/campaign/ogrekingdoms_snow_battle.bmd	Weather/campaign/combi/ogrekingdoms.environment	
90		prefabs/campaign/ogrekingdoms_battle.bmd	Weather/campaign/chaos/ogrekingdoms.environment	
95		prefabs/campaign/ogrekingdoms_snow_battle.bmd	Weather/campaign/chaos/ogrekingdoms.environment	
98		prefabs/campaign/isle_of_the_dead_final_battle.bmd	Weather/campaign/combi/highelf.environment	
