skill	level	token_set	pct_chance_for_extra_tokens	minimum_added_tokens	maximum_added_tokens
wh3_dlc29_skill_skv_schemer_grey_seer_unique_05	1	wh3_dlc29_skill_skv_schemer_grey_seer_unique_05	0	1	1
wh3_dlc29_skill_skv_schemer_grey_seer_unique_06	1	wh3_dlc29_skill_skv_schemer_grey_seer_unique_06	0	1	1
wh3_dlc29_skill_skv_schemer_master_assassin_unique_00	1	wh3_dlc29_skill_skv_schemer_master_assassin_unique_00	0	1	1
wh3_dlc29_skill_skv_schemer_master_assassin_unique_01	1	wh3_dlc29_skill_skv_schemer_master_assassin_unique_01	0	1	1
wh3_dlc29_skill_skv_schemer_master_assassin_unique_02	1	wh3_dlc29_skill_skv_schemer_master_assassin_unique_02	0	1	1
wh3_dlc29_skill_skv_schemer_master_assassin_unique_03	1	wh3_dlc29_skill_skv_schemer_master_assassin_unique_03_1	0	1	1
wh3_dlc29_skill_skv_schemer_master_assassin_unique_03	2	wh3_dlc29_skill_skv_schemer_master_assassin_unique_03_2	0	1	1
wh3_dlc29_skill_skv_schemer_master_assassin_unique_03	3	wh3_dlc29_skill_skv_schemer_master_assassin_unique_03_3	0	1	1
wh3_dlc29_skill_skv_schemer_master_assassin_unique_04	1	wh3_dlc29_skill_skv_schemer_master_assassin_unique_04_1	0	1	1
wh3_dlc29_skill_skv_schemer_master_assassin_unique_04	2	wh3_dlc29_skill_skv_schemer_master_assassin_unique_04_2	0	1	1
wh3_dlc29_skill_skv_schemer_master_assassin_unique_04	3	wh3_dlc29_skill_skv_schemer_master_assassin_unique_04_3	0	1	1
wh3_dlc29_skill_skv_schemer_master_assassin_unique_06	1	wh3_dlc29_skill_skv_schemer_master_assassin_unique_06	0	1	1
wh3_dlc29_skill_skv_schemer_military_00	1	wh3_dlc29_schemer_military_line_0	0	1	1
wh3_dlc29_skill_skv_schemer_warlock_master_unique_00	1	wh3_dlc29_skill_skv_schemer_warlock_master_unique_00	0	1	1
wh3_dlc29_skill_skv_schemer_warlock_master_unique_03	1	wh3_dlc29_skill_skv_schemer_warlock_master_unique_03_1	0	1	1
wh3_dlc29_skill_skv_schemer_warlock_master_unique_03	2	wh3_dlc29_skill_skv_schemer_warlock_master_unique_03_2	0	1	1
wh3_dlc29_skill_skv_schemer_warlock_master_unique_03	3	wh3_dlc29_skill_skv_schemer_warlock_master_unique_03_3	0	1	1
wh3_dlc29_skill_skv_schemer_warlock_master_unique_04	1	wh3_dlc29_skill_skv_schemer_warlock_master_unique_04_1	0	1	1
wh3_dlc29_skill_skv_schemer_warlock_master_unique_04	2	wh3_dlc29_skill_skv_schemer_warlock_master_unique_04_2	0	1	1
wh3_dlc29_skill_skv_schemer_warlock_master_unique_04	3	wh3_dlc29_skill_skv_schemer_warlock_master_unique_04_3	0	1	1
wh3_dlc29_skill_skv_schemer_warlock_master_unique_05	1	wh3_dlc29_skill_skv_schemer_warlock_master_unique_05	0	1	1
wh3_dlc29_skill_skv_schemer_warlock_master_unique_06	1	wh3_dlc29_skill_skv_schemer_warlock_master_unique_06	0	1	1
wh3_dlc29_skill_skv_schemer_warlord_unique_00	1	wh3_dlc29_skill_skv_schemer_warlord_unique_00	0	1	1
wh3_dlc29_skill_skv_schemer_warlord_unique_02	1	wh3_dlc29_skill_skv_schemer_warlord_unique_02_1	0	1	1
wh3_dlc29_skill_skv_schemer_warlord_unique_02	2	wh3_dlc29_skill_skv_schemer_warlord_unique_02_2	0	1	1
wh3_dlc29_skill_skv_schemer_warlord_unique_02	3	wh3_dlc29_skill_skv_schemer_warlord_unique_02_3	0	1	1
wh3_dlc29_skill_skv_schemer_warlord_unique_03	1	wh3_dlc29_skill_skv_schemer_warlord_unique_03	0	1	1
wh3_dlc29_skill_skv_schemer_warlord_unique_04	1	wh3_dlc29_skill_skv_schemer_warlord_unique_04	0	1	1
wh3_dlc29_skill_skv_schemer_warlord_unique_06	1	wh3_dlc29_skill_skv_schemer_warlord_unique_06	0	1	1
wh3_dlc29_skill_skv_unique_life_is_cheap_schemer	1	wh3_dlc29_military_green_hell_pit_abomination	0	1	1
