key	active_vfx	banner_vfx	entity_vfx	entity_vfx_attach_type	use_new_vfx_scaling
wh2_dlc14_abilities_seismic_snare		wh_main_generic_banner_debuff	wh2_dlc14_abilities_seismic_snare_entity_debuff	bottom	true
wh2_dlc14_def_crowfeast		wh2_dlc10_bloodfrenzy_1		top	true
wh2_dlc14_lord_abilities_the_blood_price			wh2_dlc14_abilities_blood_price	bottom	true
wh2_dlc14_lord_abilities_the_daemons_curse		wh_main_generic_banner_debuff	wh2_dlc14_abilities_the_daemons_curse_debuff	top	true
wh2_dlc14_skv_doppelgang_phase			wh2_dlc14_skv_entity_phase	top	true
wh2_dlc14_spell_ruin_flensing_ruin		wh_main_generic_banner_debuff	wh2_dlc14_ruin_flensing_ruin_entity_debuff	bottom	true
wh2_dlc14_spell_stealth_armour_of_darkness		wh_main_generic_banner_buff	wh2_dlc14_stealth_armour_of_darkness	top	true
wh2_dlc14_spell_stealth_brittle_bone		wh_main_generic_banner_debuff	wh2_dlc14_stealth_brittle_bone	top	true
wh2_dlc14_stealth_toxic_rain		wh_main_generic_banner_debuff	wh2_dlc14_stealth_toxic_rain	top	true
wh2_dlc15_abilities_fermented_fungi		wh_main_generic_banner_debuff	wh2_dlc15_abilities_fermented_fungi_debuff	top	true
wh2_dlc15_abilities_wardens_cage		wh2_dlc15_wardens_cage_banner_debuff	wh2_dlc15_ability_wardens_cage_debuff	bottom	true
wh2_dlc15_ability_envelop_in_mist		wh_main_generic_banner_buff	wh2_dlc15_ability_envelop_in_mist	top	true
wh2_dlc15_ability_helm_of_yvresse		wh2_dlc15_abilities_helm_of_yvresse_banner	wh2_dlc15_abilities_helm_of_yvresse_buff	top	true
wh2_dlc15_ability_vine_dragon_scale		wh_main_generic_banner_debuff	wh2_dlc15_abilities_vine_dragon_debuff	top	true
wh2_dlc15_unit_abilities_mighty_roar		wh_main_generic_banner_debuff	wh2_dlc15_entity_speed_debuff	top	true
wh2_dlc16_abilities_conjoined_destiny_countdown			wh2_dlc16_abilities_conjoined_destiny_countdown	hips	true
wh2_dlc16_abilities_passive_glamoured		wh2_dlc16_ability_glamour_banner		hips	true
wh2_dlc16_acidic_musk_glands		wh_main_generic_banner_buff	wh2_dlc16_abilities_acid_musk_glands	hips	true
wh2_dlc17_ability_ancestral_rune_of_valaya_banner_buff		wh2_dlc17_ability_ancestral_rune_of_valaya_banner_buff	wh_dlc05_life_regrowth_entity_buff	top	true
wh2_dlc17_ability_banner_rune_of_doom		wh2_dlc17_ability_banner_rune_of_doom		top	true
wh2_main_abilities_lure_of_the_pale_queen		wh_main_generic_banner_debuff	wh2_main_abilities_lure_of_the_pale_queen	top	true
wh2_main_abilities_potion_of_charoi		wh2_main_generic_banner_debuff_wom	wh_main_generic_entity_hp_regen	top	true
wh2_main_bound_entity_energy_eagle			wh2_main_bound_entity_energy_eagle	top	true
wh2_main_bound_entity_energy_eagle_extreme			wh2_main_bound_entity_energy_eagle_extreme	top	true
wh2_main_bound_entity_energy_eagle_low			wh2_main_bound_entity_energy_eagle_low	top	true
wh2_main_bound_entity_energy_rat			wh2_main_bound_entity_energy_rat	top	true
wh2_main_character_abilities_cold_blooded		wh_main_generic_banner_buff	wh2_main_abilities_cold_blooded	top	true
wh2_main_character_passive_aura_of_pestilence			wh2_main_abilities_aura_of_pestilence	top	true
wh2_main_faction_abilities_murderous_prowess		wh2_main_abilities_murderous_prowess_banner	wh2_main_abilities_murderous_prowess_entity_buff	top	true
wh2_main_faction_abilities_murderous_prowess_indicator		wh2_main_abilities_murderous_prowess_banner_indicator		top	true
wh2_main_generic_buff_speed_passive			wh2_main_generic_entity_buff_speed	top	true
wh2_main_generic_buff_wom		wh_main_generic_banner_buff	wh2_main_generic_entity_buff_wom	top	true
wh2_main_generic_buff_wom_banner		wh2_main_generic_banner_buff_wom		top	true
wh2_main_generic_debuff_wom		wh_main_generic_banner_debuff	wh2_main_generic_entity_debuff_wom	top	true
wh2_main_generic_debuff_wom_banner		wh2_main_generic_banner_debuff_wom		top	true
wh2_main_item_abilities_armour_of_the_stars		wh_main_generic_banner_buff	wh2_main_abilities_armour_of_the_stars	top	true
wh2_main_mount_passive_billowing_death			wh2_main_abilities_billowing_death	top	true
wh2_main_rebirth_miscast			wh2_main_unit_rebirth_miscast	top	true
wh2_main_spell_dark_magic_power_of_darkness		wh2_main_generic_banner_buff_wom	wh2_main_dark_power_of_darkness_entity_buff	top	true
wh2_main_spell_dark_magic_soul_stealer		wh_main_generic_banner_debuff	wh2_main_dark_soul_stealer_entity_debuff	top	true
wh2_main_spell_dark_magic_word_of_pain		wh_main_generic_banner_debuff	wh2_main_dark_word_of_pain_entity_debuff	top	true
wh2_main_spell_high_magic_apothesis		wh_main_generic_banner_buff	wh2_main_high_apotheosis_entity_buff	top	true
wh2_main_spell_high_magic_arcane_unforgiving		wh_main_generic_banner_debuff	wh2_main_high_arcane_unforgiving_entity_debuff	top	true
wh2_main_spell_high_magic_hand_of_glory		wh_main_generic_banner_buff	wh2_main_high_hand_of_glory_entity_buff	top	true
wh2_main_spell_high_magic_tempest			wh2_main_high_tempest_entity_debuff	top	true
wh2_main_spell_plague_bless_with_filth		wh_main_generic_banner_buff	wh2_main_plague_bless_with_filth_entity_buff	top	true
wh2_main_spell_plague_vermintide		wh2_main_plague_vermintide_decal		top	true
wh2_main_spell_plague_wither		wh_main_generic_banner_buff	wh2_main_plague_wither_entity_debuff	top	true
wh2_main_spell_ruin_death_frenzy		wh_main_generic_banner_buff	wh2_main_ruin_death_frenzy_entity_buff	top	true
wh2_main_spell_ruin_howling_warpgale		wh_main_generic_banner_debuff	wh2_main_ruin_howling_warpgale_entity_debuff	top	true
wh2_main_spell_ruin_skitterleap		wh_main_generic_banner_buff	wh2_main_ruin_skitterleap_entity_buff	top	true
wh2_main_unit_abilities_concealment_bombs		wh_main_generic_banner_buff	wh2_main_abilities_concealment_bombs	top	true
wh2_main_unit_contact_weeping_blade		wh_main_generic_banner_debuff		top	true
wh2_main_unit_passive_another_takes_its_place		wh_main_generic_banner_buff	wh2_main_abilities_another_takes_its_place	top	true
wh2_main_unit_passive_rebirth			wh2_main_unit_rebirth	top	true
wh2_twa03_weapon_abilities_whip_of_agony		wh_main_generic_banner_debuff	wh2_twa03_whip_of_agony_entity_debuff	top	true
wh3_dlc20_abilities_festus_harbinger_of_pestilence		wh3_dlc20_abilities_festus_harbinger_of_pestilence_banner	wh3_dlc20_abilities_festus_harbinger_of_pestilence_entity_damage	top	true
wh3_dlc20_abilities_festus_healing_elixirs_banner		wh3_dlc20_abilities_festus_healing_elixirs_banner	wh3_dlc20_abilities_festus_healing_elixirs_entity_buff	top	true
wh3_dlc20_abilities_festus_pestilent_potions		wh3_dlc20_abilities_festus_pestilent_potions_banner	wh3_main_abilities_virulent_contagion	top	true
wh3_dlc20_abilities_giver_of_abundant_glory		wh3_dlc20_abilities_festus_healing_elixirs_banner	wh3_dlc20_abilities_nurgle_giver_of_glory_entity	top	true
wh3_dlc20_abilities_giver_of_arcane_glory		wh3_dlc20_abilities_tzeentch_giver_of_glory_banner	wh3_dlc20_abilities_tzeentch_giver_of_glory_entity	top	true
wh3_dlc20_abilities_giver_of_furious_glory		wh3_dlc20_abilities_khorne_giver_of_glory_banner	wh3_dlc20_abilities_khorne_giver_of_glory_entity	top	true
wh3_dlc20_abilities_giver_of_glory		wh3_dlc20_abilities_giver_of_glory_banner	wh3_dlc20_abilities_giver_of_glory_entity	top	true
wh3_dlc20_abilities_giver_of_torturous_glory		wh3_dlc20_abilities_slaanesh_giver_of_glory_banner	wh3_dlc20_abilities_slaanesh_giver_of_glory_entity	top	true
wh3_dlc20_abilities_nurgle_giver_of_glory		wh3_dlc20_abilities_nurgle_giver_of_glory_banner		top	true
wh3_dlc20_ability_daemonblade			wh3_dlc20_lord_azazel_daemonblade	hips	true
wh3_dlc20_ability_daemonshield			wh3_dlc20_daemonshield	hips	true
wh3_dlc20_ability_passive_vessel_of_chaos		wh3_dlc20_ability_vessel_of_chaos_banner		top	true
wh3_dlc20_ability_temptator			wh3_dlc20_lord_azazel_temptator	hips	true
wh3_dlc20_lord_abilities_tempest_rage			wh3_dlc20_tempest_rage	top	true
wh3_dlc20_lord_passive_paragon_of_change			wh3_dlc20_ability_barrier_replenish_entity	top	true
wh3_dlc20_unit_abilities_storm_rage			wh3_dlc20_storm_rage_entity	top	true
wh3_dlc23_ability_hellbound				top	true
wh3_dlc23_ability_more_power			wh3_dlc23_more_power	hips	true
wh3_dlc23_blazing_body			wh3_dlc23_blazing_body	hips	true
wh3_dlc23_crooked_dice_i		wh3_dlc23_crooked_dice_banner		top	true
wh3_dlc23_crooked_dice_ii		wh3_dlc23_crooked_dice_banner		top	true
wh3_dlc23_crooked_dice_iii		wh3_dlc23_crooked_dice_banner	wh_main_generic_ward_save_all	top	true
wh3_dlc23_daemon_flask_of_ashak_enemy		wh3_dlc23_daemon_flask_of_ashak_enemy_banner	wh3_dlc23_daemon_flask_of_ashak_enemy_entity	hips	true
wh3_dlc23_daemon_flask_of_ashak_self		wh3_dlc23_daemon_flask_of_ashak_self_banner	wh3_dlc23_daemon_flask_of_ashak_self_entity	hips	true
wh3_dlc23_dark_subjugation		wh3_dlc23_hashut_dark_subjugation_banner	wh3_dlc23_dark_subjugation_entity	top	true
wh3_dlc23_darkened_mist			wh3_dlc23_darkened_mist_entity	top	true
wh3_dlc23_hashut_ash_storm		wh3_dlc23_hashut_ash_storm_banner	wh3_dlc23_dark_ash_storm_entity	top	true
wh3_dlc23_hashut_breath_of_hatred		wh3_dlc23_hashut_breath_of_hatred_banner		top	true
wh3_dlc23_hashut_curse_of_hashut		wh3_dlc23_hashut_curse_of_hashut_banner	wh3_dlc23_curse_of_hashut_entity	top	true
wh3_dlc23_hashut_killing_fire		wh3_dlc23_hashut_killing_fire_banner	wh3_dlc23_blazing_body	top	true
wh3_dlc23_reforge		wh3_dlc23_reforge_banner	wh_main_generic_entity_hp_regen_burst	top	true
wh3_dlc23_skv_neuroparasites			wh3_dlc23_skv_neuroparasites	top	true
wh3_dlc23_sorcerous_miasma			wh3_dlc23_lamassu_entity_debuff	top	true
wh3_dlc24_ability_arcane_charge		wh3_dlc24_ability_arcane_charge_banner	wh3_dlc24_ability_arcane_charge_entity	top	true
wh3_dlc24_ability_deceiving_shadows				hips	true
wh3_dlc24_ability_formless_horror		wh3_dlc24_formless_horror_banner	wh3_dlc24_formless_horror_entity	top	true
wh3_dlc24_ability_glorious_death		wh3_dlc24_daemon_slayer_banner	wh3_dlc24_daemon_slayer_entity	hips	true
wh3_dlc24_ability_mark_of_yin		wh3_dlc24_ability_mark_of_yin_banner	wh3_dlc24_ability_mark_of_yin_entity	hips	true
wh3_dlc24_ability_petrifying_gaze			wh3_dlc24_ability_petrifying_gaze	front	true
wh3_dlc24_agonys_succession		wh3_dlc24_agonys_succession_banner	wh3_dlc24_agonys_succession_entity	top	true
wh3_dlc24_attuned_to_magic		wh3_dlc24_attuned_to_magic_banner		top	true
wh3_dlc24_book_of_secrets_fire		wh3_dlc24_withering_heat_debuff_banner	wh3_dlc24_withering_heat_debuff_entity	bottom	true
wh3_dlc24_bound_entity_energy_thing_in_the_woods			wh3_dlc24_bound_entity_energy_thing_in_the_woods	hips	true
wh3_dlc24_bound_entity_energy_thing_in_the_woods_extreme			wh3_dlc24_bound_entity_energy_thing_in_the_woods_extreme	hips	true
wh3_dlc24_bound_entity_energy_thing_in_the_woods_low			wh3_dlc24_bound_entity_energy_thing_in_the_woods_low	hips	true
wh3_dlc24_character_passive_spell_syphon		wh3_dlc24_spell_syphon_banner		top	true
wh3_dlc24_curse_of_the_ancient_widow		wh_dlc24_forbidden_fens_banner_debuff	wh3_dlc24_curse_of_the_ancient_widow	top	true
wh3_dlc24_curse_of_the_ancient_widow_upcast		wh_dlc24_forbidden_fens_banner_buff	wh3_dlc24_curse_of_the_ancient_widow_buff	top	true
wh3_dlc24_dark_blood			wh3_dlc24_ability_dark_blood_entity	top	true
wh3_dlc24_generic_net_debuff		wh_main_generic_banner_debuff	wh3_dlc24_entity_generic_nets	hips	true
wh3_dlc24_guardian_shield			dlc24_cathay_jet_lion_passive_entity	top	true
wh3_dlc24_hags_denial		wh3_dlc24_hags_denial_banner	wh3_dlc24_hags_denial_entity	hips	true
wh3_dlc24_harrowing_coil		wh3_dlc24_harrowing_coil_banner	wh3_dlc24_harrowing_coil_entity	top	true
wh3_dlc24_incarnate_flock_of_doom			wh3_dlc24_incarnate_flock_of_doom_entity	top	true
wh3_dlc24_jade_conduit			dlc24_cathay_jade_lion_passive_entity	top	true
wh3_dlc24_koldunja_spirit_bear_energy			wh3_dlc24_koldunja_spirit_bear_energy	top	true
wh3_dlc24_lord_abilities_breath_of_life		wh_main_generic_banner_buff		top	true
wh3_dlc24_lord_abilities_cowled_and_cloaked				top	true
wh3_dlc24_lord_passive_thorns_aura		wh3_dlc24_ability_thorns_aura_banner		top	true
wh3_dlc24_malediction_of_madness		wh_dlc24_forbidden_fens_banner_debuff	wh3_dlc24_malediction_of_madness_entity	bottom	true
wh3_dlc24_malediction_of_madness_upcast		wh_dlc24_forbidden_fens_banner_buff	wh3_dlc24_malediction_of_madness_entity_buff	bottom	true
wh3_dlc24_mirror_of_knowledge		wh3_dlc24_mirror_of_knowledge_banner	wh3_dlc24_mirror_of_knowledge_entity	bottom	true
wh3_dlc24_ostankya_crown_of_claws		wh_dlc24_crown_of_claws_banner_buff	wh_dlc24_crown_of_claws_entity_buff	bottom	true
wh3_dlc24_ostankya_gulyas		wh3_dlc24_ostankya_forest_shrooms_banner_buff	wh3_dlc24_ostankya_forest_shrooms_entity_buff	top	true
wh3_dlc24_spell_hag_spirit_hex		wh_dlc24_forbidden_fens_banner_debuff	wh3_dlc24_spirit_hex_entity	top	true
wh3_dlc24_spell_hag_spirit_hex_upcast		wh_dlc24_forbidden_fens_banner_buff	wh3_dlc24_spirit_hex_entity_buff	top	true
wh3_dlc24_spell_hag_the_forbidden_fens		wh_dlc24_forbidden_fens_banner_debuff	wh3_dlc24_forbidden_fens_entity	bottom	true
wh3_dlc24_spell_hag_the_forbidden_fens_upcast		wh_dlc24_forbidden_fens_banner_buff	wh3_dlc24_forbidden_fens_entity_buff	bottom	true
wh3_dlc24_spell_hag_whispers_in_the_woods		wh3_dlc20_lore_of_death_banner_buff	wh_main_death_aspect_of_the_dreadknight_entity_buff	top	true
wh3_dlc24_tide_of_transformation_1				top	true
wh3_dlc24_tide_of_transformation_2				top	true
wh3_dlc24_unit_abilities_fearsome_roar		wh_main_generic_banner_debuff	wh3_dlc24_fearsome_roar_unit	top	true
wh3_dlc24_unit_abilities_gift_of_mutation		wh3_dlc24_ability_gift_of_mutation_banner	wh3_dlc24_ability_gift_of_mutation_entity	top	true
wh3_dlc24_unit_abilities_maelstrom_of_change			wh3_dlc24_maelstrom_of_change_ability_entity	front	true
wh3_dlc24_vorozheja_foresight		wh3_dlc24_vorozhejas_foresight	wh3_dlc24_vorozheja_foresight_entity	top	true
wh3_dlc24_znarkharjas_ward_banner		wh3_dlc24_znarkharjas_ward_banner	wh3_dlc24_znarkharjas_ward_entity_xref	hips	true
wh3_dlc25_ability_full_power			wh3_dlc25_marienburg_landships_full_power	hips	true
wh3_dlc25_army_abilities_bjuna_bombard		wh3_dlc20_lore_of_death_banner_debuff		top	true
wh3_dlc25_army_abilities_spirit_barrage		wh3_dlc20_lore_of_death_banner_debuff		top	true
wh3_dlc25_contact_soulblight		wh3_dlc20_lore_of_death_banner_debuff		top	true
wh3_dlc25_epidemius_ability_sands_of_sickness		wh3_dlc25_epidemius_ability_sands_of_sickness		top	true
wh3_dlc25_feast_of_the_maggot_lord			wh3_dlc25_feast_of_the_maggot_lord	top	true
wh3_dlc25_item_abilities_deaths_timekeeper_enemy			wh3_dlc25_elspeth_deaths_timekeeper_entity_debuff	top	true
wh3_dlc25_item_abilities_deaths_timekeeper_self			wh3_dlc25_elspeth_deaths_timekeeper_entity_buff	bottom	true
wh3_dlc25_lord_passive_crowns_corruption			wh3_dlc25_lord_passive_crowns_corruption	top	true
wh3_dlc25_lord_passive_living_darkness			wh3_dlc25_lord_elspeth_passive_living_darkness_debuff	top	true
wh3_dlc25_makaissons_persuader		wh3_dlc25_malakai_makaissons_persuader		bottom	true
wh3_dlc25_nur_debuff			wh3_dlc20_abilities_nurgle_giver_of_glory_entity	top	true
wh3_dlc25_nurgles_favored_son_buff_defence		wh3_dlc20_abilities_festus_healing_elixirs_banner	wh3_dlc25_nur_tamurkhan_buff_defence	top	true
wh3_dlc25_sword_of_filth		wh3_dlc25_sword_of_filth_banner	wh3_dlc25_sword_of_filth_entity	top	true
wh3_dlc25_the_gold_standard		wh3_dlc24_banner_buff_golden_standard	wh3_dlc24_gold_wizard_ability	hips	true
wh3_dlc25_unit_passive_tears_of_nurgle		wh3_dlc20_abilities_festus_pestilent_potions_banner	wh3_main_nurgle_rancid_visitations_entity	top	true
wh3_dlc26_ability_kho_bloodstorm_blades			wh3_dlc26_ability_kho_bloodstorm_blades	hips	true
wh3_dlc26_green_net_debuff		wh_main_generic_banner_debuff	wh2_dlc14_green_net_debuff	hips	true
wh3_dlc26_ogr_ability_paymaster_cash_cascade		wh3_dlc26_ogr_ability_paymaster_cash_cascade	wh3_dlc26_ogr_ability_cash_cascade_buff	hips	true
wh3_dlc26_ogr_ability_paymaster_headhunt		wh3_dlc26_ogr_ability_paymaster_headhunt		top	true
wh3_dlc26_ogr_bugsmans_ability_heal		wh3_dlc26_ogr_bugsmans_ability_banner_heal	wh3_dlc26_ogr_bugsmans_ability_entity_heal	bottom	true
wh3_dlc27_ability_null_stone		wh3_dlc27_ability_null_stone		bottom	true
wh3_dlc27_character_abilities_iron_hand_captain		wh_main_generic_banner_buff	wh_main_light_light_of_battle_entity_buff	bottom	true
wh3_dlc27_entity_preyton_dark_mist			wh3_dlc27_entity_preyton_dark_mist	hips	true
wh3_dlc27_heavens_chain_lighting		wh3_dlc27_heaven_banner_debuff_chain_lightning	wh_main_heavens_chain_lightning_entity_debuff	top	true
wh3_dlc27_item_abilities_power_familiar		wh_main_generic_banner_buff	wh2_main_generic_entity_buff_wom	top	true
wh3_dlc27_item_abilities_warrior_familiar		wh_main_generic_banner_buff	wh_main_generic_entity_buff_defence_attack	top	true
wh3_dlc27_item_ability_phoenix_blade		wh3_dlc23_flaming_sword_of_rhuin_banner	wh3_dlc23_flaming_sword_of_rhuin_entity	top	true
wh3_dlc27_item_passive_temakadors_gauntlets		wh_main_generic_banner_buff	wh_main_generic_ward_save_all	hips	true
wh3_dlc27_lord_abilities_offering_to_the_gods		wh_main_generic_banner_buff	wh_main_generic_entity_buff_morale_attack	hips	true
wh3_dlc27_lord_dechala_elixir_of_damnation		wh3_dlc27_lord_dechala_elixir_of_damnation_banner_buff	wh3_dlc27_lord_dechala_elixir_of_damnation_entity	hips	false
wh3_dlc27_lord_dechala_elixir_of_damnation_debuff			wh3_dlc27_lord_dechala_elixir_of_damnation_entity_debuff	hips	true
wh3_dlc27_lore_of_mists_flensing_haar		wh3_dlc27_lore_of_mists_flensing_haar_banner_debuff	wh3_dlc27_lore_of_mists_flensing_haar_entity	top	true
wh3_dlc27_lore_of_mists_ladrielles_shroud			wh3_dlc27_lore_of_mists_ladrielles_shroud_entity	bottom	true
wh3_dlc27_lore_of_mists_mathlanns_spite			wh3_dlc27_lore_of_mists_mathlanns_spite_entity	hips	true
wh3_dlc27_lore_of_mists_walk_between_worlds			wh3_dlc27_lore_of_mists_walk_between_worlds	hips	true
wh3_dlc27_lore_of_mists_walk_between_worlds_upgraded			wh3_dlc27_lore_of_mists_walk_between_worlds_upgraded	hips	true
wh3_dlc27_mark_of_asuryan		wh3_dlc24_withering_heat_debuff_banner	wh3_dlc24_withering_heat_debuff_entity	bottom	true
wh3_dlc27_merwyrm_enfeebling_cold		wh3_dlc27_enfeebling_cold_banner_debuff	wh3_dlc27_merwyrm_enfeebling_cold	bottom	true
wh3_dlc27_sla_ability_eternal_dance_tempo_3_denial_of_death			wh3_dlc27_sla_ability_eternal_dance_tempo_3_denial_of_death	hips	true
wh3_dlc27_unit_abilities_elfish_healing_herbs		wh_main_generic_banner_buff	wh_dlc05_life_earthblood_entity_buff	bottom	true
wh3_dlc27_unit_abilities_perfect_predator		wh_main_generic_banner_buff	wh2_dlc14_stealth_armour_of_darkness	bottom	true
wh3_dlc27_unit_cursed_ettin_buff_entity			wh3_dlc27_unit_cursed_ettin_buff_entity	hips	false
wh3_dlc27_unit_cursed_ettin_buff_entity_betrayer			wh3_dlc27_unit_cursed_ettin_buff_entity_b	hips	false
wh3_main_abilities_aura_of_mutation		wh3_dlc24_ability_aura_of_mutation_banner		top	true
wh3_main_abilities_ballet_of_blows_1			wh3_main_abilities_ballet_of_blows_1	top	true
wh3_main_abilities_ballet_of_blows_2			wh3_main_abilities_ballet_of_blows_2	top	true
wh3_main_abilities_ballet_of_blows_3			wh3_main_abilities_ballet_of_blows_3	top	true
wh3_main_abilities_blight_swarm		wh_main_generic_banner_debuff	wh3_main_abilities_blight_swarm	top	true
wh3_main_abilities_bloodthirst		wh_main_generic_banner_buff	wh3_main_abilities_bloodthirst	top	true
wh3_main_abilities_by_our_blood		wh3_main_ui_banner_by_our_blood	wh3_main_by_our_blood_entity_buff	bottom	true
wh3_main_abilities_cauldron_of_the_great_maw_i		wh_main_generic_banner_buff	wh3_main_abilities_cauldron_of_the_great_maw_stage_1	top	true
wh3_main_abilities_cauldron_of_the_great_maw_ii		wh_main_generic_banner_buff	wh3_main_abilities_cauldron_of_the_great_maw_stage_2	top	true
wh3_main_abilities_cth_eye_of_storm		wh_main_generic_banner_buff	wh3_main_abilities_cth_eye_of_storm	front_rotated	true
wh3_main_abilities_cth_master_of_alchemy		wh_main_generic_banner_buff	wh3_main_abilities_cth_alchemy	bottom	true
wh3_main_abilities_cth_master_of_alchemy_flaming		wh_main_generic_banner_buff	wh3_main_abilities_cth_alchemy_flaming	bottom	true
wh3_main_abilities_cth_master_of_alchemy_piercing		wh_main_generic_banner_buff	wh3_main_abilities_cth_alchemy_piercing	bottom	true
