invalid_usage_flag	special_ability
manning_equipment	wh2_main_hero_abilities_doomrocket
climbing	wh2_main_item_abilities_armour_of_the_stars
engaged_in_melee	wh2_main_item_abilities_armour_of_the_stars
manning_equipment	wh2_main_item_abilities_armour_of_the_stars
climbing	wh2_main_item_abilities_black_dragon_egg
morale_is_broken_or_lower	wh2_main_item_abilities_skalm
climbing	wh2_main_item_bound_gilded_horn_of_galon_konook
engaged_in_melee	wh2_main_item_passive_shadow_magnet_trinket
climbing	wh2_main_lord_abilities_gaze_of_malice
climbing	wh2_main_spell_bound_wand_of_the_kharaidon
climbing	wh2_main_spell_dark_magic_bladewind_upgraded
climbing	wh2_main_spell_dark_magic_bladewind
climbing	wh2_main_spell_dark_magic_chillwind_upgraded
climbing	wh2_main_spell_dark_magic_chillwind
climbing	wh2_main_spell_dark_magic_doombolt_upgraded
climbing	wh2_main_spell_dark_magic_doombolt
climbing	wh2_main_spell_dark_magic_power_of_darkness
climbing	wh2_main_spell_dark_magic_soul_stealer
climbing	wh2_main_spell_dark_magic_word_of_pain_upgraded
climbing	wh2_main_spell_dark_magic_word_of_pain
climbing	wh2_main_spell_high_magic_apotheosis_upgraded
climbing	wh2_main_spell_high_magic_apotheosis
climbing	wh2_main_spell_high_magic_arcane_unforging_upgraded
climbing	wh2_main_spell_high_magic_arcane_unforging
climbing	wh2_main_spell_high_magic_fiery_convocation_upgraded
climbing	wh2_main_spell_high_magic_fiery_convocation
climbing	wh2_main_spell_high_magic_hand_of_glory_upgraded
climbing	wh2_main_spell_high_magic_hand_of_glory
climbing	wh2_main_spell_high_magic_soul_quench_upgraded
manning_equipment	wh2_main_spell_high_magic_soul_quench_upgraded
climbing	wh2_main_spell_high_magic_soul_quench
manning_equipment	wh2_main_spell_high_magic_soul_quench
climbing	wh2_main_spell_high_magic_tempest_upgraded
climbing	wh2_main_spell_high_magic_tempest
climbing	wh2_main_spell_plague_pestilent_breath_upgraded
climbing	wh2_main_spell_plague_pestilent_breath
climbing	wh2_main_spell_ruin_cracks_call_upgraded
climbing	wh2_main_spell_ruin_cracks_call
climbing	wh2_main_spell_ruin_death_frenzy_upgraded
climbing	wh2_main_spell_ruin_death_frenzy
climbing	wh2_main_spell_ruin_howling_warpgale_upgraded
climbing	wh2_main_spell_ruin_howling_warpgale
climbing	wh2_main_spell_ruin_scorch_upgraded
climbing	wh2_main_spell_ruin_scorch
climbing	wh2_main_spell_ruin_skitterleap_upgraded
manning_equipment	wh2_main_spell_ruin_skitterleap_upgraded
climbing	wh2_main_spell_ruin_skitterleap
manning_equipment	wh2_main_spell_ruin_skitterleap
climbing	wh2_main_spell_ruin_warp_lightning_upgraded
climbing	wh2_main_spell_ruin_warp_lightning
climbing	wh2_main_unit_abilities_concealment_bombs
engaged_in_melee	wh2_main_unit_abilities_concealment_bombs
manning_equipment	wh2_main_unit_abilities_concealment_bombs
engaged_in_melee	wh2_main_unit_abilities_dark_fire_of_chaos
grounded	wh2_main_unit_abilities_dark_fire_of_chaos
engaged_in_melee	wh2_main_unit_abilities_death_shriek
engaged_in_melee	wh2_main_unit_abilities_drop_rocks
engaged_in_melee	wh2_main_unit_abilities_fiery_breath
engaged_in_melee	wh2_main_unit_abilities_moon_dragons_breath
grounded	wh2_main_unit_abilities_moon_dragons_breath
engaged_in_melee	wh2_main_unit_abilities_noxious_breath
grounded	wh2_main_unit_abilities_noxious_breath
engaged_in_melee	wh2_main_unit_abilities_pestilential_breath
grounded	wh2_main_unit_abilities_pestilential_breath
morale_is_broken_or_lower	wh2_main_unit_abilities_revivification_crystal
on_a_platform	wh2_main_unit_abilities_revivification_crystal
engaged_in_melee	wh2_main_unit_abilities_soporific_breath
grounded	wh2_main_unit_abilities_soporific_breath
engaged_in_melee	wh2_main_unit_abilities_star_dragons_breath
grounded	wh2_main_unit_abilities_star_dragons_breath
engaged_in_melee	wh2_main_unit_abilities_sun_dragons_breath
grounded	wh2_main_unit_abilities_sun_dragons_breath
engaged_in_melee	wh2_main_unit_abilities_wake_of_fire
climbing	wh2_main_weapon_abilities_bow_of_the_seafarer
manning_equipment	wh2_main_weapon_abilities_bow_of_the_seafarer
climbing	wh2_main_weapon_abilities_sunfang
climbing	wh3_dlc20_spell_bound_flame_storm
climbing	wh3_dlc20_spell_bound_fleshy_abundance
manning_equipment	wh3_dlc20_spell_bound_fleshy_abundance
climbing	wh3_dlc20_spell_bound_gehennas_golden_hounds
climbing	wh3_dlc20_spell_bound_infernal_gateway
manning_equipment	wh3_dlc20_spell_bound_infernal_gateway
climbing	wh3_dlc20_spell_bound_pink_fire_of_tzeentch
manning_equipment	wh3_dlc20_spell_bound_pink_fire_of_tzeentch
climbing	wh3_dlc20_spell_bound_slicing_shards
manning_equipment	wh3_dlc20_spell_bound_slicing_shards
climbing	wh3_dlc20_spell_bound_stream_of_corruption
manning_equipment	wh3_dlc20_spell_bound_stream_of_corruption
climbing	wh3_dlc20_spell_bound_the_penumbral_pendulum
climbing	wh3_dlc20_weapon_abilities_the_spear_slaupnir
manning_equipment	wh3_dlc20_weapon_abilities_the_spear_slaupnir
climbing	wh3_dlc23_hero_abilities_get_tha_gitz!
climbing	wh3_dlc23_item_abilities_daemon_flask_of_ashak
flying_currently	wh3_dlc23_item_abilities_daemon_flask_of_ashak
manning_equipment	wh3_dlc23_item_abilities_daemon_flask_of_ashak
on_a_platform	wh3_dlc23_item_abilities_daemon_flask_of_ashak
climbing	wh3_dlc23_lord_abilities_flame_and_shadow
climbing	wh3_dlc23_spell_hashut_burning_wrath_upgraded
manning_equipment	wh3_dlc23_spell_hashut_burning_wrath_upgraded
climbing	wh3_dlc23_spell_hashut_burning_wrath
manning_equipment	wh3_dlc23_spell_hashut_burning_wrath
engaged_in_melee	wh3_dlc23_unit_abilities_flaming_breath
grounded	wh3_dlc23_unit_abilities_flaming_breath
engaged_in_melee	wh3_main_character_abilities_crippling_throw
engaged_in_melee	wh3_main_character_abilities_fire_breath
phase_is_deployment	wh3_main_character_abilities_guardian_call_iii
phase_is_deployment	wh3_main_character_abilities_guardian_call_ii
phase_is_deployment	wh3_main_character_abilities_guardian_call
engaged_in_melee	wh3_main_daemon_arms_abilities_blue_fire_upgraded
engaged_in_melee	wh3_main_daemon_arms_abilities_blue_fire
flying_currently	wh3_main_daemon_head_abilities_sonic_boom
climbing	wh3_main_item_abilities_kovsh_breath
hp_replenish_cap_reached	wh3_main_item_abilities_the_bloody_shackle
engaged_in_melee	wh3_main_lord_abilities_bellow_of_endless_fury
engaged_in_melee	wh3_main_lord_abilities_bellow_of_fury
ground_unit	wh3_main_lord_abilities_eye_of_the_storm
unit_is_not_large	wh3_main_lord_abilities_eye_of_the_storm
on_a_platform	wh3_main_lord_abilities_iron_dragon_dragon_form
phase_is_deployment	wh3_main_lord_abilities_iron_dragon_dragon_form
phase_is_the_end_phase	wh3_main_lord_abilities_iron_dragon_dragon_form
flying_over_invalid_location	wh3_main_lord_abilities_iron_dragon_human_form
on_a_platform	wh3_main_lord_abilities_iron_dragon_human_form
on_a_platform	wh3_main_lord_abilities_nurgling_tide
on_a_platform	wh3_main_lord_abilities_storm_dragon_dragon_form
phase_is_deployment	wh3_main_lord_abilities_storm_dragon_dragon_form
phase_is_the_end_phase	wh3_main_lord_abilities_storm_dragon_dragon_form
flying_over_invalid_location	wh3_main_lord_abilities_storm_dragon_human_form
on_a_platform	wh3_main_lord_abilities_storm_dragon_human_form
flying_unit	wh3_main_lord_abilities_wrath_of_the_storm
climbing	wh3_main_spell_bound_lash_of_slaanesh_keeper_of_secrets
manning_equipment	wh3_main_spell_bound_lash_of_slaanesh_keeper_of_secrets
climbing	wh3_main_spell_bound_lash_of_slaanesh
manning_equipment	wh3_main_spell_bound_lash_of_slaanesh
climbing	wh3_main_spell_bound_pestilent_breath
climbing	wh3_main_spell_great_maw_bonecrusher_upgraded
manning_equipment	wh3_main_spell_great_maw_bonecrusher_upgraded
climbing	wh3_main_spell_great_maw_bonecrusher
manning_equipment	wh3_main_spell_great_maw_bonecrusher
climbing	wh3_main_spell_great_maw_braingobbler_upgraded
manning_equipment	wh3_main_spell_great_maw_braingobbler_upgraded
climbing	wh3_main_spell_great_maw_braingobbler
manning_equipment	wh3_main_spell_great_maw_braingobbler
climbing	wh3_main_spell_great_maw_bullgorger_upgraded
manning_equipment	wh3_main_spell_great_maw_bullgorger_upgraded
climbing	wh3_main_spell_great_maw_bullgorger
manning_equipment	wh3_main_spell_great_maw_bullgorger
climbing	wh3_main_spell_great_maw_the_maw_upgraded
manning_equipment	wh3_main_spell_great_maw_the_maw_upgraded
climbing	wh3_main_spell_great_maw_the_maw
manning_equipment	wh3_main_spell_great_maw_the_maw
climbing	wh3_main_spell_great_maw_toothcracker_upgraded
manning_equipment	wh3_main_spell_great_maw_toothcracker_upgraded
climbing	wh3_main_spell_great_maw_toothcracker
manning_equipment	wh3_main_spell_great_maw_toothcracker
climbing	wh3_main_spell_great_maw_trollguts_upgraded
manning_equipment	wh3_main_spell_great_maw_trollguts_upgraded
climbing	wh3_main_spell_great_maw_trollguts
manning_equipment	wh3_main_spell_great_maw_trollguts
climbing	wh3_main_spell_ice_crystal_sanctuary_upgraded
manning_equipment	wh3_main_spell_ice_crystal_sanctuary_upgraded
climbing	wh3_main_spell_ice_crystal_sanctuary
manning_equipment	wh3_main_spell_ice_crystal_sanctuary
climbing	wh3_main_spell_ice_frost_blades_upgraded
manning_equipment	wh3_main_spell_ice_frost_blades_upgraded
climbing	wh3_main_spell_ice_frost_blades
manning_equipment	wh3_main_spell_ice_frost_blades
climbing	wh3_main_spell_ice_heart_of_winter_upgraded
manning_equipment	wh3_main_spell_ice_heart_of_winter_upgraded
climbing	wh3_main_spell_ice_heart_of_winter
manning_equipment	wh3_main_spell_ice_heart_of_winter
climbing	wh3_main_spell_ice_ice_maidens_kiss_upgraded
manning_equipment	wh3_main_spell_ice_ice_maidens_kiss_upgraded
climbing	wh3_main_spell_ice_ice_maidens_kiss
manning_equipment	wh3_main_spell_ice_ice_maidens_kiss
climbing	wh3_main_spell_ice_ice_sheet
manning_equipment	wh3_main_spell_ice_ice_sheet
climbing	wh3_main_spell_nurgle_curse_of_the_leper_bound
manning_equipment	wh3_main_spell_nurgle_curse_of_the_leper_bound
climbing	wh3_main_spell_nurgle_curse_of_the_leper_upgraded
manning_equipment	wh3_main_spell_nurgle_curse_of_the_leper_upgraded
climbing	wh3_main_spell_nurgle_curse_of_the_leper
manning_equipment	wh3_main_spell_nurgle_curse_of_the_leper
climbing	wh3_main_spell_nurgle_fleshy_abundance_bound
manning_equipment	wh3_main_spell_nurgle_fleshy_abundance_bound
climbing	wh3_main_spell_nurgle_fleshy_abundance_upgraded
manning_equipment	wh3_main_spell_nurgle_fleshy_abundance_upgraded
climbing	wh3_main_spell_nurgle_fleshy_abundance
manning_equipment	wh3_main_spell_nurgle_fleshy_abundance
climbing	wh3_main_spell_nurgle_miasma_of_pestilence_bound
manning_equipment	wh3_main_spell_nurgle_miasma_of_pestilence_bound
climbing	wh3_main_spell_nurgle_miasma_of_pestilence_upgraded
manning_equipment	wh3_main_spell_nurgle_miasma_of_pestilence_upgraded
climbing	wh3_main_spell_nurgle_miasma_of_pestilence
manning_equipment	wh3_main_spell_nurgle_miasma_of_pestilence
climbing	wh3_main_spell_nurgle_pestilent_pustule_bound
manning_equipment	wh3_main_spell_nurgle_pestilent_pustule_bound
climbing	wh3_main_spell_nurgle_pestilent_pustule_upgraded
manning_equipment	wh3_main_spell_nurgle_pestilent_pustule_upgraded
climbing	wh3_main_spell_nurgle_pestilent_pustule
manning_equipment	wh3_main_spell_nurgle_pestilent_pustule
climbing	wh3_main_spell_nurgle_stream_of_corruption_bound
manning_equipment	wh3_main_spell_nurgle_stream_of_corruption_bound
climbing	wh3_main_spell_nurgle_stream_of_corruption_upgraded
manning_equipment	wh3_main_spell_nurgle_stream_of_corruption_upgraded
climbing	wh3_main_spell_nurgle_stream_of_corruption
manning_equipment	wh3_main_spell_nurgle_stream_of_corruption
climbing	wh3_main_spell_slaanesh_acquiescence_bound
manning_equipment	wh3_main_spell_slaanesh_acquiescence_bound
climbing	wh3_main_spell_slaanesh_acquiescence_upgraded
manning_equipment	wh3_main_spell_slaanesh_acquiescence_upgraded
climbing	wh3_main_spell_slaanesh_acquiescence
manning_equipment	wh3_main_spell_slaanesh_acquiescence
climbing	wh3_main_spell_slaanesh_hysterical_frenzy_bound
manning_equipment	wh3_main_spell_slaanesh_hysterical_frenzy_bound
climbing	wh3_main_spell_slaanesh_hysterical_frenzy_upgraded
manning_equipment	wh3_main_spell_slaanesh_hysterical_frenzy_upgraded
climbing	wh3_main_spell_slaanesh_hysterical_frenzy
manning_equipment	wh3_main_spell_slaanesh_hysterical_frenzy
climbing	wh3_main_spell_slaanesh_lash_of_slaanesh_upgraded
manning_equipment	wh3_main_spell_slaanesh_lash_of_slaanesh_upgraded
climbing	wh3_main_spell_slaanesh_lash_of_slaanesh
manning_equipment	wh3_main_spell_slaanesh_lash_of_slaanesh
climbing	wh3_main_spell_slaanesh_pavane_of_slaanesh_bound
manning_equipment	wh3_main_spell_slaanesh_pavane_of_slaanesh_bound
climbing	wh3_main_spell_slaanesh_pavane_of_slaanesh_upgraded
manning_equipment	wh3_main_spell_slaanesh_pavane_of_slaanesh_upgraded
climbing	wh3_main_spell_slaanesh_pavane_of_slaanesh
manning_equipment	wh3_main_spell_slaanesh_pavane_of_slaanesh
climbing	wh3_main_spell_slaanesh_phantasmagoria_bound
manning_equipment	wh3_main_spell_slaanesh_phantasmagoria_bound
climbing	wh3_main_spell_slaanesh_phantasmagoria_upgraded
manning_equipment	wh3_main_spell_slaanesh_phantasmagoria_upgraded
climbing	wh3_main_spell_slaanesh_phantasmagoria
manning_equipment	wh3_main_spell_slaanesh_phantasmagoria
climbing	wh3_main_spell_slaanesh_slicing_shards_bound
manning_equipment	wh3_main_spell_slaanesh_slicing_shards_bound
climbing	wh3_main_spell_slaanesh_slicing_shards_upgraded
manning_equipment	wh3_main_spell_slaanesh_slicing_shards_upgraded
climbing	wh3_main_spell_slaanesh_slicing_shards
manning_equipment	wh3_main_spell_slaanesh_slicing_shards
climbing	wh3_main_spell_tempest_biting_wind_upgraded
manning_equipment	wh3_main_spell_tempest_biting_wind_upgraded
climbing	wh3_main_spell_tempest_biting_wind
manning_equipment	wh3_main_spell_tempest_biting_wind
climbing	wh3_main_spell_tempest_blizzard_upgraded
manning_equipment	wh3_main_spell_tempest_blizzard_upgraded
climbing	wh3_main_spell_tempest_blizzard
manning_equipment	wh3_main_spell_tempest_blizzard
climbing	wh3_main_spell_tempest_gust_of_true_flight_upgraded
manning_equipment	wh3_main_spell_tempest_gust_of_true_flight_upgraded
climbing	wh3_main_spell_tempest_gust_of_true_flight
manning_equipment	wh3_main_spell_tempest_gust_of_true_flight
climbing	wh3_main_spell_tempest_hailstorm_upgraded
manning_equipment	wh3_main_spell_tempest_hailstorm_upgraded
climbing	wh3_main_spell_tempest_hailstorm
manning_equipment	wh3_main_spell_tempest_hailstorm
climbing	wh3_main_spell_tempest_hawks_of_miska_upgraded
manning_equipment	wh3_main_spell_tempest_hawks_of_miska_upgraded
climbing	wh3_main_spell_tempest_hawks_of_miska
manning_equipment	wh3_main_spell_tempest_hawks_of_miska
climbing	wh3_main_spell_tempest_swiftwing_upgraded
manning_equipment	wh3_main_spell_tempest_swiftwing_upgraded
climbing	wh3_main_spell_tempest_swiftwing
manning_equipment	wh3_main_spell_tempest_swiftwing
climbing	wh3_main_spell_tzeentch_blue_fire_of_tzeentch_bound
manning_equipment	wh3_main_spell_tzeentch_blue_fire_of_tzeentch_bound
climbing	wh3_main_spell_tzeentch_blue_fire_of_tzeentch_upgraded
manning_equipment	wh3_main_spell_tzeentch_blue_fire_of_tzeentch_upgraded
climbing	wh3_main_spell_tzeentch_blue_fire_of_tzeentch
manning_equipment	wh3_main_spell_tzeentch_blue_fire_of_tzeentch
climbing	wh3_main_spell_tzeentch_glean_magic_bound
manning_equipment	wh3_main_spell_tzeentch_glean_magic_bound
climbing	wh3_main_spell_tzeentch_glean_magic_upgraded
manning_equipment	wh3_main_spell_tzeentch_glean_magic_upgraded
climbing	wh3_main_spell_tzeentch_glean_magic
manning_equipment	wh3_main_spell_tzeentch_glean_magic
climbing	wh3_main_spell_tzeentch_infernal_gateway_bound
manning_equipment	wh3_main_spell_tzeentch_infernal_gateway_bound
climbing	wh3_main_spell_tzeentch_infernal_gateway_upgraded
manning_equipment	wh3_main_spell_tzeentch_infernal_gateway_upgraded
climbing	wh3_main_spell_tzeentch_infernal_gateway
manning_equipment	wh3_main_spell_tzeentch_infernal_gateway
climbing	wh3_main_spell_tzeentch_pink_fire_of_tzeentch_bound
manning_equipment	wh3_main_spell_tzeentch_pink_fire_of_tzeentch_bound
climbing	wh3_main_spell_tzeentch_pink_fire_of_tzeentch_upgraded
manning_equipment	wh3_main_spell_tzeentch_pink_fire_of_tzeentch_upgraded
climbing	wh3_main_spell_tzeentch_pink_fire_of_tzeentch
manning_equipment	wh3_main_spell_tzeentch_pink_fire_of_tzeentch
climbing	wh3_main_spell_tzeentch_treason_of_tzeentch_bound
manning_equipment	wh3_main_spell_tzeentch_treason_of_tzeentch_bound
climbing	wh3_main_spell_tzeentch_treason_of_tzeentch_upgraded
manning_equipment	wh3_main_spell_tzeentch_treason_of_tzeentch_upgraded
climbing	wh3_main_spell_tzeentch_treason_of_tzeentch
manning_equipment	wh3_main_spell_tzeentch_treason_of_tzeentch
climbing	wh3_main_spell_tzeentch_tzeentchs_firestorm_bound
manning_equipment	wh3_main_spell_tzeentch_tzeentchs_firestorm_bound
climbing	wh3_main_spell_tzeentch_tzeentchs_firestorm_upgraded
