group_id	align_orientation_to_target_unit	orient_when_ground_targeting
wh3_dlc23_mom_diabolical_puppetry	false	true
wh3_dlc23_mom_diabolical_puppetry_upgrade1	false	true
wh3_dlc23_mom_diabolical_puppetry_upgrade2	false	true
wh3_dlc23_mom_diabolical_puppetry_upgrade3	false	true
wh3_dlc23_mom_supernova	false	true
wh3_dlc23_more_power	false	true
wh3_dlc24_ability_emperors_executioner	false	true
wh3_dlc24_aekold_thorns_v4	false	true
wh3_dlc24_blue_flame_vortex	false	true
wh3_dlc24_cursed_cauldron_start	false	true
wh3_dlc24_cursed_cauldron_start_bless	false	true
wh3_dlc24_cursed_cauldron_wave	false	true
wh3_dlc24_cursed_cauldron_wave_bless	false	true
wh3_dlc24_flock_of_doom_start	false	true
wh3_dlc24_forbidden_fens	false	true
wh3_dlc24_forbidden_fens_bless	false	true
wh3_dlc24_formless_horror	false	true
wh3_dlc24_great_hex	false	true
wh3_dlc24_great_hex_bless	false	true
wh3_dlc24_great_hex_windup	false	true
wh3_dlc24_incarnate_flock_of_doom	false	true
wh3_dlc24_jade_dragons_breath_buildup	false	true
wh3_dlc24_ksl_koldunja_spirit_ability	false	true
wh3_dlc24_lib_ritual_of_the_beast	false	true
wh3_dlc24_maelstorm_of_change_ability	false	true
wh3_dlc24_malediction_of_madness	false	true
wh3_dlc24_mirror_of_knowledge_ring	false	true
wh3_dlc24_ostankya_gulyas	false	true
wh3_dlc24_spirit_hex	false	false
wh3_dlc24_spirit_hex_bless	false	false
wh3_dlc24_spirit_hex_windup	false	false
wh3_dlc24_spirit_hex_windup_bless	false	false
wh3_dlc25_ability_bjuna_bombard	false	true
wh3_dlc25_dwellers_below	false	true
wh3_dlc25_dwellers_below_small	false	true
wh3_dlc25_elspeth_deaths_timekeeper	false	true
wh3_dlc25_elspeth_living_darkness	false	true
wh3_dlc25_epidemius_epidemic_outbreak	false	true
wh3_dlc25_garagrim_hurricane_of_death	false	true
wh3_dlc25_landship_abandon_ship	false	true
wh3_dlc25_nemesis_crown_cloud_windup	false	true
wh3_dlc25_nurgles_gate_tallymans_blades	false	true
wh3_dlc25_pro11_karanak_passive	false	true
wh3_dlc25_pro11_karanak_prey_of_the_blood_god	false	true
wh3_dlc25_regrowth	false	true
wh3_dlc25_regrowth_bound	false	true
wh3_dlc25_spirit_barrage	false	true
wh3_dlc25_unit_abilities_marienburg_land_mines	false	true
wh3_dlc26_bloodstorm_blades.csc	false	true
wh3_dlc26_bragg_executioner	false	true
wh3_dlc26_brain_bursta_windup	false	true
wh3_dlc26_cash_cascade	false	true
wh3_dlc26_curse_of_da_bad_moon	false	true
wh3_dlc26_ere_we_go	false	true
wh3_dlc26_fist_of_gork	false	true
wh3_dlc26_foot_of_gork_windup	false	false
wh3_dlc26_gaze_of_khorne_explosion	false	true
wh3_dlc26_itchy_nuisance	false	true
wh3_dlc26_kho_murderous_exhortation	false	true
wh3_dlc26_lore_of_lil_waaagh_gork_ll_fix_it	false	true
wh3_dlc26_maneater_smoke_bomb	false	true
wh3_dlc26_night_shroud	false	true
wh3_dlc26_ogr_boiling_cauldron	false	true
wh3_dlc26_sneaky_stabbin	false	true
wh3_dlc26_unit_passive_blows_apart	false	true
wh3_dlc26_unit_passive_force_of_total_destruction	true	true
wh3_main_abilities_burning_rage	false	true
wh3_main_ability_gaze_of_fate	false	true
wh3_main_cataclysm_ashes_and_dust	false	true
wh3_main_character_abilities_flame_incarnate	false	true
wh3_main_daemon_gate	false	true
wh3_main_khorne_gate	false	true
wh3_main_nurgle_nurgling_tide	false	true
wh3_main_nurgles_gate	false	true
wh3_main_slaanesh_gate	false	true
wh3_main_spell_cataclysm_dance_of_despair	false	true
wh3_main_spell_cataclysm_merciws_monsterous_regiment	false	true
wh3_main_spell_cataclysm_storm_of_renewal	false	true
wh3_main_spell_light_time_amok	false	true
wh3_main_spell_nurgle_rancid_visitations	false	true
wh3_main_spell_nurgle_rancid_visitations_upgraded	false	true
wh3_main_spell_slaanesh_lash_of_slaanesh	false	true
wh3_main_spell_slaanesh_pavane_of_slaanesh	false	true
wh3_main_spell_slaanesh_phantasmagoria	false	true
wh3_main_spell_slaanesh_phantasmagoria_upgraded	false	true
wh3_main_spell_tempest_swiftwing	false	true
wh3_main_spell_tzeentch_tzeentchs_firestorm	false	true
wh3_main_tzeentch_gate	false	true
wh3_main_yang_constellation_buildup	false	true
wh3_main_yang_dragons_breath	false	true
wh3_main_yang_dragons_breath_buildup	false	true
wh3_main_yang_might_heaven_earth	false	true
wh3_main_yin_ancestral_warriors_start	false	true
wh3_main_yin_cloak_of_jet	false	true
wh3_twa08_defiling_deluge	false	true
