key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour
wh2_dlc11_cst_art_queen_bess	warmachines/engines/cst_queen_bess/cst_queen_bess_01_destroyed.wsmodel		Generic_3_Crew	wm_cst_queenbess01	wh2_dlc11_cst_queen_bess	cst_queen_bess	wh2_dlc11_cst_art_queen_bess						warmachines\engines\cst_queen_bess\cst_queen_bess_01_destruct.wsmodel	warmachines\engines\cst_queen_bess\cst_queen_bess_01_destruct.anim	warmachines\engines\cst_queen_bess\cst_queen_bess_01_destruct.meta		all_riders_shooting
wh2_dlc12_lzd_lord_kroak_platform	warmachines/chariot/lzd_slann_platform/lzd_lord_kroak_platform_01_destroyed.wsmodel	lzd_lord_kroak_platform_destruct	Generic_No_Crew_Rotate	wm_kroak_platform01		lzd_lord_kroak_platform	wh2_dlc12_lzd_kroak_platform				warmachines\chariot\lzd_slann_platform\tech	ap_platform_rider_0					all_riders_shooting
wh2_dlc12_skv_art_warplightning_cannon_ror	warmachines/engines/skv_lightning_cannon/skv_lightning_cannon_zap_01_destroyed.wsmodel	skv_lightning_cannon_destruct_ror	Generic_3_Crew	wm_lightning_cannon01	wh2_dlc12_skv_warp_lightning_ror	skv_lightning_cannon_ror	wh2_main_skv_art_warp_lightning_cannon						warmachines/engines/skv_lightning_cannon/skv_lightning_cannon_zap_01_destruct.wsmodel	warmachines/engines/skv_lightning_cannon/skv_lightning_cannon_01_destruct.anim	warmachines/engines/skv_lightning_cannon/skv_lightning_cannon_01_destruct.meta		all_riders_shooting
wh2_dlc12_skv_veh_doom_flayer	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destroyed.rigid_model_v2	skv_doom_flayer_destruct	Generic_No_Crew_Rotate	wm_dlc12_doomflayer01		skv_doom_flayer	wh2_dlc12_skv_vehicle_doom_flayer				warmachines\engines\skv_doom_flayer\tech		warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.wsmodel	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.anim	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.meta		all_riders_shooting
wh2_dlc12_skv_veh_doom_flayer_ikit	warmachines\engines\skv_doom_flayer\skv_doom_flayer_blackhole_destroyed.wsmodel	skv_doom_flayer_blackhole_01_destruct	Generic_No_Crew_Rotate	wm_dlc12_doomflayer01		skv_doom_flayer_blackhole_01	wh2_dlc12_skv_vehicle_doom_flayer				warmachines\engines\skv_doom_flayer\tech		warmachines/engines/skv_doom_flayer/skv_doom_flayer_blackhole_destruct.wsmodel	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.anim	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.meta		all_riders_shooting
wh2_dlc12_skv_veh_doom_flayer_ror	warmachines/engines/skv_doom_flayer/skv_doom_flayer_menace_destroyed.wsmodel	skv_doom_flayer_destruct_ror	Generic_No_Crew_Rotate	wm_dlc12_doomflayer01		skv_doom_flayer_ror	wh2_dlc12_skv_vehicle_doom_flayer_ror				warmachines\engines\skv_doom_flayer\tech		warmachines/engines/skv_doom_flayer/skv_doom_flayer_menace_destruct.wsmodel	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.anim	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.meta		all_riders_shooting
wh2_dlc12_skv_veh_doom_flayer_tech_lab_ror	warmachines/engines/skv_doom_flayer/skv_doom_flayer_blackhole_destroyed.wsmodel	skv_doom_flayer_destruct_tech_lab_ror	Generic_No_Crew_Rotate	wm_dlc12_doomflayer01		skv_doom_flayer_tech_lab_ror	wh2_dlc12_skv_vehicle_doom_flayer				warmachines\engines\skv_doom_flayer\tech		warmachines/engines/skv_doom_flayer/skv_doom_flayer_blackhole_destruct.wsmodel	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.anim	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.meta		all_riders_shooting
wh2_dlc12_skv_veh_doomwheel_ikit	warmachines/engines/skv_doomwheel/skv_doom_wheel_01_destroyed.rigid_model_v2	skv_doomwheel_destruct	Generic_No_Crew_Rotate	wm_doomwheel01		skv_doomwheel_tech_lab_ror	wh2_dlc12_skv_vehicle_doomwheel_ikit				warmachines\engines\skv_doomwheel\tech						only_riders_supporting_shoot_moving
wh2_dlc12_skv_veh_doomwheel_ror	warmachines/engines/skv_doomwheel/skv_doom_wheel_doom_01_destroyed.wsmodel	skv_doomwheel_destruct	Generic_No_Crew_Rotate	wm_doomwheel01		skv_doomwheel_ror	wh2_dlc12_skv_vehicle_doomwheel_ror				warmachines\engines\skv_doomwheel\tech						only_riders_supporting_shoot_moving
wh2_dlc12_skv_veh_doomwheel_tech_lab_ror	warmachines\engines\skv_doomwheel\skv_doomwheel_warp_01_destruct.wsmodel	skv_doomwheel_warp_01_destruct	Generic_No_Crew_Rotate	wm_doomwheel01		skv_doomwheel_warp_01	wh2_main_skv_vehicle_doomwheel				warmachines\engines\skv_doomwheel\tech						only_riders_supporting_shoot_moving
wh2_dlc12_skv_veh_doomwheel_warlock_master	warmachines/engines/skv_doomwheel/skv_doom_wheel_01_destroyed.rigid_model_v2	skv_doomwheel_destruct	Generic_No_Crew_Rotate	wm_doomwheel01		skv_doomwheel	wh2_main_skv_vehicle_doomwheel				warmachines\engines\skv_doomwheel\tech						only_riders_supporting_shoot_moving
wh2_dlc13_emp_art_mortar_sootson	warmachines/engines/emp_mortar/emp_mortar_destroyed.rigid_model_v2	emp_mortar_destruct	Generic_3_Crew	wm_mortar01	wh2_dlc13_emp_mortar_sootson	emp_mortar	wh_main_emp_art_mortar										all_riders_shooting
wh2_dlc13_emp_veh_steam_tank_ror	warmachines\engines\emp_steam_tank\emp_steam_tank_destroyed_emperors_wrath_01.wsmodel	emp_steam_tank_emperors_wrath_destruct	Generic_No_Crew_Rotate	wm_steam_tank01		emp_steam_tank_ror_0	wh_main_vehicle_steam_tank				warmachines\engines\emp_steam_tank\tech						all_riders_shooting
wh2_dlc13_emp_veh_war_wagon	warmachines/chariot/emp_war_wagon/emp_war_wagon_01_destroyed.wsmodel	emp_war_wagon_destruct	Generic_No_Crew_Fixed	wm_dlc13_wagon01		emp_war_wagon	wh2_dlc13_vehicle_war_wagon			ap_draughtposition	warmachines\chariot\emp_war_wagon\tech		warmachines/chariot/emp_war_wagon/emp_war_wagon_01_destruct.wsmodel	warmachines/chariot/emp_war_wagon/emp_war_wagon_01_destruct.anim	warmachines\chariot\emp_war_wagon\emp_war_wagon_01_destruct.meta		all_riders_shooting
wh2_dlc13_emp_veh_war_wagon_hellblaster	warmachines/chariot/emp_war_wagon/emp_war_wagon_helblaster_01_destroyed.wsmodel	emp_war_wagon_hellblaster_destruct	Generic_No_Crew_Fixed	wm_dlc13_wagon01_hellblaster	wh2_dlc13_emp_helblaster_bullet_war_wagon	emp_war_wagon_hellblaster	wh2_dlc13_vehicle_war_wagon_hellblaster			ap_draughtposition	warmachines\chariot\emp_war_wagon\tech		warmachines/chariot/emp_war_wagon/emp_war_wagon_helblaster_01_destruct.wsmodel	warmachines/chariot/emp_war_wagon/emp_war_wagon_helblaster_01_destruct.anim	warmachines\chariot\emp_war_wagon\emp_war_wagon_01_destruct.meta		all_riders_shooting
wh2_dlc13_emp_veh_war_wagon_mortar	warmachines/chariot/emp_war_wagon/emp_war_wagon_mortar_01_destroyed.wsmodel	emp_war_wagon_mortar_destruct	Generic_No_Crew_Fixed	wm_dlc13_wagon01_mortar	wh2_dlc13_emp_mortar_shell_war_wagon	emp_war_wagon_mortar	wh2_dlc13_vehicle_war_wagon_mortar			ap_draughtposition	warmachines\chariot\emp_war_wagon\tech		warmachines/chariot/emp_war_wagon/emp_war_wagon_mortar_01_destruct.wsmodel	warmachines/chariot/emp_war_wagon/emp_war_wagon_mortar_01_destruct.anim	warmachines\chariot\emp_war_wagon\emp_war_wagon_01_destruct.meta		all_riders_shooting
wh2_dlc14_def_scourgerunner_chariot	warmachines\chariot\def_scourgerunner_chariot\def_scourgerunner_chariot_01_destroyed.wsmodel	def_dlc14_scourgerunner_chariot_destruct	Generic_No_Crew_Rotate	wm_cold_one_chariot01		def_dlc14_scourgerunner_chariot	wh2_dlc14_def_scourgerunner_chariot			ap_draughtposition	warmachines\chariot\def_scourgerunner_chariot\tech	ap_crewposition	warmachines/chariot/def_scourgerunner_chariot/def_scourgerunner_chariot_01_destruct.wsmodel	warmachines/chariot/def_scourgerunner_chariot/def_scourgerunner_chariot_01_destruct.anim			all_riders_shooting
wh2_dlc14_def_scourgerunner_chariot_ror	warmachines\chariot\def_scourgerunner_chariot\def_scourgerunner_ravagers_chariot_01_destroyed.wsmodel	def_dlc14_scourgerunner_chariot_ror_destruct	Generic_No_Crew_Rotate	wm_cold_one_chariot01		def_dlc14_scourgerunner_chariot_ror	wh2_dlc14_def_scourgerunner_chariot			ap_draughtposition	warmachines\chariot\def_scourgerunner_chariot\tech	ap_crewposition	warmachines/chariot/def_scourgerunner_chariot/def_scourgerunner_ravagers_chariot_01_destruct.wsmodel	warmachines/chariot/def_scourgerunner_chariot/def_scourgerunner_chariot_01_destruct.anim			all_riders_shooting
wh2_dlc14_def_veh_bloodwrack_shrine	warmachines/engines/def_bloodwrack_shrine/def_bloodwrack_shrine_01_destroyed.wsmodel	def_dlc14_bloodwrack_shrine_destruct	Generic_No_Crew_Rotate	wm_blood_cauldron01		def_dlc14_bloodwrack_shrine	wh2_dlc14_vehicle_bloodwrack_shrine				warmachines\engines\def_bloodwrack_shrine\tech	ap_crewposition	warmachines/engines/def_bloodwrack_shrine/def_bloodwrack_shrine_01_destruct.wsmodel	warmachines/engines/def_bloodwrack_shrine/def_bloodwrack_shrine_01_destruct.anim			all_riders_shooting
wh2_dlc15_grn_chariot_grom	warmachines/chariot/grn_grom_chariot/grn_grom_chariot_01_destroyed.rigid_model_v2	grn_grom_chariot_destruct	Generic_No_Crew_Rotate	wm_dlc15_gromchariot01		grn_grom_chariot	wh2_dlc15_vehicle_grn_grom_chariot			ap_draughtposition	warmachines\chariot\grn_grom_chariot\tech	ap_crewposition	warmachines/chariot/grn_grom_chariot/grn_grom_chariot_01_destruct.rigid_model_v2	warmachines/chariot/grn_grom_chariot/grn_grom_chariot_01_destruct.anim			all_riders_shooting
wh2_dlc15_grn_veh_snotling_pump_wagon	\warmachines\engines\grn_snotling_pump_wagon\grn_snotling_pump_wagon_01_destroyed.wsmodel	grn_snotling_pump_wagon_destruct	Generic_No_Crew_Rotate	wm_dlc15_wagon02_pump		grn_snotling_pump_wagon	wh2_dlc15_grn_vehicle_snotling_pump_wagon				warmachines\engines\grn_snotling_pump_wagon\tech	ap_crewposition	warmachines\engines\grn_snotling_pump_wagon\grn_snotling_pump_wagon_01_destruct.wsmodel	warmachines\engines\grn_snotling_pump_wagon\grn_snotling_pump_wagon_01_destruct.anim	warmachines\engines\grn_snotling_pump_wagon\grn_snotling_pump_wagon_roller_01_destroyed.meta		all_riders_shooting
wh2_dlc15_grn_veh_snotling_pump_wagon_flappas	\warmachines\engines\grn_snotling_pump_wagon\grn_snotling_pump_wagon_flappa_01_destroyed.wsmodel	grn_snotling_pump_wagon_flappa_destruct	Generic_No_Crew_Rotate	wm_dlc15_pumpwagon01_flappa		grn_snotling_pump_wagon_flappa	wh2_dlc15_grn_vehicle_snotling_pump_wagon_flappas				warmachines\engines\grn_snotling_pump_wagon\tech	ap_crewposition	warmachines\engines\grn_snotling_pump_wagon\grn_snotling_pump_wagon_flappa_01_destruct.wsmodel	warmachines\engines\grn_snotling_pump_wagon\grn_snotling_pump_wagon_flappa_01_destruct.anim	warmachines\engines\grn_snotling_pump_wagon\grn_snotling_pump_wagon_roller_01_destroyed.meta		all_riders_shooting
wh2_dlc15_grn_veh_snotling_pump_wagon_roller	\warmachines\engines\grn_snotling_pump_wagon\grn_snotling_pump_wagon_roller_01_destroyed.wsmodel	grn_snotling_pump_wagon_roller_destruct	Generic_No_Crew_Rotate	wm_dlc15_pumpwagon01_rolla		grn_snotling_pump_wagon_roller	wh2_dlc15_grn_vehicle_snotling_pump_wagon_roller				warmachines\engines\grn_snotling_pump_wagon\tech	ap_crewposition	warmachines\engines\grn_snotling_pump_wagon\grn_snotling_pump_wagon_roller_01_destruct.wsmodel	warmachines\engines\grn_snotling_pump_wagon\grn_snotling_pump_wagon_roller_01_destruct.anim	warmachines\engines\grn_snotling_pump_wagon\grn_snotling_pump_wagon_roller_01_destroyed.meta		all_riders_shooting
wh2_dlc15_grn_veh_snotling_pump_wagon_ror	\warmachines\engines\grn_snotling_pump_wagon\grn_snotling_pump_wagon_sporesploda_01_destroyed.wsmodel	grn_snotling_pump_wagon_sporesploda_destruct	Generic_No_Crew_Rotate	wm_dlc15_wagon02_pump		grn_snotling_pump_wagon_sporesploda	wh2_dlc15_grn_vehicle_snotling_pump_wagon				warmachines\engines\grn_snotling_pump_wagon\tech	ap_crewposition	warmachines\engines\grn_snotling_pump_wagon\grn_snotling_pump_wagon_sporesploda_01_destruct.wsmodel	warmachines\engines\grn_snotling_pump_wagon\grn_snotling_pump_wagon_sporesploda_01_destruct.anim	warmachines\engines\grn_snotling_pump_wagon\grn_snotling_pump_wagon_roller_01_destroyed.meta		all_riders_shooting
wh2_dlc15_hef_ithilmar_chariot_hero	warmachines\chariot\hef_tiranoc_chariot\hef_chariot_armored_01_destroyed.rigid_model_v2	hef_tiranoc_chariot_hero_destruct	Generic_No_Crew_Rotate	wm_tiranoc_chariot01		hef_tiranoc_chariot_hero	wh2_main_hef_ithilmar_chariot			ap_draughtposition	warmachines\chariot\hef_tiranoc_chariot\tech	ap_crewposition	warmachines\chariot\hef_tiranoc_chariot\hef_tiranoc_chariot_hero_01_destruct.rigid_model_v2	warmachines\chariot\hef_tiranoc_chariot\hef_tiranoc_chariot_hero_01_destruct.anim	warmachines\chariot\hef_tiranoc_chariot\hef_tiranoc_chariot01_destruct.meta		all_riders_shooting
wh2_dlc15_hef_lion_chariot	warmachines\chariot\hef_white_lion_chariot\hef_white_lion_chariot_destroyed.wsmodel	hef_white_lion_chariot_destruct	Generic_No_Crew_Rotate	wm_dlc15_lion_chariot01		hef_white_lion_chariot	wh2_main_hef_tiranoc_chariot			ap_draughtposition	warmachines\chariot\hef_white_lion_chariot\tech	ap_crewposition	warmachines\chariot\hef_white_lion_chariot\hef_white_lion_chariot_destruct.wsmodel	warmachines\chariot\hef_white_lion_chariot\hef_white_lion_chariot_destruct.anim			all_riders_shooting
wh2_dlc17_bst_tuskgor_chariot	warmachines\chariot\bst_tuskgor_chariot\bst_tuskgor_chariot_destroyed_01.rigid_model_v2	bst_tuskgor_chariot_destruct	Generic_No_Crew_Rotate	wm_boar_chariot01		bst_tuskgor_chariot	wh2_dlc17_veh_bst_tuskgor_chariot			ap_draughtposition	warmachines\chariot\bst_tuskgor_chariot\tech	ap_crewposition					all_riders_shooting
wh2_main_def_art_reaper_bolt_thrower	warmachines/engines/def_reaper_bolt_thrower/def_reaper_bolt_thrower_01_destroyed.rigid_model_v2	def_reaper_bolt_thrower_destruct	Generic_3_Crew	wm_bolt_thrower01	wh2_main_def_reaper_bolt_thrower_bolt	def_reaper_bolt_thrower	wh2_main_def_art_reaper_bolt_thrower										all_riders_shooting
wh2_main_def_cold_one_chariot	warmachines\chariot\def_coldone_chariot\def_coldone_chariot_01_destroyed.rigid_model_v2	def_coldone_chariot_destruct	Generic_No_Crew_Rotate	wm_cold_one_chariot01		def_coldone_chariot	wh2_main_def_cold_one_chariot			ap_draughtposition	warmachines\chariot\def_coldone_chariot\tech	ap_crewposition					all_riders_shooting
wh2_main_def_veh_cauldron_of_blood	warmachines/engines/def_bloodcauldron/def_blood_cauldron_destroyed.rigid_model_v2	def_cauldron_of_blood_destruct	Generic_No_Crew_Rotate	wm_blood_cauldron01		def_cauldron_of_blood	wh2_main_vehicle_cauldron_of_blood				warmachines\engines\def_bloodcauldron\tech	ap_crewposition					all_riders_shooting
wh2_main_hef_art_eagle_claw_bolt_thrower	warmachines/engines/hef_eagleclaw_bolt_thrower/hef_boltthrower_destroyed.rigid_model_v2	hef_eagle_claw_bolt_thrower_destruct	Generic_3_Crew	wm_bolt_thrower01b	wh2_main_hef_eagle_claw_bolt	hef_eagle_claw_bolt_thrower	wh2_main_hef_art_eagle_claw_bolt_thrower										all_riders_shooting
wh2_main_hef_ithilmar_chariot	warmachines\chariot\hef_tiranoc_chariot\hef_chariot_armored_01_destroyed.rigid_model_v2	hef_tiranoc_chariot_destruct	Generic_No_Crew_Rotate	wm_tiranoc_chariot01		hef_tiranoc_chariot	wh2_main_hef_ithilmar_chariot			ap_draughtposition	warmachines\chariot\hef_tiranoc_chariot\tech	ap_crewposition					all_riders_shooting
wh2_main_hef_tiranoc_chariot	warmachines\chariot\hef_tiranoc_chariot\hef_chariot_armored_01_destroyed.rigid_model_v2	hef_tiranoc_chariot_destruct	Generic_No_Crew_Rotate	wm_tiranoc_chariot01		hef_tiranoc_chariot	wh2_main_hef_tiranoc_chariot			ap_draughtposition	warmachines\chariot\hef_tiranoc_chariot\tech	ap_crewposition					all_riders_shooting
wh2_main_lzd_mazdamundi_palanquin	warmachines/chariot/lzd_slann_platform/lzd_mazdamundi_throne_01_destroyed.wsmodel	lzd_mazdamundi_palanquin_destruct	Generic_No_Crew_Rotate	wm_platform01		lzd_mazdamundi_palanquin	wh2_main_lzd_slann_mage_palanquin				warmachines\chariot\lzd_slann_platform\tech	ap_platform_rider_0					all_riders_shooting
wh2_main_lzd_slann_palanquin	warmachines/chariot/lzd_slann_platform/lzd_slann_palanquin_01_destroyed.rigid_model_v2	lzd_slann_palanquin_destruct	Generic_No_Crew_Rotate	wm_platform01		lzd_slann_palanquin	wh2_main_lzd_slann_mage_palanquin				warmachines\chariot\lzd_slann_platform\tech	ap_platform_rider_0					all_riders_shooting
wh2_main_skv_art_plagueclaw_catapult	warmachines/engines/skv_plagueclaw/skv_plagueclaw_01_destroyed.rigid_model_v2	skv_plagueclaw_catapult_destruct	Generic_3_Crew	wm_plagueclaw_catapult01	wh2_main_skv_plagueclaw_catapult	skv_plagueclaw_catapult	wh2_main_skv_art_plagueclaw_catapult										all_riders_shooting
wh2_main_skv_art_warplightning_cannon	warmachines\engines\skv_lightning_cannon\skv_lightning_cannon_01_destroyed.rigid_model_v2	skv_lightning_cannon_destruct	Generic_3_Crew	wm_lightning_cannon01	wh2_main_skv_warp_lightning	skv_lightning_cannon	wh2_main_skv_art_warp_lightning_cannon										all_riders_shooting
wh2_main_skv_veh_doomwheel	warmachines/engines/skv_doomwheel/skv_doom_wheel_01_destroyed.rigid_model_v2	skv_doomwheel_destruct	Generic_No_Crew_Rotate	wm_doomwheel01		skv_doomwheel	wh2_main_skv_vehicle_doomwheel				warmachines\engines\skv_doomwheel\tech						only_riders_supporting_shoot_moving
wh2_main_skv_veh_plague_furnace	warmachines\engines\skv_lightning_cannon\skv_lightning_cannon_01_destroyed.rigid_model_v2	skv_plague_furnace_destruct	Generic_No_Crew_Rotate	wm_screamingbell01_plaguefurnace		skv_plague_furnace	wh2_main_skv_vehicle_plague_furnace				warmachines\engines\skv_plague_furnace\tech						all_riders_shooting
wh2_main_skv_veh_screaming_bell	warmachines/engines/skv_screaming_bell/skv_screaming_bell_01_destroyed.rigid_model_v2	skv_screaming_bell_destruct	Generic_No_Crew_Rotate	wm_screamingbell01		skv_screaming_bell	wh2_main_skv_vehicle_screaming_bell				warmachines\engines\skv_screaming_bell\tech						all_riders_shooting
wh3_dlc20_chs_chariot_mkho_large_draught	warmachines\chariot\chs_chariot\dae_chariot_khorne_02_destroyed.wsmodel	chs_chariot_mkho_large_draught_destruction	Generic_No_Crew_Rotate	wm_kho_chaos_chariot01		chs_chariot_mkho_large_draught	wh_main_vehicle_chs_chariot			ap_draughtposition	warmachines\chariot\chs_chariot\tech		warmachines/chariot/chs_chariot/dae_chariot_khorne_02_destruct.wsmodel	warmachines/chariot/chs_chariot/chs_chariot_01_destruct.anim	warmachines/chariot/chs_chariot/dae_chariot_khorne_02_destruct.meta		all_riders_shooting
wh3_dlc20_chs_chariot_mkho_small_draught	warmachines\chariot\chs_chariot\dae_chariot_khorne_01_destroyed.wsmodel	chs_chariot_mkho_small_draught_destruction	Generic_No_Crew_Rotate	wm_kho_chaos_chariot01		chs_chariot_mkho_small_draught	wh_main_vehicle_chs_chariot			ap_draughtposition	warmachines\chariot\chs_chariot\tech		warmachines/chariot/chs_chariot/dae_chariot_khorne_01_destruct.wsmodel		warmachines/chariot/chs_chariot/dae_chariot_khorne_01_destruct.meta		all_riders_shooting
wh3_dlc20_chs_chariot_mnur_large_draught	warmachines\chariot\chs_chariot\dae_chariot_nurgle_02_destroyed.wsmodel	chs_chariot_mnur_large_draught_destruction	Generic_No_Crew_Rotate	wm_nur_chaos_chariot01		chs_chariot_mnur_large_draught	wh_main_vehicle_chs_chariot			ap_draughtposition	warmachines\chariot\chs_chariot\tech		warmachines/chariot/chs_chariot/dae_chariot_nurgle_02_destruct.wsmodel	warmachines/chariot/chs_chariot/chs_chariot_01_destruct.anim	warmachines/chariot/chs_chariot/dae_chariot_nurgle_02_destruct.meta		all_riders_shooting
wh3_dlc20_chs_chariot_mnur_small_draught	warmachines\chariot\chs_chariot\dae_chariot_nurgle_01_destroyed.wsmodel	chs_chariot_mnur_small_draught_destruction	Generic_No_Crew_Rotate	wm_nur_chaos_chariot01		chs_chariot_mnur_small_draught	wh_main_vehicle_chs_chariot			ap_draughtposition	warmachines\chariot\chs_chariot\tech		warmachines/chariot/chs_chariot/dae_chariot_nurgle_01_destroyed.wsmodel		warmachines/chariot/chs_chariot/dae_chariot_nurgle_01_destruct.meta		all_riders_shooting
wh3_dlc20_chs_chariot_msla_large_draught	warmachines\chariot\chs_chariot\dae_chariot_slaanesh_02_destroyed.wsmodel	chs_chariot_msla_large_draught_destruction	Generic_No_Crew_Rotate	wm_sla_chaos_chariot01		chs_chariot_msla_large_draught	wh_main_vehicle_chs_chariot			ap_sla_draughtposition	warmachines\chariot\chs_chariot\tech		warmachines/chariot/chs_chariot/dae_chariot_slaanesh_02_destruct.wsmodel	warmachines/chariot/chs_chariot/chs_chariot_01_destruct.anim	warmachines/chariot/chs_chariot/dae_chariot_slaanesh_02_destruct.meta		all_riders_shooting
wh3_dlc20_chs_chariot_msla_small_draught	warmachines\chariot\chs_chariot\dae_chariot_slaanesh_01_destroyed.wsmodel	chs_chariot_msla_small_draught_destruction	Generic_No_Crew_Rotate	wm_sla_chaos_chariot01		chs_chariot_msla_small_draught	wh_main_vehicle_chs_chariot			ap_sla_draughtposition	warmachines\chariot\chs_chariot\tech		warmachines/chariot/chs_chariot/dae_chariot_slaanesh_01_destruct.wsmodel		warmachines/chariot/chs_chariot/dae_chariot_slaanesh_01_destruct.meta		all_riders_shooting
wh3_dlc20_chs_chariot_mtze_large_draught	warmachines\chariot\chs_chariot\dae_chariot_tzeentch_02_destroyed.wsmodel	chs_chariot_mtze_large_draught_destruction	Generic_No_Crew_Rotate	wm_tze_chaos_chariot01		chs_chariot_mtze_large_draught	wh_main_vehicle_chs_chariot			ap_draughtposition	warmachines\chariot\chs_chariot\tech		warmachines/chariot/chs_chariot/dae_chariot_tzeentch_02_destruct.wsmodel	warmachines/chariot/chs_chariot/chs_chariot_01_destruct.anim	warmachines/chariot/chs_chariot/dae_chariot_tzeentch_02_destruct.meta		all_riders_shooting
wh3_dlc20_chs_chariot_mtze_small_draught	warmachines\chariot\chs_chariot\dae_chariot_tzeentch_01_destroyed.wsmodel	chs_chariot_mtze_small_draught_destruction	Generic_No_Crew_Rotate	wm_tze_chaos_chariot01		chs_chariot_mtze_small_draught	wh_main_vehicle_chs_chariot			ap_draughtposition	warmachines\chariot\chs_chariot\tech		warmachines/chariot/chs_chariot/dae_chariot_tzeentch_01_destruct.wsmodel		warmachines/chariot/chs_chariot/dae_chariot_tzeentch_01_destruct.meta		all_riders_shooting
