key	description	show_in_uied	can_player_set	unnamed colour group_1
common	colour used for tiers	true	false	66FF00
context_link	For event feed links	true	false	B95C00
context_link_mouseover	For event feed links	true	false	C86B0F
cooking_ingredients_group_1	Colour used for the cooking system	true	false	98FF00
cooking_ingredients_group_2	Colour used for the cooking system	true	false	FF9D00
cooking_ingredients_group_3	Colour used for the cooking system	true	false	32ADFF
cooking_ingredients_group_4	Colour used for the cooking system	true	false	FF4E4E
cooking_ingredients_group_5	Colour used for the cooking system	true	false	FFED00
cooking_ingredients_group_6	Colour used for the cooking system	true	false	BA9FDD
dark_g	Positive. Generic colour usesd by UI for text tags, fonts, images, etc. 	true	false	1E490C
dark_r	Negative. Generic colour usesd by UI for text tags, fonts, images, etc. 	true	false	AA0000
dark_y	Generic colour usesd by UI for text tags, fonts, images, etc	true	false	8C8C00
dip_attitude_0	hostile - RGBS to match diplomatic attitude icon in campaign	true	false	C63118
dip_attitude_1	very unfriendly - RGBS to match diplomatic attitude icon in campaign	true	false	FF622D
dip_attitude_2	unfriendly - RGBS to match diplomatic attitude icon in campaign	true	false	FF622D
dip_attitude_3	neutral - RGBS to match diplomatic attitude icon in campaign	true	false	FFAD5B
dip_attitude_4	friendly - RGBS to match diplomatic attitude icon in campaign	true	false	D7FE38
dip_attitude_5	very friendly - RGBS to match diplomatic attitude icon in campaign	true	false	A0FF37
dip_attitude_6	best friends - RGBS to match diplomatic attitude icon in campaign	true	false	A0FF37
epic	colour used for tiers	true	false	A600FF
fabulous_pink	Colour used by UI for text tags	true	false	F33BFF
fatigue_active	Colour for this fatigue state in battle	false	false	A0FF37
fatigue_exhausted	Colour for this fatigue state in battle	false	false	FF2D2D
fatigue_fresh	Colour for this fatigue state in battle	false	false	A0FF37
fatigue_tired	Colour for this fatigue state in battle	false	false	FFAD5B
fatigue_very_tired	Colour for this fatigue state in battle	false	false	FF2D2D
fatigue_winded	Colour for this fatigue state in battle	false	false	FFAD5B
fe_white	Generic colour usesd by UI for text tags, fonts, images, etc	true	false	FFF8D7
garrison_attack_range	Used for garrisons when they have an attack range setup	true	false	EE82EE
geomantic_web_1	used for geomantic web text	false	false	FF0000
geomantic_web_2	used for geomantic web text	false	false	FF5E00
geomantic_web_3	used for geomantic web text	false	false	FFBA00
geomantic_web_4	used for geomantic web text	false	false	CFFF00
geomantic_web_5	used for geomantic web text	false	false	5BCA00
green	Positive. Generic colour usesd by UI for text tags, fonts, images, etc. 	true	false	A0FF37
group_colour1	Colour for this battle group index (used for group frame for example)	false	false	780700
group_colour10	Colour for this battle group index (used for group frame for example)	false	false	00649A
group_colour2	Colour for this battle group index (used for group frame for example)	false	false	B75A00
group_colour3	Colour for this battle group index (used for group frame for example)	false	false	E09600
group_colour4	Colour for this battle group index (used for group frame for example)	false	false	9BDA1E
group_colour5	Colour for this battle group index (used for group frame for example)	false	false	A5A600
group_colour6	Colour for this battle group index (used for group frame for example)	false	false	6D7800
group_colour7	Colour for this battle group index (used for group frame for example)	false	false	65A000
group_colour8	Colour for this battle group index (used for group frame for example)	false	false	057700
group_colour9	Colour for this battle group index (used for group frame for example)	false	false	009492
harmony_yang	Colour used to indicate a unit has a Yang battle harmony buff	true	false	FFFFFF
harmony_yin	Colour used to indicate a unit has a Yin battle harmony buff	true	false	000000
help_page_link_inactive	Yellow colour for inactive links on help pages/infotext (for links that only show tooltips and can't be clicked on)	true	false	FFE77F
hidden	placeholder	false	false	808080
link	Colour used for hyperlinked text in UI	true	false	B95C00
link_mouseover	Colour used for hyperlinked text in UI	true	false	C86B0F
link_visited	Fade orange/brown colour for visited links on help pages/infotext	true	false	A87A54
link_visited_mouseover	Fade orange/brown colour for visited links on help pages/infotext	true	false	B78963
magic	Colour magic is shown as in UI (used on text, icons, campaign tacmap, etc)	true	false	41E1E1
magic_barrier	Colour of magic barrier ui	true	false	82E1E1
magic_range_link	Colour of magic link spline in area of effect display system when targetting spells	false	false	ACE1E7
missing_string	Used to tag missing string text to make them more obvious since now return keys of failed lookups rather than missign string text	false	false	FF1493
morale_broken	Colour for this morale state in battle	true	false	FFFFFF
morale_confident	Colour for this morale state in battle	true	false	A0FF37
morale_eager	Colour for this morale state in battle	true	false	A0FF37
morale_impetuous	Colour for this morale state in battle	true	false	A0FF37
morale_shaken	Colour for this morale state in battle	true	false	FF2D2D
morale_shattered	Colour for this morale state in battle	true	false	FFFFFF
morale_steady	Colour for this morale state in battle	true	false	A0FF37
morale_wavering	Colour for this morale state in battle	true	false	FF2D2D
not_for_translation	placeholder	false	false	F7F9C8
orange	Generic colour usesd by UI for text tags, fonts, images, etc	true	false	FFAD5B
placeholder	placeholder	false	false	FF943F
projectile_trajectory_ability	Shown for projectile trajectories aiming abilities that fire projectile	false	false	FF9900
projectile_trajectory_blocked	Shown for projectile trajectories when something in the way of the projectile (like an obstacle)	false	false	808080
projectile_trajectory_loaded	Shown for projectile trajectories when loaded. Colour gets lerped between this and loaded.	false	false	406616
projectile_trajectory_moving	Shown for projectile trajectories when firing unit currently moving so wont fire until stationary	false	false	0000C8
projectile_trajectory_unloaded	Shown for projectile trajectories when unloaded. Colour gets lerped between this and loaded.	false	false	FF2D2D
rare	colour used for tiers	true	false	00C6FF
red	Negative. Generic colour usesd by UI for text tags, fonts, images, etc. 	true	false	FF2D2D
subtitle_azazel	Subtitle colour for Azazel character	false	false	99549E
subtitle_belakor	Subtitle colour for Belakor character	false	false	CEC0C0
subtitle_boris	Subtitle colour for Boris Ursus character	false	false	7AA7D6
subtitle_daemon_prince	Subtitle colour for Daemon Prince character	false	false	BCBCBC
subtitle_festus	Subtitle colour for Festus character	false	false	68851D
subtitle_golgfag	Subtitle colour for Golgfag character	false	false	C6BA99
subtitle_greasus	Subtitle colour for Greasus Goldtooth character	false	false	C6BA99
subtitle_kairos_future	Subtitle colour for Kairos Fateweaver - future head character	false	false	FEF234
subtitle_kairos_past	Subtitle colour for Kairos Fateweaver - past head character	false	false	98E956
subtitle_katarin	Subtitle colour for Katarin character	false	false	84ACE3
subtitle_kislev_crowd	Subtitle colour for "Kislev crowd" character	false	false	D9B2BF
subtitle_kostaltyn	Subtitle colour for Kostaltyn character	false	false	CEC0E1
subtitle_kugath	Subtitle colour for Ku'gath character	false	false	AFCB9E
subtitle_miao_ying	Subtitle colour for Miao Ying character	false	false	ABB3B6
subtitle_nkari	Subtitle colour for N'Kari character	false	false	C7A3C4
subtitle_ogres	Subtitle colour for "ogres" character	false	false	C6C09B
subtitle_skarbrand	Subtitle colour for Skarbrand character	false	false	D18686
subtitle_skrag	Subtitle colour for Skrag the Slaughterer character	false	false	C79381
subtitle_spirits	Subtitle colour for "spirits" character	false	false	95CFCE
subtitle_ursun	Subtitle colour for Ursun character	false	false	78B8DD
subtitle_valkia	Subtitle colour for Valkia character	false	false	B52222
subtitle_vilitch	Subtitle colour for Vilitch character	false	false	9AA4C0
subtitle_zhao_ming	Subtitle colour for Zhao Ming character	false	false	CDC7C7
team_colour_ally_1	Multiplayer battle team colour	true	false	7ED7FF
team_colour_ally_2	Multiplayer battle team colour	true	false	55AFE6
team_colour_ally_3	Multiplayer battle team colour	true	false	2B85BC
team_colour_ally_4	Multiplayer battle team colour	true	false	1E5C8A
team_colour_ally_5	Multiplayer battle team colour	false	false	9ECADE
team_colour_ally_6	Multiplayer battle team colour	false	false	79A5C1
team_colour_ally_7	Multiplayer battle team colour	false	false	4F7B97
team_colour_ally_8	Multiplayer battle team colour	false	false	39586F
team_colour_enemy_1	Multiplayer battle team colour	true	false	C41400
team_colour_enemy_2	Multiplayer battle team colour	true	false	FF3C43
team_colour_enemy_3	Multiplayer battle team colour	true	false	FF7E8D
team_colour_enemy_4	Multiplayer battle team colour	true	false	A80200
team_colour_enemy_5	Multiplayer battle team colour	false	false	933B31
team_colour_enemy_6	Multiplayer battle team colour	false	false	CE6D70
team_colour_enemy_7	Multiplayer battle team colour	false	false	DE9EA5
team_colour_enemy_8	Multiplayer battle team colour	false	false	7E2B2A
team_colour_ffa_1	Multiplayer battle team colour	true	false	FF4200
team_colour_ffa_2	Multiplayer battle team colour	true	false	9200FF
team_colour_ffa_3	Multiplayer battle team colour	true	false	469F1C
team_colour_ffa_4	Multiplayer battle team colour	true	false	00D6D4
threat_high	Battle threat colour	true	false	C41400
threat_low	Battle threat colour	true	false	6AA924
threat_medium	Battle threat colour	true	false	FFAD5B
transported_army	Colour used to indicate a transported army	true	false	FF8C00
ui_font_blue	placeholder	true	false	57A7FF
ui_font_blue_light	placeholder	true	false	41E1E1
ui_font_brown	placeholder	true	false	4D3019
ui_font_brown_dark	placeholder	true	false	A52A00
ui_font_brown_faded	placeholder	true	false	914D3C
ui_font_faded_grey_beige	placeholder	true	false	A99F89
ui_font_green_light	placeholder	true	false	BAEE1E
ui_font_inactive_grey	placeholder	true	false	666666
ui_font_inactive_grey_light	placeholder	true	false	C0C0C0
ui_font_orange	placeholder	true	false	FC8A23
ui_font_yellow	placeholder	true	false	FFD700
unapproved	placeholder	false	false	FFAEC9
untranslated	placeholder	false	false	5AD54D
white	Generic white colour for use in text tags, etc	true	false	FFFFFF
yellow	Generic colour usesd by UI for text tags, fonts, images, etc	true	false	FFB900
