campaign_group	transported_military_force_unit_pool
grn_faction_boost_pool_province_lands_of_stone_and_steel	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_marches_of_couronne	grn_faction_boost_pool_province_marches_of_couronne
grn_faction_boost_pool_province_marshes_of_madness	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_middenland	grn_faction_boost_pool_province_middenland
grn_faction_boost_pool_province_middle_mountains	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_mootland	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_mosquito_swamps	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_mount_li	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_mountains_of_hel	grn_faction_boost_pool_province_mountains_of_hel
grn_faction_boost_pool_province_mountains_of_mourn	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_mountains_of_naglfari	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_mouth_of_ruin	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_nagarythe	grn_faction_boost_pool_province_nagarythe
grn_faction_boost_pool_province_nongchang_basin	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_nordland	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_northern_grey_mountains	grn_faction_boost_pool_province_northern_grey_mountains
grn_faction_boost_pool_province_northern_sylvania	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_northern_wastes	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_northern_worlds_edge_mountains	grn_faction_boost_pool_province_northern_worlds_edge_mountains
grn_faction_boost_pool_province_northern_yvresse	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_obsidian_peaks	grn_faction_boost_pool_province_obsidian_peaks
grn_faction_boost_pool_province_ostermark	grn_faction_boost_pool_province_ostermark
grn_faction_boost_pool_province_ostland	grn_faction_boost_pool_province_ostland
grn_faction_boost_pool_province_path_to_the_east	grn_faction_boost_pool_province_path_to_the_east
grn_faction_boost_pool_province_peak_pass	grn_faction_boost_pool_province_peak_pass
grn_faction_boost_pool_province_phoenix_gate	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_pirates_current	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_plain_of_illusions	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_plains_of_xen	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_red_desert	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_reikland	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_rib_peaks	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_river_brienne	grn_faction_boost_pool_province_river_brienne
grn_faction_boost_pool_province_river_lynsk	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_river_qurveza	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_river_urskoy	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_saphery	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_scorpion_coast	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_serpent_estuary	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_shifting_sands	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_solland	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_southern_badlands	grn_faction_boost_pool_province_southern_badlands
grn_faction_boost_pool_province_southern_grey_mountains	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_southern_jungles	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_southern_oblast	grn_faction_boost_pool_province_southern_oblast
grn_faction_boost_pool_province_southern_sylvania	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_southern_worlds_edge_mountains	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_southern_yvresse	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_southlands_worlds_edge_mountains	grn_faction_boost_pool_province_southlands_worlds_edge_mountains
grn_faction_boost_pool_province_spine_of_sotek	grn_faction_boost_pool_province_spine_of_sotek
grn_faction_boost_pool_province_spiteful_peaks	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_stirland	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_stonesky_foothills	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_talabecland	grn_faction_boost_pool_province_talabecland
grn_faction_boost_pool_province_talsyn	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_abyssal_glacier	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_black_flood	grn_faction_boost_pool_province_the_black_flood
grn_faction_boost_pool_province_the_blasted_wastes	grn_faction_boost_pool_province_the_blasted_wastes
grn_faction_boost_pool_province_the_bleak_coast	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_blighted_marshes	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_blood_marshes	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_broken_lands	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_capes	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_clawed_coast	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_cold_mires	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_cracked_land	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_creeping_jungle	grn_faction_boost_pool_province_the_creeping_jungle
grn_faction_boost_pool_province_the_cursed_city	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_daemonium_hills	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_desolation_of_azgorh	grn_faction_boost_pool_province_the_desolation_of_azgorh
grn_faction_boost_pool_province_the_dragon_isles	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_eternal_lagoon	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_forbidden_jungle	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_golden_pass	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_great_canal	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_great_ocean	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_gwangee_valley	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_haunted_forest	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_howling_wastes	grn_faction_boost_pool_province_the_howling_wastes
grn_faction_boost_pool_province_the_ice_fire_plains	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_isthmus_coast	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_jungles_of_the_gods	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_lost_valley	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_maw	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_misty_hills	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_night_forest_road	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_noisome_tumour	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_plain_of_bones	grn_faction_boost_pool_province_the_plain_of_bones
grn_faction_boost_pool_province_the_plain_of_zharr	grn_faction_boost_pool_province_the_plain_of_zharr
grn_faction_boost_pool_province_the_red_wastes	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_road_of_skulls	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_sacred_pools	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_shard_lands	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_silver_road	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_skull_road	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_southern_wastes	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_turtle_isles	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_vaults	grn_faction_boost_pool_province_the_vaults
grn_faction_boost_pool_province_the_wasteland	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_witchs_wood	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_witchwood	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_the_wolf_lands	grn_faction_boost_pool_province_the_wolf_lands
grn_faction_boost_pool_province_tilea	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_tiranoc	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_titan_peaks	grn_faction_boost_pool_province_titan_peaks
grn_faction_boost_pool_province_torgovann	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_troll_country	grn_faction_boost_pool_province_troll_country
grn_faction_boost_pool_province_trollheim_mountains	grn_faction_boost_pool_province_trollheim_mountains
grn_faction_boost_pool_province_unicorn_gate	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_vampire_coast	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_vanaheim_mountains	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_volcanic_islands	grn_faction_boost_pool_province_volcanic_islands
grn_faction_boost_pool_province_warpstone_desert	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_wastelands_of_jinshen	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_western_badlands	grn_faction_boost_pool_province_western_badlands
grn_faction_boost_pool_province_western_border_princes	grn_faction_boost_pool_province_western_border_princes
grn_faction_boost_pool_province_western_great_bastion	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_western_jungles	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_western_oblast	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_winters_teeth_pass	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_wissenland	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_wydrioth	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_wyrm_pass	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_yn_edri_eternos	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_zorn_uzkul	grn_faction_boost_pool_province_zorn_uzkul
wh2_main_grn_faction_boost_pool_generic	grn_faction_boost_pool_generic
wh3_main_kho_transport_army_pool_hounds	wh3_main_kho_transport_army_pool_hounds
