environment	type	reverb
high_elves_hills	plains	plains
high_elves_hills	urban	urban
high_elves_mwnl_steps_of_isha_01	forest	forest
high_elves_mwnl_steps_of_isha_01	plains	plains
high_elves_mwnl_steps_of_isha_01	urban	urban
high_elves_mwnl_steps_of_isha_02	forest	forest
high_elves_mwnl_steps_of_isha_02	plains	plains
high_elves_mwnl_steps_of_isha_02	urban	urban
high_elves_mwnl_steps_of_isha_03	forest	forest
high_elves_mwnl_steps_of_isha_03	plains	plains
high_elves_mwnl_steps_of_isha_03	urban	urban
high_elves_mwnl_steps_of_isha_04	forest	forest
high_elves_mwnl_steps_of_isha_04	plains	plains
high_elves_mwnl_steps_of_isha_04	urban	urban
high_elves_qb_arnheim	forest	forest
high_elves_qb_arnheim	plains	plains
high_elves_qb_arnheim	urban	urban
high_elves_qb_tower_of_hoeth	forest	forest
high_elves_qb_tower_of_hoeth	plains	plains
high_elves_qb_tower_of_hoeth	urban	urban
khorne	forest	forest
khorne	plains	plains
khornestorm	forest	forest
khornestorm	plains	plains
khornestorm	urban	urban
khorne	urban	urban
kislev	forest	forest
kislev	plains	plains
kislev	urban	urban
lizardmen_jungle	forest	forest
lizardmen_jungle	plains	plains
lizardmen_jungle	urban	urban
lizardmen_mountain_thunder	forest	forest
lizardmen_mountain_thunder	plains	plains
lizardmen_mountain_thunder	urban	urban
lizardmen_mountain	forest	forest
lizardmen_mountain	plains	plains
lizardmen_mountain	urban	urban
lizardmen_qb_crimson_skull	forest	forest
lizardmen_qb_crimson_skull	plains	plains
lizardmen_qb_crimson_skull	urban	urban
lizardmen_qb_fallen_gates	forest	forest
lizardmen_qb_fallen_gates	plains	plains
lizardmen_qb_fallen_gates	urban	urban
lizardmen_qb_mosquito_swamp	forest	forest
lizardmen_qb_mosquito_swamp	plains	plains
lizardmen_qb_mosquito_swamp	urban	urban
lizardmen_swamp	forest	forest
lizardmen_swamp	plains	plains
lizardmen_swamp	urban	urban
nordic	forest	forest
nordic	plains	plains
nordic	urban	urban
nurgle	forest	forest
nurgle	plains	plains
nurglestorm	forest	forest
nurglestorm	plains	plains
nurglestorm	urban	urban
nurgle	urban	urban
ogres	forest	forest
ogres	plains	plains
ogres	urban	urban
prologue_kislev_chaos	forest	forest
prologue_kislev_chaos	plains	plains
prologue_kislev_chaos	urban	urban
prologue_kislev_tzeentch	forest	forest
prologue_kislev_tzeentch	plains	plains
prologue_kislev_tzeentch	urban	urban
skaven_cavern	forest	forest
skaven_cavern	plains	underground
skaven_cavern	urban	urban
skaven_desert	forest	forest
skaven_desert	plains	plains
skaven_desert	urban	urban
skaven_marsh_forest	forest	forest
skaven_marsh_forest	plains	plains
skaven_marsh_forest	urban	urban
skaven_marsh	forest	forest
skaven_marsh	plains	plains
skaven_marsh	urban	urban
slaanesh	plains	underground
slaaneshstorm	plains	underground
tomb_kings_cavern	forest	forest
tomb_kings_cavern	plains	underground
tomb_kings_cavern	urban	urban
tomb_kings_desert	forest	forest
tomb_kings_desert	plains	plains
tomb_kings_desert	urban	urban
tomb_kings_qb_final_battle	forest	forest
tomb_kings_qb_final_battle	plains	plains
tomb_kings_qb_final_battle	urban	urban
tomb_kings_qb_staff_of_nagash	forest	forest
tomb_kings_qb_staff_of_nagash	plains	plains
tomb_kings_qb_staff_of_nagash	urban	urban
tzeentch	plains	underground
tzeentchstorm	plains	underground
vampire	forest	forest
vampire	plains	plains
vampire	urban	urban
volcanic	forest	forest
volcanic	plains	plains
volcanic	urban	urban
wood_elves_autumn	forest	forest
wood_elves_autumn	plains	plains
wood_elves_autumn	urban	urban
wood_elves_generic	forest	forest
wood_elves_generic	plains	plains
wood_elves_generic	urban	urban
wood_elves_night	forest	forest
wood_elves_night	plains	plains
wood_elves_night	urban	urban
wood_elves_sea_is_lake	forest	forest
wood_elves_sea_is_lake	plains	plains
wood_elves_sea_is_lake	urban	urban
wood_elves_winter	forest	forest
wood_elves_winter	plains	plains
wood_elves_winter	urban	urban
