context	priority	profile
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_norsca
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_norsca_major
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_norsca_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_norsca_vassal
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_ogre
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_ogre_greedy
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_ogre_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_passive
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_sentinels
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_skaven
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_skaven_major
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_skaven_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_skaven_unfriendly
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_slaanesh
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_slaanesh_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_tombkings
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_tombkings_major
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_tombkings_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_tombkings_passive
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_vampire
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_vampire_major
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_vampire_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_vampire_unfriendly
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_vampirecoast
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_vampirecoast_major
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_vampirecoast_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_woc
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_woodelf
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_woodelf_major
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_woodelf_major_secondary
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_woodelf_minor
