key	default_deal_evaluation_component
wh3_deal_eval_profile_vampire_minor	wh3_deal_eval_vampire_minor
wh3_deal_eval_profile_vampire_unfriendly	wh3_deal_eval_vampire_unfriendly
wh3_deal_eval_profile_vampirecoast	wh3_deal_eval_vampirecoast
wh3_deal_eval_profile_vampirecoast_major	wh3_deal_eval_vampirecoast_major
wh3_deal_eval_profile_vampirecoast_minor	wh3_deal_eval_vampirecoast_minor
wh3_deal_eval_profile_woc	wh3_deal_eval_woc
wh3_deal_eval_profile_woodelf	wh3_deal_eval_woodelf
wh3_deal_eval_profile_woodelf_major	wh3_deal_eval_woodelf_major
wh3_deal_eval_profile_woodelf_major_secondary	wh3_deal_eval_woodelf_major_secondary
wh3_deal_eval_profile_woodelf_minor	wh3_deal_eval_woodelf_minor
