key	combat_random_vocalisation	drowning_random_vocalisation	fatigued_idle_random_vocalisation	fatigued_moving_random_vocalisation	idle_random_vocalisation	running_random_vocalisation	musician_event	switch	material	walking_random_vocalisation	group_movement	limitation	idle_looping_sound	moving_looping_sound	rotating_looping_sound	actor_type	group_flying_idle	group_flying_moving	only_uses_material	group_movement_armour_override	group_idle	attenuation_scale	group_melee_armour_override	triggers_cinematic	sphere_of_influence_default	sphere_of_influence_combat	should_use_unique_entity_switches	max_unique_entity_switches	use_focus_rtpc	max_camera_distance_for_focus	min_camera_distance_for_focus	focus_rtpc	unique_entity_switch	consider_moving	group_idle_shoot	group_idle_combat_ready	record_id	focus_pool	min_units_focus_velocity	required_switch	landing_event	landing_limitation_scale	vox_vmd_slot_name	ignore_armour_priority
wh2_dlc11_cst_Harkon_LORD				wh2_cst_luthor_harkon_fatigue	wh2_cst_luthor_harkon_idle	wh2_cst_luthor_harkon_running	Battle_Musician_Event		wood	wh2_cst_luthor_harkon_walking		Lord_Hero							false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			1576219256		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_cst_Noctilus_LORD				wh2_dlc11_noctilus_fatigue	wh2_dlc11_noctilus_idle	wh2_dlc11_noctilus_running	Battle_Musician_Event		wood	wh2_dlc11_noctilus_walking		Lord_Hero							false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			1178945988		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_cst_animated_hulk			wh2_dlc_cst_animated_hulk_idle	wh2_dlc_cst_animated_hulk_walking	wh2_dlc_cst_animated_hulk_idle	wh2_dlc_cst_animated_hulk_running	Battle_Musician_Event	wh2_dlc11_cst_animated_hulk	wood	wh2_dlc_cst_animated_hulk_walking	wh_grp_movement_beast_heavy_medium	large				wh2_dlc_cst_animated_hulk			false			1.0000		true			false	0.0000	false	0.0000	0.0000			false			1961407389		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_cst_animated_hulk_actor1			wh2_dlc_cst_animated_hulk_idle	wh2_dlc_cst_animated_hulk_walking	wh2_dlc_cst_animated_hulk_idle	wh2_dlc_cst_animated_hulk_running	Battle_Musician_Event	wh2_dlc11_cst_animated_hulk	wood	wh2_dlc_cst_animated_hulk_walking	wh2_grp_movement_beast_heavy_stagger	large				wh2_dlc_cst_animated_hulk			false			1.0000		true			false	0.0000	true	35.0000	5.0000	Battle_Focus_Entity		false			650129119	animated_hulk_pool	0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_cst_animated_hulk_actor2			wh2_dlc_cst_animated_hulk_idle	wh2_dlc_cst_animated_hulk_walking	wh2_dlc_cst_animated_hulk_idle	wh2_dlc_cst_animated_hulk_running	Battle_Musician_Event	wh2_dlc11_cst_animated_hulk	wood	wh2_dlc_cst_animated_hulk_walking	wh2_grp_movement_beast_heavy_stagger	large				wh2_dlc_cst_animated_hulk			false			1.0000		true			false	0.0000	true	35.0000	5.0000	Battle_Focus_Entity		false			241521436	animated_hulk_pool	0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_cst_animated_hulk_actor3			wh2_dlc_cst_animated_hulk_idle	wh2_dlc_cst_animated_hulk_walking	wh2_dlc_cst_animated_hulk_idle	wh2_dlc_cst_animated_hulk_running	Battle_Musician_Event	wh2_dlc11_cst_animated_hulk	wood	wh2_dlc_cst_animated_hulk_walking	wh2_grp_movement_beast_heavy_stagger	large				wh2_dlc_cst_animated_hulk			false			1.0000		true			false	0.0000	true	35.0000	5.0000	Battle_Focus_Entity		false			1475087556	animated_hulk_pool	0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_cst_bloated_corpse			wh2_dlc11_bloated_corpse_flies_idle		wh2_dlc11_bloated_corpse_flies_idle	wh2_dlc11_bloated_corpse_flies_idle	Battle_Musician_Event		wood	wh2_dlc11_bloated_corpse_flies_idle		large							false			1.0000		false		large_creature_combat	false	0.0000	true	45.0000	5.0000	Battle_Focus_Entity		false			369149994		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_cst_damned_knight							Battle_Musician_Event		wood			medium				wh2_dlc11_cst_damned_knights			false			1.0000		false			false	0.0000	false	0.0000	0.0000			false			1147222952		0.0000			0.5000		true
wh2_dlc11_cst_damned_knight_LH							Battle_Musician_Event		wood			Lord_Hero				wh2_dlc11_cst_damned_knights			false			1.2000		true	hero_default	hero_default	false	0.0000	false	0.0000	0.0000			false			1137004330		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_cst_deck_dropper_bat					wh2_dlc11_cst_deck_dropper_bat_idle	wh2_dlc11_cst_deck_dropper_bat_running	Battle_Musician_Event		wood	wh2_dlc11_cst_deck_dropper_bat_walking	wh_grp_movement_flying_vargheists	large					wh_grp_movement_flying_vargheists	wh_grp_movement_flying_vargheists	false		wh_grp_movement_flying_vargheists	1.3000		true			false	0.0000	true	45.0000	10.0000	Battle_Focus_Entity		false			220729209		0.0000		Battle_Individual_Footstep_Landing_Hover_Medium	0.5000		true
wh2_dlc11_cst_deck_gunner_crew					wh2_dlc11_cst_zombie_idle	wh2_dlc11_cst_zombie_running	Battle_Musician_Event		wood	wh2_dlc11_cst_zombie_walking	wh_grp_movement_humanoid_rabble_only	medium				wh2_dlc11_cst_zombie			false	wh2_grp_foley_movement_leather_stagger		1.0000		false			false	0.0000	false	0.0000	0.0000			false			669693380		0.0000			0.5000		true
wh2_dlc11_cst_depth_guard			wh2_cst_depth_guard_fatigue	wh2_cst_depth_guard_fatigue	wh2_cst_depth_guard_idle	wh2_cst_depth_guard_running	Battle_Musician_Event		wood	wh2_cst_depth_guard_walking	wh_grp_movement_humanoid	medium				wh2_dlc11_depth_guard			false			1.0000		false			false	0.0000	false	0.0000	0.0000			false			1536812110		0.0000			0.5000		true
wh2_dlc11_cst_fleet_captain_female_LH			wh2_cst_fleet_captain_female_fatigue	wh2_cst_fleet_captain_female_fatigue	wh2_cst_fleet_captain_female_idle	wh2_cst_fleet_captain_female_running	Battle_Musician_Event		wood	wh2_cst_fleet_captain_female_walking		Lord_Hero							false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			2110329941		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_cst_mourngul_LH							Battle_Musician_Event		wood			veryloud							false			1.0000		true	hero_default	hero_combat	false	0.0000	true	100.0000	10.0000	Battle_Focus_Entity		true			726875499		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_cst_mournguls						wh2_dlc11_cst_mourngul_running	Battle_Musician_Event		wood	wh2_dlc11_cst_mourngul_walking	wh2_grp_movement_mournguls	large							false			1.0000		true			false	0.0000	true	45.0000	10.0000	Battle_Focus_Entity		false			1047616409		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_cst_rotting_leviathan							Battle_Musician_Event		wood			veryloud							false			1.0000		true		large_creature_combat	false	0.0000	true	100.0000	10.0000	Battle_Focus_Entity		true			1226112034		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_cst_rotting_prometheans							Battle_Musician_Event		wood		wh2_grp_movement_rotting_prometheans	large							false			1.0000		false			false	0.0000	true	45.0000	10.0000	Battle_Focus_Entity		false			1059464451		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_cst_syreens					wh2_dlc11_cst_syreens_idle	wh2_dlc11_cst_syreens_moving	Battle_Musician_Event		wood	wh2_dlc11_cst_syreens_moving	wh2_grp_movement_syreens	medium				wh2_dlc11_cst_syreens			false			1.0000		false			false	0.0000	false	0.0000	0.0000			false			402663021		0.0000			0.5000		true
wh2_dlc11_cst_war_machine_queen_bess	wh_wooden_creaks			wh_wooden_creaks	wh_wooden_creaks	wh_wooden_creaks	Battle_Musician_Event		wood	wh_wooden_creaks		war_machine		wh_war_machine_queen_bess_movement	wh_war_machine_queen_bess_rotation				true			1.0000		false			false	0.0000	false	0.0000	0.0000			false			871468338		0.0000			0.5000		true
wh2_dlc11_cst_zombie_mob					wh2_dlc11_cst_zombie_idle	wh2_dlc11_cst_zombie_running	Battle_Musician_Event		wood	wh2_dlc11_cst_zombie_walking	wh_grp_movement_humanoid_rabble_only	medium				wh2_dlc11_cst_zombie			false	wh2_grp_foley_movement_leather_stagger		1.0000		false			false	0.0000	false	0.0000	0.0000			false			747765364		0.0000			0.5000		true
wh2_dlc11_necrofex_colossus			wh2_dlc11_bloated_corpse_flies_idle		wh2_dlc11_bloated_corpse_flies_idle		Battle_Musician_Event		wood			veryloud							true			1.0000		true		large_creature_combat	false	0.0000	true	100.0000	10.0000	Battle_Focus_Entity		true			1116162756	necrofex_pool	0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_necrofex_colossus_ror							Battle_Musician_Event		wood			veryloud							true			1.0000		true		large_creature_combat	false	0.0000	true	100.0000	10.0000	Battle_Focus_Entity		true			1830386409	necrofex_pool	0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc12_Ancient_salamander						wh2_ancient_salamander_running	Battle_Musician_Event		wood	wh2_ancient_salamander_walking		veryloud							false			1.0000		true		large_creature_combat	false	0.0000	true	100.0000	10.0000	Battle_Focus_Entity		true			1285346910		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc12_ripperdactyl					wh2_dlc12_ripperdactyl_idle	wh2_dlc12_ripperdactyl_running	Battle_Musician_Event		wood	wh2_dlc12_ripperdactyl_walking		large							false			1.0000		false			false	0.0000	true	50.0000	10.0000	Battle_Focus_Entity		false			1888965491		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc12_ripperdactyl_LH					wh2_dlc12_ripperdactyl_idle_lh	wh2_dlc12_ripperdactyl_running_lh	Battle_Musician_Event		wood	wh2_dlc12_ripperdactyl_walking_lh		Lord_Hero							false			1.2000		true			false	0.0000	false	0.0000	0.0000			false			1920593185		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc12_salamander						wh2_salamander_running	Battle_Musician_Event		wood	wh2_salamander_walking	wh2_grp_movement_beast_medium_salamanders	large							false	wh_grp_foley_movement_beast_heavy_leather		1.0000		false			false	0.0000	true	35.0000	5.0000	Battle_Focus_Entity		false			2000150186		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc12_skaven_jezzails					wh2_skaven_default_idle	wh2_skaven_default_running	Battle_Musician_Event		wood	wh2_skaven_default_walking	wh_grp_movement_beast_light	medium				wh2_skaven			false	wh_grp_foley_movement_segmented		1.1000		false			false	0.0000	false	0.0000	0.0000			false			1609591485		0.0000			0.5000		true
wh2_dlc12_skaven_stormvermin_ror					wh2_skaven_default_idle	wh2_skaven_default_running	Battle_Musician_Event		wood	wh2_skaven_default_walking	wh_grp_movement_beast_light	medium				wh2_skaven			false			0.9500		false			false	0.0000	false	0.0000	0.0000			false		wh2_dlc12_grp_vocalisation_skaven_idle	1002740372		0.0000			0.5000		true
wh2_dlc12_skaven_warlock_master_LH						wh2_skaven_warlock_master_running	Battle_Musician_Event		wood	wh2_skaven_warlock_master_walking		Lord_Hero							false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			1266531743		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc12_war_machine_doom_flayer							Battle_Musician_Event		metal			doomflayer	wh2_dlc12_war_machine_doom_flayer_movement	wh2_dlc12_war_machine_doom_flayer_movement	wh2_dlc12_war_machine_doom_flayer_movement				true			1.0000		false			true	4.0000	true	50.0000	15.0000	Battle_Entity_Focus_Slew_Warmachine	BATTLE_DOOMFLAYER_ENTITY	true			390179876		0.0000			0.5000		true
wh2_dlc13_dread_saurian									wood			veryloud							false			1.0000		true		large_creature_combat	false	0.0000	true	150.0000	10.0000	Battle_Focus_Entity		true			1009629699	dread_saurian_pool	0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc13_feral_dread_saurian									wood			veryloud							false			1.0000		true		large_creature_combat	false	0.0000	true	150.0000	10.0000	Battle_Focus_Entity		true			1650754379	dread_saurian_pool	0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc13_human_male_Markus_LORD			wh2_dlc13_empire_markus_wulfhart_fatigue	wh2_dlc13_empire_markus_wulfhart_fatigue	wh2_dlc13_empire_markus_wulfhart_idle	wh2_dlc13_empire_markus_wulfhart_running	Battle_Musician_Event	wh2_emp_markus	wood	wh2_dlc13_empire_markus_wulfhart_walking		Lord_Hero							false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			940393188		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc13_human_male_huntsman_LH			wh2_dlc13_empire_huntsman_fatigue	wh2_dlc13_empire_huntsman_fatigue	wh2_dlc13_empire_huntsman_idle	wh2_dlc13_empire_huntsman_running	Battle_Musician_Event	wh2_emp_huntsmen	wood	wh2_dlc13_empire_huntsman_idle		Lord_Hero				wh2_dlc13_huntsman_male			false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			1873013785		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc13_kroxigor_nakai_LORD				wh2_dlc13_nakai_fatigue		wh2_dlc13_nakai_running	Battle_Musician_Event		wood	wh2_dlc13_nakai_walking		Lord_Hero							false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			92924580		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc13_razordon							Battle_Musician_Event		wood		wh2_grp_movement_beast_medium_salamanders	large							false	wh_grp_foley_movement_beast_heavy_leather		1.0000		false			false	0.0000	true	35.0000	5.0000	Battle_Focus_Entity		false			227513224		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc13_saurus_gor_rok_LORD				wh2_dlc13_gor_rok_fatigue		wh2_dlc13_gor_rok_running	Battle_Musician_Event		wood	wh2_dlc13_gor_rok_idle		Lord_Hero							false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			337924661		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc13_war_machine_warwagon							Battle_Musician_Event		wood			war_machine		wh_luminark_movement	wh_luminark_movement_rotation				true			1.0000		false			false	0.0000	true	100.0000	10.0000	Battle_Focus_Warmachine		true			1758832800		0.0000			0.5000		true
wh2_dlc14_brt_repanse_de_lyonesse_LORD			wh_dlc14_repanse_idle		wh_dlc14_repanse_idle	wh_dlc14_repanse_running	Battle_Musician_Event		wood	wh_dlc14_repanse_walking		Lord_Hero							false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			699066176		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc14_chaos_tzarkan_Lord							Battle_Musician_Event		wood			Lord_Hero							false			1.2100		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			1759409196		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc14_def_harpies_RoR					wh_dlc_wef_harpies_idle	wh_dlc_wef_harpies_running	Battle_Musician_Event	wh_harpy	wood	wh_dlc_wef_harpies_walking	wh_grp_movement_flying_vargheists	small					wh_grp_movement_flying_vargheists	wh_grp_movement_flying_vargheists	false	wh_grp_movement_flying_vargheists		1.0000		false			false	0.0000	false	0.0000	0.0000			false			69174629		0.0000		Battle_Individual_Footstep_Landing_Hover_Medium	0.5000		true
wh2_dlc14_def_malus_darkblade_LORD							Battle_Musician_Event		wood			Lord_Hero							false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			1049290414		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc14_def_medusa				wh2_dlc14_medusa_moving		wh2_dlc14_medusa_moving	Battle_Musician_Event		wood	wh2_dlc14_medusa_moving		veryloud							false			1.0500		true		large_creature_combat	false	0.0000	true	100.0000	10.0000	Battle_Focus_Entity		true			6623563		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc14_skaven_master_assassin_LH							Battle_Musician_Event		wood			Lord_Hero							false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			2100095580		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
