agent	fame_level	cap
champion	2053725232	1
dignitary	2053725232	1
engineer	2053725232	1
runesmith	2053725232	1
spy	2053725232	1
wizard	2053725232	1
champion	2079048479	1
dignitary	2079048479	1
engineer	2079048479	1
runesmith	2079048479	1
spy	2079048479	1
wizard	2079048479	1
champion	2112957621	1
dignitary	2112957621	1
engineer	2112957621	1
runesmith	2112957621	1
spy	2112957621	1
wizard	2112957621	1
champion	2119733508	1
dignitary	2119733508	1
engineer	2119733508	1
runesmith	2119733508	1
spy	2119733508	1
wizard	2119733508	1
champion	2122468383	1
dignitary	2122468383	1
engineer	2122468383	1
runesmith	2122468383	1
spy	2122468383	1
wizard	2122468383	1
champion	234991103	1
dignitary	234991103	1
engineer	234991103	1
runesmith	234991103	1
spy	234991103	1
wizard	234991103	1
champion	23510121	1
dignitary	23510121	1
engineer	23510121	1
runesmith	23510121	1
spy	23510121	1
wizard	23510121	1
champion	235541012	1
dignitary	235541012	1
engineer	235541012	1
runesmith	235541012	1
spy	235541012	1
wizard	235541012	1
champion	291620572	1
dignitary	291620572	1
engineer	291620572	1
runesmith	291620572	1
spy	291620572	1
wizard	291620572	1
champion	414431428	1
dignitary	414431428	1
engineer	414431428	1
runesmith	414431428	1
spy	414431428	1
wizard	414431428	1
champion	497745825	1
dignitary	497745825	1
engineer	497745825	1
runesmith	497745825	1
spy	497745825	1
wizard	497745825	1
champion	558386984	1
dignitary	558386984	1
engineer	558386984	1
runesmith	558386984	1
spy	558386984	1
wizard	558386984	1
champion	627115813	1
dignitary	627115813	1
engineer	627115813	1
runesmith	627115813	1
spy	627115813	1
wizard	627115813	1
champion	655128030	1
dignitary	655128030	1
engineer	655128030	1
runesmith	655128030	1
spy	655128030	1
wizard	655128030	1
champion	686604972	1
dignitary	686604972	1
engineer	686604972	1
runesmith	686604972	1
spy	686604972	1
wizard	686604972	1
champion	689420216	1
dignitary	689420216	1
engineer	689420216	1
runesmith	689420216	1
spy	689420216	1
wizard	689420216	1
champion	704780821	1
dignitary	704780821	1
engineer	704780821	1
runesmith	704780821	1
spy	704780821	1
wizard	704780821	1
champion	713190735	1
dignitary	713190735	1
engineer	713190735	1
runesmith	713190735	1
spy	713190735	1
wizard	713190735	1
champion	717578617	1
dignitary	717578617	1
engineer	717578617	1
runesmith	717578617	1
spy	717578617	1
wizard	717578617	1
champion	78025659	1
dignitary	78025659	1
engineer	78025659	1
runesmith	78025659	1
spy	78025659	1
wizard	78025659	1
champion	890308960	1
dignitary	890308960	1
engineer	890308960	1
runesmith	890308960	1
spy	890308960	1
wizard	890308960	1
champion	901381999	1
dignitary	901381999	1
engineer	901381999	1
runesmith	901381999	1
spy	901381999	1
wizard	901381999	1
champion	915645680	1
dignitary	915645680	1
engineer	915645680	1
runesmith	915645680	1
spy	915645680	1
wizard	915645680	1
champion	91795524	1
dignitary	91795524	1
engineer	91795524	1
runesmith	91795524	1
spy	91795524	1
wizard	91795524	1
champion	93134777	1
dignitary	93134777	1
engineer	93134777	1
runesmith	93134777	1
spy	93134777	1
wizard	93134777	1
champion	940586027	1
dignitary	940586027	1
engineer	940586027	1
runesmith	940586027	1
spy	940586027	1
wizard	940586027	1
champion	946235613	1
dignitary	946235613	1
engineer	946235613	1
runesmith	946235613	1
spy	946235613	1
wizard	946235613	1
champion	994021197	1
dignitary	994021197	1
engineer	994021197	1
runesmith	994021197	1
spy	994021197	1
wizard	994021197	1
