model	animation_set	variant	scale	actor	ignore_rider_variant_scale	vfx_filter	banner_relative_to_mount	prebattle_separation_offset
wh2_dlc16_cam_mnt_wef_great_stag	cam_st1_dlc16_great_stag	wh2_dlc16_wef_great_stag_campaign	1.0000	vo_culture_None	false	0	true	0.0000
wh2_dlc16_cam_mnt_wef_sisters_dragon	cam_dr1_dragon	wh2_dlc16_wef_sisters_forest_dragon_campaign	0.5500	wh_dlc05_vo_culture_Forest_Dragon	false	0	false	-4.0000
wh2_dlc16_cam_mnt_wef_sisters_eagle	cam_bi1_eagle	wh2_dlc16_wef_great_eagle_gwindalor	0.6000	wh_main_vo_culture_Eagle	false	0	false	0.0000
wh2_dlc17_cam_mnt_bst_tuskgor_chariot	cam_wm_tuskgor_chariot	wh2_dlc17_campaign_bst_beastlord_tuskgor_chariot	0.7000	wh_dlc03_vo_culture_Boar	false	0	false	0.0000
wh2_dlc17_cam_mnt_dwf_anvil_of_doom_thorek	cam_th1_throne_of_power	wh2_dlc17_dwf_thorek_anvil_campaign	1.0000	wh_main_vo_culture_Dwarf	false	0	true	0.0000
wh2_dlc17_cam_mnt_lzd_troglodon	cam_rp3b_dlc17_troglodon	wh2_dlc17_lzd_mnt_troglodon	0.8000	wh2_main_vo_culture_Lizardmen	false	0	false	0.0000
wh2_dlc20_cam_mnt_dae_gorebeast_chariot	cam_wm_dlc20_gorebeast_chariot_01	wh3_dlc20_campaign_dae_gorebeast_chariot	1.0000	wh_dlc01_vo_culture_Gorebeast	false	0	false	0.0000
wh2_dlc25_cam_mnt_emp_warhorse_armoured_elspeth	cam_hr1_warhorse	wh3_dlc25_emp_mnt_warhorse_armoured_elspeth	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh2_main_cam_mnt_def_black_dragon	cam_dr1_dragon	wh2_main_def_mon_black_dragon_mount	0.5500	wh2_main_vo_culture_Black_Dragon	false	0	false	-4.0000
wh2_main_cam_mnt_def_cauldron_of_blood	cam_lord_wm_blood_cauldron01	wh2_main_def_cauldron_of_blood_campaign	0.5500	wh2_main_vo_culture_Dark_Elves	false	0	false	0.0000
wh2_main_cam_mnt_def_cold_one	cam_lord_rp3_cold_one	wh2_main_def_cold_one_campaign	1.0000	wh2_main_vo_culture_Dark_Elves	true	0	false	0.0000
wh2_main_cam_mnt_def_cold_one_chariot	cam_lord_wm_cold_one_chariot01	wh2_main_def_cold_one_chariot_campaign	0.7000	wh2_main_vo_culture_Dark_Elves	false	0	false	0.0000
wh2_main_cam_mnt_def_dark_pegasus	cam_hr1_pegasus	wh2_main_def_dark_pegasus_campaign	1.0000	wh_main_vo_culture_Pegasus	false	0	false	0.0000
wh2_main_cam_mnt_def_dark_steed	cam_hr1_warhorse	wh2_main_def_dark_steed_campaign	1.0000	wh2_main_vo_culture_Dark_Elves	true	0	false	0.0000
wh2_main_cam_mnt_def_seraphon	cam_dr1_dragon	wh2_main_def_black_dragon_seraphon	0.5500	wh_main_vo_culture_Dragon_Large	false	0	false	-4.0000
wh2_main_cam_mnt_def_sulephet	cam_hr1_pegasus	wh2_main_def_dark_pegasus_sulephet_campaign	1.0000	wh_main_vo_culture_Pegasus	false	0	false	0.0000
wh2_main_cam_mnt_hef_barded_ithilmar_steed	cam_hr1_warhorse	wh2_main_hef_barded_steed_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh2_main_cam_mnt_hef_elven_steed	cam_hr1_warhorse	wh2_main_hef_steed_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh2_main_cam_mnt_hef_great_eagle	cam_bi1_eagle	wh2_main_hef_great_eagle_mount	0.6000	wh_main_vo_culture_Eagle	false	0	false	0.0000
wh2_main_cam_mnt_hef_ithilmar_chariot	cam_hero_wm_tiranoc_chariot_01	wh2_main_hef_ithilmar_chariot_campaign	0.8500	wh2_main_vo_culture_High_Elves	false	0	false	0.0000
wh2_main_cam_mnt_hef_malhandhir	cam_hr1_warhorse	wh2_main_hef_malhandhir_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh2_main_cam_mnt_hef_moon_dragon	cam_dr1_dragon	wh2_main_hef_moon_dragon_mount	0.5500	wh2_main_vo_culture_Moon_Dragon	false	0	false	-4.0000
wh2_main_cam_mnt_hef_star_dragon	cam_dr1_dragon	wh2_main_hef_star_dragon_mount	0.5500	wh2_main_vo_culture_Star_Dragon	false	0	false	-4.0000
wh2_main_cam_mnt_hef_sun_dragon	cam_dr1_dragon	wh2_main_hef_sun_dragon_mount	0.5500	wh2_main_vo_culture_Sun_Dragon	false	0	false	-4.0000
wh2_main_cam_mnt_lzd_carnosaur	cam_lord_rp3b_carnosaur	wh2_main_lzd_mnt_carnosaur	0.8000	wh2_main_vo_culture_Lizardmen	false	0	false	0.0000
wh2_main_cam_mnt_lzd_cold_one	cam_lord_rp3_cold_one	wh2_main_lzd_cold_one_campaign	1.0000	wh2_main_vo_culture_Lizardmen	true	0	false	0.0000
wh2_main_cam_mnt_lzd_grymloq	cam_lord_rp3b_carnosaur	wh2_main_lzd_mnt_carnosaur_grymloq	0.8000	wh2_main_vo_culture_Lizardmen	false	0	false	0.0000
wh2_main_cam_mnt_lzd_horned_one	cam_lord_rp3_cold_one	wh2_main_lzd_horned_one_campaign	1.0000	wh2_main_vo_culture_Lizardmen	true	0	false	0.0000
wh2_main_cam_mnt_lzd_mazdamundi_platform	cam_wm_platform01	wh2_main_lzd_mazdamundi_platform	0.7500	wh2_main_vo_culture_Lizardmen	false	0	false	0.0000
wh2_main_cam_mnt_lzd_platform	cam_wm_platform01	wh2_main_lzd_platform	0.7500	wh2_main_vo_culture_Lizardmen	false	0	false	0.0000
wh2_main_cam_mnt_lzd_stegadon	cam_lord_hq1_stegadon	wh2_main_lzd_stegadon_1	0.7000	wh2_main_vo_culture_Stegadon	false	0	false	0.0000
wh2_main_cam_mnt_lzd_stegadon_ancient	cam_lord_hq1_stegadon	wh2_main_lzd_stegadon_ancient	0.7000	wh2_main_vo_culture_Stegadon	false	0	false	0.0000
wh2_main_cam_mnt_lzd_stegadon_zlaaq	cam_lord_hq1_stegadon	wh2_main_lzd_stegadon_zlaaq_campaign	0.5000	wh2_main_vo_culture_Stegadon	false	0	false	0.0000
wh2_main_cam_mnt_lzd_terradon	cam_hero_bi3_terradon	wh2_main_lzd_terradon	0.6000	wh2_main_vo_culture_Terradon	false	0	false	0.0000
wh2_main_cam_mnt_skv_bonebreaker	cam_lord_hu18_rat_ogre_claws	wh2_main_skv_rat_ogre_bonebreaker	1.0000	wh2_main_vo_culture_Skaven	false	0	true	0.0000
wh2_main_cam_mnt_skv_plague_furnace	cam_lord_wm_screamingbell01_plague_furnace	wh2_main_skv_plague_furnace_campaign	0.4000	wh2_main_vo_culture_Skaven	false	0	false	0.0000
wh2_main_cam_mnt_skv_screaming_bell	cam_lord_wm_screaming_bell01	wh2_main_skv_screaming_bell_campaign	0.4000	wh2_main_vo_culture_Skaven	false	0	true	0.0000
wh2_twa01_cam_mnt_grn_spider_shrine	cam_sp1_giant_spider	wh2_twa01_grn_arachnarok_spidershrine_campaign	0.7000	wh_main_vo_culture_Spider_Large	true	0	false	0.0000
wh2_twa03_cam_mnt_def_bracchus	cam_dr1_dragon	wh2_twa03_def_mnt_black_dragon_bracchus	0.5500	wh_main_vo_culture_Dragon_Large	false	0	false	-4.0000
wh3_dlc20_cam_mnt_chs_chaos_steed_mkho_lord	cam_hr1_warhorse	wh3_dlc20_chs_chaos_steed_mkho_large_campaign	1.0000	wh3_main_vo_culture_Khorne	false	162	false	0.0000
wh3_dlc20_cam_mnt_chs_chaos_steed_mnur_lord	cam_hr1_warhorse	wh3_dlc20_chs_chaos_steed_mnur_large_campaign	1.0000	wh3_main_vo_culture_Nurgle	false	163	false	0.0000
wh3_dlc20_cam_mnt_chs_chaos_steed_msla_lord	cam_hr1_warhorse	wh3_dlc20_chs_chaos_steed_msla_large_campaign	1.0000	wh3_main_vo_culture_Slaanesh	false	165	false	0.0000
wh3_dlc20_cam_mnt_chs_chaos_steed_mtze_lord	cam_hr1_warhorse	wh3_dlc20_chs_chaos_steed_mtze_large_campaign	1.0000	wh3_main_vo_culture_Tzeentch	false	164	false	0.0000
wh3_dlc20_cam_mnt_chs_chariot	cam_wm_marauder_chariot	wh3_dlc20_campaign_chs_chariot	1.0000	wh_main_vo_culture_Horse	false	0	false	0.0000
wh3_dlc20_cam_mnt_chs_chariot_khorne	cam_wm_marauder_chariot	wh3_dlc20_campaign_chs_chariot_khorne	1.0000	wh_main_vo_culture_Horse	false	0	false	0.0000
wh3_dlc20_cam_mnt_chs_chariot_nurgle	cam_wm_marauder_chariot	wh3_dlc20_campaign_chs_chariot_nurgle	1.0000	wh_main_vo_culture_Horse	false	0	false	0.0000
wh3_dlc20_cam_mnt_chs_chariot_slaanesh	cam_wm_marauder_chariot	wh3_dlc20_campaign_chs_chariot_slaanesh	1.0000	wh_main_vo_culture_Horse	false	0	false	0.0000
wh3_dlc20_cam_mnt_chs_chariot_tzeentch	cam_wm_marauder_chariot	wh3_dlc20_campaign_chs_chariot_tzeentch	1.0000	wh_main_vo_culture_Horse	false	0	false	0.0000
wh3_dlc20_cam_mnt_chs_warshrine	cam_wsh1_dlc20_warshrine	wh3_dlc20_chs_mon_warshrine	0.6200	vo_culture_Invalid	false	161	false	0.0000
wh3_dlc20_cam_mnt_chs_warshrine_mkho	cam_wsh1_dlc20_warshrine	wh3_dlc20_chs_mon_warshrine_mkho	0.6200	vo_culture_Invalid	false	162	false	0.0000
wh3_dlc20_cam_mnt_chs_warshrine_mnur	cam_wsh1_dlc20_warshrine	wh3_dlc20_chs_mon_warshrine_mnur	0.6200	vo_culture_Invalid	false	163	false	0.0000
wh3_dlc20_cam_mnt_chs_warshrine_msla	cam_wsh1_dlc20_warshrine	wh3_dlc20_chs_mon_warshrine_msla	0.6200	vo_culture_Invalid	false	165	false	0.0000
wh3_dlc20_cam_mnt_chs_warshrine_mtze	cam_wsh1_dlc20_warshrine	wh3_dlc20_chs_mon_warshrine_mtze	0.6200	vo_culture_Invalid	false	164	false	0.0000
wh3_dlc20_cam_mnt_mkho_juggernaut	cam_lord_hq4_wh3_juggernaut	wh3_main_kho_juggernaut	1.0000	wh3_main_vo_culture_Khorne	false	0	false	0.0000
wh3_dlc20_cam_mnt_mtze_disc_sorcerer	cam_disc01_sorcerer	wh3_dlc20_tze_mnt_disc_sorcerer	1.0000	wh3_main_vo_culture_Tzeentch	false	164	false	0.0000
wh3_dlc23_cam_mnt_bale_taurus	cam_ox1_dlc23_bale_taurus	wh3_dlc23_chd_mon_bale_taurus_mount	1.1500	wh3_dlc23_vo_culture_Chd_Bale_Taurus	true	0	false	0.0000
wh3_dlc23_cam_mnt_bale_taurus_cages	cam_ox1_dlc23_bale_taurus_cages	wh3_dlc23_chd_mon_bale_taurus_cinderbreath	1.1500	wh3_dlc23_vo_culture_Chd_Bale_Taurus	true	0	false	0.0000
wh3_dlc23_cam_mnt_great_taurus	cam_ox1_dlc23_great_taurus	wh3_dlc23_chd_mon_great_taurus_mount	1.1500	wh3_dlc23_vo_culture_Chd_Bale_Taurus	false	0	false	0.0000
wh3_dlc23_cam_mnt_lammasu	cam_bc2c_dlc23_lammasu	wh3_dlc23_chd_mon_lammasu_mount	1.1500	wh3_dlc23_vo_culture_Chaos_Dwarfs	false	0	false	0.0000
wh3_dlc23_cam_mnt_neu_ulrika_warhorse	cam_hr1_warhorse	wh3_dlc23_ksl_mnt_horse_heavy_ulrika	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh3_dlc24_cam_cht_ksl_hag_witch_chariot	cam_wm_dlc24_hag_witch_sled_02	wh3_dlc24_ksl_hag_witch_sled_campaign	0.8500	vo_culture_None	false	0	false	0.0000
wh3_dlc24_cam_cht_ksl_ostankya_chariot	cam_wm_dlc24_ostankya_sled_01	wh3_dlc24_ksl_mother_ostankya_sled_campaign	0.8500	wh3_dlc24_vo_culture_things_in_the_woods	false	0	false	0.0000
wh3_dlc24_cam_mnt_cth_celestial_lion	cam_bc2_celestial_lion	wh3_dlc24_cth_mnt_celestial_lion	1.1500	wh3_main_vo_culture_Cathay	false	0	false	0.0000
wh3_dlc24_cam_mnt_cth_great_moon_bird	cam_bi1_eagle	wh3_dlc24_cth_mnt_great_moon_bird	0.6000	wh3_main_vo_culture_Cathay	false	0	false	0.0000
wh3_dlc24_cam_mnt_ksl_chariot_katarin	cam_wm_dlc24_katarin_sled_02	wh3_dlc24_ksl_katarin_sled_campaign	0.7000	wh_main_vo_culture_Horse	false	0	false	0.0000
wh3_dlc24_cam_mnt_ksl_frost_wyrm	cam_lz02_frostwyrm	wh3_dlc24_ksl_mon_frost_wyrm_mount	0.3000	wh3_main_vo_culture_Kislev	false	0	false	-2.0000
wh3_dlc25_cam_mnt_carmine_dragon	cam_dr1_dragon	wh3_dlc25_emp_mnt_carmine_dragon	0.5500	wh2_main_vo_culture_Star_Dragon	false	0	false	0.0000
wh3_dlc25_cam_mnt_emp_mechanical_steed	cam_hr2_warhorse	wh3_dlc25_emp_mnt_mechanical_steed_campaign	1.0000	wh_main_vo_culture_Horse	false	0	false	0.0000
wh3_dlc25_cam_mnt_emp_steam_tank	cam_wm_steam_tank01	wh3_dlc25_emp_mnt_steam_tank_campaign	0.7000	wh_main_vo_culture_Horse	false	0	false	0.0000
wh3_dlc25_cam_mnt_nur_rot_beast	cam_bc4_dlc25_rot_beast	wh3_dlc25_nur_cav_rot_beasts_campaign	0.7500	vo_culture_None	false	0	false	0.0000
wh3_dlc25_cam_mnt_nur_rot_beast_kayzk	cam_bc4_dlc25_rot_beast	wh3_dlc25_nur_cav_rot_beasts	0.5700	vo_culture_None	false	0	false	0.0000
wh3_dlc25_cam_mnt_nur_tamurkhan_bubebolos	cam_dr05_dlc25_toad_dragon_bubebolos	wh3_dlc25_nur_mon_bubebolos	0.4500	wh3_dlc25_vo_culture_toad_dragon	false	0	false	-8.0000
wh3_dlc25_cam_mnt_palanquin_epidemius	cam_pl1_wh3_nurgle_palanquin01	wh3_dlc25_nur_nurgling_palanquin_epidemius	1.0000	wh3_main_vo_culture_Nurgle	false	0	false	0.0000
wh3_dlc25_cam_mnt_reaper	cam_bc2_reaper	wh3_dlc25_emp_mnt_demigryph_reaper	0.9000	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph	false	0	false	0.0000
wh3_main_cam_mnt_cth_jade_longma	cam_hr1_pegasus	wh3_main_cth_mnt_jade_longma_lord	1.0000	wh3_main_vo_culture_Cathay	false	0	false	0.0000
wh3_main_cam_mnt_cth_sky_lantern	cam_wm_wh3_skylantern	wh3_main_cth_veh_sky_lantern	0.4000	wh3_main_vo_culture_Cathay	true	0	true	0.0000
wh3_main_cam_mnt_cth_warhorse	cam_hr1_warhorse	wh3_main_cth_mnt_horse_hero	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh3_main_cam_mnt_cth_wu_xing_war_compass	cam_warcompass01	wh3_main_cth_war_compass_campaign	0.5000	wh3_main_vo_culture_Cathay	false	0	false	0.0000
wh3_main_cam_mnt_kho_blood_throne	cam_wm_wh3_blood_throne01_herald	wh3_main_kho_veh_blood_throne	1.0000	wh3_main_vo_culture_Khorne	true	0	false	0.0000
wh3_main_cam_mnt_kho_chaos_steed_cultist	cam_hr1_warhorse	wh3_dlc20_chs_chaos_steed_mkho_large_campaign	1.0000	wh3_main_vo_culture_Khorne	false	151	false	0.0000
wh3_main_cam_mnt_kho_juggernaut	cam_lord_hq4_wh3_juggernaut	wh3_main_kho_juggernaut_bloodcrusher	1.0000	wh3_main_vo_culture_Khorne	false	0	false	0.0000
wh3_main_cam_mnt_ksl_urskin	cam_lord_be1_wh3_warbear	wh3_main_ksl_mnt_war_bear_urskin	1.0000	wh3_main_vo_culture_Kislev	false	0	false	0.0000
wh3_main_cam_mnt_ksl_war_bear_corrupted	cam_lord_be1_wh3_warbear	wh3_main_ksl_mnt_war_bear_corrupted	1.0000	wh3_main_vo_culture_Kislev	false	0	false	0.0000
wh3_main_cam_mnt_ksl_war_bear_heavy_katarin	cam_lord_be1_wh3_warbear	wh3_main_ksl_mnt_war_bear_heavy	1.0000	wh3_main_vo_culture_Kislev	false	0	false	0.0000
wh3_main_cam_mnt_ksl_war_bear_medium_beige	cam_lord_be1_wh3_warbear	wh3_main_ksl_mnt_war_bear_medium_beige	1.0000	wh3_main_vo_culture_Kislev	false	0	false	0.0000
wh3_main_cam_mnt_ksl_war_bear_medium_brown	cam_lord_be1_wh3_warbear	wh3_main_ksl_mnt_war_bear_medium_brown	1.0000	wh3_main_vo_culture_Kislev	false	0	false	0.0000
wh3_main_cam_mnt_ksl_war_bear_medium_white	cam_lord_be1_wh3_warbear	wh3_main_ksl_mnt_war_bear_medium_white	1.0000	wh3_main_vo_culture_Kislev	false	0	false	0.0000
wh3_main_cam_mnt_ksl_warhorse_boris	cam_hr1_warhorse	wh3_main_ksl_horse_heavy_tzar	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh3_main_cam_mnt_ksl_warhorse_heavy	cam_hr1_warhorse	wh3_main_ksl_horse_heavy	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh3_main_cam_mnt_ksl_warhorse_heavy_corrupted	cam_hr1_warhorse	wh3_main_ksl_horse_heavy_corrupted	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh3_main_cam_mnt_ksl_warhorse_ice	cam_hr1_warhorse	wh3_main_ksl_horse_heavy_ice	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh3_main_cam_mnt_ksl_warhorse_patriarch	cam_hr1_warhorse	wh3_main_ksl_horse_medium	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh3_main_cam_mnt_nur_chaos_steed_cultist	cam_hr1_warhorse	wh3_dlc20_chs_chaos_steed_mnur	1.0000	wh3_main_vo_culture_Nurgle	false	152	false	0.0000
wh3_main_cam_mnt_nur_kugath_palanquin	cam_pl2_wh3_nurgle_kugathpalanquin01	wh3_nur_mnt_palanquin_kugath	0.4000	wh3_main_vo_culture_Nurgle	false	0	false	0.0000
wh3_main_cam_mnt_nur_palanquin	cam_pl1_wh3_nurgle_palanquin01	wh3_nur_mnt_nurgling_palanquin	1.0000	wh3_main_vo_culture_Nurgle	false	0	false	0.0000
wh3_main_cam_mnt_nur_rot_fly	cam_lord_in1_wh3_rot_fly	wh3_main_nur_rot_fly	1.0000	wh3_main_vo_culture_Nurgle	false	0	false	0.0000
wh3_main_cam_mnt_ogr_stonehorn	cam_hero_hq3b_wh3_stonehorn	wh3_main_ogr_mon_stonehorn	0.4000	wh3_main_vo_culture_Ogres	false	0	false	0.0000
wh3_main_cam_mnt_sla_chaos_steed_cultist	cam_hr1_warhorse	wh3_dlc20_chs_chaos_steed_msla	1.0000	wh3_main_vo_culture_Slaanesh	false	153	false	0.0000
wh3_main_cam_mnt_sla_exalted_seeker_chariot	cam_wm_wh3_seekerchariot01	wh3_main_campaign_sla_seeker_chariot_exalted	1.0000	wh3_main_vo_culture_Slaanesh	false	0	false	0.0000
wh3_main_cam_mnt_sla_seeker_chariot	cam_wm_wh3_seekerchariot01	wh3_main_campaign_sla_seeker_chariot	1.0000	wh3_main_vo_culture_Slaanesh	false	0	false	0.0000
wh3_main_cam_mnt_sla_steed_of_slaanesh	cam_lord_rp1_wh3_steed_of_slaanesh	wh3_main_sla_mnt_steed_of_slaanesh	1.0000	wh3_main_vo_culture_Slaanesh	false	0	false	0.0000
wh3_main_cam_mnt_tze_burning_chariot	cam_lord_wm_wh3_burning_chariot01	wh3_main_tze_mnt_burning_chariot_of_tzeentch_0	1.0000	wh3_main_vo_culture_Tzeentch	false	0	false	4.0000
wh3_main_cam_mnt_tze_chaos_steed_cultist	cam_hr1_warhorse	wh3_dlc20_chs_chaos_steed_mtze	1.0000	wh3_main_vo_culture_Tzeentch	false	157	false	0.0000
wh3_main_cam_mnt_tze_disc_of_tzeentch	cam_disc01_disc_of_tzeentch	wh3_main_tze_mnt_disc_of_tzeentch	1.0000	wh3_main_vo_culture_Tzeentch	false	0	false	0.0000
wh_dlc03_cam_mnt_bst_razorgor_chariot	cam_wm_razorgor_chariot	wh_campaign_bst_beastlord_razorgor_chariot	0.7000	wh_dlc03_vo_culture_Boar	false	0	false	0.0000
wh_dlc03_cam_mnt_emp_amber_wizard_griffon	cam_bc2_griffon	wh_dlc03_emp_amber_wizard_griffon	0.7500	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph	false	0	false	0.0000
wh_dlc04_cam_mnt_emp_war_altar	cam_wm_war_altar	wh_campaign_emp_war_altar	0.6500	wh_main_vo_culture_Empire	false	0	false	0.0000
wh_dlc04_cam_mnt_vmp_corpse_cart	cam_wm_corpse_cart	wh_dlc04_campaign_vmp_corpse_cart	0.8000	wh_main_vo_culture_Vampire	false	0	false	0.0000
wh_dlc04_cam_mnt_vmp_corpse_cart_balefire	cam_wm_corpsecart01_balefire	wh_dlc04_campaign_vmp_corpse_cart_balefire	0.8000	wh_main_vo_culture_Vampire	false	0	false	0.0000
wh_dlc04_cam_mnt_vmp_corpse_cart_helman	cam_wm_corpsecart01_helman	wh_dlc04_campaign_vmp_corpse_cart_helman	0.8000	wh_main_vo_culture_Vampire	false	0	false	0.0000
wh_dlc04_cam_mnt_vmp_corpse_cart_lodestone	cam_wm_corpsecart01_lodestone	wh_dlc04_campaign_vmp_corpse_cart_lodestone	0.8000	wh_main_vo_culture_Vampire	false	0	false	0.0000
