key	max_attenuation_fire	max_attenuation_impact	max_attenuation_inflight	inflight_min_speed	fire_start_event	fire_stop_event	incoming_event	impact_event	impact_blood_event	inflight_start_event	inflight_stop_event	hit_tree_start_event	hit_tree_stop_event	idle_start_event	idle_stop_event	max_attenuation_idle	obstruction_size	use_reverb	group_fire	group_inflight	group_impact	incoming_time	rtpc_1_name	rtpc_1_assignment	rtpc_2_name	rtpc_2_assignment	switch_1	fire_only_trigger_once_per_volley	inflight_only_trigger_once_per_volley	impact_only_trigger_once_per_volley	flyby_event	flyby_distance	doppler_rtpc_name	limitation	limitation_scale_fire	limitation_scale_inflight	limitation_scale_impact	limitation_scale_incoming	limitation_scale_flyby
wh2_catapult_screamingskull_spread	250.0000	240.0000	250.0000	15.0000	Battle_Individual_Projectile_Screaming_Skull_Catapult_Launch_Whoosh		Battle_Individual_Projectile_Incoming_Rock	Battle_Individual_Projectile_Screaming_Skull_Catapult_Impact_Combined								100.0000	0.0000	true		wh2_grp_projectile_screaming_skull_catapult_inflight	wh2_grp_projectile_screaming_skull_catapult_impact	1.0000	Battle_Projectile_Speed	Projectile_Speed				false	true	true	Battle_Individual_Projectile_Incoming_Screaming_Skull_Catapult	25.0000	Battle_Projectile_Doppler	magic	1.0000	0.5000	1.0000	0.5000	0.5000
wh2_crossbow_bolt_flaming_new	150.0000	100.0000	50.0000	22.0000	Battle_Individual_Projectile_Bolt_Fire_Flaming			Battle_Individual_Projectile_Bolt_Impact		Battle_Individual_Projectile_Bolt_InFlight_Flaming_Play	Battle_Individual_Projectile_Bolt_InFlight_Flaming_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	false		wh_grp_projectile_arrow_inflight_flaming	wh_grp_projectile_crossbow_impact	1.0000						false	false	false	Battle_Individual_Projectile_Arrow_Passby	17.0000		small	1.0000	0.0000	1.0000	0.5000	0.8000
wh2_dart_Large_Poison	150.0000	100.0000	100.0000	22.0000				Battle_Individual_Projectile_Dart_Impact_Large_Poison				Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	false		wh2_grp_projectile_dart_inflight_normal	wh2_grp_projectile_dart_impact_normal	1.0000						false	false	false	Battle_Individual_Projectile_Dart_Flyby	10.0000		small	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dart_normal	150.0000	100.0000	100.0000	22.0000				Battle_Individual_Projectile_Dart_Impact				Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	false		wh2_grp_projectile_dart_inflight_normal	wh2_grp_projectile_dart_impact_normal	1.0000						false	false	false	Battle_Individual_Projectile_Dart_Flyby	10.0000		small	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_def_tower_fireball	500.0000	500.0000	500.0000	10.0000	Battle_IND_Projectile_DEF_Fireball_Launch		Battle_IND_Projectile_DEF_Fireball_Incoming			Battle_IND_Projectile_DEF_Fireball_Inflight_Start	Battle_IND_Projectile_DEF_Fireball_Inflight_Stop					500.0000	0.0000	true				1.0000						false	false	false		10.0000		magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc09_abilities_venom_staff	500.0000	500.0000	500.0000	22.0000	IND_Magic_Venom_Staff_Launch		IND_Magic_Venom_Staff_Flyby	IND_Magic_Venom_Staff_Impact		IND_Magic_Venom_Staff_Inflight_Start	IND_Magic_Venom_Staff_Inflight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	true				1.0000						true	true	true	IND_Magic_Venom_Staff_Flyby	10.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	1.0000	0.9000	0.9000
wh2_dlc10_ability_the_moonbow	500.0000	500.0000	500.0000	22.0000	Battle_IND_Magic_The_Moon_Bow_Launch					Battle_IND_Magic_The_Moon_Bow_Inflight_Start	Battle_IND_Magic_The_Moon_Bow_Inflight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	true				1.0000						false	false	false		10.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc10_bone_arrow	500.0000	240.0000	255.0000	22.0000	Battle_Individual_Projectile_Bone_Arrow_Launch		Battle_Individual_Projectile_Incoming_Bolt_Thrower_Bolt	Battle_Individual_Projectile_Bone_Arrow_Impact		Battle_Individual_Projectile_Bone_Arrow_InFlight_Play	Battle_Individual_Projectile_Bone_Arrow_InFlight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	true				1.0000						false	false	false	Battle_Individual_Projectile_Incoming_Bolt_Thrower_Bolt	20.0000	Battle_Projectile_Doppler	large	1.0000	1.0000	5.0000	0.5000	0.5000
wh2_dlc10_bow_arrow_hef_SOA_magical	150.0000	150.0000	50.0000	22.0000	Battle_Individual_Projectile_Arrow_Fire_Magical			Battle_Individual_Projectile_Arrow_Impact_hef_SOA_Magical		Battle_Individual_Projectile_Arrow_InFlight_Magical_Play	Battle_Individual_Projectile_Arrow_InFlight_Magical_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	false	wh_grp_projectile_arrow_fire_magical	wh_grp_projectile_arrow_inflight_magical_SOA	wh_grp_projectile_arrow_impact_magical_SOA	1.0000						false	false	false	Battle_Individual_Projectile_Arrow_Passby	17.0000		medium	1.0000	0.0000	1.0000	0.5000	0.8000
wh2_dlc11_ability_bomb_throw	500.0000	500.0000	500.0000	22.0000	Battle_IND_Magic_Bomb_Throw_Launch			Battle_IND_Magic_Bomb_Throw_Impact		Battle_IND_Magic_Bomb_Throw_Inflight_Start	Battle_IND_Magic_Bomb_Throw_Inflight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	true				1.0000						false	false	false		10.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc11_ability_pyromaniac	500.0000	500.0000	500.0000	22.0000	Battle_IND_Magic_Pyromaniac_Launch			Battle_IND_Magic_Pyromaniac_Impact		Battle_IND_Magic_Pyromaniac_Inflight_Start	Battle_IND_Magic_Pyromaniac_Inflight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	true				1.0000						false	false	false		10.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc11_ability_wraith_storm	500.0000	500.0000	500.0000	22.0000						Battle_IND_Magic_Wraith_Storm_Inflight_Start	Battle_IND_Magic_Wraith_Storm_Inflight_Stop					100.0000	0.0000	true			wh2_dlc11_ability_wraith_storm_impact	1.0000						false	false	false		10.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc11_cst_Deck_Gun_RoR_Magical	400.0000	400.0000	400.0000	0.0000						Battle_Individual_Projectile_Deck_Gun_Magical_RoR_Bullet_InFlight_Play	Battle_Individual_Projectile_Deck_Gun_Magical_RoR_Bullet_InFlight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Stop			100.0000	0.0000	false			wh2_grp_projectile_Deck_Gunner_bullet_magical	1.0000						false	true	true		50.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc11_cst_necrofex_colossus_cannon_ball	400.0000	400.0000	300.0000	10.0000				Battle_Individual_Projectile_Bolt_Thrower_Eagle_Claw_Impact				Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Stop			100.0000	0.0000	true		wh2_dlc11_cst_grp_projectile_necrofex_cannonball_inflight		1.0000	Battle_Projectile_Speed	Projectile_Speed				false	false	false		10.0000	Battle_Projectile_Doppler	large	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc11_cst_necrofex_colossus_flamethrower_fire	100.0000	240.0000	200.0000	10.0000												100.0000	0.0000	false		wh2_dlc11_cst_grp_necrofex_colossus_flamethrower_fire_loop		1.0000						false	false	false		10.0000		medium	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc11_grenade	40.0000	40.0000	200.0000	10.0000	Battle_Individual_Projectile_Grenade_fuse_throw					Battle_Individual_Projectile_Grenade_InFlight_Play	Battle_Individual_Projectile_Grenade_InFlight_Stop					100.0000	0.0000	false				1.0000	Battle_Projectile_Speed	Projectile_Speed				false	false	false		10.0000		large	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc11_grenade_bomb	40.0000	40.0000	200.0000	10.0000	Battle_Individual_Projectile_Grenade_fuse_throw					Battle_Individual_Projectile_Grenade_InFlight_Play	Battle_Individual_Projectile_Grenade_InFlight_Stop					100.0000	0.0000	false				1.0000	Battle_Projectile_Speed	Projectile_Speed				false	false	false		10.0000		large	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc11_queen_bess	800.0000	800.0000	800.0000	22.0000	Battle_Individual_Artillery_Queen_Bess_Fire		Battle_Individual_Projectile_Incoming_Queen_Bess			Battle_Individual_Projectile_QueenBess_InFlight_Play	Battle_Individual_Projectile_QueenBess_InFlight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	true				1.0000	Battle_Projectile_Height	Projectile_Height				false	false	false		20.0000	Battle_Projectile_Doppler	magic	1.0000	1.0000	5.0000	0.5000	0.5000
wh2_dlc12_Sphere_Of_Tepok	150.0000	240.0000	255.0000	22.0000			Battle_Individual_Projectile_Incoming_Sphere_Of_Tepok									100.0000	0.0000	false				1.5000						false	false	false		20.0000	Battle_Projectile_Doppler	large	1.0000	1.0000	5.0000	0.5000	0.5000
wh2_dlc12_ability_storm_daemon	400.0000	800.0000	400.0000	0.0000	Battle_IND_Magic_Storm_Daemon_Launch					Battle_IND_Magic_Storm_Daemon_Inflight_Start	Battle_IND_Magic_Storm_Daemon_Inflight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Stop			100.0000	0.0000	false			wh2_dlc12_grp_projectile_ability_storm_daemon	1.0000						false	false	false	Battle_IND_Magic_Storm_Daemon_Flyby	100.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc12_ability_warpstone_detonation	500.0000	500.0000	400.0000	0.0000			Battle_IND_Magic_Warpstone_Detonation_Impact									100.0000	0.0000	false				0.0000						false	false	false		100.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc12_ability_warpstorm_doomrocket	0.0000	1000.0000	500.0000	0.0000						Battle_IND_Magic_Warpstorm_Doomrocket_Inflight_Start	Battle_IND_Magic_Warpstorm_Doomrocket_Inflight_Stop					100.0000	0.0000	false				1.5000	Battle_Projectile_Height	Projectile_Height	Battle_Projectile_Time_Till_Impact	Projectile_Time_Till_Impact		false	false	false		10.0000		magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc12_bullet_ratling_gun	250.0000	120.0000	100.0000	10.0000								Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	true		wh2_dlc12_grp_projectile_ratling_gun_bullet_inflight	wh2_dlc12_grp_projectile_ratling_gun_bullet_impact_single	1.0000						false	false	false	Battle_Individual_ratling_gun_flyby	20.0000		small	1.0000	0.0000	1.0000	0.5000	0.0000
wh2_dlc12_ikit_warpfiregun_flame	200.0000	150.0000	200.0000	10.0000												100.0000	0.0000	false		wh2_grp_ikit_warpfiregun_loop	wh2_grp_projectile_warpfiregun_flame	1.0000						true	true	false		10.0000		medium	1.0000	1.0000	1.0000	0.5000	0.5000
wh2_dlc12_salamander_flame	150.0000	400.0000	200.0000	10.0000	Battle_Individual_Projectile_Salamander_Launch					Battle_Individual_Projectile_Salamander_Inflight_Play	Battle_Individual_Projectile_Salamander_Inflight_Stop					100.0000	0.0000	true				1.1000	Battle_Projectile_Speed	Projectile_Speed				false	false	false		10.0000	Battle_Projectile_Doppler	medium	0.3000	0.0000	1.0000	0.5000	0.5000
wh2_dlc12_salamander_flame_large	150.0000	400.0000	255.0000	22.0000	Battle_Individual_Projectile_Salamander_Large_Launch			Battle_Individual_Projectile_Salamander_Large_Explosion		Battle_Individual_Projectile_Salamander_Large_Inflight_play	Battle_Individual_Projectile_Salamander_Large_Inflight_stop					100.0000	0.0000	true				1.0000	Battle_Projectile_Speed	Projectile_Speed				false	false	false		20.0000	Battle_Projectile_Doppler	large	1.0000	1.0000	5.0000	0.5000	0.5000
wh2_dlc12_thunderous_one_projectile	500.0000	500.0000	350.0000	10.0000			Battle_IND_Magic_Thunderous_One_Lightning_Singles									500.0000	0.0000	true				0.1000						false	false	false		10.0000		magic	1.0000	0.0000	1.0000	1.0000	0.5000
wh2_dlc12_warplock_jezzail_bullet	150.0000	100.0000	100.0000	22.0000	Battle_Individual_Projectile_Jezzails_Launch			Battle_Individual_Projectile_Jezzails_Bullet_Impact		Battle_Individual_Projectile_Jezzails_Bullet_InFlight_Play	Battle_Individual_Projectile_Jezzails_Bullet_InFlight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	true				1.0000						false	false	false	Battle_Individual_Projectile_Jezzails_Bullet_Large_Passby	25.0000	Battle_Projectile_Doppler	small	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc13_ability_amber_bow	200.0000	350.0000	400.0000	0.0000	Battle_IND_Magic_Amber_Bow_Launch											100.0000	0.0000	false		wh2_dlc13_grp_ability_amber_bow_inflight	wh2_dlc13_grp_ability_amber_bow_impact	1.0000						true	false	false	Battle_IND_Magic_Amber_Bow_Flyby	20.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc13_ability_arrow_of_aqshy	200.0000	350.0000	400.0000	0.0000	Battle_IND_Magic_Arrow_Of_Aqshy_Launch											100.0000	0.0000	false		wh2_dlc13_grp_ability_arrows_of_aqshy_inflight		1.0000						true	false	false	Battle_IND_Magic_Arrow_Of_Aqshy_Flyby	20.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc13_ability_big_boom	200.0000	350.0000	400.0000	0.0000	Battle_IND_Magic_Big_Boom_Launch					Battle_IND_Magic_Big_Boom_Loop_Start	Battle_IND_Magic_Big_Boom_Loop_Stop					100.0000	0.0000	false				1.0000						false	false	true		20.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc13_ability_deathblow	200.0000	350.0000	400.0000	0.0000	Battle_IND_Magic_Deathblow_Launch					Battle_IND_Magic_Deathblow_Inflight_Start	Battle_IND_Magic_Deathblow_Inflight_Stop					100.0000	0.0000	false				1.0000						false	false	false	Battle_IND_Magic_Deathblow_Flyby	20.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc13_ability_ishas_rain	500.0000	500.0000	500.0000	0.0000	Battle_IND_Magic_Ishas_Rain_Start											100.0000	0.0000	false		wh2_dlc13_grp_ability_ishas_rain_inflight	wh2_dlc13_grp_ability_ishas_rain_impact	1.0000						true	true	true		20.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc13_ability_oil_flask	200.0000	350.0000	400.0000	0.0000	Battle_IND_Magic_Oil_Flask_Launch					Battle_IND_Magic_Oil_Flask_Inflight_Start	Battle_IND_Magic_Oil_Flask_Inflight_Stop					100.0000	0.0000	false				1.0000						false	false	false	Battle_IND_Magic_Oil_Flask_Flyby	20.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc13_luminark_bolt	400.0000	400.0000	400.0000	0.0000	Battle_Individual_Magic_Luminark_Fire					Battle_Individual_Luminark_Inflight_Start	Battle_Individual_Luminark_Inflight_Stop					100.0000	0.0000	false			wh2_grp_projectile_luminark_impact	1.0000						false	false	false		10.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc13_razordon_spike	150.0000	400.0000	200.0000	10.0000	Battle_Individual_Projectile_Razordon_Launch							Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	true		wh_grp_projectile_razordon_inflight	wh2_grp_projectile_razordon_spike_impact_multi	1.1000	Battle_Projectile_Speed	Projectile_Speed				true	false	false	Battle_Individual_Projectile_Razordon_Passby	12.0000	Battle_Projectile_Doppler	medium	0.3000	0.0000	1.0000	0.5000	0.5000
wh2_dlc13_razordon_spike_ror	150.0000	400.0000	200.0000	10.0000	Battle_Individual_Projectile_Razordon_Launch_RoR							Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	true		wh_grp_projectile_razordon_inflight	wh2_grp_projectile_razordon_spike_impact_multi_ror	1.1000	Battle_Projectile_Speed	Projectile_Speed				true	false	false	Battle_Individual_Projectile_Razordon_Passby	12.0000	Battle_Projectile_Doppler	medium	0.3000	0.0000	1.0000	0.5000	0.5000
wh2_dlc14_ability_cracklebomb	400.0000	400.0000	400.0000	0.0000	Battle_IND_Magic_Cracklebomb_Launch					Battle_IND_Magic_Cracklebomb_Inflight_Start	Battle_IND_Magic_Cracklebomb_Inflight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Stop			100.0000	0.0000	false				1.0000						true	true	true		100.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc14_harpoon_scourgerunner_chariot_bolt_normal_multi_impact	150.0000	240.0000	100.0000	22.0000				Battle_Individual_Projectile_Bolt_Impact_LH		Battle_Individual_Projectile_DLC14_Scourage_Runner_Bolt_InFlight_Play	Battle_Individual_Projectile_DLC14_Scourage_Runner_Bolt_InFlight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	false			wh_grp_projectile_crossbow_impact	1.0000						true	false	false	Battle_Individual_Projectile_DLC14_Scourage_Runner_Bolt_Flyby	18.0000		medium	1.0000	0.0000	1.0000	0.5000	1.0000
wh2_dlc14_harpoon_scourgerunner_chariot_ror_bolt_normal_multi_impact	150.0000	240.0000	100.0000	22.0000				Battle_Individual_Projectile_Bolt_Impact_LH		Battle_Individual_Projectile_DLC14_Scourage_Runner_Bolt_InFlight_Play	Battle_Individual_Projectile_DLC14_Scourage_Runner_Bolt_InFlight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	false			wh2_grp_projectile_dart_impact_normal	1.0000						true	false	false	Battle_Individual_Projectile_DLC14_Scourage_Runner_Bolt_Flyby	18.0000		medium	1.0000	0.0000	1.0000	0.5000	1.0000
wh2_dlc14_medusa_gaze	40.0000	40.0000	200.0000	10.0000			Battle_Individual_Projectile_Incoming_dlc14_Medusa									100.0000	0.0000	true				0.2000	Battle_Projectile_Speed	Projectile_Speed				false	false	false		10.0000		magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc14_skv_master_assassin_throwing_star	0.0000	50.0000	100.0000	10.0000				Battle_Individual_Projectile_Throwing_Axe_Impact								100.0000	0.0000	false		wh2_dlc14_grp_projectile_master_assassin_throwing_star		1.0000						false	false	false	Battle_Individual_Projectile_Ninja_Star_Flyby	10.0000		magic	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc14_skv_poison_wind_mortar_RoR_shrapnel	150.0000	150.0000	150.0000	22.0000								Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	false		wh2_dlc14_grp_projectile_poison_wind_mortar_shrapnel_incoming		1.0000						false	false	false		10.0000		medium	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_dlc14_skv_poison_wind_mortar_globe	200.0000	150.0000	150.0000	22.0000	Battle_Individual_Projectile_dlc14_Poison_Wind_Mortar_Launch					Battle_Individual_Projectile_dlc14_Poison_Wind_Mortar_InFlight_play	Battle_Individual_Projectile_dlc14_Poison_Wind_Mortar_InFlight_stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	false		wh2_grp_projectile_globe_inflight_magical		1.0000						false	false	false		10.0000		medium	1.0000	0.0000	1.0000	0.5000	0.5000
