base_battlefield_building	battlefield_building_logic	settlement_level	settlement_layer_group_id
chd_wall_straight_20m	chd_wall_straight_20m_02	3	settlement_towers_level_2
chd_wall_straight_20m	chd_wall_straight_20m_03	4	settlement_towers_level_3
chd_wall_straight_20m	chd_wall_straight_20m_03	5	settlement_towers_level_3
chd_wall_tower	chd_wall_tower	1	settlement_level_1
chd_wall_tower	chd_wall_tower_01	2	settlement_towers_level_1
chd_wall_tower	chd_wall_tower_02	3	settlement_towers_level_2
chd_wall_tower	chd_wall_tower_03	4	settlement_towers_level_3
chd_wall_tower	chd_wall_tower_03	5	settlement_towers_level_3
chs_gatehouse_60m	chs_gatehouse_60m	1	settlement_level_1
chs_gatehouse_60m	chs_gatehouse_60m_02	2	settlement_towers_level_1
chs_gatehouse_60m	chs_gatehouse_60m_02	3	settlement_towers_level_2
chs_gatehouse_60m	chs_gatehouse_60m_03	4	settlement_towers_level_3
chs_gatehouse_60m	chs_gatehouse_60m_03	5	settlement_towers_level_3
chs_wall_straight_20m_01	chs_wall_straight_20m_01	1	settlement_towers_level_1
chs_wall_straight_20m_01	chs_wall_straight_20m_02	2	settlement_towers_level_2
chs_wall_straight_20m_01	chs_wall_straight_20m_02	3	settlement_towers_level_2
chs_wall_straight_20m_01	chs_wall_straight_20m_03	4	settlement_towers_level_3
chs_wall_straight_20m_01	chs_wall_straight_20m_03	5	settlement_towers_level_3
chs_wall_straight_20m	chs_wall_straight_20m	1	settlement_level_1
chs_wall_straight_20m	chs_wall_straight_20m_02	2	settlement_towers_level_1
chs_wall_straight_20m	chs_wall_straight_20m_02	3	settlement_towers_level_2
chs_wall_straight_20m	chs_wall_straight_20m_03	4	settlement_towers_level_3
chs_wall_straight_20m	chs_wall_straight_20m_03	5	settlement_towers_level_3
chs_wall_tower	chs_wall_tower	1	settlement_level_1
chs_wall_tower	chs_wall_tower_01	2	settlement_towers_level_1
chs_wall_tower	chs_wall_tower_02	3	settlement_towers_level_2
chs_wall_tower	chs_wall_tower_03	4	settlement_towers_level_3
chs_wall_tower	chs_wall_tower_03	5	settlement_towers_level_3
cth_wall_gatehouse_60	cth_wall_gatehouse_60	1	settlement_level_1
cth_wall_gatehouse_60	cth_wall_gatehouse_60_02	2	settlement_towers_level_1
cth_wall_gatehouse_60	cth_wall_gatehouse_60_02	3	settlement_towers_level_2
cth_wall_gatehouse_60	cth_wall_gatehouse_60_03	4	settlement_towers_level_3
cth_wall_gatehouse_60	cth_wall_gatehouse_60_03	5	settlement_towers_level_3
cth_wall_straight_20m_01	cth_wall_straight_20m_01	1	settlement_level_1
cth_wall_straight_20m_01	cth_wall_straight_20m_02	2	settlement_towers_level_1
cth_wall_straight_20m_01	cth_wall_straight_20m_02	3	settlement_towers_level_2
cth_wall_straight_20m_01	cth_wall_straight_20m_03	4	settlement_towers_level_3
cth_wall_straight_20m_01	cth_wall_straight_20m_03	5	settlement_towers_level_3
cth_wall_tower	cth_wall_tower	1	settlement_level_1
cth_wall_tower	cth_wall_tower_01	2	settlement_towers_level_1
cth_wall_tower	cth_wall_tower_02	3	settlement_towers_level_2
cth_wall_tower	cth_wall_tower_03	4	settlement_towers_level_3
cth_wall_tower	cth_wall_tower_03	5	settlement_towers_level_3
def_wall_gatehouse_60	def_wall_gatehouse_60	1	settlement_level_1
def_wall_gatehouse_60	def_wall_gatehouse_60_02	2	settlement_towers_level_1
def_wall_gatehouse_60	def_wall_gatehouse_60_02	3	settlement_towers_level_2
def_wall_gatehouse_60	def_wall_gatehouse_60_03	4	settlement_towers_level_3
def_wall_gatehouse_60	def_wall_gatehouse_60_03	5	settlement_towers_level_3
def_wall_straight_20	def_wall_straight_20	1	settlement_level_1
def_wall_straight_20	def_wall_straight_20_02	2	settlement_towers_level_1
def_wall_straight_20	def_wall_straight_20_02	3	settlement_towers_level_2
def_wall_straight_20	def_wall_straight_20_03	4	settlement_towers_level_3
def_wall_straight_20	def_wall_straight_20_03	5	settlement_towers_level_3
def_wall_tower	def_wall_tower	1	settlement_level_1
def_wall_tower	def_wall_tower_01	2	settlement_towers_level_1
def_wall_tower	def_wall_tower_02	3	settlement_towers_level_2
def_wall_tower	def_wall_tower_03	4	settlement_towers_level_3
def_wall_tower	def_wall_tower_03	5	settlement_towers_level_3
dwf_wall_gatehouse_60	dwf_wall_gatehouse_60	1	settlement_level_1
dwf_wall_gatehouse_60	dwf_wall_gatehouse_60_02	2	settlement_towers_level_1
dwf_wall_gatehouse_60	dwf_wall_gatehouse_60_02	3	settlement_towers_level_2
dwf_wall_gatehouse_60	dwf_wall_gatehouse_60_03	4	settlement_towers_level_3
dwf_wall_gatehouse_60	dwf_wall_gatehouse_60_03	5	settlement_towers_level_3
dwf_wall_straight_20	dwf_wall_straight_20	1	settlement_level_1
dwf_wall_straight_20	dwf_wall_straight_20_02	2	settlement_towers_level_1
dwf_wall_straight_20	dwf_wall_straight_20_02	3	settlement_towers_level_2
dwf_wall_straight_20	dwf_wall_straight_20_03	4	settlement_towers_level_3
dwf_wall_straight_20	dwf_wall_straight_20_03	5	settlement_towers_level_3
dwf_wall_tower	dwf_wall_tower	1	settlement_level_1
dwf_wall_tower	dwf_wall_tower_01	2	settlement_towers_level_1
dwf_wall_tower	dwf_wall_tower_02	3	settlement_towers_level_2
dwf_wall_tower	dwf_wall_tower_03	4	settlement_towers_level_3
dwf_wall_tower	dwf_wall_tower_03	5	settlement_towers_level_3
emp_gatehouse_60m	emp_gatehouse_60m	1	settlement_level_1
emp_gatehouse_60m	emp_wall_gatehouse_60_02	2	settlement_towers_level_1
emp_gatehouse_60m	emp_wall_gatehouse_60_02	3	settlement_towers_level_2
emp_gatehouse_60m	emp_wall_gatehouse_60_03	4	settlement_towers_level_3
emp_gatehouse_60m	emp_wall_gatehouse_60_03	5	settlement_towers_level_3
emp_wall_gatehouse_60	emp_wall_gatehouse_60	1	settlement_level_1
emp_wall_gatehouse_60	emp_wall_gatehouse_60_02	2	settlement_towers_level_1
emp_wall_gatehouse_60	emp_wall_gatehouse_60_02	3	settlement_towers_level_2
emp_wall_gatehouse_60	emp_wall_gatehouse_60_03	4	settlement_towers_level_3
emp_wall_gatehouse_60	emp_wall_gatehouse_60_03	5	settlement_towers_level_3
emp_wall_straight_20	emp_wall_straight_20	1	settlement_level_1
emp_wall_straight_20	emp_wall_straight_20_02	2	settlement_towers_level_1
emp_wall_straight_20	emp_wall_straight_20_02	3	settlement_towers_level_2
emp_wall_straight_20	emp_wall_straight_20_03	4	settlement_towers_level_3
emp_wall_straight_20	emp_wall_straight_20_03	5	settlement_towers_level_3
emp_wall_straight_20m	emp_wall_straight_20_02	2	settlement_towers_level_1
emp_wall_straight_20m	emp_wall_straight_20_02	3	settlement_towers_level_2
emp_wall_straight_20m	emp_wall_straight_20_03	4	settlement_towers_level_3
emp_wall_straight_20m	emp_wall_straight_20_03	5	settlement_towers_level_3
emp_wall_straight_20m	emp_wall_straight_20m	1	settlement_level_1
emp_wall_tower	emp_wall_tower	1	settlement_level_1
emp_wall_tower	emp_wall_tower_01	2	settlement_towers_level_1
emp_wall_tower	emp_wall_tower_02	3	settlement_towers_level_2
emp_wall_tower	emp_wall_tower_03	4	settlement_towers_level_3
emp_wall_tower	emp_wall_tower_03	5	settlement_towers_level_3
grn_wall_gatehouse_60	grn_wall_gatehouse_60	1	settlement_level_1
grn_wall_gatehouse_60	grn_wall_gatehouse_60_02	2	settlement_towers_level_1
grn_wall_gatehouse_60	grn_wall_gatehouse_60_02	3	settlement_towers_level_2
grn_wall_gatehouse_60	grn_wall_gatehouse_60_03	4	settlement_towers_level_3
grn_wall_gatehouse_60	grn_wall_gatehouse_60_03	5	settlement_towers_level_3
grn_wall_straight_20	grn_wall_straight_20	1	settlement_level_1
grn_wall_straight_20	grn_wall_straight_20_02	2	settlement_towers_level_1
grn_wall_straight_20	grn_wall_straight_20_02	3	settlement_towers_level_2
grn_wall_straight_20	grn_wall_straight_20_03	4	settlement_towers_level_3
grn_wall_straight_20	grn_wall_straight_20_03	5	settlement_towers_level_3
grn_wall_tower	grn_wall_tower	1	settlement_level_1
grn_wall_tower	grn_wall_tower_01	2	settlement_towers_level_1
grn_wall_tower	grn_wall_tower_02	3	settlement_towers_level_2
grn_wall_tower	grn_wall_tower_03	4	settlement_towers_level_3
grn_wall_tower	grn_wall_tower_03	5	settlement_towers_level_3
hef_wall_gatehouse_60	hef_wall_gatehouse_60	1	settlement_level_1
hef_wall_gatehouse_60	hef_wall_gatehouse_60_02	2	settlement_towers_level_1
hef_wall_gatehouse_60	hef_wall_gatehouse_60_02	3	settlement_towers_level_2
hef_wall_gatehouse_60	hef_wall_gatehouse_60_03	4	settlement_towers_level_3
hef_wall_gatehouse_60	hef_wall_gatehouse_60_03	5	settlement_towers_level_3
hef_wall_gatehouse_60m	hef_wall_gatehouse_60_02	2	settlement_towers_level_1
hef_wall_gatehouse_60m	hef_wall_gatehouse_60_02	3	settlement_towers_level_2
hef_wall_gatehouse_60m	hef_wall_gatehouse_60_03	4	settlement_towers_level_3
hef_wall_gatehouse_60m	hef_wall_gatehouse_60_03	5	settlement_towers_level_3
hef_wall_gatehouse_60m	hef_wall_gatehouse_60m	1	settlement_level_1
hef_wall_straight_20	hef_wall_straight_20	1	settlement_level_1
hef_wall_straight_20	hef_wall_straight_20_02	2	settlement_towers_level_1
hef_wall_straight_20	hef_wall_straight_20_02	3	settlement_towers_level_2
hef_wall_straight_20	hef_wall_straight_20_03	4	settlement_towers_level_3
hef_wall_straight_20	hef_wall_straight_20_03	5	settlement_towers_level_3
hef_wall_tower	hef_wall_tower	1	settlement_level_1
hef_wall_tower	hef_wall_tower_01	2	settlement_towers_level_1
hef_wall_tower	hef_wall_tower_02	3	settlement_towers_level_2
hef_wall_tower	hef_wall_tower_03	4	settlement_towers_level_3
hef_wall_tower	hef_wall_tower_03	5	settlement_towers_level_3
kho_wall_tower	kho_wall_tower	1	settlement_level_1
kho_wall_tower	kho_wall_tower_01	2	settlement_towers_level_1
kho_wall_tower	kho_wall_tower_02	3	settlement_towers_level_2
kho_wall_tower	kho_wall_tower_03	4	settlement_towers_level_3
kho_wall_tower	kho_wall_tower_03	5	settlement_towers_level_3
ksl_wall_gatehouse_60	ksl_wall_gatehouse_60	1	settlement_level_1
ksl_wall_gatehouse_60	ksl_wall_gatehouse_60_02	2	settlement_towers_level_1
ksl_wall_gatehouse_60	ksl_wall_gatehouse_60_02	3	settlement_towers_level_2
ksl_wall_gatehouse_60	ksl_wall_gatehouse_60_03	4	settlement_towers_level_3
ksl_wall_gatehouse_60	ksl_wall_gatehouse_60_03	5	settlement_towers_level_3
ksl_wall_straight_20	ksl_wall_straight_20	1	settlement_level_1
ksl_wall_straight_20	ksl_wall_straight_20_02	2	settlement_towers_level_1
ksl_wall_straight_20	ksl_wall_straight_20_02	3	settlement_towers_level_2
ksl_wall_straight_20	ksl_wall_straight_20_03	4	settlement_towers_level_3
ksl_wall_straight_20	ksl_wall_straight_20_03	5	settlement_towers_level_3
ksl_wall_tower	ksl_wall_tower	1	settlement_level_1
ksl_wall_tower	ksl_wall_tower_01	2	settlement_towers_level_1
ksl_wall_tower	ksl_wall_tower_02	3	settlement_towers_level_2
ksl_wall_tower	ksl_wall_tower_03	4	settlement_towers_level_3
ksl_wall_tower	ksl_wall_tower_03	5	settlement_towers_level_3
lzd_wall_gatehouse_60	lzd_wall_gatehouse_60	1	settlement_level_1
lzd_wall_gatehouse_60	lzd_wall_gatehouse_60_02	2	settlement_towers_level_1
lzd_wall_gatehouse_60	lzd_wall_gatehouse_60_02	3	settlement_towers_level_2
lzd_wall_gatehouse_60	lzd_wall_gatehouse_60_03	4	settlement_towers_level_3
lzd_wall_gatehouse_60	lzd_wall_gatehouse_60_03	5	settlement_towers_level_3
lzd_wall_straight_20	lzd_wall_straight_20	1	settlement_level_1
lzd_wall_straight_20	lzd_wall_straight_20_02	2	settlement_towers_level_1
lzd_wall_straight_20	lzd_wall_straight_20_02	3	settlement_towers_level_2
lzd_wall_straight_20	lzd_wall_straight_20_03	4	settlement_towers_level_3
lzd_wall_straight_20	lzd_wall_straight_20_03	5	settlement_towers_level_3
lzd_wall_tower	lzd_wall_tower	1	settlement_level_1
lzd_wall_tower	lzd_wall_tower_01	2	settlement_towers_level_1
lzd_wall_tower	lzd_wall_tower_02	3	settlement_towers_level_2
lzd_wall_tower	lzd_wall_tower_03	4	settlement_towers_level_3
lzd_wall_tower	lzd_wall_tower_03	5	settlement_towers_level_3
mrb_wall_tower	mrb_wall_tower	1	settlement_level_1
mrb_wall_tower	mrb_wall_tower_01	2	settlement_towers_level_1
mrb_wall_tower	mrb_wall_tower_02	3	settlement_towers_level_2
mrb_wall_tower	mrb_wall_tower_03	4	settlement_towers_level_3
mrb_wall_tower	mrb_wall_tower_03	5	settlement_towers_level_3
nur_wall_tower	nur_wall_tower	1	settlement_level_1
nur_wall_tower	nur_wall_tower_01	2	settlement_towers_level_1
nur_wall_tower	nur_wall_tower_02	3	settlement_towers_level_2
nur_wall_tower	nur_wall_tower_03	4	settlement_towers_level_3
nur_wall_tower	nur_wall_tower_03	5	settlement_towers_level_3
skv_wall_gatehouse_60	skv_wall_gatehouse_60	1	settlement_level_1
skv_wall_gatehouse_60	skv_wall_gatehouse_60_02	2	settlement_towers_level_1
skv_wall_gatehouse_60	skv_wall_gatehouse_60_02	3	settlement_towers_level_2
skv_wall_gatehouse_60	skv_wall_gatehouse_60_03	4	settlement_towers_level_3
skv_wall_gatehouse_60	skv_wall_gatehouse_60_03	5	settlement_towers_level_3
skv_wall_straight_20_01	skv_wall_straight_20_01	1	settlement_level_1
skv_wall_straight_20_01	skv_wall_straight_20_02	2	settlement_towers_level_1
skv_wall_straight_20_01	skv_wall_straight_20_02	3	settlement_towers_level_2
skv_wall_straight_20_01	skv_wall_straight_20_03	4	settlement_towers_level_3
skv_wall_straight_20_01	skv_wall_straight_20_03	5	settlement_towers_level_3
skv_wall_straight_20	skv_wall_straight_20	1	settlement_level_1
skv_wall_straight_20	skv_wall_straight_20_02	2	settlement_towers_level_1
skv_wall_straight_20	skv_wall_straight_20_02	3	settlement_towers_level_2
skv_wall_straight_20	skv_wall_straight_20_03	4	settlement_towers_level_3
skv_wall_straight_20	skv_wall_straight_20_03	5	settlement_towers_level_3
skv_wall_tower	skv_wall_tower	1	settlement_level_1
skv_wall_tower	skv_wall_tower_01	2	settlement_towers_level_1
skv_wall_tower	skv_wall_tower_02	3	settlement_towers_level_2
skv_wall_tower	skv_wall_tower_03	4	settlement_towers_level_3
skv_wall_tower	skv_wall_tower_03	5	settlement_towers_level_3
sla_wall_tower	sla_wall_tower	1	settlement_level_1
sla_wall_tower	sla_wall_tower_01	2	settlement_towers_level_1
sla_wall_tower	sla_wall_tower_02	3	settlement_towers_level_2
sla_wall_tower	sla_wall_tower_03	4	settlement_towers_level_3
sla_wall_tower	sla_wall_tower_03	5	settlement_towers_level_3
tmb_wall_gatehouse_60	tmb_wall_gatehouse_60	1	settlement_level_1
tmb_wall_gatehouse_60	tmb_wall_gatehouse_60_02	2	settlement_towers_level_1
tmb_wall_gatehouse_60	tmb_wall_gatehouse_60_02	3	settlement_towers_level_2
tmb_wall_gatehouse_60	tmb_wall_gatehouse_60_03	4	settlement_towers_level_3
tmb_wall_gatehouse_60	tmb_wall_gatehouse_60_03	5	settlement_towers_level_3
tmb_wall_straight_20	tmb_wall_straight_20	1	settlement_level_1
tmb_wall_straight_20	tmb_wall_straight_20_02	2	settlement_towers_level_1
tmb_wall_straight_20	tmb_wall_straight_20_02	3	settlement_towers_level_2
tmb_wall_straight_20	tmb_wall_straight_20_03	4	settlement_towers_level_3
tmb_wall_straight_20	tmb_wall_straight_20_03	5	settlement_towers_level_3
tmb_wall_tower	tmb_wall_tower	1	settlement_level_1
tmb_wall_tower	tmb_wall_tower_01	2	settlement_towers_level_1
tmb_wall_tower	tmb_wall_tower_02	3	settlement_towers_level_2
tmb_wall_tower	tmb_wall_tower_03	4	settlement_towers_level_3
tmb_wall_tower	tmb_wall_tower_03	5	settlement_towers_level_3
tze_wall_tower	tze_wall_tower	1	settlement_level_1
tze_wall_tower	tze_wall_tower_01	2	settlement_towers_level_1
tze_wall_tower	tze_wall_tower_02	3	settlement_towers_level_2
tze_wall_tower	tze_wall_tower_03	4	settlement_towers_level_3
tze_wall_tower	tze_wall_tower_03	5	settlement_towers_level_3
vmp_wall_gatehouse_60	vmp_wall_gatehouse_60	1	settlement_level_1
vmp_wall_gatehouse_60	vmp_wall_gatehouse_60_02	2	settlement_towers_level_1
vmp_wall_gatehouse_60	vmp_wall_gatehouse_60_02	3	settlement_towers_level_2
vmp_wall_gatehouse_60	vmp_wall_gatehouse_60_03	4	settlement_towers_level_3
vmp_wall_gatehouse_60	vmp_wall_gatehouse_60_03	5	settlement_towers_level_3
vmp_wall_straight_20	vmp_wall_straight_20	1	settlement_level_1
vmp_wall_straight_20	vmp_wall_straight_20_02	2	settlement_towers_level_1
vmp_wall_straight_20	vmp_wall_straight_20_02	3	settlement_towers_level_2
vmp_wall_straight_20	vmp_wall_straight_20_03	4	settlement_towers_level_3
vmp_wall_straight_20	vmp_wall_straight_20_03	5	settlement_towers_level_3
vmp_wall_tower	vmp_wall_tower	1	settlement_level_1
vmp_wall_tower	vmp_wall_tower_01	2	settlement_towers_level_1
vmp_wall_tower	vmp_wall_tower_02	3	settlement_towers_level_2
vmp_wall_tower	vmp_wall_tower_03	4	settlement_towers_level_3
vmp_wall_tower	vmp_wall_tower_03	5	settlement_towers_level_3
