key	actor_switch	number_of_actors
wh3_dlc26_ogr_maneater_units	Generic_Actor_dlc26_Ogre_Maneater_Unit	3
wh3_dlc27_hef_ships_company	Generic_Actor_dlc27_Ships_Company_Unit	4
wh3_dlc27_nor_cursd_ettin	Generic_Actor_dlc27_Cursd_Ettin_Unit	4
wh3_dlc27_nor_marauders	Generic_Actor_dlc27_NOR_Marauder_Unit	4
wh3_dlc27_sla_champions_of_slaanesh	Generic_Actor_dlc27_Champions_of_Slaanesh_Unit	4
wh3_dlc27_sla_devotees_of_slaanesh	Generic_Actor_dlc27_DevoteesOfSlaanesh_Unit	2
wh3_dlc27_sla_pleasureseekers	Generic_Actor_dlc27_Pleasureseeker_Unit	4
wh3_gnoblar	Generic_Actor_Gnoblar	5
wh3_kho_bloodletter	Generic_Actor_Khorne_Bloodletters	4
wh3_kho_bloodreaper_LORD	Generic_Actor_Khorne_Bloodreaper	2
wh3_kho_bloodthirster_LH	Generic_Actor_Khorne_Bloodthirster_Unit	2
wh3_kho_chaos_warrior	Generic_Actor_Khorne_Chaos_Warrior	5
wh3_kho_cultist_LH	Generic_Actor_Khorne_Cultist	2
wh3_kho_exalted_bloodthirster_LORD	Generic_Actor_Khorne_Exalted_Bloodthirster	2
wh3_kho_fleshhound	Generic_Actor_Khorne_Fleshhound	2
wh3_kho_herald_LORD	Generic_Actor_Khorne_Herald	2
wh3_ksl_boyar	Generic_Actor_Kislev_Boyar	2
wh3_ksl_frost_maiden	Generic_Actor_Kislev_Frost_Maiden	2
wh3_ksl_human_female	Generic_Actor_Human_Female_Kislev	2
wh3_ksl_human_male	Generic_Actor_Human_Male_Kislev	8
wh3_ksl_ice_witch	Generic_Actor_Kislev_Ice_Witch	2
wh3_ksl_patriarch	Generic_Actor_Kislev_Patriarch	2
wh3_nur_cultist_LH	Generic_Actor_Nurgle_Cultist	2
wh3_nur_exalted_great_unclean_one_LORD	Generic_Actor_Nurgle_Exalted_Great_Unclean_One	2
wh3_nur_great_unclean_one_LH	Generic_Actor_Nurgle_Great_Unclean_One	2
wh3_nur_nurgling	Generic_Actor_Nurgle_Nurgling	1
wh3_nur_plaguebearer	Generic_Actor_Nurgle_Plaguebearer	6
wh3_nur_plaguebearer_herald	Generic_Actor_Nurgle_Herald	2
wh3_nur_plagueridden	Generic_Actor_Nurgle_Plagueridden	2
wh3_ogr_butcher_LH	Generic_Actor_Ogre_Butcher	2
wh3_ogr_firebelly_LH	Generic_Actor_Ogre_Firebelly	2
wh3_ogr_hunter_LH	Generic_Actor_Ogre_Hunter	2
wh3_ogr_ogre_units	Generic_Actor_Ogre_Unit	5
wh3_ogr_slaugtermaster_LORD	Generic_Actor_Ogre_Slaughtermaster	2
wh3_ogr_tyrant_LORD	Generic_Actor_Ogre_Tyrant	2
wh3_ogre_sabretusk	Generic_Actor_Khorne_Fleshhound	2
wh3_sla_alluress_LH	Generic_Actor_Slaanesh_Alluress	2
wh3_sla_cultist_LH	Generic_Actor_Slaanesh_Cultist	2
wh3_sla_daemonettes	Generic_Actor_Slaanesh_Daemonette	4
wh3_sla_exalted_keeper_of_secrets_LORD	Generic_Actor_Slaanesh_Exalted_Keeper_of_Secrets	2
wh3_sla_hellstrider	Generic_Actor_Slaanesh_Hellstrider	6
wh3_sla_herald_LORD	Generic_Actor_Slaanesh_Herald	2
wh3_sla_keeper_of_secrets_LORD	Generic_Actor_Slaanesh_Keeper_of_Secrets	2
wh3_tze_cultist_LH	Generic_Actor_Tzeentch_Cultist	2
wh3_tze_enlightened_knights	Generic_Actor_Tzeentch_Enlightened_Knights	4
wh3_tze_exalted_lord_of_change_LORD	Generic_Actor_Tzeentch_Exalted_Lord_of_Change	2
wh3_tze_herald_LORD	Generic_Actor_Tzeentch_Herald	2
wh3_tze_iridescent_LH	Generic_Actor_Tzeentch_Iridescent	2
wh3_tze_lord_of_change	Generic_Actor_Tzeentch_Lord_of_Change	2
wh_chaos_default	Generic_Actor_Chaos_Default	5
wh_chaos_marauder	Generic_Actor_Chaos_Marauder	5
wh_chaos_marauder_chieftan	Generic_Actor_Chaos_Marauder_Chieftan	2
wh_chaos_shaman_sorcerer	Generic_Actor_Chaos_Shaman_Sorcerer	2
wh_dwarf_default	Generic_Actor_Dwarf_Default	5
wh_dwarf_runesmith	Generic_Actor_Dwarf_Runesmith	2
wh_elf_female	Generic_Actor_Elf_Female_WoodElves	5
wh_elf_male	Generic_Actor_Elf_Male_WoodElves	5
wh_goblin	Generic_Actor_Goblin	8
wh_human_female	Generic_Actor_Human_Female	5
wh_human_male	Generic_Actor_Human_Male	16
wh_necromancer_male	Generic_Actor_Necromancer_Male	3
wh_orc	Generic_Actor_Orc	12
wh_vampire_female	Generic_Actor_Vampire_Female	2
wh_vampire_male	Generic_Actor_Vampire_Male	2
wh_zombie	Generic_Actor_Zombie	5
