character	frontend_group
wh3_main_tut_scenario_player_cav_player	wh3_tut_scenario
wh_dlc01_qb_chs_archaon_armour_of_morkar_stage_3_player	wh_dlc01_chs_archaon
wh_dlc01_qb_chs_archaon_crown_of_command_stage_2_player	wh_dlc01_chs_archaon
wh_dlc01_qb_chs_archaon_eye_of_sheerian_stage_3_player	wh_dlc01_chs_archaon
wh_dlc01_qb_chs_archaon_slayer_of_kings_stage_3_player	wh_dlc01_chs_archaon
wh_dlc01_qb_chs_kholek_suneater_starcrusher_stage_3_player	wh_dlc01_chs_kholek
wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_player	wh_dlc01_chs_sigvald
wh_dlc01_qb_chs_prince_sigvald_sliverslash_stage_4_player	wh_dlc01_chs_sigvald
wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_player_grandcampaign	wh_dlc03_bst_khazrak
wh_dlc03_qb_bst_khazrak_one_eye_the_dark_mail_stage_5_player_grandcampaign	wh_dlc03_bst_khazrak
wh_dlc03_qb_bst_the_final_battle_player	wh_dlc03_bst_khazrak
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_5_player_grandcampaign	wh_dlc03_bst_malagor
wh_dlc04_qb_emp_volkmar_the_grim_jade_griffon_stage_4_player	wh_dlc04_emp_volkmar
wh_dlc04_qb_emp_volkmar_the_grim_staff_of_command_stage_4_player	wh_dlc04_emp_volkmar
wh_dlc04_qb_vmp_helman_ghorst_liber_noctus_stage_4_player	wh_dlc04_vmp_helman
wh_dlc04_qb_vmp_vlad_von_carstein_the_von_carstein_ring_stage_4_player	wh_dlc04_vmp_vlad
wh_dlc04_qb_vmp_vlad_von_cartein_blood_drinker_stage_4_player	wh_dlc04_vmp_vlad
wh_dlc05_qb_bst_morghur_stave_of_ruinous_corruption_stage_4_player	wh_dlc05_bst_morghur
wh_dlc05_qb_wef_durthu_daiths_sword_stage_4_player	wh_dlc05_wef_durthu
wh_dlc05_qb_wef_grand_defense_of_the_oak_player	wh_dlc05_wef_orion
wh_dlc05_qb_wef_mini_silver_spire_player	wh_dlc05_wef_orion
wh_dlc05_qb_wef_orion_the_cloak_of_isha_stage_3_player	wh_dlc05_wef_orion
wh_dlc05_qb_wef_orion_the_horn_of_the_wild_stage_3_player	wh_dlc05_wef_orion
wh_dlc05_qb_wef_orion_the_spear_of_kurnous_stage_3_player	wh_dlc05_wef_orion
wh_dlc06_qb_dwf_belegar_ironhammer_hammer_of_angrund_stage_4_player	wh_dlc06_dwf_belegar
wh_dlc06_qb_dwf_belegar_ironhammer_shield_of_defiance_stage_3_player	wh_dlc06_dwf_belegar
wh_dlc06_qb_grn_skarsnik_skarsniks_prodder_stage_5_player	wh_dlc06_grn_skarsnik
wh_dlc06_grn_wurrzag_da_great_green_prophet_squiggly_beast_stage_3_player	wh_dlc06_grn_wurrzag
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_baleful_mask_stage_4_player	wh_dlc06_grn_wurrzag
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_bonewood_staff_stage_3_player	wh_dlc06_grn_wurrzag
wh_dlc07_qb_brt_alberic_trident_of_manann_stage_8_player	wh_dlc07_brt_alberic
wh_dlc07_qb_brt_fay_enchantress_chalice_of_potions_stage_6_player	wh_dlc07_brt_fay_enchantress
wh_dlc07_brt_louen_leoncoeur_sword_of_couronne_player	wh_dlc07_brt_king_louen_leoncoeur
wh_dlc07_qb_brt_louen_errantry_war_stage_1_player	wh_dlc07_brt_king_louen_leoncoeur
wh_dlc08_qb_nor_cha_throgg_player_wintertooth_crown	wh_dlc08_nor_throgg
wh_dlc08_qb_nor_throgg_final_battle	wh_dlc08_nor_throgg
wh_dlc08_qb_nor_throgg_monster_hunt_general	wh_dlc08_nor_throgg
wh_dlc08_qb_nor_cha_wulfrik_the_wanderer_0_player_sword_of_torgald	wh_dlc08_nor_wulfrik
wh_dlc08_qb_nor_wulfrik_monster_hunt_general	wh_dlc08_nor_wulfrik
wh_dlc15_qb_hef_eltharion_final_battle_hef_eltharion	wh_dlc15_hef_eltharion
wh_dlc15_qb_hef_eltharion_talisman_of_hoeth_stage_3_player_eltharion	wh_dlc15_hef_eltharion
wh2_dlc16_qb_skv_throt_final_battle_skv_throt	wh_dlc16_skv_throt
wh2_dlc16_qb_skv_throt_whip_of_domination_skv_throt	wh_dlc16_skv_throt
wh2_dlc16_qb_wef_sisters_dragon_stage_3_witch_wood_hollow_attacker_sisters_of_twilight_01	wh_dlc16_wef_sisters
wh2_dlc16_qb_wef_sisters_final_battle_wef_sisters	wh_dlc16_wef_sisters
wh_main_qb_dwf_thorgrim_grudgebearer_armour_of_skaldour_stage_4_player	wh_main_dwf_thorgrim
wh_main_qb_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_3_player	wh_main_dwf_thorgrim
wh_main_qb_dwf_thorgrim_grudgebearer_book_of_grudges_stage_3_player	wh_main_dwf_thorgrim
wh_main_qb_dwf_thorgrim_grudgebearer_dragon_crown_of_karaz_stage_3_black_fire_pass_player_1_general	wh_main_dwf_thorgrim
wh_main_qb_dwf_thorgrim_grudgebearer_intro_subterranean_player	wh_main_dwf_thorgrim
wh_main_qb_dwf_ungrim_ironfist_axe_of_dargo_stage_4_player	wh_main_dwf_ungrim
wh_main_qb_dwf_ungrim_ironfist_dragon_cloak_of_fyrskar_stage_4_player	wh_main_dwf_ungrim
wh_main_qb_dwf_ungrim_ironfist_slayer_crown_stage_5_player	wh_main_dwf_ungrim
wh_main_qb_emp_balthasar_gelt_amulet_of_sea_gold_stage_4_player	wh_main_emp_balthasar
wh_main_qb_emp_balthasar_gelt_cloak_of_molten_metal_stage_5_player	wh_main_emp_balthasar
wh_main_qb_emp_balthasar_gelt_staff_of_volans_stage_3_player	wh_main_emp_balthasar
wh_main_qb_emp_karl_franz_ghal_maraz_stage_4_black_fire_pass_player_1_general	wh_main_emp_karl
wh_main_qb_emp_karl_franz_intro_battle_of_bloodpine_woods_player	wh_main_emp_karl
wh_main_qb_emp_karl_franz_reikland_runefang_stage_3_player	wh_main_emp_karl
wh_main_qb_emp_karl_franz_silver_seal_stage_3_player	wh_main_emp_karl
wh_main_qb_grn_azhag_the_slaughterer_azhags_ard_armour_stage_4_player	wh_main_grn_azhag
wh_main_qb_grn_azhag_the_slaughterer_crown_of_sorcery_stage_3_player	wh_main_grn_azhag
wh_main_qb_grn_azhag_the_slaughterer_slaggas_slashas_stage_4_player	wh_main_grn_azhag
wh_main_qb_grn_grimgor_ironhide_blood_forged_armour_stage_4_player	wh_main_grn_grimgor
wh_main_qb_grn_grimgor_ironhide_gitsnik_stage_4_black_fire_pass_player_1_general	wh_main_grn_grimgor
wh_main_qb_grn_grimgor_ironhide_intro_subterranean_player	wh_main_grn_grimgor
wh_main_qb_vmp_heinrich_kemmler_chaos_tomb_blade_stage_4_player	wh_main_vmp_heinrich
wh_main_qb_vmp_heinrich_kemmler_cloak_of_mists_stage_3_player	wh_main_vmp_heinrich
wh_main_qb_vmp_heinrich_kemmler_skull_staff_stage_3_player	wh_main_vmp_heinrich
wh_main_qb_vmp_mannfred_von_carstein_armour_of_templehof_stage_6_player	wh_main_vmp_mannfred
wh_main_qb_vmp_mannfred_von_carstein_intro_battle_of_hel_fenn_player	wh_main_vmp_mannfred
wh_main_qb_vmp_mannfred_von_carstein_sword_of_unholy_power_stage_4_player	wh_main_vmp_mannfred
wh_pro01_qb_dwf_grombrindal_armour_of_glimril_stage_3_player	wh_pro01_dwf_grombrindal
wh_pro01_qb_dwf_grombrindal_rune_axe_of_grimnir_stage_3_golden_monolith_player	wh_pro01_dwf_grombrindal
wh_pro01_qb_dwf_grombrindal_rune_cloak_of_valaya_stage_3_todtheim_player	wh_pro01_dwf_grombrindal
wh_pro01_qb_dwf_grombrindal_rune_helm_of_zhufbar_stage_4_player	wh_pro01_dwf_grombrindal
wh_pro02_qb_vmp_isabella_von_carstein_blood_chalice_of_bathori_stage_5_player	wh_pro02_vmp_isabella
