faction_key	sort_order	culture_sort_order
wh2_main_skv_grey_seer_clan	15	150
wh2_main_skv_skaven	0	150
wh2_main_vmp_necrarch_brotherhood	3	200
wh2_main_vmp_strygos_empire	4	200
wh2_main_vmp_the_silver_host	5	200
wh2_main_wef_bowmen_of_oreon	162	220
wh2_twa03_def_rakarth	25	40
wh3_dlc20_chs_azazel	0	210
wh3_dlc20_chs_festus	4	210
wh3_dlc20_chs_kholek	1	210
wh3_dlc20_chs_sigvald	2	210
wh3_dlc20_chs_valkia	5	210
wh3_dlc20_chs_vilitch	6	210
wh3_dlc20_kho_blood_keepers	205	90
wh3_dlc20_nor_dolgan	146	120
wh3_dlc20_nor_kuj	159	120
wh3_dlc20_nor_kul	159	120
wh3_dlc20_nor_tong	159	120
wh3_dlc20_nor_yusak	159	120
wh3_dlc20_nur_pallid_nurslings	214	130
wh3_dlc20_sla_keepers_of_bliss	224	160
wh3_dlc20_tze_apostles_of_change	235	180
wh3_dlc20_tze_the_sightless	236	180
wh3_dlc21_cst_dead_flag_fleet	5	190
wh3_dlc21_nor_wyrmkins	159	120
wh3_dlc21_vmp_jiangshi_rebels	12	200
wh3_dlc21_wef_spirits_of_shanlin	167	220
wh3_dlc23_chd_astragoth	1	20
wh3_dlc23_chd_chaos_dwarfs_rebels	5	20
wh3_dlc23_chd_conclave	3	20
wh3_dlc23_chd_legion_of_azgorh	0	20
wh3_dlc23_chd_minor_faction	4	20
wh3_dlc23_chd_zhatan	2	20
wh3_main_chs_dreaded_wo	181	210
wh3_main_chs_gharhar	182	210
wh3_main_chs_khazag	183	210
wh3_main_chs_kvellig	184	210
wh3_main_chs_shadow_legion	7	210
wh3_main_chs_tong	185	210
wh3_main_cth_burning_wind_nomads	242	65
wh3_main_cth_cathay_mp	0	65
wh3_main_cth_celestial_loyalists	243	65
wh3_main_cth_dissenter_lords_of_jinshen	244	65
wh3_main_cth_eastern_river_lords	245	65
wh3_main_cth_imperial_wardens	246	65
wh3_main_cth_rebel_lords_of_nan_yang	247	65
wh3_main_cth_the_jade_custodians	248	65
wh3_main_cth_the_western_provinces	241	65
wh3_main_dae_daemon_prince	0	30
wh3_main_dwf_karak_azorn	115	50
wh3_main_dwf_the_ancestral_throng	124	50
wh3_main_emp_cult_of_sigmar	3	60
wh3_main_grn_dark_land_orcs	125	70
wh3_main_grn_drippin_fangs	126	70
wh3_main_grn_moon_howlerz	127	70
wh3_main_grn_slaves_of_zharr	125	70
wh3_main_grn_tusked_sunz	128	70
wh3_main_ie_vmp_sires_of_mourkain	11	200
wh3_main_kho_bloody_sword	203	90
wh3_main_kho_brazen_throne	202	90
wh3_main_kho_crimson_skull	201	90
wh3_main_kho_karneths_sons	204	90
wh3_main_kho_khorne	0	90
wh3_main_ksl_brotherhood_of_the_bear	5	100
wh3_main_ksl_druzhina_enclave	3	100
wh3_main_ksl_kislev	0	100
wh3_main_ksl_ropsmenn_clan	4	100
wh3_main_ksl_the_great_orthodoxy	1	100
wh3_main_ksl_ungol_kindred	6	100
wh3_main_ksl_ursun_revivalists	2	100
wh3_main_lzd_tepoks_spawn	14	110
wh3_main_nur_bubonic_swarm	212	130
wh3_main_nur_maggoth_kin	211	130
wh3_main_nur_nurgle	0	130
wh3_main_nur_septic_claw	213	130
wh3_main_ogr_blood_guzzlers	3	140
wh3_main_ogr_bloodmaw	4	140
wh3_main_ogr_crossed_clubs	5	140
wh3_main_ogr_disciples_of_the_maw	2	140
wh3_main_ogr_eyebiter	6	140
wh3_main_ogr_feastmaster	7	140
wh3_main_ogr_fleshgreeders	8	140
wh3_main_ogr_fulg	9	140
wh3_main_ogr_goldtooth	1	140
wh3_main_ogr_lazarghs	10	140
wh3_main_ogr_loose_tooth	11	140
wh3_main_ogr_mountaineaters	12	140
wh3_main_ogr_ogre_kingdoms	0	140
wh3_main_ogr_rock_skulls	13	140
wh3_main_ogr_sabreskin	14	140
wh3_main_ogr_sons_of_the_mountain	15	140
wh3_main_ogr_thunderguts	16	140
wh3_main_ogr_treehammers	17	140
wh3_main_ogre_flamegullets	17	140
wh3_main_ogre_sharktooth	18	140
wh3_main_ogre_the_famished	19	140
wh3_main_skv_clan_carrion	21	150
wh3_main_skv_clan_gritus	16	150
wh3_main_skv_clan_krizzor	17	150
wh3_main_skv_clan_morbidus	18	150
wh3_main_skv_clan_skrat	19	150
wh3_main_skv_clan_treecherik	22	150
wh3_main_skv_clan_verms	20	150
wh3_main_sla_exquisite_pain	222	160
wh3_main_sla_rapturous_excess	221	160
wh3_main_sla_slaanesh	0	160
wh3_main_sla_subtle_torture	223	160
wh3_main_tmb_deserters_of_khatep	9	170
wh3_main_tze_all_seeing_eye	231	180
wh3_main_tze_broken_wheel	232	180
wh3_main_tze_flaming_scribes	233	180
wh3_main_tze_sarthoraels_watchers	234	180
wh3_main_tze_tzeentch	0	180
wh3_main_vmp_caravan_of_blue_roses	2	200
wh3_main_vmp_lahmian_sisterhood	6	200
wh3_main_vmp_nagashizzar	7	200
wh3_main_wef_laurelorn	163	220
wh_dlc03_bst_beastmen	0	0
wh_dlc03_bst_jagged_horn	5	0
wh_dlc03_bst_redhorn	7	0
wh_dlc03_grn_black_pit	129	70
wh_dlc05_bst_morghur_herd	1	0
wh_dlc05_wef_argwylon	164	220
wh_dlc05_wef_torgovann	165	220
wh_dlc05_wef_wood_elves	0	220
wh_dlc05_wef_wydrioth	166	220
wh_dlc08_nor_goromadny_tribe	145	120
wh_dlc08_nor_naglfarlings	147	120
wh_dlc08_nor_norsca	0	120
wh_dlc08_nor_vanaheimlings	148	120
wh_dlc08_nor_wintertooth	149	120
wh_main_brt_artois	155	10
wh_main_brt_bastonne	156	10
wh_main_brt_bordeleaux	157	10
wh_main_brt_bretonnia	0	10
wh_main_brt_carcassonne	158	10
wh_main_brt_lyonesse	159	10
wh_main_brt_parravon	160	10
wh_main_chs_chaos	0	210
wh_main_dwf_barak_varr	116	50
wh_main_dwf_dwarfs	0	50
wh_main_dwf_karak_azul	117	50
wh_main_dwf_karak_hirn	118	50
wh_main_dwf_karak_izor	119	50
wh_main_dwf_karak_kadrin	120	50
wh_main_dwf_karak_norn	111	50
wh_main_dwf_karak_ziflin	121	50
wh_main_dwf_kraka_drak	122	50
wh_main_dwf_zhufbar	123	50
wh_main_emp_averland	4	60
wh_main_emp_empire	0	60
wh_main_emp_hochland	5	60
wh_main_emp_middenland	6	60
wh_main_emp_nordland	12	60
wh_main_emp_ostermark	7	60
wh_main_emp_ostland	8	60
wh_main_emp_stirland	9	60
wh_main_emp_talabecland	10	60
wh_main_emp_wissenland	11	60
wh_main_grn_black_venom	130	70
wh_main_grn_bloody_spearz	131	70
wh_main_grn_broken_nose	132	70
wh_main_grn_crooked_moon	133	70
wh_main_grn_greenskins	0	70
wh_main_grn_orcs_of_the_bloody_hand	134	70
wh_main_grn_red_eye	135	70
wh_main_grn_red_fangs	136	70
wh_main_grn_scabby_eye	137	70
wh_main_grn_skullsmasherz	138	70
wh_main_grn_teef_snatchaz	139	70
wh_main_nor_aesling	152	120
wh_main_nor_baersonling	153	120
wh_main_nor_bjornling	154	120
wh_main_nor_graeling	155	120
wh_main_nor_sarl	156	120
wh_main_nor_skaeling	157	120
wh_main_nor_varg	158	120
wh_main_vmp_mousillon	8	200
wh_main_vmp_schwartzhafen	9	200
wh_main_vmp_vampire_counts	0	200
wh_main_vmp_waldenhof	10	200
