effect	bonus_value_id	agent
wh2_dlc11_effect_agent_cap_increase_cst_gunnery_wights	cap	engineer
wh2_dlc11_effect_agent_enable_recruitment_champion_cst	availability	champion
wh2_dlc11_effect_agent_enable_recruitment_dignitary_cst	availability	dignitary
wh2_dlc11_effect_agent_enable_recruitment_engineer_cst	availability	engineer
wh2_dlc13_faction_trait_gorrok_recruit_rank	recruitment_level	champion
wh2_dlc14_effect_agent_cap_increase_def_master	cap	champion
wh2_dlc14_effect_agent_enable_recruitment_def_master	availability	champion
wh2_dlc14_effect_agent_recruitment_xp_def_master	recruitment_level	champion
wh2_dlc15_effect_agent_cap_increase_troll_hag	cap	runesmith
wh2_dlc15_effect_agent_enable_recruitment_runesmith_greenskins_river_troll_hag	availability	runesmith
wh2_dlc15_effect_agent_recruitment_xp_troll_hag	recruitment_level	runesmith
wh2_dlc15_effect_recruitment_xp_hef_loremaster_mages_archmages	recruitment_level	runesmith
wh2_dlc15_effect_recruitment_xp_hef_loremaster_mages_archmages	recruitment_level	wizard
wh2_dlc16_effect_agent_cap_increase_champion_chieftain	cap	champion
wh2_dlc16_effect_agent_cap_increase_dignitary_packmaster	cap	runesmith
wh2_dlc16_effect_agent_enable_recruitment_champion_skv	availability	champion
wh2_dlc16_effect_agent_enable_recruitment_runesmith_skv	availability	runesmith
wh2_dlc17_bst_ritual_hero_capacity_wargor	cap	spy
wh2_dlc17_effect_agent_action_success_chance_emp_witch_hunter_warrior_priest	success_mod	dignitary
wh2_dlc17_effect_agent_action_success_chance_emp_witch_hunter_warrior_priest	success_mod	spy
wh2_dlc17_effect_agent_and_lord_recruitment_cost_herdstone_cost_mod_hidden	recruit_cost_mod	champion
wh2_dlc17_effect_agent_and_lord_recruitment_cost_herdstone_cost_mod_hidden	recruit_cost_mod	general
wh2_dlc17_effect_agent_and_lord_recruitment_cost_herdstone_cost_mod_hidden	recruit_cost_mod	spy
wh2_dlc17_effect_agent_and_lord_recruitment_cost_herdstone_cost_mod_hidden	recruit_cost_mod	wizard
wh2_dlc17_effect_agent_cap_increase_lzd_skink_oracle	cap	runesmith
wh2_dlc17_effect_agent_enable_recruitment_runesmith_lzd	availability	runesmith
wh2_dlc17_effect_agent_recruitment_xp_witch_hunter_warrior_priest_empire	recruitment_level	dignitary
wh2_dlc17_effect_agent_recruitment_xp_witch_hunter_warrior_priest_empire	recruitment_level	spy
wh2_main_effect_agent_action_cost_mod_def_all	action_cost_mod	champion
wh2_main_effect_agent_action_cost_mod_def_all	action_cost_mod	dignitary
wh2_main_effect_agent_action_cost_mod_def_all	action_cost_mod	engineer
wh2_main_effect_agent_action_cost_mod_def_all	action_cost_mod	runesmith
wh2_main_effect_agent_action_cost_mod_def_all	action_cost_mod	spy
wh2_main_effect_agent_action_cost_mod_def_all	action_cost_mod	wizard
wh2_main_effect_agent_action_cost_mod_def_death_hag	action_cost_mod	dignitary
wh2_main_effect_agent_action_cost_mod_def_khainite_assassin	action_cost_mod	spy
wh2_main_effect_agent_action_cost_mod_def_sorceress	action_cost_mod	wizard
wh2_main_effect_agent_action_cost_mod_hef_loremaster_of_hoeth	action_cost_mod	spy
wh2_main_effect_agent_action_cost_mod_hef_mage	action_cost_mod	wizard
wh2_main_effect_agent_action_cost_mod_hef_noble	action_cost_mod	champion
wh2_main_effect_agent_action_cost_mod_lzd_saurus_scar_veteran	action_cost_mod	champion
wh2_main_effect_agent_action_cost_mod_lzd_skink_chief	action_cost_mod	wizard
wh2_main_effect_agent_action_cost_mod_lzd_skink_priest	action_cost_mod	wizard
wh2_main_effect_agent_action_cost_mod_skv_assassin	action_cost_mod	spy
wh2_main_effect_agent_action_cost_mod_skv_plague_priest	action_cost_mod	wizard
wh2_main_effect_agent_action_cost_mod_skv_warlock_engineer	action_cost_mod	engineer
wh2_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	champion
wh2_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	dignitary
wh2_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	engineer
wh2_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	runesmith
wh2_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	spy
wh2_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	wizard
wh2_main_effect_agent_action_success_chance_def_death_hag	success_mod	dignitary
wh2_main_effect_agent_action_success_chance_def_khainite_assassin	success_mod	spy
wh2_main_effect_agent_action_success_chance_hef_loremaster_of_hoeth	success_mod	spy
wh2_main_effect_agent_action_success_chance_hef_mage	success_mod	wizard
wh2_main_effect_agent_action_success_chance_hef_noble	success_mod	champion
wh2_main_effect_agent_action_success_chance_lzd_saurus_scar_veteran	success_mod	champion
wh2_main_effect_agent_action_success_chance_lzd_skink_chief	success_mod	wizard
wh2_main_effect_agent_action_success_chance_lzd_skink_priest	success_mod	wizard
wh2_main_effect_agent_action_success_chance_mage_loremaster	success_mod	runesmith
wh2_main_effect_agent_action_success_chance_mage_loremaster	success_mod	wizard
wh2_main_effect_agent_action_success_chance_skv_assassin	success_mod	spy
wh2_main_effect_agent_action_success_chance_skv_plague_priest	success_mod	wizard
wh2_main_effect_agent_action_success_chance_skv_warlock_engineer	success_mod	engineer
wh2_main_effect_agent_action_success_chance_wizard_def	success_mod	wizard
wh2_main_effect_agent_cap_increase_all_heroes	cap	champion
wh2_main_effect_agent_cap_increase_all_heroes	cap	dignitary
wh2_main_effect_agent_cap_increase_all_heroes	cap	engineer
wh2_main_effect_agent_cap_increase_all_heroes	cap	runesmith
wh2_main_effect_agent_cap_increase_all_heroes	cap	spy
wh2_main_effect_agent_cap_increase_all_heroes	cap	wizard
wh2_main_effect_agent_cap_increase_def_death_hag	cap	dignitary
wh2_main_effect_agent_cap_increase_def_khainite_assassin	cap	spy
wh2_main_effect_agent_cap_increase_def_sorceress	cap	wizard
wh2_main_effect_agent_cap_increase_hef_loremaster	cap	runesmith
wh2_main_effect_agent_cap_increase_hef_mage	cap	wizard
wh2_main_effect_agent_cap_increase_hef_noble	cap	champion
wh2_main_effect_agent_cap_increase_lzd_scar_veteran	cap	champion
wh2_main_effect_agent_cap_increase_lzd_skink_chief	cap	spy
wh2_main_effect_agent_cap_increase_lzd_skink_priest	cap	wizard
wh2_main_effect_agent_cap_increase_skv_assassin	cap	spy
wh2_main_effect_agent_cap_increase_skv_eshin_sorcerer	cap	wizard
wh2_main_effect_agent_cap_increase_skv_plague_priest	cap	wizard
wh2_main_effect_agent_cap_increase_skv_warlock_engineer	cap	engineer
wh2_main_effect_agent_enable_recruitment_dignitary_def	availability	dignitary
wh2_main_effect_agent_enable_recruitment_engineer_skv	availability	engineer
wh2_main_effect_agent_enable_recruitment_hef_noble	availability	champion
wh2_main_effect_agent_enable_recruitment_lzd_scar_veteran	availability	champion
wh2_main_effect_agent_enable_recruitment_runesmith_hef	availability	runesmith
wh2_main_effect_agent_enable_recruitment_spy_def	availability	spy
wh2_main_effect_agent_enable_recruitment_spy_lzd	availability	spy
wh2_main_effect_agent_enable_recruitment_spy_skv	availability	spy
wh2_main_effect_agent_enable_recruitment_wizard_def	availability	wizard
wh2_main_effect_agent_enable_recruitment_wizard_eshin	availability	wizard
wh2_main_effect_agent_enable_recruitment_wizard_hef	availability	wizard
wh2_main_effect_agent_enable_recruitment_wizard_lzd	availability	wizard
wh2_main_effect_agent_enable_recruitment_wizard_skv	availability	wizard
wh2_main_effect_agent_recruitment_cost_mod_general_extra	recruit_cost_mod	general
wh2_main_effect_agent_recruitment_cost_mod_general	recruit_cost_mod	general
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_beastmen_hidden	recruitment_level	champion
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_beastmen_hidden	recruitment_level	dignitary
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_beastmen_hidden	recruitment_level	engineer
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_beastmen_hidden	recruitment_level	general
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_beastmen_hidden	recruitment_level	runesmith
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_beastmen_hidden	recruitment_level	spy
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_beastmen_hidden	recruitment_level	wizard
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_hidden	recruitment_level	champion
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_hidden	recruitment_level	dignitary
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_hidden	recruitment_level	engineer
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_hidden	recruitment_level	general
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_hidden	recruitment_level	runesmith
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_hidden	recruitment_level	spy
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_hidden	recruitment_level	wizard
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords	recruitment_level	champion
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords	recruitment_level	dignitary
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords	recruitment_level	engineer
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords	recruitment_level	general
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords	recruitment_level	runesmith
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords	recruitment_level	spy
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords	recruitment_level	wizard
wh2_main_effect_agent_recruitment_xp_def_death_hag	recruitment_level	dignitary
wh2_main_effect_agent_recruitment_xp_def_khainite_assassin	recruitment_level	spy
wh2_main_effect_agent_recruitment_xp_def_sorceress	recruitment_level	wizard
wh2_main_effect_agent_recruitment_xp_hef_loremaster	recruitment_level	runesmith
wh2_main_effect_agent_recruitment_xp_hef_mage	recruitment_level	wizard
wh2_main_effect_agent_recruitment_xp_hef_noble	recruitment_level	champion
wh2_main_effect_agent_recruitment_xp_lzd_scar_veteran	recruitment_level	champion
wh2_main_effect_agent_recruitment_xp_lzd_skink_chief	recruitment_level	spy
wh2_main_effect_agent_recruitment_xp_lzd_skink_priest	recruitment_level	wizard
wh2_main_effect_agent_recruitment_xp_skv_assassin	recruitment_level	spy
wh2_main_effect_agent_recruitment_xp_skv_plague_priest	recruitment_level	wizard
wh2_main_effect_agent_recruitment_xp_skv_warlock_engineer	recruitment_level	engineer
wh2_main_effect_skill_hef_reduction_action_cost_for_loremaster_mages	action_cost_mod	runesmith
wh2_main_effect_skill_hef_reduction_action_cost_for_loremaster_mages	action_cost_mod	wizard
wh2_main_effect_tech_agent_recruitment_xp_hef_loremaster_mages	recruitment_level	runesmith
wh2_main_effect_tech_agent_recruitment_xp_hef_loremaster_mages	recruitment_level	wizard
wh2_pro09_effect_agent_cap_increase_black_orc_big_boss	cap	champion
wh2_pro09_effect_agent_enable_recruitment_black_orc_big_boss	availability	champion
wh2_twa02_effect_agent_cap_increase_runesmith_glade_captain	cap	dignitary
wh2_twa02_effect_agent_enable_recruitment_dignitary_wef	availability	dignitary
wh3_dlc20_effect_agent_agent_cap_increase_exalted_hero_mkho	cap	champion
wh3_dlc20_effect_agent_agent_cap_increase_exalted_hero_mnur	cap	champion
wh3_dlc20_effect_agent_agent_cap_increase_sorcerer_msla	cap	wizard
wh3_dlc20_effect_agent_agent_cap_increase_sorcerer_mtze	cap	wizard
wh3_dlc20_effect_agent_enable_recruitment_exalted_hero_mkho	availability	champion
wh3_dlc20_effect_agent_enable_recruitment_exalted_hero_mnur	availability	champion
wh3_dlc20_effect_agent_enable_recruitment_sorcerer_msla	availability	wizard
wh3_dlc20_effect_agent_enable_recruitment_sorcerer_mtze	availability	wizard
wh3_dlc23_effect_agent_cap_increase_champion_chaos_dwarfs	cap	champion
wh3_dlc23_effect_agent_cap_increase_engineer_chaos_dwarfs	cap	engineer
wh3_dlc23_effect_agent_cap_increase_wizard_chaos_dwarfs	cap	wizard
wh3_dlc23_effect_agent_enable_recruitment_champions_chaos_dwarfs	availability	champion
wh3_dlc23_effect_agent_enable_recruitment_engineer_chaos_dwarfs	availability	engineer
wh3_dlc23_effect_agent_enable_recruitment_wizard_chaos_dwarfs	availability	wizard
wh3_dlc23_effect_agent_recruitment_xp_chd_bull_centaur_taurruk	recruitment_level	champion
wh3_dlc23_effect_agent_recruitment_xp_chd_daemonsmith_sorcerer	recruitment_level	wizard
wh3_dlc23_effect_agent_recruitment_xp_chd_infernal_castellan	recruitment_level	engineer
wh3_dlc23_effect_enable_recruitment_chd_bull_centaur_taurruk	availability	champion
wh3_dlc23_effect_enable_recruitment_chd_daemonsmith_sorcerer	availability	wizard
wh3_dlc23_effect_enable_recruitment_chd_infernal_castellan	availability	engineer
wh3_main_effect_agent_action_cost_mod_cth_alchemist	action_cost_mod	engineer
wh3_main_effect_agent_action_cost_mod_cth_astromancer	action_cost_mod	wizard
wh3_main_effect_agent_action_cost_mod_cultist	action_cost_mod	dignitary
wh3_main_effect_agent_action_cost_mod_emp_witch_hunter_warrior_priest	action_cost_mod	dignitary
wh3_main_effect_agent_action_cost_mod_emp_witch_hunter_warrior_priest	action_cost_mod	spy
wh3_main_effect_agent_action_cost_mod_kho_bloodreaper	action_cost_mod	dignitary
wh3_main_effect_agent_action_cost_mod_ksl_frost_maiden	action_cost_mod	wizard
wh3_main_effect_agent_action_cost_mod_ksl_patriarch	action_cost_mod	dignitary
wh3_main_effect_agent_action_cost_mod_nur_plagueridden	action_cost_mod	spy
wh3_main_effect_agent_action_cost_mod_sla_alluress	action_cost_mod	engineer
wh3_main_effect_agent_action_cost_mod_tze_iridescent_horror	action_cost_mod	runesmith
wh3_main_effect_agent_action_success_chance_cth_alchemist	success_mod	engineer
wh3_main_effect_agent_action_success_chance_cth_astromancer	success_mod	wizard
wh3_main_effect_agent_action_success_chance_kho_bloodreaper	success_mod	dignitary
wh3_main_effect_agent_action_success_chance_kho_cultist	success_mod	runesmith
wh3_main_effect_agent_action_success_chance_ksl_frost_maiden	success_mod	wizard
wh3_main_effect_agent_action_success_chance_ksl_patriarch	success_mod	dignitary
wh3_main_effect_agent_action_success_chance_nur_cultist	success_mod	dignitary
wh3_main_effect_agent_action_success_chance_nur_plagueridden	success_mod	spy
wh3_main_effect_agent_action_success_chance_sla_alluress	success_mod	engineer
wh3_main_effect_agent_action_success_chance_sla_cultist	success_mod	dignitary
wh3_main_effect_agent_action_success_chance_tze_cultist	success_mod	dignitary
wh3_main_effect_agent_action_success_chance_tze_iridescent_horror	success_mod	runesmith
wh3_main_effect_agent_cap_increase_cth_alchemist	cap	engineer
wh3_main_effect_agent_cap_increase_cth_astromancer	cap	wizard
wh3_main_effect_agent_cap_increase_emp_witch_hunter_warrior_priest	cap	dignitary
wh3_main_effect_agent_cap_increase_emp_witch_hunter_warrior_priest	cap	spy
wh3_main_effect_agent_cap_increase_kho_bloodreaper	cap	dignitary
wh3_main_effect_agent_cap_increase_kho_cultist	cap	runesmith
wh3_main_effect_agent_cap_increase_ksl_frost_maiden	cap	wizard
wh3_main_effect_agent_cap_increase_ksl_patriarch	cap	dignitary
wh3_main_effect_agent_cap_increase_nur_cultist	cap	dignitary
wh3_main_effect_agent_cap_increase_nur_plagueridden	cap	spy
wh3_main_effect_agent_cap_increase_ogr_butcher	cap	wizard
wh3_main_effect_agent_cap_increase_ogr_firebelly	cap	dignitary
wh3_main_effect_agent_cap_increase_ogr_hunter	cap	spy
wh3_main_effect_agent_cap_increase_sla_alluress	cap	engineer
wh3_main_effect_agent_cap_increase_sla_cultist	cap	dignitary
wh3_main_effect_agent_cap_increase_tze_cultist	cap	dignitary
wh3_main_effect_agent_cap_increase_tze_iridescent_horror	cap	runesmith
wh3_main_effect_agent_defence_wound_chance_mod_kho_bloodreaper	critical_failure_mod_opponent	dignitary
wh3_main_effect_agent_defence_wound_chance_mod_nur_plagueridden	critical_failure_mod_opponent	spy
wh3_main_effect_agent_defence_wound_chance_mod_sla_alluress	critical_failure_mod_opponent	engineer
wh3_main_effect_agent_defence_wound_chance_mod_tze_iridescent_horror	critical_failure_mod_opponent	runesmith
wh3_main_effect_agent_enable_recruitment_cth_alchemist	availability	engineer
wh3_main_effect_agent_enable_recruitment_cth_astromancer	availability	wizard
wh3_main_effect_agent_enable_recruitment_kho_bloodreaper	availability	dignitary
wh3_main_effect_agent_enable_recruitment_kho_cultist	availability	runesmith
wh3_main_effect_agent_enable_recruitment_ksl_frost_maiden	availability	wizard
wh3_main_effect_agent_enable_recruitment_ksl_patriarch	availability	dignitary
wh3_main_effect_agent_enable_recruitment_nur_cultist	availability	dignitary
wh3_main_effect_agent_enable_recruitment_nur_plagueridden	availability	spy
wh3_main_effect_agent_enable_recruitment_ogr_butcher	availability	wizard
wh3_main_effect_agent_enable_recruitment_ogr_firebelly	availability	dignitary
wh3_main_effect_agent_enable_recruitment_ogr_hunter	availability	spy
wh3_main_effect_agent_enable_recruitment_sla_alluress	availability	engineer
wh3_main_effect_agent_enable_recruitment_sla_cultist	availability	dignitary
wh3_main_effect_agent_enable_recruitment_tze_cultist	availability	dignitary
wh3_main_effect_agent_enable_recruitment_tze_iridescent_horror	availability	runesmith
wh3_main_effect_agent_recruitment_cost_mod_emp_witch_hunter_warrior_priest	recruit_cost_mod	dignitary
wh3_main_effect_agent_recruitment_cost_mod_emp_witch_hunter_warrior_priest	recruit_cost_mod	spy
wh3_main_effect_agent_recruitment_cost_mod_kho_bloodreaper	recruit_cost_mod	dignitary
wh3_main_effect_agent_recruitment_cost_mod_ksl_patriarch	recruit_cost_mod	dignitary
wh3_main_effect_agent_recruitment_xp_cth_alchemist	recruitment_level	engineer
wh3_main_effect_agent_recruitment_xp_cth_astromancer	recruitment_level	wizard
wh3_main_effect_agent_recruitment_xp_kho_bloodreaper	recruitment_level	dignitary
wh3_main_effect_agent_recruitment_xp_ksl_frost_maiden	recruitment_level	wizard
wh3_main_effect_agent_recruitment_xp_ksl_patriarch	recruitment_level	dignitary
wh3_main_effect_agent_recruitment_xp_nur_plagueridden	recruitment_level	spy
wh3_main_effect_agent_recruitment_xp_ogr_butcher	recruitment_level	wizard
wh3_main_effect_agent_recruitment_xp_ogr_firebelly_hidden	recruitment_level	dignitary
wh3_main_effect_agent_recruitment_xp_ogr_firebelly	recruitment_level	dignitary
wh3_main_effect_agent_recruitment_xp_ogr_hunter_hidden	recruitment_level	spy
wh3_main_effect_agent_recruitment_xp_ogr_hunter	recruitment_level	spy
wh3_main_effect_agent_recruitment_xp_sla_alluress	recruitment_level	engineer
wh3_main_effect_agent_recruitment_xp_sla_cultist	recruitment_level	dignitary
wh3_main_effect_agent_recruitment_xp_tze_cultist	recruitment_level	dignitary
wh3_main_effect_agent_recruitment_xp_tze_iridescent_horror	recruitment_level	runesmith
wh3_main_pro_effect_agent_cap_increase_kho_cultist	cap	runesmith
wh3_main_pro_effect_agent_cap_increase_tze_cultist	cap	dignitary
wh3_main_pro_effect_agent_enable_recruitment_kho_cultist	availability	dignitary
wh3_main_pro_effect_agent_enable_recruitment_tze_cultist	availability	dignitary
wh_dlc03_effect_agent_action_cost_mod_wizard_beastmen	action_cost_mod	wizard
wh_dlc03_effect_agent_action_success_chance_wizard_beastmen	success_mod	wizard
wh_dlc03_effect_agent_cap_increase_champion_beastmen	cap	champion
wh_dlc03_effect_agent_cap_increase_wizard_beastmen	cap	wizard
wh_dlc03_effect_agent_enable_recruitment_champion_beastmen_hidden	availability	champion
wh_dlc03_effect_agent_enable_recruitment_champion_beastmen	availability	champion
wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen_beasts_hidden	availability	wizard
wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen_death_hidden	availability	wizard
wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen_shadows_hidden	availability	wizard
wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen_wild_hidden	availability	wizard
wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen	availability	wizard
wh_dlc03_effect_agent_recruitment_cost_mod_wizard_beastmen	recruit_cost_mod	wizard
wh_dlc03_effect_agent_recruitment_xp_wizard_beastmen	recruitment_level	wizard
wh_dlc05_effect_agent_action_cost_mod_champion_wood_elves	action_cost_mod	champion
wh_dlc05_effect_agent_action_cost_mod_spy_wood_elves	action_cost_mod	spy
wh_dlc05_effect_agent_action_cost_mod_wizard_wood_elves	action_cost_mod	wizard
wh_dlc05_effect_agent_action_success_chance_champion_wood_elves	success_mod	champion
wh_dlc05_effect_agent_action_success_chance_spy_wood_elves	success_mod	spy
wh_dlc05_effect_agent_action_success_chance_wizard_wood_elves	success_mod	wizard
wh_dlc05_effect_agent_cap_increase_champion	cap	champion
wh_dlc05_effect_agent_cap_increase_spy	cap	spy
wh_dlc05_effect_agent_cap_increase_wizard	cap	wizard
wh_dlc05_effect_agent_enable_recruitment_champion_woodelves	availability	champion
wh_dlc05_effect_agent_enable_recruitment_spy_woodelves	availability	spy
wh_dlc05_effect_agent_enable_recruitment_wizard_woodelves	availability	wizard
wh_dlc05_effect_agent_recruitment_cost_mod_champion_wood_elves	recruit_cost_mod	champion
wh_dlc05_effect_agent_recruitment_xp_wizard_woodelves	recruitment_level	wizard
wh_dlc05_effect_tech_hero_xp_levels_branchwraiths	recruitment_level	champion
wh_dlc05_effect_tech_hero_xp_levels_waystalkers	recruitment_level	spy
wh_dlc06_effect_agent_action_cost_mod_hidden	action_cost_mod	champion
wh_dlc06_effect_agent_action_cost_mod_hidden	action_cost_mod	dignitary
wh_dlc06_effect_agent_action_cost_mod_hidden	action_cost_mod	engineer
wh_dlc06_effect_agent_action_cost_mod_hidden	action_cost_mod	runesmith
wh_dlc06_effect_agent_action_cost_mod_hidden	action_cost_mod	spy
wh_dlc06_effect_agent_action_cost_mod_hidden	action_cost_mod	wizard
wh_dlc08_effect_agent_cap_increase_dignitary_fimir_balefiend	cap	dignitary
wh_dlc08_effect_agent_cap_increase_wizard	cap	wizard
wh_dlc08_effect_agent_enable_recruitment_champion_norsca	availability	champion
wh_dlc08_effect_agent_enable_recruitment_dignitary_norsca	availability	dignitary
wh_dlc08_effect_agent_enable_recruitment_wizard_norsca	availability	wizard
wh_dlc08_effect_agent_recruitment_xp_dignitary_norsca	recruitment_level	dignitary
wh_dlc08_effect_skill_agent_cap_increase_champion_skin_wolf_werekin	cap	champion
wh_dlc08_effect_skill_agent_recruitment_xp_champion_norsca	recruitment_level	champion
wh_dlc17_effect_agent_and_lord_recruitment_cost_mod_hidden	recruit_cost_mod	champion
wh_dlc17_effect_agent_and_lord_recruitment_cost_mod_hidden	recruit_cost_mod	general
wh_dlc17_effect_agent_and_lord_recruitment_cost_mod_hidden	recruit_cost_mod	spy
wh_dlc17_effect_agent_and_lord_recruitment_cost_mod_hidden	recruit_cost_mod	wizard
wh_dlc17_effect_agent_enable_recruitment_spy_beastmen	availability	spy
wh_main_effect_agent_action_cost_mod_champion_bretonnia	action_cost_mod	champion
wh_main_effect_agent_action_cost_mod_champion_chaos	action_cost_mod	champion
wh_main_effect_agent_action_cost_mod_champion_dwarfs	action_cost_mod	champion
wh_main_effect_agent_action_cost_mod_champion_empire	action_cost_mod	champion
wh_main_effect_agent_action_cost_mod_champion_vampire_counts	action_cost_mod	champion
wh_main_effect_agent_action_cost_mod_dignitary_empire	action_cost_mod	dignitary
wh_main_effect_agent_action_cost_mod_dignitary_vampire_counts	action_cost_mod	dignitary
wh_main_effect_agent_action_cost_mod_engineer	action_cost_mod	engineer
wh_main_effect_agent_action_cost_mod_runesmith	action_cost_mod	runesmith
wh_main_effect_agent_action_cost_mod_spy_empire	action_cost_mod	spy
wh_main_effect_agent_action_cost_mod_spy_greenskins	action_cost_mod	spy
wh_main_effect_agent_action_cost_mod_spy_vampire_counts	action_cost_mod	spy
wh_main_effect_agent_action_cost_mod_wizard_bretonnia	action_cost_mod	wizard
wh_main_effect_agent_action_cost_mod_wizard_chaos	action_cost_mod	wizard
wh_main_effect_agent_action_cost_mod_wizard_empire	action_cost_mod	wizard
wh_main_effect_agent_action_cost_mod_wizard_greenskins	action_cost_mod	wizard
wh_main_effect_agent_action_cost_mod_wizard_vampire_counts	action_cost_mod	wizard
wh_main_effect_agent_action_cost_mod	action_cost_mod	champion
wh_main_effect_agent_action_cost_mod	action_cost_mod	dignitary
wh_main_effect_agent_action_cost_mod	action_cost_mod	engineer
