faction_set	unit	upkeep_cost	recruitment_cost	name_group
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_inf_skeleton_warriors_0	75	300	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_inf_tomb_guard_0	190	750	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_inf_tomb_guard_1	215	850	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_inf_tomb_guard_ror	275	1100	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_mon_carrion_0	90	350	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_mon_carrion_ror	115	450	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_mon_fell_bats	90	350	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_mon_heirotitan_0	500	2000	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_mon_necrosphinx_0	500	2000	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_mon_necrosphinx_ror	615	2450	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_mon_sepulchral_stalkers_0	300	1200	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_mon_sepulchral_stalkers_ror	350	1400	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_mon_tomb_scorpion_0	250	1000	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_mon_ushabti_0	225	900	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_mon_ushabti_1	275	1100	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_mon_ushabti_ror	340	1350	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_veh_khemrian_warsphinx_0	490	1950	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_veh_skeleton_archer_chariot_0	250	1000	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_veh_skeleton_chariot_0	215	850	
wh3_dlc29_nag_host_of_nagash	wh2_dlc11_cst_art_queen_bess	-1	1600	
wh3_dlc29_nag_host_of_nagash	wh2_pro06_tmb_mon_bone_giant_0	400	1600	
wh3_cp1_cth_bhashiva	wh3_cp1_cth_inf_iron_claw_guandao	-1	-1	names_cth_tigermen
wh3_cp1_cth_bhashiva	wh3_cp1_cth_inf_stalkers_throwing_disc	-1	-1	names_cth_tigermen
wh3_cp1_cth_bhashiva	wh3_cp1_cth_inf_tiger_warriors_dual_axe	-1	-1	names_cth_tigermen
subcult_nurgle	wh3_dlc20_chs_cav_chaos_chariot_mnur	-1	1700	
warriors_factions	wh3_dlc20_chs_cav_chaos_chariot_msla_ror	-1	1500	
subcult_nurgle	wh3_dlc20_chs_cav_chaos_knights_mnur_lances	-1	3500	
subcult_nurgle	wh3_dlc20_chs_cav_chaos_knights_mnur	-1	3000	
warriors_factions	wh3_dlc20_chs_inf_aspiring_champions_mtze_ror	-1	2100	
warriors_factions	wh3_dlc20_chs_inf_chaos_marauders_mkho	-1	600	
subcult_nurgle	wh3_dlc20_chs_inf_chaos_marauders_mnur_greatweapons	-1	1050	
subcult_nurgle	wh3_dlc20_chs_inf_chaos_marauders_mnur	-1	850	
warriors_factions	wh3_dlc20_chs_inf_chaos_marauders_mnur	-1	640	
warriors_factions	wh3_dlc20_chs_inf_chaos_marauders_msla	-1	675	
warriors_factions	wh3_dlc20_chs_inf_chaos_marauders_mtze	-1	675	
subcult_nurgle	wh3_dlc20_chs_inf_chaos_warriors_mnur_greatweapons	-1	1900	
subcult_nurgle	wh3_dlc20_chs_inf_chaos_warriors_mnur	-1	1700	
subcult_nurgle	wh3_dlc20_chs_inf_chosen_mnur_greatweapons	-1	3200	
subcult_nurgle	wh3_dlc20_chs_inf_chosen_mnur	-1	2800	
warriors_factions	wh3_dlc20_chs_inf_forsaken_mkho	-1	1200	
warriors_factions	wh3_dlc20_chs_inf_forsaken_msla	-1	1275	
warriors_factions	wh3_dlc20_chs_mon_warshrine_mkho	-1	1950	
subcult_nurgle	wh3_dlc20_chs_mon_warshrine_mnur	-1	2600	
warriors_factions	wh3_dlc20_chs_mon_warshrine_mnur	-1	1875	
warriors_factions	wh3_dlc20_chs_mon_warshrine_msla	-1	2025	
warriors_factions	wh3_dlc20_chs_mon_warshrine_mtze	-1	1875	
warriors_factions	wh3_dlc20_chs_mon_warshrine	-1	1800	
subcult_nurgle	wh3_dlc25_nur_cav_rot_knights	-1	3600	
subcult_nurgle	wh3_dlc25_nur_inf_pestigors	-1	1400	
subcult_nurgle	wh3_dlc25_nur_inf_plague_ogres_great_weapons	-1	2800	
subcult_nurgle	wh3_dlc25_nur_inf_plague_ogres	-1	2600	
subcult_nurgle	wh3_dlc25_nur_mon_bile_trolls	-1	2000	
warriors_factions	wh3_dlc25_nur_mon_soul_grinder_0_ror	-1	3750	
subcult_nurgle	wh3_dlc25_nur_mon_toad_dragon	-1	4800	
wh3_dlc29_nag_host_of_nagash	wh3_dlc27_tmb_mon_carrion_monst_arcanum	90	350	
norscan_homeland_factions	wh3_dlc29_chs_inf_flayerkin	-1	2400	
subcult_nurgle	wh3_dlc29_chs_inf_putrid_blightkings_axe_shield	-1	2400	
subcult_nurgle	wh3_dlc29_chs_inf_putrid_blightkings_dual_axe	-1	2400	
subcult_nurgle	wh3_dlc29_chs_inf_putrid_blightkings_great_weapons	-1	2400	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_cha_arkhan_dread_abyssal	537	0	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_cha_liche_high_priest_death_skeletal_steed	150	600	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_cha_liche_high_priest_death	100	400	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_cha_liche_high_priest_light_skeletal_steed	150	600	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_cha_liche_high_priest_light	100	400	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_cha_liche_high_priest_nehekhara_skeletal_steed	150	600	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_cha_liche_high_priest_nehekhara	100	400	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_cha_liche_high_priest_shadow_skeletal_steed	150	600	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_cha_liche_high_priest_shadow	100	400	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_cha_liche_high_priest_undeath_skeletal_steed	150	600	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_cha_liche_high_priest_undeath	100	400	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_cha_liche_priest_undeath_skeletal_steed	125	500	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_cha_liche_priest_undeath	75	300	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_cha_tomb_herald_skeletal_steed	175	700	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_cha_tomb_herald_skeleton_chariot	187	750	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_cha_tomb_herald	125	500	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_mon_khemric_titan_ror	725	2900	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_mon_khemric_titan	625	2500	
wh3_dlc29_nag_host_of_nagash	wh3_dlc29_tmb_mon_ushabti_ror_sepulchrex	275	1100	
warriors_factions	wh3_main_dae_inf_chaos_furies_0	-1	750	
warriors_factions	wh3_main_kho_inf_bloodletters_0	-1	1200	
warriors_factions	wh3_main_kho_inf_bloodletters_1	-1	1800	
warriors_factions	wh3_main_kho_inf_chaos_warhounds_0	-1	675	
warriors_factions	wh3_main_kho_inf_flesh_hounds_of_khorne_0	-1	1050	
warriors_factions	wh3_main_kho_mon_bloodthirster_0	-1	3450	
warriors_factions	wh3_main_kho_mon_soul_grinder_0	-1	2850	
warriors_factions	wh3_main_kho_mon_spawn_of_khorne_0	-1	1500	
warriors_factions	wh3_main_kho_veh_skullcannon_0	-1	1650	
subcult_nurgle	wh3_main_nur_cav_plague_drones_0	-1	2400	
warriors_factions	wh3_main_nur_cav_plague_drones_0	-1	1950	
subcult_nurgle	wh3_main_nur_cav_plague_drones_1	-1	3000	
subcult_nurgle	wh3_main_nur_cav_pox_riders_of_nurgle_0	-1	2000	
subcult_nurgle	wh3_main_nur_inf_chaos_furies_0	-1	1100	
subcult_nurgle	wh3_main_nur_inf_forsaken_0_warriors	-1	1700	
warriors_factions	wh3_main_nur_inf_forsaken_0_warriors	-1	1275	
subcult_nurgle	wh3_main_nur_inf_forsaken_0	-1	1700	
subcult_nurgle	wh3_main_nur_inf_nurglings_0	-1	700	
warriors_factions	wh3_main_nur_inf_nurglings_0	-1	525	
subcult_nurgle	wh3_main_nur_inf_plaguebearers_0	-1	1400	
warriors_factions	wh3_main_nur_inf_plaguebearers_0	-1	1125	
subcult_nurgle	wh3_main_nur_inf_plaguebearers_1	-1	2200	
warriors_factions	wh3_main_nur_inf_plaguebearers_1	-1	1650	
subcult_nurgle	wh3_main_nur_mon_beast_of_nurgle_0	-1	1600	
warriors_factions	wh3_main_nur_mon_beast_of_nurgle_0	-1	1200	
subcult_nurgle	wh3_main_nur_mon_great_unclean_one_0	-1	4000	
warriors_factions	wh3_main_nur_mon_great_unclean_one_0	-1	3000	
subcult_nurgle	wh3_main_nur_mon_plague_toads_0	-1	1200	
subcult_nurgle	wh3_main_nur_mon_rot_flies_0	-1	1800	
warriors_factions	wh3_main_nur_mon_rot_flies_0	-1	1350	
subcult_nurgle	wh3_main_nur_mon_soul_grinder_0	-1	3800	
warriors_factions	wh3_main_nur_mon_soul_grinder_0	-1	2850	
subcult_nurgle	wh3_main_nur_mon_spawn_of_nurgle_0_warriors	-1	2000	
warriors_factions	wh3_main_nur_mon_spawn_of_nurgle_0_warriors	-1	1500	
subcult_nurgle	wh3_main_nur_mon_spawn_of_nurgle_0	-1	2000	
warriors_factions	wh3_main_sla_inf_daemonette_0	-1	1200	
warriors_factions	wh3_main_sla_inf_daemonette_1	-1	1875	
warriors_factions	wh3_main_sla_mon_fiends_of_slaanesh_0	-1	1950	
warriors_factions	wh3_main_sla_mon_keeper_of_secrets_0	-1	3000	
warriors_factions	wh3_main_sla_mon_soul_grinder_0	-1	2850	
warriors_factions	wh3_main_sla_mon_spawn_of_slaanesh_0	-1	1500	
warriors_factions	wh3_main_sla_veh_seeker_chariot_0	-1	1200	
warriors_factions	wh3_main_tze_inf_forsaken_0	-1	1275	
warriors_factions	wh3_main_tze_inf_pink_horrors_0	-1	1050	
warriors_factions	wh3_main_tze_inf_pink_horrors_1	-1	1650	
warriors_factions	wh3_main_tze_mon_flamers_0	-1	1275	
warriors_factions	wh3_main_tze_mon_lord_of_change_0	-1	2550	
warriors_factions	wh3_main_tze_mon_screamers_0	-1	1050	
warriors_factions	wh3_main_tze_mon_soul_grinder_0	-1	2850	
warriors_factions	wh3_main_tze_mon_spawn_of_tzeentch_0	-1	1500	
warriors_factions	wh_dlc01_chs_inf_forsaken_0	-1	1125	
warriors_factions	wh_dlc01_chs_mon_dragon_ogre_shaggoth	-1	3000	
warriors_factions	wh_dlc01_chs_mon_dragon_ogre	-1	2475	
warriors_factions	wh_dlc06_chs_feral_manticore	-1	1200	
faction_set_tamurkhan	wh_dlc06_chs_inf_aspiring_champions_0	-1	0	
warriors_factions	wh_dlc06_chs_inf_aspiring_champions_0	-1	1650	
faction_set_tamurkhan	wh_dlc08_nor_mon_fimir_1	-1	0	
faction_set_tamurkhan	wh_dlc08_nor_mon_frost_wyrm_0	-1	0	
faction_set_tamurkhan	wh_dlc08_nor_mon_norscan_ice_trolls_0	-1	0	
faction_set_tamurkhan	wh_dlc08_nor_mon_skinwolves_0	-1	0	
faction_set_tamurkhan	wh_dlc08_nor_mon_war_mammoth_1	-1	0	
faction_set_tamurkhan	wh_dlc08_nor_mon_warwolves_0	-1	0	
warriors_factions	wh_main_chs_art_hellcannon	-1	1950	
warriors_factions	wh_main_chs_cav_chaos_chariot	-1	1425	
warriors_factions	wh_main_chs_cav_chaos_knights_0	-1	2175	
warriors_factions	wh_main_chs_cav_marauder_horsemen_0	-1	750	
warriors_factions	wh_main_chs_inf_chaos_marauders_0	-1	560	
warriors_factions	wh_main_chs_inf_chaos_warriors_0	-1	1200	
warriors_factions	wh_main_chs_mon_chaos_spawn	-1	1350	
warriors_factions	wh_main_chs_mon_chaos_warhounds_0	-1	600	
subcult_nurgle	wh_main_chs_mon_chaos_warhounds_1	-1	900	
warriors_factions	wh_main_chs_mon_chaos_warhounds_1	-1	675	
warriors_factions	wh_main_chs_mon_giant	-1	2250	
warriors_factions	wh_main_chs_mon_trolls	-1	1200	
warriors_factions	wh_pro04_chs_art_hellcannon_ror_0	-1	2300	
warriors_factions	wh_pro04_chs_inf_chaos_warriors_ror_0	-1	1450	
warriors_factions	wh_pro04_chs_inf_forsaken_ror_0	-1	1500	
warriors_factions	wh_pro04_chs_mon_chaos_spawn_ror_0	-1	1850	
warriors_factions	wh_pro04_chs_mon_dragon_ogre_ror_0	-1	3000	
