level	cooking_recipe	chain_id	upgrade_resource_cost
2	wh3_dlc27_recipe_mark_of_vindictiveness_rapture_ii	wh3_dlc27_sla_marks_of_vindictiveness_fearful_rapture	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_3
3	wh3_dlc27_recipe_mark_of_vindictiveness_rapture_iii	wh3_dlc27_sla_marks_of_vindictiveness_fearful_rapture	
1	wh3_dlc27_recipe_mark_of_vindictiveness_empathy	wh3_dlc27_sla_marks_of_vindictiveness_forced_empathy	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_2
2	wh3_dlc27_recipe_mark_of_vindictiveness_empathy_ii	wh3_dlc27_sla_marks_of_vindictiveness_forced_empathy	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_3
3	wh3_dlc27_recipe_mark_of_vindictiveness_empathy_iii	wh3_dlc27_sla_marks_of_vindictiveness_forced_empathy	
1	wh3_dlc27_recipe_mark_of_vindictiveness_lash	wh3_dlc27_sla_marks_of_vindictiveness_heed_the_lash	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_2
2	wh3_dlc27_recipe_mark_of_vindictiveness_lash_ii	wh3_dlc27_sla_marks_of_vindictiveness_heed_the_lash	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_3
3	wh3_dlc27_recipe_mark_of_vindictiveness_lash_iii	wh3_dlc27_sla_marks_of_vindictiveness_heed_the_lash	
1	wh3_dlc27_recipe_mark_of_vindictiveness_onslaught	wh3_dlc27_sla_marks_of_vindictiveness_piercing_onslaught	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_2
2	wh3_dlc27_recipe_mark_of_vindictiveness_onslaught_ii	wh3_dlc27_sla_marks_of_vindictiveness_piercing_onslaught	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_3
3	wh3_dlc27_recipe_mark_of_vindictiveness_onslaught_iii	wh3_dlc27_sla_marks_of_vindictiveness_piercing_onslaught	
1	wh3_dlc27_recipe_mark_of_vindictiveness_indolence	wh3_dlc27_sla_marks_of_vindictiveness_slothful_indolence	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_2
2	wh3_dlc27_recipe_mark_of_vindictiveness_indolence_ii	wh3_dlc27_sla_marks_of_vindictiveness_slothful_indolence	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_3
3	wh3_dlc27_recipe_mark_of_vindictiveness_indolence_iii	wh3_dlc27_sla_marks_of_vindictiveness_slothful_indolence	
1	wh3_dlc27_recipe_mark_of_vindictiveness_ascendancy	wh3_dlc27_sla_marks_of_vindictiveness_supreme_ascendancy	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_2
2	wh3_dlc27_recipe_mark_of_vindictiveness_ascendancy_ii	wh3_dlc27_sla_marks_of_vindictiveness_supreme_ascendancy	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_3
3	wh3_dlc27_recipe_mark_of_vindictiveness_ascendancy_iii	wh3_dlc27_sla_marks_of_vindictiveness_supreme_ascendancy	
1	wh3_dlc27_recipe_mark_of_vindictiveness_despair	wh3_dlc27_sla_marks_of_vindictiveness_the_scent_of_despair	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_2
2	wh3_dlc27_recipe_mark_of_vindictiveness_despair_ii	wh3_dlc27_sla_marks_of_vindictiveness_the_scent_of_despair	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_3
3	wh3_dlc27_recipe_mark_of_vindictiveness_despair_iii	wh3_dlc27_sla_marks_of_vindictiveness_the_scent_of_despair	
1	wh3_dlc27_recipe_mark_of_vindictiveness_charge	wh3_dlc27_sla_marks_of_vindictiveness_thrusting_charge	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_2
2	wh3_dlc27_recipe_mark_of_vindictiveness_charge_ii	wh3_dlc27_sla_marks_of_vindictiveness_thrusting_charge	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_3
3	wh3_dlc27_recipe_mark_of_vindictiveness_charge_iii	wh3_dlc27_sla_marks_of_vindictiveness_thrusting_charge	
1	wh3_dlc27_recipe_mark_of_vindictiveness_furies	wh3_dlc27_sla_marks_of_vindictiveness_vengeful_furies	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_2
2	wh3_dlc27_recipe_mark_of_vindictiveness_furies_ii	wh3_dlc27_sla_marks_of_vindictiveness_vengeful_furies	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_3
3	wh3_dlc27_recipe_mark_of_vindictiveness_furies_iii	wh3_dlc27_sla_marks_of_vindictiveness_vengeful_furies	
1	wh3_dlc27_recipe_mark_of_vindictiveness_fascination	wh3_dlc27_sla_marks_of_vindictiveness_wondrous_fascination	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_2
2	wh3_dlc27_recipe_mark_of_vindictiveness_fascination_ii	wh3_dlc27_sla_marks_of_vindictiveness_wondrous_fascination	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_3
3	wh3_dlc27_recipe_mark_of_vindictiveness_fascination_iii	wh3_dlc27_sla_marks_of_vindictiveness_wondrous_fascination	
