key	effect_bundle	faction_set
wh3_dlc25_nur_settlement_2_negative_blessed	wh3_dlc25_nur_settlement_2_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_settlement_2_positive	wh3_dlc25_nur_settlement_2_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_settlement_2_positive_blessed	wh3_dlc25_nur_settlement_2_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_settlement_3_festus_positive	wh3_dlc25_nur_settlement_3_festus_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_settlement_3_festus_positive_blessed	wh3_dlc25_nur_settlement_3_festus_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_settlement_3_negative	wh3_dlc25_nur_settlement_3_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_settlement_3_negative_blessed	wh3_dlc25_nur_settlement_3_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_settlement_3_positive	wh3_dlc25_nur_settlement_3_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_settlement_3_positive_blessed	wh3_dlc25_nur_settlement_3_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_settlement_4_negative	wh3_dlc25_nur_settlement_4_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_settlement_4_negative_blessed	wh3_dlc25_nur_settlement_4_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_settlement_4_positive	wh3_dlc25_nur_settlement_4_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_settlement_4_positive_blessed	wh3_dlc25_nur_settlement_4_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_settlement_5_negative	wh3_dlc25_nur_settlement_5_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_settlement_5_negative_blessed	wh3_dlc25_nur_settlement_5_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_settlement_5_positive	wh3_dlc25_nur_settlement_5_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_settlement_5_positive_blessed	wh3_dlc25_nur_settlement_5_positive_blessed	plague_effect_set_nurgle_positive
wh3_main_crimson_plague_faction_force	wh3_main_crimson_plague_faction_force	plague_effect_set_nurgle_negative
wh3_main_crimson_plague_faction_force_nurgle	wh3_main_crimson_plague_faction_force_nurgle	plague_effect_set_nurgle_positive
wh3_main_crimson_plague_faction_settlement	wh3_main_crimson_plague_faction_settlement	plague_effect_set_nurgle_negative
wh3_main_crimson_plague_faction_settlement_nurgle	wh3_main_crimson_plague_faction_settlement_nurgle	plague_effect_set_nurgle_positive
wh3_main_crimson_plague_region_force	wh3_main_crimson_plague_region_force	plague_effect_set_nurgle_negative
wh3_main_crimson_plague_region_force_nurgle	wh3_main_crimson_plague_region_force_nurgle	plague_effect_set_nurgle_positive
wh3_main_crimson_plague_region_settlement	wh3_main_crimson_plague_region_settlement	plague_effect_set_nurgle_negative
wh3_main_crimson_plague_region_settlement_nurgle	wh3_main_crimson_plague_region_settlement_nurgle	plague_effect_set_nurgle_positive
wh3_main_crimson_plague_world_force	wh3_main_crimson_plague_world_force	plague_effect_set_nurgle_negative
wh3_main_crimson_plague_world_force_nurgle	wh3_main_crimson_plague_world_force_nurgle	plague_effect_set_nurgle_positive
wh3_main_crimson_plague_world_settlement	wh3_main_crimson_plague_world_settlement	plague_effect_set_nurgle_negative
wh3_main_crimson_plague_world_settlement_nurgle	wh3_main_crimson_plague_world_settlement_nurgle	plague_effect_set_nurgle_positive
wh3_main_nur_base_Ague_force_1	wh3_main_bundle_plague_nurgle_ague_base_own_army	plague_effect_set_nurgle_positive
wh3_main_nur_base_Ague_force_2	wh3_main_bundle_plague_nurgle_ague_base_enemy_army	plague_effect_set_nurgle_negative
wh3_main_nur_base_Ague_force_festus_1	wh3_main_bundle_plague_nurgle_ague_base_own_army_festus	plague_effect_set_nurgle_positive
wh3_main_nur_base_Ague_force_festus_2	wh3_main_bundle_plague_nurgle_ague_base_enemy_army_festus	plague_effect_set_nurgle_negative
wh3_main_nur_base_Ague_settlement_1	wh3_main_bundle_plague_nurgle_ague_base_own_settlement	plague_effect_set_nurgle_positive
wh3_main_nur_base_Ague_settlement_2	wh3_main_bundle_plague_nurgle_ague_base_enemy_settlement	plague_effect_set_nurgle_negative
wh3_main_nur_base_Ague_settlement_festus_1	wh3_main_bundle_plague_nurgle_ague_base_own_settlement_festus	plague_effect_set_nurgle_positive
wh3_main_nur_base_Ague_settlement_festus_2	wh3_main_bundle_plague_nurgle_ague_base_enemy_settlement_festus	plague_effect_set_nurgle_negative
wh3_main_nur_base_Buboes_force_1	wh3_main_bundle_plague_nurgle_buboes_base_own_army	plague_effect_set_nurgle_positive
wh3_main_nur_base_Buboes_force_2	wh3_main_bundle_plague_nurgle_buboes_base_enemy_army	plague_effect_set_nurgle_negative
wh3_main_nur_base_Buboes_force_festus_1	wh3_main_bundle_plague_nurgle_buboes_base_own_army_festus	plague_effect_set_nurgle_positive
wh3_main_nur_base_Buboes_force_festus_2	wh3_main_bundle_plague_nurgle_buboes_base_enemy_army_festus	plague_effect_set_nurgle_negative
wh3_main_nur_base_Buboes_settlement_1	wh3_main_bundle_plague_nurgle_buboes_base_own_settlement	plague_effect_set_nurgle_positive
wh3_main_nur_base_Buboes_settlement_2	wh3_main_bundle_plague_nurgle_buboes_base_enemy_settlement	plague_effect_set_nurgle_negative
wh3_main_nur_base_Buboes_settlement_festus_1	wh3_main_bundle_plague_nurgle_buboes_base_own_settlement_festus	plague_effect_set_nurgle_positive
wh3_main_nur_base_Buboes_settlement_festus_2	wh3_main_bundle_plague_nurgle_buboes_base_enemy_settlement_festus	plague_effect_set_nurgle_negative
wh3_main_nur_base_Pox_force_1	wh3_main_bundle_plague_nurgle_pox_base_own_army	plague_effect_set_nurgle_positive
wh3_main_nur_base_Pox_force_2	wh3_main_bundle_plague_nurgle_pox_base_enemy_army	plague_effect_set_nurgle_negative
wh3_main_nur_base_Pox_force_festus_1	wh3_main_bundle_plague_nurgle_pox_base_own_army_festus	plague_effect_set_nurgle_positive
wh3_main_nur_base_Pox_force_festus_2	wh3_main_bundle_plague_nurgle_pox_base_enemy_army_festus	plague_effect_set_nurgle_negative
wh3_main_nur_base_Pox_settlement_1	wh3_main_bundle_plague_nurgle_pox_base_own_settlement	plague_effect_set_nurgle_positive
wh3_main_nur_base_Pox_settlement_2	wh3_main_bundle_plague_nurgle_pox_base_enemy_settlement	plague_effect_set_nurgle_negative
wh3_main_nur_base_Pox_settlement_festus_1	wh3_main_bundle_plague_nurgle_pox_base_own_settlement_festus	plague_effect_set_nurgle_positive
wh3_main_nur_base_Pox_settlement_festus_2	wh3_main_bundle_plague_nurgle_pox_base_enemy_settlement_festus	plague_effect_set_nurgle_negative
wh3_main_nur_base_Rot_force_1	wh3_main_bundle_plague_nurgle_rot_base_own_army	plague_effect_set_nurgle_positive
wh3_main_nur_base_Rot_force_2	wh3_main_bundle_plague_nurgle_rot_base_enemy_army	plague_effect_set_nurgle_negative
wh3_main_nur_base_Rot_force_festus_1	wh3_main_bundle_plague_nurgle_rot_base_own_army_festus	plague_effect_set_nurgle_positive
wh3_main_nur_base_Rot_force_festus_2	wh3_main_bundle_plague_nurgle_rot_base_enemy_army_festus	plague_effect_set_nurgle_negative
wh3_main_nur_base_Rot_settlement_1	wh3_main_bundle_plague_nurgle_rot_base_own_settlement	plague_effect_set_nurgle_positive
wh3_main_nur_base_Rot_settlement_2	wh3_main_bundle_plague_nurgle_rot_base_enemy_settlement	plague_effect_set_nurgle_negative
wh3_main_nur_base_Rot_settlement_festus_1	wh3_main_bundle_plague_nurgle_rot_base_own_settlement_festus	plague_effect_set_nurgle_positive
wh3_main_nur_base_Rot_settlement_festus_2	wh3_main_bundle_plague_nurgle_rot_base_enemy_settlement_festus	plague_effect_set_nurgle_negative
wh3_main_nur_base_Shakes_force_1	wh3_main_bundle_plague_nurgle_shakes_base_own_army	plague_effect_set_nurgle_positive
wh3_main_nur_base_Shakes_force_2	wh3_main_bundle_plague_nurgle_shakes_base_enemy_army	plague_effect_set_nurgle_negative
wh3_main_nur_base_Shakes_force_festus_1	wh3_main_bundle_plague_nurgle_shakes_base_own_army_festus	plague_effect_set_nurgle_positive
wh3_main_nur_base_Shakes_force_festus_2	wh3_main_bundle_plague_nurgle_shakes_base_enemy_army_festus	plague_effect_set_nurgle_negative
wh3_main_nur_base_Shakes_settlement_1	wh3_main_bundle_plague_nurgle_shakes_base_own_settlement	plague_effect_set_nurgle_positive
wh3_main_nur_base_Shakes_settlement_2	wh3_main_bundle_plague_nurgle_shakes_base_enemy_settlement	plague_effect_set_nurgle_negative
wh3_main_nur_base_Shakes_settlement_festus_1	wh3_main_bundle_plague_nurgle_shakes_base_own_settlement_festus	plague_effect_set_nurgle_positive
wh3_main_nur_base_Shakes_settlement_festus_2	wh3_main_bundle_plague_nurgle_shakes_base_enemy_settlement_festus	plague_effect_set_nurgle_negative
wh3_main_plague_component_7_force_festus_1	wh3_nur_plague_component_7_force_own_festus	plague_effect_set_nurgle_positive
wh3_main_plague_daemon_prince_bowelsteep_force_1	wh3_main_bundle_plague_daemon_prince_bowelsteep	plague_effect_set_daemon_prince_positive
wh3_main_plague_daemon_prince_bowelsteep_force_2	wh3_main_bundle_plague_daemon_prince_bowelsteep_enemy	plague_effect_set_daemon_prince_negative
wh3_main_plague_daemon_prince_grey_fever_force_1	wh3_main_bundle_plague_daemon_prince_grey_fever	plague_effect_set_daemon_prince_positive
wh3_main_plague_daemon_prince_grey_fever_force_2	wh3_main_bundle_plague_daemon_prince_grey_fever_enemy	plague_effect_set_daemon_prince_negative
wh3_main_plague_daemon_prince_ochre_pox_force_1	wh3_main_bundle_plague_daemon_prince_ochre_pox	plague_effect_set_daemon_prince_positive
wh3_main_plague_daemon_prince_ochre_pox_force_2	wh3_main_bundle_plague_daemon_prince_ochre_pox_enemy	plague_effect_set_daemon_prince_negative
wh3_main_plague_daemon_prince_the_red_ague_force_1	wh3_main_bundle_plague_daemon_prince_the_red_ague	plague_effect_set_daemon_prince_positive
wh3_main_plague_daemon_prince_the_red_ague_force_2	wh3_main_bundle_plague_daemon_prince_the_red_ague_enemy	plague_effect_set_daemon_prince_negative
wh3_nur_plague_component_10_force_2	wh3_nur_plague_component_10	plague_effect_set_nurgle_negative
wh3_nur_plague_component_11_force_2	wh3_nur_plague_component_11	plague_effect_set_nurgle_negative
wh3_nur_plague_component_12_settlement_2	wh3_nur_plague_component_12	plague_effect_set_nurgle_negative
wh3_nur_plague_component_13_force_2	wh3_nur_plague_component_13	plague_effect_set_nurgle_negative
wh3_nur_plague_component_14_force_1	wh3_nur_plague_component_14	plague_effect_set_nurgle_positive
wh3_nur_plague_component_15_force_1	wh3_nur_plague_component_15	plague_effect_set_nurgle_positive
wh3_nur_plague_component_16_force_1	wh3_nur_plague_component_16	plague_effect_set_nurgle_positive
wh3_nur_plague_component_16_force_2	wh3_nur_plague_component_16	plague_effect_set_nurgle_negative
wh3_nur_plague_component_16_settlement_1	wh3_nur_plague_component_16_settlement	plague_effect_set_nurgle_positive
wh3_nur_plague_component_16_settlement_2	wh3_nur_plague_component_16_settlement	plague_effect_set_nurgle_negative
wh3_nur_plague_component_17_force_1	wh3_nur_plague_component_17_force	plague_effect_set_nurgle_positive
wh3_nur_plague_component_17_force_2	wh3_nur_plague_component_17_force	plague_effect_set_nurgle_negative
wh3_nur_plague_component_17_settlement_1	wh3_nur_plague_component_17_settlement	plague_effect_set_nurgle_positive
wh3_nur_plague_component_17_settlement_2	wh3_nur_plague_component_17_settlement	plague_effect_set_nurgle_negative
wh3_nur_plague_component_18_force_1	wh3_nur_plague_component_18_force	plague_effect_set_nurgle_positive
wh3_nur_plague_component_18_force_2	wh3_nur_plague_component_18_force	plague_effect_set_nurgle_negative
wh3_nur_plague_component_18_settlement_1	wh3_nur_plague_component_18_settlement	plague_effect_set_nurgle_positive
wh3_nur_plague_component_18_settlement_2	wh3_nur_plague_component_18_settlement	plague_effect_set_nurgle_negative
wh3_nur_plague_component_19_force_1	wh3_nur_plague_component_19_force	plague_effect_set_nurgle_positive
wh3_nur_plague_component_19_force_2	wh3_nur_plague_component_19_force	plague_effect_set_nurgle_negative
wh3_nur_plague_component_19_settlement_1	wh3_nur_plague_component_19_settlement	plague_effect_set_nurgle_positive
wh3_nur_plague_component_19_settlement_2	wh3_nur_plague_component_19_settlement	plague_effect_set_nurgle_negative
wh3_nur_plague_component_1_force_2	wh3_nur_plague_component_1	plague_effect_set_nurgle_negative
wh3_nur_plague_component_20_force_2	wh3_nur_plague_component_20	plague_effect_set_nurgle_negative
wh3_nur_plague_component_2_settlement_1	wh3_nur_plague_component_2_good	plague_effect_set_nurgle_positive
wh3_nur_plague_component_2_settlement_2	wh3_nur_plague_component_2_bad	plague_effect_set_nurgle_negative
wh3_nur_plague_component_3_force_2	wh3_nur_plague_component_3	plague_effect_set_nurgle_negative
wh3_nur_plague_component_4_force_2	wh3_nur_plague_component_4	plague_effect_set_nurgle_negative
wh3_nur_plague_component_5_force_2	wh3_nur_plague_component_5	plague_effect_set_nurgle_negative
wh3_nur_plague_component_6_force_2	wh3_nur_plague_component_6	plague_effect_set_nurgle_negative
wh3_nur_plague_component_7_settlement_1	wh3_nur_plague_component_7_settlement_own	plague_effect_set_nurgle_positive
wh3_nur_plague_component_8_settlement_2	wh3_nur_plague_component_8	plague_effect_set_nurgle_negative
wh3_nur_plague_component_9_force_1	wh3_nur_plague_component_9_armies	plague_effect_set_nurgle_positive
wh3_nur_plague_component_9_force_2	wh3_nur_plague_component_9_armies	plague_effect_set_nurgle_negative
wh3_nur_plague_component_9_settlement_1	wh3_nur_plague_component_9_settlements	plague_effect_set_nurgle_positive
wh3_nur_plague_component_9_settlement_2	wh3_nur_plague_component_9_settlements	plague_effect_set_nurgle_negative
wh3_nur_plague_recipe_1_force_1	wh3_nur_plague_component_recipe_1_own_force	plague_effect_set_nurgle_positive
wh3_nur_plague_recipe_1_force_2	wh3_nur_plague_component_recipe_1	plague_effect_set_nurgle_negative
wh3_nur_plague_recipe_1_settlement_1	wh3_nur_plague_component_recipe_1_settlement	plague_effect_set_nurgle_positive
wh3_nur_plague_recipe_1_settlement_2	wh3_nur_plague_component_recipe_1_settlement	plague_effect_set_nurgle_negative
wh3_nur_plague_recipe_2_force_1	wh3_nur_plague_component_recipe_2_own_force	plague_effect_set_nurgle_positive
wh3_nur_plague_recipe_2_force_2	wh3_nur_plague_component_recipe_2	plague_effect_set_nurgle_negative
wh3_nur_plague_recipe_2_settlement_1	wh3_nur_plague_component_recipe_2_settlement	plague_effect_set_nurgle_positive
wh3_nur_plague_recipe_2_settlement_2	wh3_nur_plague_component_recipe_2_settlement	plague_effect_set_nurgle_negative
wh3_nur_plague_recipe_3_force_1	wh3_nur_plague_component_recipe_3_own_force	plague_effect_set_nurgle_positive
wh3_nur_plague_recipe_3_force_2	wh3_nur_plague_component_recipe_3	plague_effect_set_nurgle_negative
wh3_nur_plague_recipe_3_settlement_1	wh3_nur_plague_component_recipe_3_own_settlement	plague_effect_set_nurgle_positive
wh3_nur_plague_recipe_3_settlement_2	wh3_nur_plague_component_recipe_3_own_settlement	plague_effect_set_nurgle_negative
wh3_nur_plague_recipe_4_force_1	wh3_nur_plague_component_recipe_4	plague_effect_set_nurgle_positive
wh3_nur_plague_recipe_4_force_2	wh3_nur_plague_component_recipe_4_enemy_force	plague_effect_set_nurgle_negative
wh3_nur_plague_recipe_4_settlement_1	wh3_nur_plague_component_recipe_4_settlement	plague_effect_set_nurgle_positive
wh3_nur_plague_recipe_4_settlement_2	wh3_nur_plague_component_recipe_4_settlement	plague_effect_set_nurgle_negative
wh3_nur_plague_recipe_5_force_1	wh3_nur_plague_component_recipe_5_own_force	plague_effect_set_nurgle_positive
wh3_nur_plague_recipe_5_force_2	wh3_nur_plague_component_recipe_5	plague_effect_set_nurgle_negative
wh3_nur_plague_recipe_5_settlement_1	wh3_nur_plague_component_recipe_5_settlement	plague_effect_set_nurgle_positive
wh3_nur_plague_recipe_5_settlement_2	wh3_nur_plague_component_recipe_5_settlement	plague_effect_set_nurgle_negative
