item_type	currency_type	cost_value
def_barricade_platform_01	supplies_currency	300.0000
def_barricade_trap_01	supplies_currency	400.0000
def_barricade_trap_02	supplies_currency	400.0000
def_tower_placement_01	supplies_currency	500.0000
def_tower_placement_02	supplies_currency	900.0000
def_tower_placement_03	supplies_currency	1400.0000
def_tower_placement_04	supplies_currency	2000.0000
dwf_barricade_blocker_01	supplies_currency	500.0000
dwf_barricade_monument_01	supplies_currency	400.0000
dwf_barricade_platform_01	supplies_currency	300.0000
dwf_barricade_trap_01	supplies_currency	400.0000
dwf_barricade_trap_02	supplies_currency	400.0000
dwf_tower_placement_01	supplies_currency	500.0000
dwf_tower_placement_02	supplies_currency	900.0000
dwf_tower_placement_03	supplies_currency	1400.0000
dwf_tower_placement_04	supplies_currency	2000.0000
emp_barricade_blocker_01	supplies_currency	500.0000
emp_barricade_monument_01	supplies_currency	400.0000
emp_barricade_platform_01	supplies_currency	300.0000
emp_barricade_trap_01	supplies_currency	400.0000
emp_prop_barricade_large_01	supplies_currency	0.0000
emp_prop_barricade_small_01	supplies_currency	0.0000
emp_tower_placement_01	supplies_currency	500.0000
emp_tower_placement_02	supplies_currency	900.0000
emp_tower_placement_03	supplies_currency	1400.0000
emp_tower_placement_04	supplies_currency	2000.0000
grn_barricade_blocker_01	supplies_currency	500.0000
grn_barricade_monument_01	supplies_currency	400.0000
grn_barricade_platform_01	supplies_currency	300.0000
grn_barricade_trap_01	supplies_currency	400.0000
grn_tower_placement_01	supplies_currency	500.0000
grn_tower_placement_02	supplies_currency	900.0000
grn_tower_placement_03	supplies_currency	1400.0000
grn_tower_placement_04	supplies_currency	2000.0000
hef_barricade_blocker_01	supplies_currency	500.0000
hef_barricade_monument_01	supplies_currency	400.0000
hef_barricade_platform_01	supplies_currency	300.0000
hef_barricade_trap_01	supplies_currency	400.0000
hef_tower_placement_01	supplies_currency	500.0000
hef_tower_placement_02	supplies_currency	900.0000
hef_tower_placement_03	supplies_currency	1400.0000
hef_tower_placement_04	supplies_currency	2000.0000
kho_barricade_blocker_01	supplies_currency	500.0000
kho_barricade_monument_01	supplies_currency	400.0000
kho_barricade_platform_01	supplies_currency	300.0000
kho_barricade_trap_01	supplies_currency	400.0000
kho_tower_placement_01	supplies_currency	500.0000
kho_tower_placement_02	supplies_currency	900.0000
kho_tower_placement_03	supplies_currency	1400.0000
kho_tower_placement_04	supplies_currency	2000.0000
ksl_barricade_blocker_01	supplies_currency	500.0000
ksl_barricade_monument_01	supplies_currency	400.0000
ksl_barricade_platform_01	supplies_currency	300.0000
ksl_barricade_trap_01	supplies_currency	400.0000
ksl_tower_placement_01	supplies_currency	500.0000
ksl_tower_placement_02	supplies_currency	900.0000
ksl_tower_placement_03	supplies_currency	1400.0000
ksl_tower_placement_04	supplies_currency	2000.0000
lzd_barricade_blocker_01	supplies_currency	500.0000
lzd_barricade_monument_01	supplies_currency	400.0000
lzd_barricade_platform_01	supplies_currency	300.0000
lzd_barricade_trap_01	supplies_currency	400.0000
lzd_tower_placement_01	supplies_currency	500.0000
lzd_tower_placement_02	supplies_currency	900.0000
lzd_tower_placement_03	supplies_currency	1400.0000
lzd_tower_placement_04	supplies_currency	2000.0000
mrb_barricade_blocker_01	supplies_currency	500.0000
mrb_barricade_monument_01	supplies_currency	400.0000
mrb_barricade_platform_01	supplies_currency	300.0000
mrb_barricade_trap_01	supplies_currency	400.0000
nor_barricade_blocker_01	supplies_currency	500.0000
nor_barricade_monument_01	supplies_currency	400.0000
nor_barricade_platform_01	supplies_currency	300.0000
nor_barricade_trap_01	supplies_currency	400.0000
nor_tower_placement_01	supplies_currency	500.0000
nor_tower_placement_02	supplies_currency	900.0000
nor_tower_placement_03	supplies_currency	1400.0000
nor_tower_placement_04	supplies_currency	2000.0000
nur_barricade_blocker_01	supplies_currency	500.0000
nur_barricade_monument_01	supplies_currency	400.0000
nur_barricade_platform_01	supplies_currency	300.0000
nur_barricade_trap_01	supplies_currency	400.0000
nur_barricade_trap_02	supplies_currency	400.0000
nur_tower_placement_01	supplies_currency	500.0000
nur_tower_placement_02	supplies_currency	900.0000
nur_tower_placement_03	supplies_currency	1400.0000
nur_tower_placement_04	supplies_currency	2000.0000
occupiable_barricade	supplies_currency	0.0000
ogr_barricade_blocker_01	supplies_currency	500.0000
ogr_barricade_monument_01	supplies_currency	400.0000
ogr_barricade_platform_01	supplies_currency	300.0000
ogr_barricade_trap_01	supplies_currency	400.0000
ogr_tower_placement_01	supplies_currency	500.0000
ogr_tower_placement_02	supplies_currency	900.0000
ogr_tower_placement_03	supplies_currency	1400.0000
ogr_tower_placement_04	supplies_currency	2000.0000
skv_barricade_blocker_01	supplies_currency	500.0000
skv_barricade_monument_01	supplies_currency	400.0000
skv_barricade_platform_01	supplies_currency	300.0000
skv_barricade_trap_01	supplies_currency	400.0000
skv_barricade_trap_02	supplies_currency	400.0000
skv_tower_placement_01	supplies_currency	500.0000
skv_tower_placement_02	supplies_currency	900.0000
skv_tower_placement_03	supplies_currency	1400.0000
skv_tower_placement_04	supplies_currency	2000.0000
sla_barricade_blocker_01	supplies_currency	500.0000
sla_barricade_monument_01	supplies_currency	400.0000
sla_barricade_platform_01	supplies_currency	300.0000
sla_barricade_trap_01	supplies_currency	400.0000
sla_barricade_trap_02	supplies_currency	400.0000
sla_tower_placement_01	supplies_currency	500.0000
sla_tower_placement_02	supplies_currency	900.0000
sla_tower_placement_03	supplies_currency	1400.0000
sla_tower_placement_04	supplies_currency	2000.0000
tmb_barricade_blocker_01	supplies_currency	500.0000
tmb_barricade_monument_01	supplies_currency	400.0000
tmb_barricade_platform_01	supplies_currency	300.0000
tmb_barricade_trap_01	supplies_currency	400.0000
tmb_tower_placement_01	supplies_currency	500.0000
tmb_tower_placement_02	supplies_currency	900.0000
tmb_tower_placement_03	supplies_currency	1400.0000
tmb_tower_placement_04	supplies_currency	2000.0000
tze_barricade_blocker_01	supplies_currency	500.0000
tze_barricade_monument_01	supplies_currency	400.0000
tze_barricade_platform_01	supplies_currency	300.0000
tze_barricade_trap_01	supplies_currency	400.0000
tze_barricade_trap_02	supplies_currency	400.0000
tze_tower_placement_01	supplies_currency	500.0000
tze_tower_placement_02	supplies_currency	900.0000
tze_tower_placement_03	supplies_currency	1400.0000
tze_tower_placement_04	supplies_currency	2000.0000
vmp_barricade_blocker_01	supplies_currency	500.0000
vmp_barricade_monument_01	supplies_currency	400.0000
vmp_barricade_platform_01	supplies_currency	300.0000
vmp_barricade_trap_01	supplies_currency	400.0000
vmp_tower_placement_01	supplies_currency	500.0000
vmp_tower_placement_02	supplies_currency	900.0000
vmp_tower_placement_03	supplies_currency	1400.0000
vmp_tower_placement_04	supplies_currency	2000.0000
wef_barricade_blocker_01	supplies_currency	500.0000
wef_barricade_monument_01	supplies_currency	400.0000
wef_barricade_platform_01	supplies_currency	300.0000
wef_barricade_trap_01	supplies_currency	400.0000
wef_tower_placement_01	supplies_currency	500.0000
wef_tower_placement_02	supplies_currency	900.0000
wef_tower_placement_03	supplies_currency	1400.0000
wef_tower_placement_04	supplies_currency	2000.0000
