member	attitude
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp_&_Negative	hostile
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVamp_&_Positive	friendly
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast_&_Negative	hostile
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionVampireCoast_&_Positive	friendly
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves_&_Negative	hostile
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionWoodElves_&_Positive	friendly
DLC11_diplomacy_Subcult_VampireCoast_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionCathay_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionCathay_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionChaosDwarfs_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionChaosDwarfs_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionDaemon_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionDaemon_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionKhorne_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionKhorne_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionKislev_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionKislev_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionNurgle_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionNurgle_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionOgre_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionOgre_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionSlaanesh_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionSlaanesh_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionTzeentch_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_OtherFactionTzeentch_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ropsmenn_Clan_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionCathay_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionCathay_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionChaosDwarfs_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionChaosDwarfs_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionDaemon_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionDaemon_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionKhorne_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionKhorne_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionKislev_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionKislev_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionNurgle_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionNurgle_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionOgre_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionOgre_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionSlaanesh_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionSlaanesh_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionTzeentch_&_Negative	hostile
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_OtherFactionTzeentch_&_Positive	friendly
diplomacy_FactionGroup_Boyar2_Faction_Ungol_Kindred_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionCathay_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionCathay_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionChaosDwarfs_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionChaosDwarfs_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionDaemon_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionDaemon_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionDwarfs_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionDwarfs_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionKhorne_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionKhorne_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionKislev_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionKislev_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionNurgle_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionNurgle_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionOgre_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionOgre_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionSlaanesh_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionSlaanesh_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionTzeentch_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_OtherFactionTzeentch_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet1_Servants_of_the_Conclave_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionCathay_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionCathay_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionChaosDwarfs_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionChaosDwarfs_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionDaemon_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionDaemon_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionDwarfs_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionDwarfs_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionKhorne_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionKhorne_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionKislev_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionKislev_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionNurgle_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionNurgle_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionOgre_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionOgre_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionSlaanesh_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionSlaanesh_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionTzeentch_&_Negative	hostile
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_OtherFactionTzeentch_&_Positive	friendly
diplomacy_FactionGroup_CHD_SorcererProphet2_Overlords_of_Zharrduk_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDwarf_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDwarf_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionEmpire_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionEmpire_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionGreenskin_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionGreenskin_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionHighElves_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionHighElves_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionLizardmen_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionLizardmen_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionSkaven_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionSkaven_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionTombKings_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionTombKings_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionVamp_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionVamp_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionWoodElves_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionWoodElves_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionBeastmen_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionBeastmen_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionBretonnia_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionBretonnia_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionChaos_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionChaos_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionDarkElves_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionDarkElves_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionDwarf_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionDwarf_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionEmpire_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionEmpire_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionGreenskin_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionGreenskin_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionHighElves_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionHighElves_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionLizardmen_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionLizardmen_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionSkaven_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionSkaven_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionTombKings_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionTombKings_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionVamp_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionVamp_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionWoodElves_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_OtherFactionWoodElves_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheSunkenLandCorsairs_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionBeastmen_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionBeastmen_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionBretonnia_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionBretonnia_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionChaos_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionChaos_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionDarkElves_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionDarkElves_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionDwarf_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionDwarf_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionEmpire_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionEmpire_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionGreenskin_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionGreenskin_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionHighElves_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionHighElves_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionLizardmen_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionLizardmen_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionSkaven_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionSkaven_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionTombKings_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionTombKings_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionVamp_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionVamp_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionWoodElves_&_Negative	hostile
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_OtherFactionWoodElves_&_Positive	friendly
diplomacy_FactionGroup_DE_Dreadlord2_Faction_TheTyrantsOfTheBlackOcean_&_Positive	friendly
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_ClarKarond_&_Negative	hostile
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_ClarKarond_&_OtherFactionBeastmen_&_Negative	hostile
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_ClarKarond_&_OtherFactionBeastmen_&_Positive	friendly
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_ClarKarond_&_OtherFactionBretonnia_&_Negative	hostile
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_ClarKarond_&_OtherFactionBretonnia_&_Positive	friendly
