technology	required_technology
wh2_dlc12_tech_brt_heraldry_oversea_tmb	wh_dlc07_tech_brt_heraldry_start
wh2_dlc12_tech_brt_heraldry_oversea_wef	wh_dlc07_tech_brt_heraldry_start
wh2_main_tech_def_1_0_0	wh2_main_tech_def_0_1_0
wh2_main_tech_def_1_0_0	wh2_main_tech_def_0_2_0
wh2_main_tech_def_1_0_0	wh2_main_tech_def_0_3_0
wh2_main_tech_def_2_0_0	wh2_main_tech_def_1_1_0
wh2_main_tech_def_2_0_0	wh2_main_tech_def_1_2_0
wh2_main_tech_def_2_0_0	wh2_main_tech_def_1_3_0
wh2_main_tech_def_3_0_0	wh2_main_tech_def_2_1_0
wh2_main_tech_def_3_0_0	wh2_main_tech_def_2_2_0
wh2_main_tech_def_3_0_0	wh2_main_tech_def_2_3_0
wh2_main_tech_hef_4_01	wh2_main_tech_hef_4_00
wh2_main_tech_hef_4_02	wh2_main_tech_hef_4_00
wh2_main_tech_hef_4_03	wh2_main_tech_hef_4_00
wh2_main_tech_hef_4_04	wh2_main_tech_hef_4_00
wh2_main_tech_hef_4_05	wh2_main_tech_hef_4_00
wh2_main_tech_hef_4_06	wh2_main_tech_hef_4_00
wh2_main_tech_hef_4_07	wh2_main_tech_hef_4_00
wh2_main_tech_hef_4_08	wh2_main_tech_hef_4_00
wh2_main_tech_hef_4_09	wh2_main_tech_hef_4_00
wh2_main_tech_hef_4_10	wh2_main_tech_hef_4_00
wh2_main_tech_hef_4_11	wh2_main_tech_hef_4_00
wh2_main_tech_hef_4_12	wh2_main_tech_hef_4_00
wh3_main_tech_kho_3_1	wh3_main_tech_kho_1_1
wh3_main_tech_kho_5_1	wh3_main_tech_kho_3_1
wh3_main_tech_tze_0_5	wh3_main_tech_tze_1_9
wh3_main_tech_tze_0_5	wh3_main_tech_tze_2_3
wh3_main_tech_tze_0_5	wh3_main_tech_tze_3_7
wh3_main_tech_tze_0_5	wh3_main_tech_tze_4_1
wh_dlc07_tech_brt_chivalry_dark_elves	wh2_dlc12_tech_brt_chivalry_start
wh_dlc07_tech_brt_chivalry_skaven	wh2_dlc12_tech_brt_chivalry_start
wh_dlc07_tech_brt_chivalry_tomb_kings	wh2_dlc12_tech_brt_chivalry_start
wh_dlc07_tech_brt_chivalry_wood_elves_1	wh2_dlc12_tech_brt_chivalry_start
wh_dlc07_tech_brt_heraldry_oversea	wh_dlc07_tech_brt_heraldry_start
