ingredient_group	recipe	primary
wh3_dlc24_ingredient_group_skulls	wh3_dlc24_recipe_inversus	true
wh3_dlc24_ingredient_group_teeth	wh3_dlc24_recipe_inversus	true
wh3_dlc24_ingredient_group_horns	wh3_dlc24_recipe_leshys_embrace	true
wh3_dlc24_ingredient_group_teeth	wh3_dlc24_recipe_leshys_embrace	true
wh3_dlc24_ingredient_group_bones	wh3_dlc24_recipe_rats_grit	true
wh3_dlc24_ingredient_group_horns	wh3_dlc24_recipe_rats_grit	true
wh3_dlc24_ingredient_group_bones	wh3_dlc24_recipe_spectres_miasma	true
wh3_dlc24_ingredient_group_skulls	wh3_dlc24_recipe_spectres_miasma	true
wh3_dlc24_ingredient_group_horns	wh3_dlc24_recipe_spirited_away	true
wh3_dlc24_ingredient_group_wood	wh3_dlc24_recipe_spirited_away	true
wh3_dlc24_ingredient_group_bones	wh3_dlc24_recipe_typhlosis	true
wh3_dlc24_ingredient_group_wood	wh3_dlc24_recipe_typhlosis	true
wh3_dlc24_ingredient_group_stone	wh3_dlc24_recipe_unburdened_step	true
wh3_dlc24_ingredient_group_wood	wh3_dlc24_recipe_unburdened_step	true
wh3_dlc24_ingredient_group_teeth	wh3_dlc24_recipe_whiff_of_madness	true
wh3_dlc24_ingredient_group_wood	wh3_dlc24_recipe_whiff_of_madness	true
wh3_dlc24_ingredient_group_bones	wh3_dlc24_recipe_wraith_sight	true
wh3_dlc24_ingredient_group_teeth	wh3_dlc24_recipe_wraith_sight	true
