agent_subtype	ancillary
wh2_dlc09_tmb_tomb_king_setep	wh2_dlc09_anc_mount_tmb_tomb_king_khemrian_warsphinx
wh2_dlc09_tmb_tomb_king_thutep	wh2_dlc09_anc_mount_tmb_tomb_king_khemrian_warsphinx
wh2_dlc09_tmb_tomb_king_wakhaf	wh2_dlc09_anc_mount_tmb_tomb_king_khemrian_warsphinx
wh2_dlc09_tmb_tomb_king	wh2_dlc09_anc_mount_tmb_tomb_king_skeletal_steed
wh2_dlc09_tmb_tomb_king_alkhazzar_ii	wh2_dlc09_anc_mount_tmb_tomb_king_skeletal_steed
wh2_dlc09_tmb_tomb_king_lahmizzash	wh2_dlc09_anc_mount_tmb_tomb_king_skeletal_steed
wh2_dlc09_tmb_tomb_king_rakhash	wh2_dlc09_anc_mount_tmb_tomb_king_skeletal_steed
wh2_dlc09_tmb_tomb_king_setep	wh2_dlc09_anc_mount_tmb_tomb_king_skeletal_steed
wh2_dlc09_tmb_tomb_king_thutep	wh2_dlc09_anc_mount_tmb_tomb_king_skeletal_steed
wh2_dlc09_tmb_tomb_king_wakhaf	wh2_dlc09_anc_mount_tmb_tomb_king_skeletal_steed
wh2_dlc09_tmb_tomb_king	wh2_dlc09_anc_mount_tmb_tomb_king_skeleton_chariot
wh2_dlc09_tmb_tomb_king_alkhazzar_ii	wh2_dlc09_anc_mount_tmb_tomb_king_skeleton_chariot
wh2_dlc09_tmb_tomb_king_lahmizzash	wh2_dlc09_anc_mount_tmb_tomb_king_skeleton_chariot
wh2_dlc09_tmb_tomb_king_rakhash	wh2_dlc09_anc_mount_tmb_tomb_king_skeleton_chariot
wh2_dlc09_tmb_tomb_king_setep	wh2_dlc09_anc_mount_tmb_tomb_king_skeleton_chariot
wh2_dlc09_tmb_tomb_king_thutep	wh2_dlc09_anc_mount_tmb_tomb_king_skeleton_chariot
wh2_dlc09_tmb_tomb_king_wakhaf	wh2_dlc09_anc_mount_tmb_tomb_king_skeleton_chariot
wh2_dlc09_tmb_tomb_prince	wh2_dlc09_anc_mount_tmb_tomb_prince_skeletal_steed
wh2_dlc09_tmb_tomb_prince	wh2_dlc09_anc_mount_tmb_tomb_prince_skeleton_chariot
wh2_dlc09_tmb_settra	wh2_dlc09_anc_weapon_the_blessed_blade_of_ptra
wh2_dlc09_tmb_arkhan	wh2_dlc09_anc_weapon_the_tomb_blade_of_arkhan
wh2_dlc09_tmb_khalida	wh2_dlc09_anc_weapon_the_venom_staff
wh2_dlc10_hef_alarielle	wh2_dlc10_anc_arcane_item_stave_of_avelorn
wh2_dlc10_hef_alarielle	wh2_dlc10_anc_enchanted_item_star_of_avelorn
wh2_dlc10_hef_alith_anar	wh2_dlc10_anc_enchanted_item_the_shadow_crown
wh2_dlc10_def_crone_hellebron	wh2_dlc10_anc_mount_def_crone_cauldron_of_blood
wh2_dlc10_def_crone_hellebron	wh2_dlc10_anc_mount_def_crone_dark_steed
wh2_dlc10_def_crone_hellebron	wh2_dlc10_anc_mount_def_crone_manticore
wh2_dlc10_def_sorceress_beasts	wh2_dlc10_anc_mount_def_sorceress_beasts_cold_one
wh2_dlc10_def_sorceress_beasts	wh2_dlc10_anc_mount_def_sorceress_beasts_dark_pegasus
wh2_dlc10_def_sorceress_beasts	wh2_dlc10_anc_mount_def_sorceress_beasts_dark_steed
wh2_dlc10_def_sorceress_death	wh2_dlc10_anc_mount_def_sorceress_death_cold_one
wh2_dlc10_def_sorceress_death	wh2_dlc10_anc_mount_def_sorceress_death_dark_pegasus
wh2_dlc10_def_sorceress_death	wh2_dlc10_anc_mount_def_sorceress_death_dark_steed
wh2_dlc10_def_supreme_sorceress_beasts	wh2_dlc10_anc_mount_def_supreme_sorceress_beasts_black_dragon
wh2_dlc10_def_supreme_sorceress_beasts	wh2_dlc10_anc_mount_def_supreme_sorceress_beasts_cold_one
wh2_dlc10_def_supreme_sorceress_beasts	wh2_dlc10_anc_mount_def_supreme_sorceress_beasts_dark_pegasus
wh2_dlc10_def_supreme_sorceress_beasts	wh2_dlc10_anc_mount_def_supreme_sorceress_beasts_dark_steed
wh2_dlc10_def_supreme_sorceress_beasts	wh2_dlc10_anc_mount_def_supreme_sorceress_beasts_manticore
wh2_dlc10_def_supreme_sorceress_dark	wh2_dlc10_anc_mount_def_supreme_sorceress_dark_black_dragon
wh2_dlc10_def_supreme_sorceress_dark	wh2_dlc10_anc_mount_def_supreme_sorceress_dark_cold_one
wh2_dlc10_def_supreme_sorceress_dark	wh2_dlc10_anc_mount_def_supreme_sorceress_dark_dark_pegasus
wh2_dlc10_def_supreme_sorceress_dark	wh2_dlc10_anc_mount_def_supreme_sorceress_dark_dark_steed
wh2_dlc10_def_supreme_sorceress_dark	wh2_dlc10_anc_mount_def_supreme_sorceress_dark_manticore
wh2_dlc10_def_supreme_sorceress_death	wh2_dlc10_anc_mount_def_supreme_sorceress_death_black_dragon
wh2_dlc10_def_supreme_sorceress_death	wh2_dlc10_anc_mount_def_supreme_sorceress_death_cold_one
wh2_dlc10_def_supreme_sorceress_death	wh2_dlc10_anc_mount_def_supreme_sorceress_death_dark_pegasus
wh2_dlc10_def_supreme_sorceress_death	wh2_dlc10_anc_mount_def_supreme_sorceress_death_dark_steed
wh2_dlc10_def_supreme_sorceress_death	wh2_dlc10_anc_mount_def_supreme_sorceress_death_manticore
wh2_dlc10_def_supreme_sorceress_fire	wh2_dlc10_anc_mount_def_supreme_sorceress_fire_black_dragon
wh2_dlc10_def_supreme_sorceress_fire	wh2_dlc10_anc_mount_def_supreme_sorceress_fire_cold_one
wh2_dlc10_def_supreme_sorceress_fire	wh2_dlc10_anc_mount_def_supreme_sorceress_fire_dark_pegasus
wh2_dlc10_def_supreme_sorceress_fire	wh2_dlc10_anc_mount_def_supreme_sorceress_fire_dark_steed
wh2_dlc10_def_supreme_sorceress_fire	wh2_dlc10_anc_mount_def_supreme_sorceress_fire_manticore
wh2_dlc10_def_supreme_sorceress_shadow	wh2_dlc10_anc_mount_def_supreme_sorceress_shadow_black_dragon
wh2_dlc10_def_supreme_sorceress_shadow	wh2_dlc10_anc_mount_def_supreme_sorceress_shadow_cold_one
wh2_dlc10_def_supreme_sorceress_shadow	wh2_dlc10_anc_mount_def_supreme_sorceress_shadow_dark_pegasus
wh2_dlc10_def_supreme_sorceress_shadow	wh2_dlc10_anc_mount_def_supreme_sorceress_shadow_dark_steed
wh2_dlc10_def_supreme_sorceress_shadow	wh2_dlc10_anc_mount_def_supreme_sorceress_shadow_manticore
wh2_dlc10_hef_alarielle	wh2_dlc10_anc_mount_hef_alarielle_barded_ithilmar_steed
wh2_dlc10_hef_alarielle	wh2_dlc10_anc_mount_hef_alarielle_elven_steed
wh2_dlc10_hef_alarielle	wh2_dlc10_anc_mount_hef_alarielle_great_eagle
wh2_dlc10_hef_handmaiden	wh2_dlc10_anc_mount_hef_handmaiden_barded_ithilmar_steed
wh2_dlc10_hef_handmaiden	wh2_dlc10_anc_mount_hef_handmaiden_elven_steed
wh2_dlc10_hef_mage_heavens	wh2_dlc10_anc_mount_hef_mage_heavens_elven_steed
wh2_dlc10_hef_mage_heavens	wh2_dlc10_anc_mount_hef_mage_heavens_ithilmar_chariot
wh2_dlc10_hef_mage_shadows	wh2_dlc10_anc_mount_hef_mage_shadows_elven_steed
wh2_dlc10_hef_mage_shadows	wh2_dlc10_anc_mount_hef_mage_shadows_ithilmar_chariot
wh2_dlc10_def_crone_hellebron	wh2_dlc10_anc_talisman_amulet_of_dark_fire
wh2_dlc10_hef_alarielle	wh2_dlc10_anc_talisman_shieldstone_of_isha
wh2_dlc10_hef_alith_anar	wh2_dlc10_anc_talisman_stone_of_midnight
wh2_dlc10_def_crone_hellebron	wh2_dlc10_anc_weapon_deathsword_and_the_cursed_blade
wh2_dlc10_hef_alith_anar	wh2_dlc10_anc_weapon_moonbow
wh2_dlc11_cst_cylostra	wh2_dlc11_anc_arcane_item_the_bordeleaux_flabellum
wh2_dlc11_cst_noctilus	wh2_dlc11_anc_enchanted_item_captain_roths_moondial
wh2_dlc11_cst_harkon	wh2_dlc11_anc_enchanted_item_slann_gold
wh2_dlc11_cst_ghost_paladin	wh2_dlc11_anc_mount_brt_damned_paladin_barded_warhorse
wh2_dlc11_cst_admiral_tech_01	wh2_dlc11_anc_mount_cst_admiral_tech_01_rotting_promethean
wh2_dlc11_cst_admiral_tech_02	wh2_dlc11_anc_mount_cst_admiral_tech_02_rotting_promethean
wh2_dlc11_cst_admiral_tech_03	wh2_dlc11_anc_mount_cst_admiral_tech_03_rotting_promethean
wh2_dlc11_cst_admiral_tech_04	wh2_dlc11_anc_mount_cst_admiral_tech_04_rotting_promethean
wh2_dlc11_cst_aranessa	wh2_dlc11_anc_mount_cst_aranessa_rotting_promethean
wh2_dlc11_cst_noctilus	wh2_dlc11_anc_mount_cst_count_noctilus_necrofex_colossus
wh2_dlc11_cst_cylostra	wh2_dlc11_anc_mount_cst_cylostra_rotting_leviathon
wh2_dlc11_cst_admiral_fem_death	wh2_dlc11_anc_mount_cst_fleet_admiral_death_fem_rotting_promethean
wh2_dlc11_cst_admiral_death	wh2_dlc11_anc_mount_cst_fleet_admiral_death_rotting_promethean
wh2_dlc11_cst_admiral_fem_deep	wh2_dlc11_anc_mount_cst_fleet_admiral_deep_fem_rotting_promethean
wh2_dlc11_cst_admiral_deep	wh2_dlc11_anc_mount_cst_fleet_admiral_deep_rotting_promethean
wh2_dlc11_cst_admiral_fem_vampires	wh2_dlc11_anc_mount_cst_fleet_admiral_fem_vampires_rotting_promethean
wh2_dlc11_cst_admiral_vampires	wh2_dlc11_anc_mount_cst_fleet_admiral_vampires_rotting_promethean
wh2_dlc11_cst_fleet_captain_death	wh2_dlc11_anc_mount_cst_fleet_captain_death_rotting_promethean
wh2_dlc11_cst_fleet_captain_deep	wh2_dlc11_anc_mount_cst_fleet_captain_deep_rotting_promethean
wh2_dlc11_cst_fleet_captain_vampires	wh2_dlc11_anc_mount_cst_fleet_captain_vampires_rotting_promethean
wh2_dlc11_cst_gunnery_wight	wh2_dlc11_anc_mount_cst_gunnery_wight_rotting_promethean
wh2_dlc11_cst_harkon	wh2_dlc11_anc_mount_cst_luthor_harkon_terrorgheist
wh2_dlc11_def_lokhir	wh2_dlc11_anc_mount_def_lokhir_fellheart_black_dragon
wh_dlc03_emp_boris_todbringer	wh2_dlc11_anc_mount_emp_boris_todbringer_imperial_griffon
wh_dlc03_emp_boris_todbringer	wh2_dlc11_anc_mount_emp_boris_todbringer_imperial_pegasus
wh2_dlc11_vmp_bloodline_blood_dragon	wh2_dlc11_anc_mount_vmp_bloodline_blood_dragon_barded_nightmare
wh2_dlc11_vmp_bloodline_blood_dragon	wh2_dlc11_anc_mount_vmp_bloodline_blood_dragon_hellsteed
wh2_dlc11_vmp_bloodline_blood_dragon	wh2_dlc11_anc_mount_vmp_bloodline_blood_dragon_zombie_dragon
wh2_dlc11_vmp_bloodline_lahmian	wh2_dlc11_anc_mount_vmp_bloodline_lahmian_barded_nightmare
wh2_dlc11_vmp_bloodline_lahmian	wh2_dlc11_anc_mount_vmp_bloodline_lahmian_hellsteed
wh2_dlc11_vmp_bloodline_lahmian	wh2_dlc11_anc_mount_vmp_bloodline_lahmian_zombie_dragon
wh2_dlc11_vmp_bloodline_necrarch	wh2_dlc11_anc_mount_vmp_bloodline_necrarch_barded_nightmare
wh2_dlc11_vmp_bloodline_necrarch	wh2_dlc11_anc_mount_vmp_bloodline_necrarch_hellsteed
wh2_dlc11_vmp_bloodline_necrarch	wh2_dlc11_anc_mount_vmp_bloodline_necrarch_zombie_dragon
wh2_dlc11_vmp_bloodline_strigoi	wh2_dlc11_anc_mount_vmp_bloodline_strigoi_terrorgheist
wh2_dlc11_vmp_bloodline_von_carstein	wh2_dlc11_anc_mount_vmp_bloodline_von_carstein_barded_nightmare
wh2_dlc11_vmp_bloodline_von_carstein	wh2_dlc11_anc_mount_vmp_bloodline_von_carstein_hellsteed
wh2_dlc11_vmp_bloodline_von_carstein	wh2_dlc11_anc_mount_vmp_bloodline_von_carstein_zombie_dragon
wh_main_vmp_heinrich_kemmler	wh2_dlc11_anc_mount_vmp_kemmler_barded_nightmare
wh2_dlc11_cst_aranessa	wh2_dlc11_anc_weapon_krakens_bane
wh2_dlc11_def_lokhir	wh2_dlc11_anc_weapon_red_blades
wh2_dlc12_lzd_lord_kroak	wh2_dlc12_anc_arcane_item_standard_of_the_sacred_serpent
wh2_dlc12_skv_ikit_claw	wh2_dlc12_anc_armour_alloy_shield
wh2_dlc12_skv_warlock_master	wh2_dlc12_anc_armour_alloy_shield
wh2_main_skv_warlock_engineer	wh2_dlc12_anc_armour_alloy_shield
wh_main_brt_louen_leoncouer	wh2_dlc12_anc_armour_brt_armour_of_brilliance
wh2_dlc12_lzd_lord_kroak	wh2_dlc12_anc_armour_glyph_of_potec
wh2_dlc12_skv_ikit_claw	wh2_dlc12_anc_armour_iron_frame
wh2_dlc12_skv_ikit_claw	wh2_dlc12_anc_armour_power_armour
wh2_dlc12_skv_warlock_master	wh2_dlc12_anc_armour_power_armour
wh2_main_skv_warlock_engineer	wh2_dlc12_anc_armour_power_armour
wh_dlc07_brt_alberic	wh2_dlc12_anc_enchanted_item_brt_braid_of_bordeleaux
wh_dlc07_brt_fay_enchantress	wh2_dlc12_anc_enchanted_item_brt_morgianas_mirror
wh2_dlc12_lzd_lord_kroak	wh2_dlc12_anc_enchanted_item_golden_death_mask
wh2_dlc12_lzd_tiktaqto	wh2_dlc12_anc_enchanted_item_mask_of_heavens
wh2_dlc12_skv_ikit_claw	wh2_dlc12_anc_enchanted_item_modulated_doomwheel_assembly_kit
wh2_dlc12_skv_warlock_master	wh2_dlc12_anc_enchanted_item_modulated_doomwheel_assembly_kit
wh2_main_skv_warlock_engineer	wh2_dlc12_anc_enchanted_item_modulated_doomwheel_assembly_kit
wh2_dlc12_lzd_tehenhauin	wh2_dlc12_anc_enchanted_item_plaque_of_sotek
wh2_dlc12_skv_ikit_claw	wh2_dlc12_anc_enchanted_item_warp_lightning_battery
wh2_dlc12_skv_warlock_master	wh2_dlc12_anc_enchanted_item_warp_lightning_battery
wh2_main_skv_warlock_engineer	wh2_dlc12_anc_enchanted_item_warp_lightning_battery
wh2_dlc12_skv_ikit_claw	wh2_dlc12_anc_magic_standard_cape_of_sniper
wh2_dlc12_skv_warlock_master	wh2_dlc12_anc_magic_standard_cape_of_sniper
wh2_main_skv_warlock_engineer	wh2_dlc12_anc_magic_standard_cape_of_sniper
wh2_dlc12_skv_ikit_claw	wh2_dlc12_anc_magic_standard_incendiary_rounds
wh2_dlc12_skv_warlock_master	wh2_dlc12_anc_magic_standard_incendiary_rounds
wh2_main_skv_warlock_engineer	wh2_dlc12_anc_magic_standard_incendiary_rounds
wh2_dlc12_skv_ikit_claw	wh2_dlc12_anc_magic_tracer_rounds
wh2_dlc12_skv_warlock_master	wh2_dlc12_anc_magic_tracer_rounds
wh2_main_skv_warlock_engineer	wh2_dlc12_anc_magic_tracer_rounds
wh2_dlc12_lzd_red_crested_skink_chief	wh2_dlc12_anc_mount_lzd_red_crested_skink_chief_ancient_stegadon
wh2_dlc12_lzd_red_crested_skink_chief_legendary	wh2_dlc12_anc_mount_lzd_red_crested_skink_chief_ancient_stegadon
wh2_dlc13_lzd_red_crested_skink_chief_horde	wh2_dlc12_anc_mount_lzd_red_crested_skink_chief_ancient_stegadon
wh2_dlc12_lzd_red_crested_skink_chief	wh2_dlc12_anc_mount_lzd_red_crested_skink_chief_horned_one
wh2_dlc12_lzd_red_crested_skink_chief_legendary	wh2_dlc12_anc_mount_lzd_red_crested_skink_chief_horned_one
wh2_dlc13_lzd_red_crested_skink_chief_horde	wh2_dlc12_anc_mount_lzd_red_crested_skink_chief_horned_one
wh2_dlc12_lzd_red_crested_skink_chief	wh2_dlc12_anc_mount_lzd_red_crested_skink_chief_ripperdactyl
wh2_dlc12_lzd_red_crested_skink_chief_legendary	wh2_dlc12_anc_mount_lzd_red_crested_skink_chief_ripperdactyl
wh2_dlc13_lzd_red_crested_skink_chief_horde	wh2_dlc12_anc_mount_lzd_red_crested_skink_chief_ripperdactyl
wh2_main_lzd_skink_priest_beasts	wh2_dlc12_anc_mount_lzd_skink_priest_beasts_ancient_stegadon_engine_gods
wh2_main_lzd_skink_priest_heavens	wh2_dlc12_anc_mount_lzd_skink_priest_heavens_ancient_stegadon_engine_gods
wh2_dlc12_lzd_tehenhauin	wh2_dlc12_anc_mount_lzd_tehenhauin_ancient_stegadon_engine_gods
wh2_dlc12_lzd_tehenhauin	wh2_dlc12_anc_mount_lzd_tehenhauin_horned_one
wh2_dlc12_lzd_tehenhauin	wh2_dlc12_anc_mount_lzd_tehenhauin_ripperdactyl
wh2_dlc12_lzd_tlaqua_skink_chief	wh2_dlc12_anc_mount_lzd_tlaqua_skink_chief_terradon
wh2_dlc12_lzd_tlaqua_skink_priest_beasts	wh2_dlc12_anc_mount_lzd_tlaqua_skink_priest_beasts_ancient_stegadon_engine_gods
wh2_dlc12_lzd_tlaqua_skink_priest_beasts	wh2_dlc12_anc_mount_lzd_tlaqua_skink_priest_beasts_terradon
wh2_dlc12_lzd_tlaqua_skink_priest_heavens	wh2_dlc12_anc_mount_lzd_tlaqua_skink_priest_heavens_ancient_stegadon_engine_gods
wh2_dlc12_lzd_tlaqua_skink_priest_heavens	wh2_dlc12_anc_mount_lzd_tlaqua_skink_priest_heavens_terradon
wh2_dlc12_skv_ikit_claw	wh2_dlc12_anc_mount_skv_ikit_claw_doom_flayer
wh2_dlc12_skv_ikit_claw	wh2_dlc12_anc_mount_skv_ikit_claw_doomwheel
wh2_dlc12_skv_warlock_master	wh2_dlc12_anc_mount_skv_warlock_master_doom_flayer
wh2_dlc12_skv_warlock_master	wh2_dlc12_anc_mount_skv_warlock_master_doomwheel
wh2_dlc12_lzd_lord_kroak	wh2_dlc12_anc_talisman_amulet_of_itza
wh2_dlc12_skv_ikit_claw	wh2_dlc12_anc_talisman_warp_field_generator
wh2_dlc12_skv_warlock_master	wh2_dlc12_anc_talisman_warp_field_generator
wh2_main_skv_warlock_engineer	wh2_dlc12_anc_talisman_warp_field_generator
wh2_dlc12_lzd_tehenhauin	wh2_dlc12_anc_weapon_blade_of_the_serpents_tongue
wh2_dlc12_lzd_lord_kroak	wh2_dlc12_anc_weapon_ceremonial_mace_of_malachite
wh2_dlc12_skv_ikit_claw	wh2_dlc12_anc_weapon_mechanical_arm
wh2_dlc12_skv_warlock_master	wh2_dlc12_anc_weapon_mechanical_arm
wh2_main_skv_warlock_engineer	wh2_dlc12_anc_weapon_mechanical_arm
wh2_dlc12_skv_ikit_claw	wh2_dlc12_anc_weapon_retractable_fistblade
wh2_dlc12_skv_warlock_master	wh2_dlc12_anc_weapon_retractable_fistblade
wh2_main_skv_warlock_engineer	wh2_dlc12_anc_weapon_retractable_fistblade
wh2_dlc12_skv_ikit_claw	wh2_dlc12_anc_weapon_storm_daemon
wh2_dlc12_lzd_tiktaqto	wh2_dlc12_anc_weapon_the_blade_of_ancient_skies
wh2_dlc12_skv_ikit_claw	wh2_dlc12_anc_weapon_thing_zapper
wh2_dlc12_skv_warlock_master	wh2_dlc12_anc_weapon_thing_zapper
wh2_main_skv_warlock_engineer	wh2_dlc12_anc_weapon_thing_zapper
wh2_dlc13_emp_cha_markus_wulfhart	wh2_dlc13_anc_armour_obsinite_plate
wh2_dlc13_lzd_gor_rok	wh2_dlc13_anc_armour_the_shield_of_aeons
wh2_dlc13_lzd_nakai	wh2_dlc13_anc_enchanted_item_golden_tributes
wh2_dlc13_emp_cha_markus_wulfhart	wh2_dlc13_anc_talisman_monoliths_shard
wh2_dlc13_emp_cha_markus_wulfhart	wh2_dlc13_anc_weapon_amber_bow
wh2_dlc13_lzd_gor_rok	wh2_dlc13_anc_weapon_mace_of_ulumak
wh2_dlc13_lzd_nakai	wh2_dlc13_talisman_the_ogham_shard
wh2_dlc14_skv_deathmaster_snikch	wh2_dlc14_anc_armour_the_cloak_of_shadows
wh2_dlc14_brt_repanse	wh2_dlc14_anc_enchanted_item_fleur_de_lys_banner
wh2_dlc14_brt_henri_le_massif	wh2_dlc14_anc_mount_brt_henri_le_massif_barded_warhorse
wh2_dlc14_brt_henri_le_massif	wh2_dlc14_anc_mount_brt_henri_le_massif_hippogryph
wh2_dlc14_brt_repanse	wh2_dlc14_anc_mount_brt_repanse_barded_warhorse
wh2_dlc14_def_high_beastmaster	wh2_dlc14_anc_mount_def_high_beastmaster_scourgerunner_chariot
wh2_dlc14_def_malus_darkblade	wh2_dlc14_anc_mount_def_malus_spite
wh2_dlc14_def_master	wh2_dlc14_anc_mount_def_master_cold_one
wh2_dlc14_def_master	wh2_dlc14_anc_mount_def_master_dark_steed
wh2_dlc14_brt_repanse	wh2_dlc14_anc_weapon_sword_of_lyonesse
wh2_dlc14_def_malus_darkblade	wh2_dlc14_anc_weapon_warpsword_of_khaine
wh2_dlc14_skv_deathmaster_snikch	wh2_dlc14_anc_weapon_whirl_of_weeping_blades
wh2_dlc15_hef_imrik	wh2_dlc15_anc_armour_armour_of_caledor
wh2_dlc15_hef_eltharion	wh2_dlc15_anc_armour_helm_of_yvresse
wh2_dlc15_grn_grom_the_paunch	wh2_dlc15_anc_enchanted_item_lucky_banner
wh2_dlc15_hef_mage_beasts	wh2_dlc15_anc_mount_hef_mage_beasts_elven_steed
wh2_dlc15_hef_mage_beasts	wh2_dlc15_anc_mount_hef_mage_beasts_ithilmar_chariot
wh2_dlc15_hef_mage_death	wh2_dlc15_anc_mount_hef_mage_death_elven_steed
wh2_dlc15_hef_mage_death	wh2_dlc15_anc_mount_hef_mage_death_ithilmar_chariot
wh2_dlc15_hef_mage_fire	wh2_dlc15_anc_mount_hef_mage_fire_elven_steed
wh2_dlc15_hef_mage_fire	wh2_dlc15_anc_mount_hef_mage_fire_ithilmar_chariot
wh2_dlc15_hef_mage_metal	wh2_dlc15_anc_mount_hef_mage_metal_elven_steed
wh2_dlc15_hef_mage_metal	wh2_dlc15_anc_mount_hef_mage_metal_ithilmar_chariot
wh2_main_hef_prince	wh2_dlc15_anc_mount_hef_prince_griffon
wh2_main_hef_princess	wh2_dlc15_anc_mount_hef_princess_griffon
wh2_dlc15_hef_eltharion	wh2_dlc15_anc_talisman_talisman_of_hoeth
wh2_dlc15_grn_grom_the_paunch	wh2_dlc15_anc_weapon_axe_of_grom
wh2_dlc15_hef_eltharion	wh2_dlc15_anc_weapon_fangsword_of_eltharion
wh2_dlc15_hef_imrik	wh2_dlc15_anc_weapon_star_lance
wh2_dlc16_wef_ariel	wh2_dlc16_anc_arcane_item_wand_of_wych_elm
wh2_dlc16_wef_ariel	wh2_dlc16_anc_armour_heartstone_of_athel_loren
wh2_dlc16_wef_ariel	wh2_dlc16_anc_enchanted_item_acorns_of_the_oak_of_ages
wh2_dlc16_wef_drycha	wh2_dlc16_anc_enchanted_item_fang_of_taalroth
wh2_dlc16_skv_throt_the_unclean	wh2_dlc16_anc_enchanted_item_whip_of_domination
wh2_dlc16_skv_chieftain	wh2_dlc16_anc_mount_skv_cha_chieftain_bonebreaker
wh2_dlc16_skv_packmaster	wh2_dlc16_anc_mount_skv_cha_packmaster_brood_horror
wh2_dlc16_skv_throt_the_unclean	wh2_dlc16_anc_mount_skv_cha_throt_the_unclean_brood_horror
wh2_main_skv_warlord	wh2_dlc16_anc_mount_skv_cha_warlord_brood_horror
wh_dlc05_wef_glade_lord_fem	wh2_dlc16_anc_mount_wef_cha_female_glade_lord_great_stag
wh_dlc05_wef_glade_lord	wh2_dlc16_anc_mount_wef_cha_glade_lord_great_stag
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_anc_mount_wef_cha_sisters_of_twilight_forest_dragon
wh2_dlc16_wef_spellweaver_beasts	wh2_dlc16_anc_mount_wef_cha_spellweaver_beasts_elven_steed
wh2_dlc16_wef_spellweaver_beasts	wh2_dlc16_anc_mount_wef_cha_spellweaver_beasts_great_eagle
wh2_dlc16_wef_spellweaver_beasts	wh2_dlc16_anc_mount_wef_cha_spellweaver_beasts_unicorn
wh2_dlc16_wef_spellweaver_dark	wh2_dlc16_anc_mount_wef_cha_spellweaver_dark_elven_steed
wh2_dlc16_wef_spellweaver_dark	wh2_dlc16_anc_mount_wef_cha_spellweaver_dark_great_eagle
wh2_dlc16_wef_spellweaver_dark	wh2_dlc16_anc_mount_wef_cha_spellweaver_dark_unicorn
wh2_dlc16_wef_spellweaver_high	wh2_dlc16_anc_mount_wef_cha_spellweaver_high_elven_steed
wh2_dlc16_wef_spellweaver_high	wh2_dlc16_anc_mount_wef_cha_spellweaver_high_great_eagle
wh2_dlc16_wef_spellweaver_high	wh2_dlc16_anc_mount_wef_cha_spellweaver_high_unicorn
wh2_dlc16_wef_spellweaver_life	wh2_dlc16_anc_mount_wef_cha_spellweaver_life_elven_steed
wh2_dlc16_wef_spellweaver_life	wh2_dlc16_anc_mount_wef_cha_spellweaver_life_great_eagle
wh2_dlc16_wef_spellweaver_life	wh2_dlc16_anc_mount_wef_cha_spellweaver_life_unicorn
wh2_dlc16_wef_spellweaver_shadows	wh2_dlc16_anc_mount_wef_cha_spellweaver_shadows_elven_steed
