key	faction_effects	faction_leader_effects	icon	resource_cost	vo_trigger	amount_of_cooks
wh3_dlc27_recipe_mark_of_vindictiveness_excess_iii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_explosive_excess.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_fascination			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_wondrous_fascination.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_fascination_ii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_wondrous_fascination.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_fascination_iii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_wondrous_fascination.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_furies			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_vengeful_furies.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_furies_ii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_vengeful_furies.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_furies_iii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_vengeful_furies.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_indolence			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_slothful_indolence.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_indolence_ii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_slothful_indolence.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_indolence_iii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_slothful_indolence.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_lash			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_heed_the_lash.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_lash_ii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_heed_the_lash.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_lash_iii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_heed_the_lash.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_onslaught			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_piercing_onslaught.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_onslaught_ii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_piercing_onslaught.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_onslaught_iii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_piercing_onslaught.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_pain			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_ecstasy_of_pain.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_pain_ii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_ecstasy_of_pain.png	wh3_dlc27_resource_cost_sla_decadence_marks	TBD flavour text Ecstasy of Pain	3
wh3_dlc27_recipe_mark_of_vindictiveness_pain_iii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_ecstasy_of_pain.png	wh3_dlc27_resource_cost_sla_decadence_marks	TBD flavour text Ecstasy of Pain	3
wh3_dlc27_recipe_mark_of_vindictiveness_rapture			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_fearful_rapture.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_rapture_ii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_fearful_rapture.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_rapture_iii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_fearful_rapture.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_sensation			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_envigorating_sensation.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_sensation_ii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_envigorating_sensation.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_sensation_iii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_envigorating_sensation.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
