key	position_x	position_y	available_contracts	active_contracts_count	rounds_to_refresh
wh3_main_chaos_region_infernius	298	459		1	0
wh3_main_chaos_region_karak_azorn	901	272		1	0
wh3_main_chaos_region_karak_drak	474	249		1	0
wh3_main_chaos_region_karak_dum	685	326		1	0
wh3_main_chaos_region_karak_vrag	822	341		1	0
wh3_main_chaos_region_kislev	423	116		1	0
wh3_main_chaos_region_marienburg	90	114		1	0
wh3_main_chaos_region_mist_gorge	939	339		1	0
wh3_main_chaos_region_nan_gau	894	538		1	0
wh3_main_chaos_region_novchozy	532	211		1	0
wh3_main_chaos_region_osterwald	507	87		1	0
wh3_main_chaos_region_qiang	1040	393		1	0
wh3_main_chaos_region_shattered_stone_bay	994	141		1	0
wh3_main_chaos_region_the_daemons_stump	871	211		1	0
wh3_main_chaos_region_the_folly_of_malofex	211	450		1	0
wh3_main_chaos_region_the_forest_of_decay	374	461		1	0
wh3_main_chaos_region_the_palace_of_ruin	126	589	convoys_all	1	10
wh3_main_chaos_region_the_silver_pinnacle	666	151		1	0
wh3_main_chaos_region_the_silvered_tower_of_sorcerers	303	551	convoys_all	1	10
wh3_main_chaos_region_the_tower_of_gorgoth	834	113		1	0
wh3_main_chaos_region_the_volary	799	482	convoys_all	1	10
wh3_main_chaos_region_titans_notch	884	426	convoys_all	1	10
wh3_main_chaos_region_tower_of_ashshair	917	476		1	0
wh3_main_chaos_region_troll_fjord	41	466	convoys_all	1	10
wh3_main_chaos_region_uzkulak	739	238		1	0
wh3_main_chaos_region_vale_of_nightmares	568	389		1	0
wh3_main_chaos_region_winter_pyre	349	274		1	0
wh3_main_chaos_region_zamoski	711	376		1	0
wh3_main_chaos_region_zharr_naggrund	818	218		1	0
wh3_main_combi_region_al_haikk	509	328		1	0
wh3_main_combi_region_altdorf	525	646		1	0
wh3_main_combi_region_bay_of_blades	582	818	convoys_all	1	10
wh3_main_combi_region_bechafen	677	716		1	0
wh3_main_combi_region_bilious_cliffs	609	924		1	0
wh3_main_combi_region_black_crag	756	480	convoys_all	1	10
wh3_main_combi_region_black_fang	976	639		1	0
wh3_main_combi_region_black_fortress	961	474		1	0
wh3_main_combi_region_blizzardpeak	1015	699		1	0
wh3_main_combi_region_bloodpeak	1042	601		1	0
wh3_main_combi_region_castle_drakenhof	716	612		1	0
wh3_main_combi_region_circle_of_destruction	155	756		1	0
wh3_main_combi_region_cliff_of_beasts	527	931		1	0
wh3_main_combi_region_deff_gorge	714	356		1	0
wh3_main_combi_region_erengrad	633	771		1	0
wh3_main_combi_region_essen	691	663		1	0
wh3_main_combi_region_fallen_king_mountain	791	624		1	0
wh3_main_combi_region_fort_jakova	739	701		1	0
wh3_main_combi_region_fort_ostrosk	683	786		1	0
wh3_main_combi_region_frozen_landing	762	821		1	0
wh3_main_combi_region_gnashraks_lair	809	632		1	0
wh3_main_combi_region_great_hall_of_greasus	1030	503	convoys_all	1	10
wh3_main_combi_region_grung_zint	437	653	convoys_all	1	10
wh3_main_combi_region_hergig	600	703		1	0
wh3_main_combi_region_karag_dron	751	514		1	0
wh3_main_combi_region_karak_azorn	996	567		1	0
wh3_main_combi_region_karak_azul	799	451		1	0
wh3_main_combi_region_karaz_a_karak	736	547		1	0
wh3_main_combi_region_karond_kar	273	795	convoy_karond_kar	1	0
wh3_main_combi_region_khemri	616	290		1	0
wh3_main_combi_region_kislev	719	737		1	0
wh3_main_combi_region_marienburg	451	657		1	0
wh3_main_combi_region_monolith_of_bubonicus	851	848		1	0
wh3_main_combi_region_monolith_of_flesh	600	891		1	0
wh3_main_combi_region_myrmidens	572	434		1	0
wh3_main_combi_region_naggarond	114	817		1	0
wh3_main_combi_region_novchozy	782	767		1	0
wh3_main_combi_region_palace_of_princes	405	894		1	0
wh3_main_combi_region_pigbarter	969	453		1	0
wh3_main_combi_region_port_of_secrets	720	900		1	0
wh3_main_combi_region_qiang	1112	468		1	0
wh3_main_combi_region_sabre_mountain	935	697		1	0
wh3_main_combi_region_shang_yang	1109	565		1	0
wh3_main_combi_region_silver_pinnacle	823	659		1	0
wh3_main_combi_region_sjoktraken	724	827		1	0
wh3_main_combi_region_spite_reach	190	841		1	0
wh3_main_combi_region_the_challenge_stone	1018	727		1	0
wh3_main_combi_region_the_crystal_spires	748	928	convoys_all	1	10
wh3_main_combi_region_the_daemons_stump	971	547		1	0
wh3_main_combi_region_the_frozen_city	288	870		1	0
wh3_main_combi_region_the_haunted_forest	1063	417	convoys_all	1	10
wh3_main_combi_region_the_high_place	798	551		1	0
wh3_main_combi_region_the_monolith_of_katam	454	863		1	0
wh3_main_combi_region_the_silvered_tower_of_sorcerers	380	937	convoys_all	1	10
wh3_main_combi_region_the_volary	1107	713	convoys_all	1	10
wh3_main_combi_region_tower_of_gorgoth	905	527		1	0
wh3_main_combi_region_tribeslaughter	845	784		1	0
wh3_main_combi_region_troll_fjord	388	797	convoys_all	1	10
wh3_main_combi_region_ubersreik	505	616		1	0
wh3_main_combi_region_uzkulak	853	724		1	0
wh3_main_combi_region_valayas_sorrow	735	448		1	0
wh3_main_combi_region_winter_pyre	677	862		1	0
wh3_main_combi_region_wizard_caliphs_palace	434	271	convoys_all	1	10
wh3_main_combi_region_wurtbad	611	635		1	0
wh3_main_combi_region_zharr_naggrund	943	630		1	0
