entity_type	situation	ability	group_sound
wh2_dlc10_def_doomfire_warlocks	injured		wh2_grp_vocalisation_darkelves_male_pain
wh2_dlc10_def_doomfire_warlocks	moving_taunt		wh2_grp_vocalisation_darkelves_male_taunt
wh2_dlc10_def_doomfire_warlocks	response		wh2_grp_vocalisation_darkelves_male_unit_response
wh2_dlc10_def_doomfire_warlocks	selection		wh2_grp_vocalisation_darkelves_male_unit_selection
wh2_dlc10_def_doomfire_warlocks	taunt		wh2_grp_vocalisation_darkelves_male_taunt
wh2_dlc10_def_doomfire_warlocks	taunting		wh2_grp_vocalisation_darkelves_male_taunting
wh2_dlc10_def_doomfire_warlocks	teleporting		wh3_main_teleport_out
wh2_dlc10_def_elf_female_sisters_of_slaughter	charge		wh2_grp_vocalisation_darkelves_female_charge
wh2_dlc10_def_elf_female_sisters_of_slaughter	cheering		wh2_grp_vocalisation_darkelves_female_taunting
wh2_dlc10_def_elf_female_sisters_of_slaughter	collision		wh2_grp_vocalisation_darkelves_female_collision
wh2_dlc10_def_elf_female_sisters_of_slaughter	encouragement		wh2_grp_vocalisation_darkelves_female_encouragement
wh2_dlc10_def_elf_female_sisters_of_slaughter	fighting		wh2_grp_vocalisation_darkelves_female_melee
wh2_dlc10_def_elf_female_sisters_of_slaughter	injured		wh2_grp_vocalisation_darkelves_female_pain
wh2_dlc10_def_elf_female_sisters_of_slaughter	moving_taunt		wh2_grp_vocalisation_darkelves_female_taunt
wh2_dlc10_def_elf_female_sisters_of_slaughter	response		wh2_grp_vocalisation_darkelves_female_unit_response
wh2_dlc10_def_elf_female_sisters_of_slaughter	selection		wh2_grp_vocalisation_darkelves_female_unit_selection_sisters
wh2_dlc10_def_elf_female_sisters_of_slaughter	taunt		wh2_grp_vocalisation_darkelves_female_taunt
wh2_dlc10_def_elf_female_sisters_of_slaughter	taunting		wh2_grp_vocalisation_darkelves_female_sisters_taunting
wh2_dlc10_def_elf_female_sisters_of_slaughter	teleporting		wh3_main_teleport_out
wh2_dlc11_cst_animated_hulk_actor1	charge		wh2_grp_vocalisation_cst_animated_hulk_charge
wh2_dlc11_cst_animated_hulk_actor1	fighting		wh2_grp_vocalisation_cst_animated_hulk_melee
wh2_dlc11_cst_animated_hulk_actor1	injured		wh2_grp_vocalisation_cst_animated_hulk_pain
wh2_dlc11_cst_animated_hulk_actor1	moving_taunt		wh2_grp_vocalisation_cst_animated_hulk_taunt
wh2_dlc11_cst_animated_hulk_actor1	response		wh2_grp_vocalisation_cst_animated_hulk_unit_response
wh2_dlc11_cst_animated_hulk_actor1	selection		wh2_grp_vocalisation_cst_animated_hulk_unit_selection
wh2_dlc11_cst_animated_hulk_actor1	taunt		wh2_grp_vocalisation_cst_animated_hulk_taunt
wh2_dlc11_cst_animated_hulk_actor1	taunting		wh2_grp_vocalisation_cst_animated_hulk_taunting
wh2_dlc11_cst_animated_hulk_actor1	teleporting		wh3_main_teleport_out
wh2_dlc11_cst_animated_hulk_actor2	charge		wh2_grp_vocalisation_cst_animated_hulk_charge
wh2_dlc11_cst_animated_hulk_actor2	fighting		wh2_grp_vocalisation_cst_animated_hulk_melee
wh2_dlc11_cst_animated_hulk_actor2	injured		wh2_grp_vocalisation_cst_animated_hulk_pain
wh2_dlc11_cst_animated_hulk_actor2	moving_taunt		wh2_grp_vocalisation_cst_animated_hulk_taunt
wh2_dlc11_cst_animated_hulk_actor2	response		wh2_grp_vocalisation_cst_animated_hulk_unit_response
wh2_dlc11_cst_animated_hulk_actor2	selection		wh2_grp_vocalisation_cst_animated_hulk_unit_selection
wh2_dlc11_cst_animated_hulk_actor2	taunt		wh2_grp_vocalisation_cst_animated_hulk_taunt
wh2_dlc11_cst_animated_hulk_actor2	taunting		wh2_grp_vocalisation_cst_animated_hulk_taunting
wh2_dlc11_cst_animated_hulk_actor2	teleporting		wh3_main_teleport_out
wh2_dlc11_cst_animated_hulk_actor3	charge		wh2_grp_vocalisation_cst_animated_hulk_charge
wh2_dlc11_cst_animated_hulk_actor3	fighting		wh2_grp_vocalisation_cst_animated_hulk_melee
wh2_dlc11_cst_animated_hulk_actor3	injured		wh2_grp_vocalisation_cst_animated_hulk_pain
wh2_dlc11_cst_animated_hulk_actor3	moving_taunt		wh2_grp_vocalisation_cst_animated_hulk_taunt
wh2_dlc11_cst_animated_hulk_actor3	response		wh2_grp_vocalisation_cst_animated_hulk_unit_response
wh2_dlc11_cst_animated_hulk_actor3	selection		wh2_grp_vocalisation_cst_animated_hulk_unit_selection
wh2_dlc11_cst_animated_hulk_actor3	taunt		wh2_grp_vocalisation_cst_animated_hulk_taunt
wh2_dlc11_cst_animated_hulk_actor3	taunting		wh2_grp_vocalisation_cst_animated_hulk_taunting
wh2_dlc11_cst_animated_hulk_actor3	teleporting		wh3_main_teleport_out
wh2_dlc11_cst_animated_hulk	charge		wh2_grp_vocalisation_cst_animated_hulk_charge
wh2_dlc11_cst_animated_hulk	fighting		wh2_grp_vocalisation_cst_animated_hulk_melee
wh2_dlc11_cst_animated_hulk	injured		wh2_grp_vocalisation_cst_animated_hulk_pain
wh2_dlc11_cst_animated_hulk	moving_taunt		wh2_grp_vocalisation_cst_animated_hulk_taunt
wh2_dlc11_cst_animated_hulk	response		wh2_grp_vocalisation_cst_animated_hulk_unit_response
wh2_dlc11_cst_animated_hulk	selection		wh2_grp_vocalisation_cst_animated_hulk_unit_selection
wh2_dlc11_cst_animated_hulk	taunt		wh2_grp_vocalisation_cst_animated_hulk_taunt
wh2_dlc11_cst_animated_hulk	taunting		wh2_grp_vocalisation_cst_animated_hulk_taunting
wh2_dlc11_cst_animated_hulk	teleporting		wh3_main_teleport_out
wh2_dlc11_cst_damned_knight	charge		wh2_grp_vocalisation_damned_knight_charge
wh2_dlc11_cst_damned_knight	cheering		wh2_grp_vocalisation_damned_knight_taunting
wh2_dlc11_cst_damned_knight	collision		wh2_grp_vocalisation_damned_knight_collision
wh2_dlc11_cst_damned_knight	encouragement		wh2_grp_vocalisation_damned_knight_encouragement
wh2_dlc11_cst_damned_knight	fighting		wh2_grp_vocalisation_damned_knight_melee
wh2_dlc11_cst_damned_knight	injured		wh2_grp_vocalisation_damned_knight_pain
wh2_dlc11_cst_damned_knight	response		wh2_grp_vocalisation_damned_knight_unit_response
wh2_dlc11_cst_damned_knight	selection		wh2_grp_vocalisation_damned_knight_unit_selection
wh2_dlc11_cst_damned_knight	taunting		wh2_grp_vocalisation_damned_knight_taunting
wh2_dlc11_cst_damned_knight	teleporting		wh3_main_teleport_out
wh2_dlc11_cst_deck_dropper_bat	charge		wh2_grp_vocalisation_deck_dropper_bat_charge
wh2_dlc11_cst_deck_dropper_bat	response		wh_grp_vocalisation_deck_dropper_bat_unit_response
wh2_dlc11_cst_deck_dropper_bat	selection		wh_grp_vocalisation_deck_dropper_bat_unit_response
wh2_dlc11_cst_deck_gunner_crew	charge		wh2_grp_vocalisation_cst_zombie_mob_charge
wh2_dlc11_cst_deck_gunner_crew	cheering		wh2_grp_vocalisation_cst_zombie_mob_taunting
wh2_dlc11_cst_deck_gunner_crew	collision		wh2_grp_vocalisation_cst_zombie_mob_collision
wh2_dlc11_cst_deck_gunner_crew	encouragement		wh2_grp_vocalisation_cst_zombie_mob_idle
wh2_dlc11_cst_deck_gunner_crew	fighting		wh2_grp_vocalisation_cst_zombie_mob_melee
wh2_dlc11_cst_deck_gunner_crew	idle		wh2_grp_vocalisation_cst_zombie_mob_idle
wh2_dlc11_cst_deck_gunner_crew	injured		wh2_grp_vocalisation_cst_zombie_mob_pain
wh2_dlc11_cst_deck_gunner_crew	moving		wh2_grp_vocalisation_cst_zombie_mob_idle
wh2_dlc11_cst_deck_gunner_crew	moving_taunt		wh2_grp_vocalisation_cst_zombie_mob_taunt
wh2_dlc11_cst_deck_gunner_crew	response		wh2_grp_vocalisation_cst_zombie_mob_unit_response
wh2_dlc11_cst_deck_gunner_crew	resurrecting		wh2_grp_vocalisation_cst_zombie_resurrecting
wh2_dlc11_cst_deck_gunner_crew	selection		wh2_grp_vocalisation_cst_zombie_mob_unit_selection
wh2_dlc11_cst_deck_gunner_crew	taunt		wh2_grp_vocalisation_cst_zombie_mob_taunt
wh2_dlc11_cst_deck_gunner_crew	taunting		wh2_grp_vocalisation_cst_zombie_mob_taunting
wh2_dlc11_cst_deck_gunner_crew	teleporting		wh3_main_teleport_out
wh2_dlc11_cst_depth_guard	charge		wh2_grp_vocalisation_cst_depth_guard_charge
wh2_dlc11_cst_depth_guard	cheering		wh2_grp_vocalisation_cst_depth_guard_taunting
wh2_dlc11_cst_depth_guard	collision		wh2_grp_vocalisation_cst_depth_guard_collision
wh2_dlc11_cst_depth_guard	encouragement		wh2_grp_vocalisation_cst_depth_guard_encouragement
wh2_dlc11_cst_depth_guard	fighting		wh2_grp_vocalisation_cst_depth_guard_melee
wh2_dlc11_cst_depth_guard	injured		wh2_grp_vocalisation_cst_depth_guard_pain
wh2_dlc11_cst_depth_guard	response		wh2_grp_vocalisation_cst_depth_guard_unit_response
wh2_dlc11_cst_depth_guard	selection		wh2_grp_vocalisation_cst_depth_guard_unit_selection
wh2_dlc11_cst_depth_guard	taunting		wh2_grp_vocalisation_cst_depth_guard_taunting
wh2_dlc11_cst_depth_guard	teleporting		wh3_main_teleport_out
wh2_dlc11_cst_mournguls	charge		wh2_grp_vocalisation_mourngul_charge
wh2_dlc11_cst_mournguls	selection		wh2_grp_vocalisation_mourngul_unit_selection
wh2_dlc11_cst_rotting_prometheans	charge		wh2_grp_vocalisation_rotting_prometheans_charge
wh2_dlc11_cst_rotting_prometheans	response		wh2_grp_vocalisation_rotting_prometheans_unit_response
wh2_dlc11_cst_rotting_prometheans	selection		wh2_grp_vocalisation_rotting_prometheans_unit_selection
wh2_dlc11_cst_syreens	charge		wh2_grp_vocalisation_syreen_charge
wh2_dlc11_cst_syreens	cheer		wh2_grp_vocalisation_syreens_idle
wh2_dlc11_cst_syreens	encouragement		wh2_grp_vocalisation_syreens_melee
wh2_dlc11_cst_syreens	fighting		wh2_grp_vocalisation_syreens_melee
wh2_dlc11_cst_syreens	idle		wh2_grp_vocalisation_syreens_idle
wh2_dlc11_cst_syreens	injured		wh2_grp_vocalisation_syreen_pain
wh2_dlc11_cst_syreens	moving		wh2_grp_vocalisation_syreens_idle
wh2_dlc11_cst_syreens	selection		wh2_grp_vocalisation_syreens_unit_selection
wh2_dlc11_cst_zombie_mob	charge		wh2_grp_vocalisation_cst_zombie_mob_charge
wh2_dlc11_cst_zombie_mob	cheering		wh2_grp_vocalisation_cst_zombie_mob_taunting
wh2_dlc11_cst_zombie_mob	collision		wh2_grp_vocalisation_cst_zombie_mob_collision
wh2_dlc11_cst_zombie_mob	encouragement		wh2_grp_vocalisation_cst_zombie_mob_idle
wh2_dlc11_cst_zombie_mob	fighting		wh2_grp_vocalisation_cst_zombie_mob_melee
wh2_dlc11_cst_zombie_mob	idle		wh2_grp_vocalisation_cst_zombie_mob_idle
wh2_dlc11_cst_zombie_mob	idle_shoot		wh2_grp_vocalisation_cst_zombie_mob_idle
wh2_dlc11_cst_zombie_mob	injured		wh2_grp_vocalisation_cst_zombie_mob_pain
wh2_dlc11_cst_zombie_mob	moving		wh2_grp_vocalisation_cst_zombie_mob_idle
wh2_dlc11_cst_zombie_mob	moving_taunt		wh2_grp_vocalisation_cst_zombie_mob_taunt
wh2_dlc11_cst_zombie_mob	response		wh2_grp_vocalisation_cst_zombie_mob_unit_response
wh2_dlc11_cst_zombie_mob	resurrecting		wh2_grp_vocalisation_cst_zombie_resurrecting
wh2_dlc11_cst_zombie_mob	selection		wh2_grp_vocalisation_cst_zombie_mob_unit_selection
wh2_dlc11_cst_zombie_mob	taunt		wh2_grp_vocalisation_cst_zombie_mob_taunt
wh2_dlc11_cst_zombie_mob	taunting		wh2_grp_vocalisation_cst_zombie_mob_taunting
wh2_dlc11_cst_zombie_mob	teleporting		wh3_main_teleport_out
wh2_dlc12_ripperdactyl	charge		wh2_dlc12_grp_vocalisation_ripperdactyl_charge
wh2_dlc12_ripperdactyl	idle		wh2_grp_vocalisation_ripperdactyl_idle
wh2_dlc12_ripperdactyl	moving		wh2_grp_vocalisation_ripperdactyl_idle
wh2_dlc12_ripperdactyl	response		wh2_dlc12_grp_vocalisation_ripperdactyl_unit_response
wh2_dlc12_ripperdactyl	selection		wh2_dlc12_grp_vocalisation_ripperdactyl_unit_response
wh2_dlc12_salamander	charge		wh2_grp_vocalisation_salamander_charge
wh2_dlc12_salamander	response		wh2_grp_vocalisation_salamander_unit_selection
wh2_dlc12_salamander	selection		wh2_grp_vocalisation_salamander_unit_selection
wh2_dlc12_skaven_jezzails	charge		wh2_dlc12_grp_vocalisation_skaven_charge
wh2_dlc12_skaven_jezzails	cheering		wh2_dlc12_grp_vocalisation_skaven_encouragement
wh2_dlc12_skaven_jezzails	collision		wh2_dlc12_grp_vocalisation_skaven_collision
wh2_dlc12_skaven_jezzails	encouragement		wh2_dlc12_grp_vocalisation_skaven_encouragement
wh2_dlc12_skaven_jezzails	fighting		wh2_dlc12_grp_vocalisation_skaven_melee
wh2_dlc12_skaven_jezzails	idle		wh2_dlc12_grp_vocalisation_skaven_idle
wh2_dlc12_skaven_jezzails	injured		wh2_dlc12_grp_vocalisation_skaven_pain
wh2_dlc12_skaven_jezzails	moving		wh2_dlc12_grp_vocalisation_skaven_idle
wh2_dlc12_skaven_jezzails	moving_taunt		wh2_dlc12_grp_vocalisation_skaven_moving_taunt
wh2_dlc12_skaven_jezzails	response		wh2_dlc12_grp_vocalisation_skaven_unit_response
wh2_dlc12_skaven_jezzails	resurrecting		wh2_dlc12_grp_vocalisation_skaven_resurrecting
wh2_dlc12_skaven_jezzails	selection		wh2_dlc12_grp_vocalisation_skaven_unit_selection
wh2_dlc12_skaven_jezzails	taunting		wh2_dlc12_grp_vocalisation_skaven_taunting
wh2_dlc12_skaven_jezzails	teleporting		wh3_main_teleport_out
wh2_dlc12_skaven_stormvermin_ror	charge		wh2_dlc12_grp_vocalisation_skaven_charge
wh2_dlc12_skaven_stormvermin_ror	cheering		wh2_dlc12_grp_vocalisation_skaven_encouragement
wh2_dlc12_skaven_stormvermin_ror	collision		wh2_dlc12_grp_vocalisation_skaven_collision
wh2_dlc12_skaven_stormvermin_ror	encouragement		wh2_dlc12_grp_vocalisation_skaven_encouragement
wh2_dlc12_skaven_stormvermin_ror	fighting		wh2_dlc12_grp_vocalisation_skaven_melee
wh2_dlc12_skaven_stormvermin_ror	idle		wh2_dlc12_grp_vocalisation_skaven_idle_subtle
wh2_dlc12_skaven_stormvermin_ror	idle_combat_ready		wh2_dlc12_grp_vocalisation_skaven_idle
wh2_dlc12_skaven_stormvermin_ror	injured		wh2_dlc12_grp_vocalisation_skaven_pain
wh2_dlc12_skaven_stormvermin_ror	moving		wh2_dlc12_grp_vocalisation_skaven_idle
wh2_dlc12_skaven_stormvermin_ror	resurrecting		wh2_dlc12_grp_vocalisation_skaven_resurrecting
wh2_dlc13_razordon	charge		wh2_grp_vocalisation_razordon_charge
wh2_dlc13_razordon	response		wh2_grp_vocalisation_razordon_unit_selection
wh2_dlc13_razordon	selection		wh2_grp_vocalisation_razordon_unit_selection
wh2_dlc14_def_harpies_RoR	charge		wh_grp_vocalisation_harpies_charge
wh2_dlc14_def_harpies_RoR	encouragement		wh_grp_vocalisation_harpies_melee
wh2_dlc14_def_harpies_RoR	fighting		wh_grp_vocalisation_harpies_melee
wh2_dlc14_def_harpies_RoR	idle		wh_grp_vocalisation_harpies_idle
wh2_dlc14_def_harpies_RoR	injured		wh_grp_vocalisation_harpies_pain
wh2_dlc14_def_harpies_RoR	moving		wh_grp_vocalisation_harpies_running
wh2_dlc14_def_harpies_RoR	response		wh_grp_vocalisation_harpies_unit_response
wh2_dlc14_def_harpies_RoR	selection		wh_grp_vocalisation_harpies_unit_response
wh2_dlc14_def_harpies_RoR	taunting		wh_grp_vocalisation_harpies_melee
wh2_dlc14_skaven_poison_wind_mortar_team	charge		wh2_dlc12_grp_vocalisation_skaven_charge
wh2_dlc14_skaven_poison_wind_mortar_team	cheering		wh2_dlc12_grp_vocalisation_skaven_encouragement
wh2_dlc14_skaven_poison_wind_mortar_team	collision		wh2_dlc12_grp_vocalisation_skaven_collision
wh2_dlc14_skaven_poison_wind_mortar_team	encouragement		wh2_dlc12_grp_vocalisation_skaven_encouragement
wh2_dlc14_skaven_poison_wind_mortar_team	fighting		wh2_dlc12_grp_vocalisation_skaven_melee
wh2_dlc14_skaven_poison_wind_mortar_team	idle		wh2_dlc12_grp_vocalisation_skaven_idle
wh2_dlc14_skaven_poison_wind_mortar_team	idle_shoot		wh2_dlc12_grp_vocalisation_skaven_idle
wh2_dlc14_skaven_poison_wind_mortar_team	injured		wh2_dlc12_grp_vocalisation_skaven_pain
wh2_dlc14_skaven_poison_wind_mortar_team	moving		wh2_dlc12_grp_vocalisation_skaven_idle
wh2_dlc14_skaven_poison_wind_mortar_team	moving_taunt		wh2_dlc12_grp_vocalisation_skaven_moving_taunt
wh2_dlc14_skaven_poison_wind_mortar_team	response		wh2_dlc12_grp_vocalisation_skaven_unit_response
wh2_dlc14_skaven_poison_wind_mortar_team	resurrecting		wh2_dlc12_grp_vocalisation_skaven_resurrecting
wh2_dlc14_skaven_poison_wind_mortar_team	selection		wh2_dlc12_grp_vocalisation_skaven_unit_selection
wh2_dlc14_skaven_poison_wind_mortar_team	taunting		wh2_dlc12_grp_vocalisation_skaven_taunting
wh2_dlc14_skaven_warpgrinder_team	charge		wh2_dlc12_grp_vocalisation_skaven_charge
wh2_dlc14_skaven_warpgrinder_team	cheering		wh2_dlc12_grp_vocalisation_skaven_encouragement
wh2_dlc14_skaven_warpgrinder_team	collision		wh2_dlc12_grp_vocalisation_skaven_collision
wh2_dlc14_skaven_warpgrinder_team	encouragement		wh2_dlc12_grp_vocalisation_skaven_encouragement
wh2_dlc14_skaven_warpgrinder_team	fighting		wh2_dlc12_grp_vocalisation_skaven_melee
wh2_dlc14_skaven_warpgrinder_team	idle		wh2_dlc12_grp_vocalisation_skaven_idle
wh2_dlc14_skaven_warpgrinder_team	idle_shoot		wh2_dlc12_grp_vocalisation_skaven_idle
wh2_dlc14_skaven_warpgrinder_team	injured		wh2_dlc12_grp_vocalisation_skaven_pain
wh2_dlc14_skaven_warpgrinder_team	moving		wh2_dlc12_grp_vocalisation_skaven_idle
wh2_dlc14_skaven_warpgrinder_team	moving_taunt		wh2_dlc12_grp_vocalisation_skaven_moving_taunt
wh2_dlc14_skaven_warpgrinder_team	response		wh2_dlc12_grp_vocalisation_skaven_unit_response
wh2_dlc14_skaven_warpgrinder_team	resurrecting		wh2_dlc12_grp_vocalisation_skaven_resurrecting
wh2_dlc14_skaven_warpgrinder_team	selection		wh2_dlc12_grp_vocalisation_skaven_unit_selection
wh2_dlc14_skaven_warpgrinder_team	taunting		wh2_dlc12_grp_vocalisation_skaven_taunting
wh2_dlc15_griffin_group	charge		wh_grp_vocalisation_griffin_and_demigryph_charge
wh2_dlc15_griffin_group	encouragement		wh_grp_vocalisation_griffin_and_demigryph_melee
wh2_dlc15_griffin_group	fighting		wh_grp_vocalisation_griffin_and_demigryph_melee
wh2_dlc15_griffin_group	injured		wh_grp_vocalisation_griffin_and_demigryph_pain
wh2_dlc15_griffin_group	response		wh_grp_vocalisation_griffin_and_demigryph_unit_response
wh2_dlc15_griffin_group	selection		wh_grp_vocalisation_griffin_and_demigryph_unit_response
wh2_dlc15_grn_troll_river	moving		wh_grp_vocalisation_troll_movement
wh2_dlc15_snotling	charge		wh_grp_vocalisation_goblin_charge
wh2_dlc15_snotling	collision		wh_grp_vocalisation_goblin_collision
wh2_dlc15_snotling	response		wh_grp_vocalisation_goblin_unit_response
wh2_dlc15_snotling	selection		wh_grp_vocalisation_goblin_unit_selection
wh2_dlc15_snotling	special_ability_targeted	wh_group_waaagh	wh_grp_vocalisation_goblin_charge
wh2_dlc15_war_lion	charge		wh2_dlc15_grp_vocalisation_war_lion_charge
wh2_dlc15_war_lion	collision		wh2_grp_dlc15_vocalisation_war_lion_collision
wh2_dlc15_war_lion	fighting		wh2_grp_dlc15_vocalisation_war_lion_melee
wh2_dlc15_war_lion	response		wh2_dlc15_grp_vocalisation_war_lion_unit_response
wh2_dlc15_war_lion	selection		wh2_dlc15_grp_vocalisation_war_lion_unit_response
wh2_dlc16_skv_wolf_rat	charge		wh2_dlc16_grp_vocalisation_wolf_rat_charge
wh2_dlc16_skv_wolf_rat	encouragement		wh_grp_vocalisation_wolf_rat_melee
wh2_dlc16_skv_wolf_rat	fighting		wh_grp_vocalisation_wolf_rat_melee
wh2_dlc16_skv_wolf_rat	idle		wh2_dlc16_grp_vocalisation_wolf_rat_idle
wh2_dlc16_skv_wolf_rat	injured		wh_grp_vocalisation_dire_wolves_and_chaos_warhound_pain
wh2_dlc16_skv_wolf_rat	response		wh2_dlc16_grp_vocalisation_wolf_rat_unit_response
wh2_dlc16_skv_wolf_rat	selection		wh2_dlc16_grp_vocalisation_wolf_rat_unit_response
wh2_dlc16_skv_wolf_rat	taunt		wh_grp_vocalisation_dire_wolves_and_chaos_warhound_taunt
wh2_dlc16_wef_great_stag_knights_ROR	charge		wh_grp_vocalisation_dlc16_great_stag_knights_charge
wh2_dlc16_wef_great_stag_knights_ROR	cheering		wh_grp_vocalisation_dlc16_great_stag_knights_taunting
wh2_dlc16_wef_great_stag_knights_ROR	collision		wh_grp_vocalisation_dlc16_great_stag_knights_collision
wh2_dlc16_wef_great_stag_knights_ROR	encouragement		wh_grp_vocalisation_dlc16_great_stag_knights_melee
wh2_dlc16_wef_great_stag_knights_ROR	fighting		wh_grp_vocalisation_dlc16_great_stag_knights_melee
wh2_dlc16_wef_great_stag_knights_ROR	injured		wh_grp_vocalisation_dlc16_great_stag_knights_pain
wh2_dlc16_wef_great_stag_knights_ROR	moving_taunt		wh_grp_vocalisation_dlc16_great_stag_knights_taunt
wh2_dlc16_wef_great_stag_knights_ROR	response		wh_grp_vocalisation_dlc16_great_stag_knights_unit_response
wh2_dlc16_wef_great_stag_knights_ROR	selection		wh_grp_vocalisation_dlc16_great_stag_knights_unit_selection
wh2_dlc16_wef_great_stag_knights_ROR	taunt		wh_grp_vocalisation_dlc16_great_stag_knights_taunt
wh2_dlc16_wef_great_stag_knights_ROR	taunting		wh_grp_vocalisation_dlc16_great_stag_knights_taunting
wh2_dlc16_zoat	charge		wh2_grp_dlc16_vocalisation_zoat_charge
wh2_dlc16_zoat	collision		wh2_grp_dlc16_vocalisation_zoat_collision
wh2_dlc16_zoat	fighting		wh2_grp_dlc16_vocalisation_zoat_melee
wh2_dlc16_zoat	response		wh2_grp_dlc16_vocalisation_zoat_unit_response
wh2_dlc16_zoat	selection		wh2_grp_dlc16_vocalisation_zoat_unit_selection
wh2_dlc17_human_male_prisoner	charge		wh_grp_vocalisation_human_male_charge
wh2_dlc17_human_male_prisoner	cheering		wh_grp_vocalisation_human_male_taunting
wh2_dlc17_human_male_prisoner	encouragement		wh_grp_vocalisation_human_male_melee
wh2_dlc17_human_male_prisoner	fighting		wh_grp_vocalisation_human_male_melee
wh2_dlc17_human_male_prisoner	injured		wh_grp_vocalisation_human_male_pain
wh2_dlc17_human_male_prisoner	response		wh_grp_vocalisation_human_male_unit_response
wh2_dlc17_human_male_prisoner	selection		wh_grp_vocalisation_human_male_unit_response
wh2_dlc17_human_male_prisoner	taunting		wh_grp_vocalisation_human_male_taunting
wh2_dlc17_lzd_chameleon_stalkers	charge		wh2_dlc12_grp_vocalisation_skink_charge
