priority	tms_task_generator_profile_key	default_task_generator_group
2	wh3_combi_tms_generator_profiles_chaos_settled_vilitch	wh3_tms_generator_group_regionless_chaos
2	wh3_combi_tms_generator_profiles_conclave_of_sorcerers	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_daemonprince	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_daemonprince_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_darkelf	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_darkelf_hellebron	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_darkelf_lokhir	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_darkelf_malekith	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_darkelf_malus	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_darkelf_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_darkelf_morathi	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_darkelf_rakarth	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_default	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_dwarf	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_dwarf_belegar	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_dwarf_grombrindal	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_dwarf_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_dwarf_thorek	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_dwarf_thorgrim	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_dwarf_ungrim	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_dwarfs_malakai	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_empire	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_empire_elspeth	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_empire_franz	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_empire_gelt	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_empire_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_empire_volkmar	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_empire_wulfhart	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_greenskin	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_greenskin_azhag	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_greenskin_gorbad	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_greenskin_grimgor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_greenskin_grom	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_greenskin_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_greenskin_skarsnik	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_greenskin_wurrzag	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_highelf	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_highelf_alarielle	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_highelf_alithanar	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_highelf_eltharion	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_highelf_imrik	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_highelf_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_highelf_teclis	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_highelf_tyrion	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_khorne	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_khorne_arbaal	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_khorne_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_khorne_skarbrand	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_khorne_skulltaker	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_kislev	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_kislev_boris	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_kislev_katarin	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_kislev_kostaltyn	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_kislev_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_lizardmen	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_lizardmen_gorrok	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_lizardmen_kroqgar	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_lizardmen_mazdamundi	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_lizardmen_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_lizardmen_oxyotl	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_lizardmen_tehenhauin	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_lizardmen_tiktaqto	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_norsca	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_norsca_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_norsca_throgg	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_norsca_vassal	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_norsca_wulfrik	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_nurgle	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_nurgle_epidemius	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_nurgle_kugath	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_nurgle_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_nurgle_tamurkhan	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_ogre	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_ogre_greasus	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_ogre_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_ogre_skrag	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_passive	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_sentinels	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_skaven	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_skaven_ikit	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_skaven_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_skaven_queek	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_skaven_skrolk	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_skaven_snikch	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_skaven_throt	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_skaven_tretch	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_slaanesh	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_slaanesh_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_slaanesh_nkari	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_teb	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_tombking	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_tombking_arkhan	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_tombking_khalida	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_tombking_khatep	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_tombking_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_tombking_settra	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_tzeentch	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_tzeentch_kairos	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_tzeentch_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_vampire	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_vampire_ghorst	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_vampire_kemmler	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_vampire_mannfred	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_vampire_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_vampire_vlad	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_vampirecoast	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_vampirecoast_aranessa	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_vampirecoast_cylostra	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_vampirecoast_harkon	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_vampirecoast_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_vampirecoast_noctilus	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_woodelf	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_woodelf_drycha	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_woodelf_durthu	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_woodelf_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_woodelf_orion	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_woodelf_orion_aggressive	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_woodelf_sisters	wh3_tms_generator_group_regionless
2	wh3_main_task_generator_profile_clan_carrion_superpassive	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_bretonnia	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_bretonnia_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_cathay	wh3_tms_generator_group_regionless
4	wh3_tms_generator_profiles_cathay	wh3_tms_generator_group_cathay_astralproj
8	wh3_tms_generator_profiles_cathay	wh3_tms_generator_group_cathay_gatecapture
2	wh3_tms_generator_profiles_cathay_miao_ying	wh3_tms_generator_group_regionless
8	wh3_tms_generator_profiles_cathay_miao_ying	wh3_tms_generator_group_cathay_miao_ying_gatecapture
2	wh3_tms_generator_profiles_cathay_minor	wh3_tms_generator_group_regionless
8	wh3_tms_generator_profiles_cathay_minor	wh3_tms_generator_group_cathay_minor_gatecapture
2	wh3_tms_generator_profiles_cathay_zhao_ming	wh3_tms_generator_group_regionless
8	wh3_tms_generator_profiles_cathay_zhao_ming	wh3_tms_generator_group_cathay_zhao_ming_gatecapture
2	wh3_tms_generator_profiles_chaos_dwarf	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_chaos_dwarf_astragoth	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_chaos_dwarf_drazhoath	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_chaos_dwarf_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_chaos_dwarf_zhatan	wh3_tms_generator_group_regionless
8	wh3_tms_generator_profiles_chaos_gatedestroyer	wh3_tms_generator_group_chaos_minor
2	wh3_tms_generator_profiles_chaos_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_chaos_settled	wh3_tms_generator_group_regionless_chaos
2	wh3_tms_generator_profiles_chaos_settled_azazel	wh3_tms_generator_group_regionless_chaos
2	wh3_tms_generator_profiles_chaos_settled_festus	wh3_tms_generator_group_regionless_chaos
2	wh3_tms_generator_profiles_chaos_settled_minor	wh3_tms_generator_group_regionless_chaos
2	wh3_tms_generator_profiles_chaos_settled_valkia	wh3_tms_generator_group_regionless_chaos
2	wh3_tms_generator_profiles_chaos_settled_vilitch	wh3_tms_generator_group_regionless_chaos
2	wh3_tms_generator_profiles_conclave_of_sorcerers	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_daemonprince	wh3_tms_generator_group_regionless
4	wh3_tms_generator_profiles_daemonprince	wh3_tms_generator_group_daemonprince_astralproj
2	wh3_tms_generator_profiles_daemonprince_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_darkelf	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_darkelf_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_default	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_dwarf	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_dwarf_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_dwarfs_malakai	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_empire	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_empire_elspeth	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_empire_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_greenskin	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_greenskin_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_highelf	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_highelf_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_khorne	wh3_tms_generator_group_regionless
4	wh3_tms_generator_profiles_khorne	wh3_tms_generator_group_khorne_astralproj
2	wh3_tms_generator_profiles_khorne_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_khorne_skarbrand	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_kislev	wh3_tms_generator_group_regionless
4	wh3_tms_generator_profiles_kislev	wh3_tms_generator_group_kislev_astralproj
2	wh3_tms_generator_profiles_kislev_boris	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_kislev_katarin	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_kislev_kostaltyn	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_kislev_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_lizardmen	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_lizardmen_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_norsca	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_norsca_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_norsca_vassal	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_nurgle	wh3_tms_generator_group_regionless
4	wh3_tms_generator_profiles_nurgle	wh3_tms_generator_group_nurgle_astralproj
2	wh3_tms_generator_profiles_nurgle_kugath	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_nurgle_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_nurgle_tamurkhan	wh3_tms_generator_group_regionless
4	wh3_tms_generator_profiles_ogre	wh3_tms_generator_group_ogre_astralproj
2	wh3_tms_generator_profiles_passive	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_passive_cathay	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_prologue_active	wh3_tms_generator_group_regionless
4	wh3_tms_generator_profiles_prologue_active	wh3_tms_generator_group_prologue_active
2	wh3_tms_generator_profiles_prologue_defensive	wh3_tms_generator_group_regionless
4	wh3_tms_generator_profiles_prologue_defensive	wh3_tms_generator_group_prologue_defensive
2	wh3_tms_generator_profiles_prologue_passive	wh3_tms_generator_group_regionless
4	wh3_tms_generator_profiles_prologue_passive	wh3_tms_generator_group_prologue_passive
2	wh3_tms_generator_profiles_simple	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_skaven	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_skaven_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_slaanesh	wh3_tms_generator_group_regionless
4	wh3_tms_generator_profiles_slaanesh	wh3_tms_generator_group_slaanesh_astralproj
2	wh3_tms_generator_profiles_slaanesh_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_slaanesh_nkari	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_teb	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_tombking	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_tombking_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_tzeentch	wh3_tms_generator_group_regionless
4	wh3_tms_generator_profiles_tzeentch	wh3_tms_generator_group_tzeentch_astralproj
2	wh3_tms_generator_profiles_tzeentch_kairos	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_tzeentch_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_vampire	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_vampire_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_vampirecoast	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_vampirecoast_minor	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_woodelf	wh3_tms_generator_group_regionless
2	wh3_tms_generator_profiles_woodelf_minor	wh3_tms_generator_group_regionless
