culture_key	faction_key	ministerial_position_key	subculture_key	unique_id	localised_string_key	x_coordinate	y_coordinate	localised_description_key
wh_main_emp_empire		wh2_main_minister_emp_sylvania		1769653283	wh2_main_minister_emp_sylvania	0.1300	0.1300	placeholder
wh_main_emp_empire		wh2_main_minister_emp_talabecland		1062396979	wh2_main_minister_emp_talabecland	0.1100	0.1100	placeholder
wh_main_emp_empire		wh2_main_minister_emp_wasteland		309897075	wh2_main_minister_emp_wasteland	0.8000	0.8000	placeholder
wh_main_emp_empire		wh2_main_minister_emp_wissenland		1083794663	wh2_main_minister_emp_wissenland	0.7000	0.7000	placeholder
	wh_dlc05_wef_wood_elves	wh_dlc05_minister_wef_elf_elder_speaker		1127	wh_dlc05_minister_string_wef_elder_speaker	1.2000	0.3500	wh_dlc05_minister_string_wef_elder_speaker_desc
	wh_dlc05_wef_wood_elves	wh_dlc05_minister_wef_elf_herald_of_the_hunt		1416	wh_dlc05_minister_string_wef_herald_of_the_hunt	-0.7500	1.4000	wh_dlc05_minister_string_wef_herald_of_the_hunt_desc
	wh_dlc05_wef_wood_elves	wh_dlc05_minister_wef_elf_protector_of_the_oak		1123	wh_dlc05_minister_string_wef_protector_of_the_oak	-1.2000	0.3500	wh_dlc05_minister_string_wef_protector_of_the_oak_desc
	wh_dlc05_wef_wood_elves	wh_dlc05_minister_wef_elf_starlight_craftsman		1132	wh_dlc05_minister_string_wef_starlight_craftsman	2.2500	1.4000	wh_dlc05_minister_string_wef_starlight_craftsman_desc
	wh_dlc05_wef_wood_elves	wh_dlc05_minister_wef_elf_the_tricksters_masque		1135	wh_dlc05_minister_string_wef_the_tricksters_masque	0.7500	1.4000	wh_dlc05_minister_string_wef_the_tricksters_masque_desc
	wh_dlc05_wef_wood_elves	wh_dlc05_minister_wef_elf_warden_of_the_wildwood		1131	wh_dlc05_minister_string_wef_warden_of_the_wildwood	-2.2500	1.4000	wh_dlc05_minister_string_wef_warden_of_the_wildwood_desc
	wh_dlc05_wef_argwylon	wh_dlc05_minister_wef_tree_ancient_of_delliandra		1437	wh_dlc05_minister_string_wef_ancient_of_delliandra	-0.7500	1.4000	wh_dlc05_minister_string_wef_ancient_of_delliandra_desc
	wh_dlc05_wef_argwylon	wh_dlc05_minister_wef_tree_ancient_of_druthandor		1471	wh_dlc05_minister_string_wef_ancient_of_druthandor	2.2500	0.7000	wh_dlc05_minister_string_wef_ancient_of_druthandor_desc
	wh_dlc05_wef_argwylon	wh_dlc05_minister_wef_tree_ancient_of_talrennic		1481	wh_dlc05_minister_string_wef_ancient_of_talrennic	-2.2500	0.7000	wh_dlc05_minister_string_wef_ancient_of_talrennic_desc
	wh_dlc05_wef_argwylon	wh_dlc05_minister_wef_tree_ancient_of_threllock		1462	wh_dlc05_minister_string_wef_ancient_of_threllock	0.7500	1.4000	wh_dlc05_minister_string_wef_ancient_of_threllock_desc
	wh_main_chs_chaos	wh_main_minister_chs_1_aspirant		49	placeholder	0.0000	0.0000	placeholder
	wh_main_chs_chaos	wh_main_minister_chs_2_marked_one		59	placeholder	0.0000	0.0000	placeholder
	wh_main_chs_chaos	wh_main_minister_chs_3_champion		60	placeholder	0.0000	0.0000	placeholder
	wh_main_chs_chaos	wh_main_minister_chs_4_chosen		64	placeholder	0.0000	0.0000	placeholder
	wh_main_chs_chaos	wh_main_minister_chs_5_exalted		66	placeholder	0.0000	0.0000	placeholder
	wh_main_dwf_dwarfs	wh_main_minister_dwf_1_lode_warden		263	placeholder	0.0000	0.0000	placeholder
	wh_main_dwf_dwarfs	wh_main_minister_dwf_2_reckoner		266	placeholder	0.0000	0.0000	placeholder
	wh_main_dwf_dwarfs	wh_main_minister_dwf_3_ironmaster		275	placeholder	0.0000	0.0000	placeholder
	wh_main_dwf_dwarfs	wh_main_minister_dwf_4_brewmaster		282	placeholder	0.0000	0.0000	placeholder
	wh_main_dwf_dwarfs	wh_main_minister_dwf_5_clan_lord		284	placeholder	0.0000	0.0000	placeholder
	wh_main_grn_greenskins	wh_main_minister_grn_1_lout		228	placeholder	0.0000	0.0000	placeholder
	wh_main_grn_greenskins	wh_main_minister_grn_2_bully		236	placeholder	0.0000	0.0000	placeholder
	wh_main_grn_greenskins	wh_main_minister_grn_3_thug		242	placeholder	0.0000	0.0000	placeholder
	wh_main_grn_greenskins	wh_main_minister_grn_4_brute		252	placeholder	0.0000	0.0000	placeholder
	wh_main_grn_greenskins	wh_main_minister_grn_5_chieftain_king		254	placeholder	0.0000	0.0000	placeholder
	wh_main_vmp_vampire_counts	wh_main_minister_vmp_1_grave_warden		75	placeholder	0.0000	0.0000	placeholder
	wh_main_vmp_vampire_counts	wh_main_minister_vmp_2_initiate		84	placeholder	0.0000	0.0000	placeholder
	wh_main_vmp_vampire_counts	wh_main_minister_vmp_3_acolyte		86	placeholder	0.0000	0.0000	placeholder
	wh_main_vmp_vampire_counts	wh_main_minister_vmp_4_awakened		87	placeholder	0.0000	0.0000	placeholder
	wh_main_vmp_vampire_counts	wh_main_minister_vmp_5_red_ascendant		88	placeholder	0.0000	0.0000	placeholder
