character_skill	character_level	upgrade_to_skill_level
wh2_dlc10_skill_def_supreme_sorceress_dark_mount_dark_pegasus	15	1
wh2_dlc10_skill_def_supreme_sorceress_dark_mount_dark_steed	6	1
wh2_dlc10_skill_def_supreme_sorceress_dark_mount_manticore	17	1
wh2_dlc10_skill_def_supreme_sorceress_death_mount_black_dragon	21	1
wh2_dlc10_skill_def_supreme_sorceress_death_mount_cold_one	11	1
wh2_dlc10_skill_def_supreme_sorceress_death_mount_dark_pegasus	15	1
wh2_dlc10_skill_def_supreme_sorceress_death_mount_dark_steed	6	1
wh2_dlc10_skill_def_supreme_sorceress_death_mount_manticore	17	1
wh2_dlc10_skill_def_supreme_sorceress_fire_mount_black_dragon	21	1
wh2_dlc10_skill_def_supreme_sorceress_fire_mount_cold_one	11	1
wh2_dlc10_skill_def_supreme_sorceress_fire_mount_dark_pegasus	15	1
wh2_dlc10_skill_def_supreme_sorceress_fire_mount_dark_steed	6	1
wh2_dlc10_skill_def_supreme_sorceress_fire_mount_manticore	17	1
wh2_dlc10_skill_def_supreme_sorceress_shadow_mount_black_dragon	21	1
wh2_dlc10_skill_def_supreme_sorceress_shadow_mount_cold_one	11	1
wh2_dlc10_skill_def_supreme_sorceress_shadow_mount_dark_pegasus	15	1
wh2_dlc10_skill_def_supreme_sorceress_shadow_mount_dark_steed	6	1
wh2_dlc10_skill_def_supreme_sorceress_shadow_mount_manticore	17	1
wh2_dlc10_skill_hef_alarielle_mount_barded_ithilmar_steed	6	1
wh2_dlc10_skill_hef_alarielle_mount_great_eagle	15	1
wh2_dlc10_skill_hef_handmaiden_barded_ithilmar_steed	3	1
wh2_dlc10_skill_hef_mage_heavens_mount_elven_steed	6	1
wh2_dlc10_skill_hef_mage_heavens_mount_ithilmar_chariot	13	1
wh2_dlc10_skill_hef_mage_shadows_mount_elven_steed	6	1
wh2_dlc10_skill_hef_mage_shadows_mount_ithilmar_chariot	13	1
wh2_dlc11_skill_brt_champion_unique_paladin_damned_barded_warhorse	9	1
wh2_dlc11_skill_cst_lokhir_mount_maelstrom	17	1
wh2_dlc11_skill_cst_mount_admiral_death_rotting_promethean	9	1
wh2_dlc11_skill_cst_mount_admiral_deep_rotting_promethean	9	1
wh2_dlc11_skill_cst_mount_admiral_fem_death_rotting_promethean	9	1
wh2_dlc11_skill_cst_mount_admiral_fem_deep_rotting_promethean	9	1
wh2_dlc11_skill_cst_mount_admiral_fem_rotting_promethean	9	1
wh2_dlc11_skill_cst_mount_admiral_rotting_promethean	9	1
wh2_dlc11_skill_cst_mount_admiral_tech_01_rotting_promethean	9	1
wh2_dlc11_skill_cst_mount_admiral_tech_02_rotting_promethean	9	1
wh2_dlc11_skill_cst_mount_admiral_tech_03_rotting_promethean	9	1
wh2_dlc11_skill_cst_mount_admiral_tech_04_rotting_promethean	9	1
wh2_dlc11_skill_cst_mount_aranessa_rotting_promethean	9	1
wh2_dlc11_skill_cst_mount_cylostra_rotting_leviathan	17	1
wh2_dlc11_skill_cst_mount_fleet_captain_death_rotting_promethean	9	1
wh2_dlc11_skill_cst_mount_fleet_captain_deep_rotting_promethean	9	1
wh2_dlc11_skill_cst_mount_fleet_captain_rotting_promethean	9	1
wh2_dlc11_skill_cst_mount_gunnery_wight_rotting_promethean	9	1
wh2_dlc11_skill_cst_mount_harkon_death_shriek_terrorgheist	17	1
wh2_dlc11_skill_cst_mount_noctilus_necrofex_colossus	17	1
wh2_dlc11_skill_emp_boris_unique_imperial_griffon	15	1
wh2_dlc11_skill_emp_boris_unique_imperial_pegasus	11	1
wh2_dlc11_skill_vmp_bloodline_blood_dragon_unique_barded_nightmare	7	1
wh2_dlc11_skill_vmp_bloodline_blood_dragon_unique_hellsteed	9	1
wh2_dlc11_skill_vmp_bloodline_blood_dragon_unique_zombie_dragon	17	1
wh2_dlc11_skill_vmp_bloodline_lahmian_unique_barded_nightmare	7	1
wh2_dlc11_skill_vmp_bloodline_lahmian_unique_hellsteed	9	1
wh2_dlc11_skill_vmp_bloodline_lahmian_unique_zombie_dragon	17	1
wh2_dlc11_skill_vmp_bloodline_necrarch_unique_barded_nightmare	7	1
wh2_dlc11_skill_vmp_bloodline_necrarch_unique_hellsteed	9	1
wh2_dlc11_skill_vmp_bloodline_necrarch_unique_zombie_dragon	17	1
wh2_dlc11_skill_vmp_bloodline_strigoi_unique_terrorgheist	19	1
wh2_dlc11_skill_vmp_bloodline_von_carstein_unique_barded_nightmare	7	1
wh2_dlc11_skill_vmp_bloodline_von_carstein_unique_hellsteed	9	1
wh2_dlc11_skill_vmp_bloodline_von_carstein_unique_zombie_dragon	17	1
wh2_dlc11_skill_vmp_lord_unique_kemmler_barded_nightmare	7	1
wh2_dlc12_skill_lzd_red_crested_skink_chief_mount_ancient_stegadon	20	1
wh2_dlc12_skill_lzd_red_crested_skink_chief_mount_horned_one	6	1
wh2_dlc12_skill_lzd_red_crested_skink_chief_mount_ripperdactyl	9	1
wh2_dlc12_skill_lzd_skink_chief_mount_ancient_stegadon	20	1
wh2_dlc12_skill_lzd_skink_priest_beasts_mount_ancient_stegadon	23	1
wh2_dlc12_skill_lzd_skink_priest_beasts_mount_ancient_stegadon_engine_gods	26	1
wh2_dlc12_skill_lzd_skink_priest_heavens_mount_ancient_stegadon	23	1
wh2_dlc12_skill_lzd_skink_priest_heavens_mount_ancient_stegadon_engine_gods	26	1
wh2_dlc12_skill_lzd_tehenhauin_mount_ancient_stegadon_engine_gods	19	1
wh2_dlc12_skill_lzd_tehenhauin_mount_horned_one	6	1
wh2_dlc12_skill_lzd_tehenhauin_mount_ripperdactyl	9	1
wh2_dlc12_skill_lzd_tlaqua_mount_skink_chief_terradon	11	1
wh2_dlc12_skill_lzd_tlaqua_mount_skink_priest_beasts_terradon	11	1
wh2_dlc12_skill_lzd_tlaqua_mount_skink_priest_heavens_terradon	11	1
wh2_dlc12_skill_lzd_tlaqua_skink_priest_beasts_mount_ancient_stegadon_engine_gods	26	1
wh2_dlc12_skill_lzd_tlaqua_skink_priest_heavens_mount_ancient_stegadon_engine_gods	26	1
wh2_dlc12_skill_skv_ikit_mount_doom_flayer	6	1
wh2_dlc12_skill_skv_ikit_mount_doomwheel	14	1
wh2_dlc12_skill_skv_warlock_master_mount_doom_flayer	6	1
wh2_dlc12_skill_skv_warlock_master_mount_doomwheel	14	1
wh2_dlc14_skill_brt_henri_le_massif_barded_warhorse	15	1
wh2_dlc14_skill_brt_henri_le_massif_hippogryph	13	1
wh2_dlc14_skill_brt_repanse_barded_warhorse	9	1
wh2_dlc14_skill_def_high_beastmaster_mount_manticore	13	1
wh2_dlc14_skill_def_high_beastmaster_mount_scourgerunner_chariot	8	1
wh2_dlc14_skill_def_malus_mount_spite	6	1
wh2_dlc14_skill_def_master_mount_cold_one	8	1
wh2_dlc14_skill_def_master_mount_cold_one_chariot	12	1
wh2_dlc14_skill_def_master_mount_dark_pegasus	12	1
wh2_dlc14_skill_def_master_mount_dark_steed	6	1
wh2_dlc15_skill_hef_alastar_white_lion_chariot	8	1
wh2_dlc15_skill_hef_archmage_beasts_mount_barded_ithilmar_steed	10	1
wh2_dlc15_skill_hef_archmage_beasts_mount_great_eagle	15	1
wh2_dlc15_skill_hef_archmage_beasts_mount_ithilmar_chariot	13	1
wh2_dlc15_skill_hef_archmage_beasts_mount_moon_dragon	21	1
wh2_dlc15_skill_hef_archmage_death_mount_barded_ithilmar_steed	10	1
wh2_dlc15_skill_hef_archmage_death_mount_great_eagle	15	1
wh2_dlc15_skill_hef_archmage_death_mount_ithilmar_chariot	13	1
wh2_dlc15_skill_hef_archmage_death_mount_moon_dragon	21	1
wh2_dlc15_skill_hef_archmage_fire_mount_barded_ithilmar_steed	10	1
wh2_dlc15_skill_hef_archmage_fire_mount_great_eagle	15	1
wh2_dlc15_skill_hef_archmage_fire_mount_ithilmar_chariot	13	1
wh2_dlc15_skill_hef_archmage_fire_mount_moon_dragon	21	1
wh2_dlc15_skill_hef_archmage_heavens_mount_barded_ithilmar_steed	10	1
wh2_dlc15_skill_hef_archmage_heavens_mount_great_eagle	15	1
wh2_dlc15_skill_hef_archmage_heavens_mount_ithilmar_chariot	13	1
wh2_dlc15_skill_hef_archmage_heavens_mount_moon_dragon	21	1
wh2_dlc15_skill_hef_archmage_high_mount_barded_ithilmar_steed	10	1
wh2_dlc15_skill_hef_archmage_high_mount_great_eagle	15	1
wh2_dlc15_skill_hef_archmage_high_mount_ithilmar_chariot	13	1
wh2_dlc15_skill_hef_archmage_high_mount_moon_dragon	21	1
wh2_dlc15_skill_hef_archmage_life_mount_barded_ithilmar_steed	10	1
wh2_dlc15_skill_hef_archmage_life_mount_great_eagle	15	1
wh2_dlc15_skill_hef_archmage_life_mount_ithilmar_chariot	13	1
wh2_dlc15_skill_hef_archmage_life_mount_moon_dragon	21	1
wh2_dlc15_skill_hef_archmage_light_mount_barded_ithilmar_steed	10	1
wh2_dlc15_skill_hef_archmage_light_mount_great_eagle	15	1
wh2_dlc15_skill_hef_archmage_light_mount_ithilmar_chariot	13	1
wh2_dlc15_skill_hef_archmage_light_mount_moon_dragon	21	1
wh2_dlc15_skill_hef_archmage_metal_mount_barded_ithilmar_steed	10	1
wh2_dlc15_skill_hef_archmage_metal_mount_great_eagle	15	1
wh2_dlc15_skill_hef_archmage_metal_mount_ithilmar_chariot	13	1
wh2_dlc15_skill_hef_archmage_metal_mount_moon_dragon	21	1
wh2_dlc15_skill_hef_archmage_shadows_mount_barded_ithilmar_steed	10	1
wh2_dlc15_skill_hef_archmage_shadows_mount_great_eagle	15	1
wh2_dlc15_skill_hef_archmage_shadows_mount_ithilmar_chariot	13	1
wh2_dlc15_skill_hef_archmage_shadows_mount_moon_dragon	21	1
wh2_dlc15_skill_hef_eltharion_mount_barded_warhorse	7	1
wh2_dlc15_skill_hef_eltharion_mount_stormwing	13	1
wh2_dlc15_skill_hef_imrik_mount_dragon_prince_steed	0	1
wh2_dlc15_skill_hef_imrik_mount_minaithnir	13	1
wh2_dlc15_skill_hef_mage_beasts_mount_elven_steed	6	1
wh2_dlc15_skill_hef_mage_beasts_mount_ithilmar_chariot	13	1
wh2_dlc15_skill_hef_mage_death_mount_elven_steed	6	1
wh2_dlc15_skill_hef_mage_death_mount_ithilmar_chariot	13	1
wh2_dlc15_skill_hef_mage_fire_mount_elven_steed	6	1
wh2_dlc15_skill_hef_mage_fire_mount_ithilmar_chariot	13	1
wh2_dlc15_skill_hef_mage_fire_mount_sun_dragon	21	1
wh2_dlc15_skill_hef_mage_metal_mount_elven_steed	6	1
wh2_dlc15_skill_hef_mage_metal_mount_ithilmar_chariot	13	1
wh2_dlc15_skill_hef_prince_mount_griffon	13	1
wh2_dlc15_skill_hef_princess_mount_griffon	13	1
wh2_dlc15_skill_hef_teclis_mount_arcane_phoenix	17	1
wh2_dlc16_skill_mount_skv_cha_throt_the_unclean_brood_horror	13	1
wh2_dlc16_skill_skv_chieftain_mount_1	11	1
wh2_dlc16_skill_skv_packmaster_mount_2	13	1
wh2_dlc16_skill_skv_warlord_mount_2	13	1
wh2_dlc16_skill_wef_glade_lord_mount_great_stag	9	1
wh2_dlc16_skill_wef_glade_lord_mount_great_stag_fem	9	1
wh2_dlc16_skill_wef_spellweaver_beasts_mount_1	6	1
wh2_dlc16_skill_wef_spellweaver_beasts_mount_2	9	1
wh2_dlc16_skill_wef_spellweaver_beasts_mount_3	15	1
wh2_dlc16_skill_wef_spellweaver_dark_mount_1	6	1
wh2_dlc16_skill_wef_spellweaver_dark_mount_2	9	1
wh2_dlc16_skill_wef_spellweaver_dark_mount_3	15	1
wh2_dlc16_skill_wef_spellweaver_high_mount_1	6	1
wh2_dlc16_skill_wef_spellweaver_high_mount_2	9	1
wh2_dlc16_skill_wef_spellweaver_high_mount_3	15	1
wh2_dlc16_skill_wef_spellweaver_life_mount_1	6	1
wh2_dlc16_skill_wef_spellweaver_life_mount_2	9	1
wh2_dlc16_skill_wef_spellweaver_life_mount_3	15	1
wh2_dlc16_skill_wef_spellweaver_shadows_mount_1	6	1
wh2_dlc16_skill_wef_spellweaver_shadows_mount_2	9	1
wh2_dlc16_skill_wef_spellweaver_shadows_mount_3	15	1
wh2_dlc17_skill_bst_beastlord_unique_tuskgor	7	1
wh2_dlc17_skill_bst_bray_shaman_beasts_unique_tuskgor	11	1
wh2_dlc17_skill_bst_bray_shaman_death_unique_tuskgor	11	1
wh2_dlc17_skill_bst_bray_shaman_shadows_unique_tuskgor	11	1
wh2_dlc17_skill_bst_bray_shaman_wild_unique_tuskgor	11	1
wh2_dlc17_skill_bst_great_bray_shaman_beasts_unique_razorgor	15	1
wh2_dlc17_skill_bst_great_bray_shaman_beasts_unique_tuskgor	11	1
wh2_dlc17_skill_bst_great_bray_shaman_death_unique_razorgor	15	1
wh2_dlc17_skill_bst_great_bray_shaman_death_unique_tuskgor	11	1
wh2_dlc17_skill_bst_great_bray_shaman_shadows_unique_razorgor	15	1
wh2_dlc17_skill_bst_great_bray_shaman_shadows_unique_tuskgor	11	1
wh2_dlc17_skill_bst_great_bray_shaman_wild_unique_razorgor	15	1
wh2_dlc17_skill_bst_great_bray_shaman_wild_unique_tuskgor	11	1
wh2_dlc17_skill_bst_khazrak_one_eye_unique_tuskgor	7	1
wh2_dlc17_skill_bst_wargor_unique_razorgor	11	1
wh2_dlc17_skill_bst_wargor_unique_tuskgor	7	1
wh2_dlc17_skill_dwf_thorek_mount_anvil_of_doom	8	1
wh2_dlc17_skill_lzd_oxyotl_poisons_1	5	1
wh2_dlc17_skill_lzd_oxyotl_poisons_2	8	1
wh2_dlc17_vmp_kevon_barded_skeletal_steed	3	1
wh2_main_skill_all_immortality_hero	19	1
wh2_main_skill_all_immortality_lord	19	1
wh2_main_skill_def_death_hag_mount_cauldron_of_blood	9	1
wh2_main_skill_def_dreadlord_fem_mount_black_dragon	17	1
wh2_main_skill_def_dreadlord_fem_mount_cold_one	6	1
wh2_main_skill_def_dreadlord_fem_mount_dark_pegasus	13	1
wh2_main_skill_def_dreadlord_fem_mount_dark_steed	3	1
wh2_main_skill_def_dreadlord_mount_black_dragon	17	1
wh2_main_skill_def_dreadlord_mount_cold_one	6	1
wh2_main_skill_def_dreadlord_mount_dark_pegasus	13	1
wh2_main_skill_def_dreadlord_mount_dark_steed	3	1
wh2_main_skill_def_malekith_mount_cold_one	6	1
wh2_main_skill_def_malekith_mount_cold_one_chariot	9	1
wh2_main_skill_def_malekith_mount_seraphon	17	1
wh2_main_skill_def_morathi_mount_sulephet	11	1
wh2_main_skill_def_sorceress_dark_mount_cold_one	10	1
wh2_main_skill_def_sorceress_dark_mount_dark_pegasus	15	1
wh2_main_skill_def_sorceress_dark_mount_dark_steed	6	1
wh2_main_skill_def_sorceress_fire_mount_cold_one	10	1
wh2_main_skill_def_sorceress_fire_mount_dark_pegasus	15	1
wh2_main_skill_def_sorceress_fire_mount_dark_steed	6	1
wh2_main_skill_def_sorceress_shadow_mount_cold_one	10	1
wh2_main_skill_def_sorceress_shadow_mount_dark_pegasus	15	1
wh2_main_skill_def_sorceress_shadow_mount_dark_steed	6	1
wh2_main_skill_hef_mage_high_mount_elven_steed	6	1
wh2_main_skill_hef_mage_high_mount_ithilmar_chariot	13	1
wh2_main_skill_hef_mage_life_mount_elven_steed	6	1
wh2_main_skill_hef_mage_life_mount_ithilmar_chariot	13	1
wh2_main_skill_hef_mage_light_mount_elven_steed	6	1
wh2_main_skill_hef_mage_light_mount_ithilmar_chariot	13	1
wh2_main_skill_hef_noble_barded_ithilmar_steed	6	1
wh2_main_skill_hef_noble_great_eagle	11	1
wh2_main_skill_hef_noble_ithilmar_chariot	11	1
wh2_main_skill_hef_prince_alastar_mount_great_eagle	11	1
wh2_main_skill_hef_prince_alastar_mount_star_dragon	19	1
wh2_main_skill_hef_prince_alastar_mount_sun_dragon	15	1
wh2_main_skill_hef_prince_mount_barded_ithilmar_steed	6	1
wh2_main_skill_hef_prince_mount_great_eagle	11	1
wh2_main_skill_hef_prince_mount_star_dragon	19	1
wh2_main_skill_hef_prince_mount_sun_dragon	15	1
wh2_main_skill_hef_princess_mount_elven_steed	3	1
wh2_main_skill_hef_princess_mount_great_eagle	11	1
wh2_main_skill_hef_princess_mount_moon_dragon	15	1
wh2_main_skill_hef_princess_mount_star_dragon	19	1
wh2_main_skill_hef_teclis_mount_barded_ithilmar_steed	10	1
wh2_main_skill_hef_tyrion_mount_malhandhir	6	1
wh2_main_skill_lzd_kroq_gar_mount_cold_one	6	1
wh2_main_skill_lzd_kroq_gar_mount_grymloq	17	1
wh2_main_skill_lzd_kroq_gar_mount_horned_one	9	1
wh2_main_skill_lzd_mazdamundi_zlaaq	17	1
wh2_main_skill_lzd_saurus_old_blood_carnosaur	17	1
wh2_main_skill_lzd_saurus_old_blood_cold_one	6	1
wh2_main_skill_lzd_saurus_scar_veteran_carnosaur	17	1
wh2_main_skill_lzd_saurus_scar_veteran_cold_one	6	1
wh2_main_skill_lzd_skink_chief_stegadon	17	1
wh2_main_skill_lzd_skink_chief_terradon	9	1
wh2_main_skill_lzd_skink_priest_beasts_stegadon	21	1
wh2_main_skill_lzd_skink_priest_beasts_terradon	13	1
wh2_main_skill_lzd_skink_priest_heavens_stegadon	21	1
wh2_main_skill_lzd_skink_priest_heavens_terradon	13	1
wh2_main_skill_skv_grey_seer_plague_mount_screaming_bell	15	1
wh2_main_skill_skv_grey_seer_ruin_mount_screaming_bell	15	1
wh2_main_skill_skv_plague_priest_mount_plague_furnace	15	1
wh2_main_skill_skv_warlord_mount_bonebreaker	11	1
wh2_pro07_skill_emp_wizard_unique_amethyst_wizard_barded_warhorse	6	1
wh2_pro07_skill_emp_wizard_unique_amethyst_wizard_imperial_pegasus	15	1
wh2_pro07_skill_emp_wizard_unique_amethyst_wizard_warhorse	6	1
wh2_pro09_skill_grn_black_orc_big_boss_mount_boar	3	1
wh2_twa01_skill_grn_lord_unique_goblin_great_shaman_spider_shrine	15	1
wh2_twa02_skill_wef_glade_captain_mount_elven_steed	3	1
wh2_twa02_skill_wef_glade_captain_mount_great_eagle	11	1
wh2_twa02_skill_wef_glade_captain_mount_great_stag	9	1
wh2_twa03_skill_def_rakarth_mount_bracchus	15	1
wh2_twa03_skill_def_rakarth_mount_manticore	8	1
wh2_twa03_skill_def_rakarth_mount_scourgerunner_chariot	5	1
wh3_dlc20_skill_authority_kho_hero	10	2
wh3_dlc20_skill_authority_kho_hero	20	3
wh3_dlc20_skill_authority_kho_lord	10	2
wh3_dlc20_skill_authority_kho_lord	20	3
wh3_dlc20_skill_authority_nur_hero	10	2
wh3_dlc20_skill_authority_nur_hero	20	3
wh3_dlc20_skill_authority_nur_lord	10	2
wh3_dlc20_skill_authority_nur_lord	20	3
wh3_dlc20_skill_authority_sla_hero	10	2
wh3_dlc20_skill_authority_sla_hero	20	3
wh3_dlc20_skill_authority_sla_lord	10	2
wh3_dlc20_skill_authority_sla_lord	20	3
wh3_dlc20_skill_authority_tze_hero	10	2
wh3_dlc20_skill_authority_tze_hero	20	3
wh3_dlc20_skill_authority_tze_lord	10	2
wh3_dlc20_skill_authority_tze_lord	20	3
wh3_dlc20_skill_authority_und_hero	10	2
wh3_dlc20_skill_authority_und_hero	20	3
wh3_dlc20_skill_authority_und_hero_wizard	10	2
wh3_dlc20_skill_authority_und_hero_wizard	20	3
wh3_dlc20_skill_authority_und_lord	10	2
wh3_dlc20_skill_authority_und_lord	20	3
wh3_dlc20_skill_authority_und_lord_wizard	10	2
wh3_dlc20_skill_authority_und_lord_wizard	20	3
wh3_dlc20_skill_mount_chs_cha_chaos_lord_chaos_chariot	9	1
wh3_dlc20_skill_mount_chs_cha_chaos_lord_mkho_chaos_steed	3	1
wh3_dlc20_skill_mount_chs_cha_chaos_lord_mkho_gorebeast_chariot	11	1
wh3_dlc20_skill_mount_chs_cha_chaos_lord_mkho_juggernaut	15	1
wh3_dlc20_skill_mount_chs_cha_chaos_lord_msla_chaos_chariot	9	1
wh3_dlc20_skill_mount_chs_cha_chaos_lord_msla_chaos_steed	3	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_death_warshrine	13	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_fire_warshrine	13	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_lord_death_mnur_chaos_steed	3	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_lord_death_mnur_warshrine	13	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_lord_fire_warshrine	13	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_lord_metal_mtze_chaos_steed	3	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_lord_metal_mtze_disc	9	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_lord_metal_warshrine	13	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_lord_nurgle_mnur_chaos_steed	3	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_lord_nurgle_mnur_warshrine	13	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_lord_shadows_warshrine	13	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_chaos_steed	3	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_disc	9	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_warshrine	13	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_metal_mtze_chaos_steed	3	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_metal_mtze_disc	9	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_metal_mtze_warshrine	13	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_metal_warshrine	13	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_shadows_msla_chaos_steed	3	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_shadows_msla_warshrine	13	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_shadows_warshrine	13	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_slaanesh_msla_chaos_steed	3	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_slaanesh_msla_warshrine	13	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_tzeentch_mtze_chaos_steed	3	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_tzeentch_mtze_disc	9	1
wh3_dlc20_skill_mount_chs_cha_chaos_sorcerer_tzeentch_mtze_warshrine	13	1
wh3_dlc20_skill_mount_chs_cha_exalted_hero_chaos_chariot	11	1
wh3_dlc20_skill_mount_chs_cha_exalted_hero_mkho_chaos_steed	3	1
wh3_dlc20_skill_mount_chs_cha_exalted_hero_mkho_gorebeast_chariot	11	1
wh3_dlc20_skill_mount_chs_cha_exalted_hero_mkho_juggernaut	15	1
wh3_dlc20_skill_mount_chs_cha_exalted_hero_mnur_chaos_chariot	9	1
wh3_dlc20_skill_mount_chs_cha_exalted_hero_mnur_chaos_steed	3	1
wh3_dlc20_skill_mount_chs_cha_sorcerer_lord_death_warshrine	13	1
wh3_dlc20_skill_mount_kho_cultist_warshrine	13	1
wh3_dlc20_skill_mount_nur_cultist_warshrine	13	1
wh3_dlc20_skill_mount_sla_cultist_warshrine	13	1
wh3_dlc20_skill_mount_tze_cultist_warshrine	13	1
wh3_dlc20_skill_path_to_glory_cost_modifier	10	6
wh3_dlc20_skill_path_to_glory_cost_modifier	11	7
wh3_dlc20_skill_path_to_glory_cost_modifier	12	8
wh3_dlc20_skill_path_to_glory_cost_modifier	13	9
wh3_dlc20_skill_path_to_glory_cost_modifier	14	10
wh3_dlc20_skill_path_to_glory_cost_modifier	15	11
wh3_dlc20_skill_path_to_glory_cost_modifier	16	12
wh3_dlc20_skill_path_to_glory_cost_modifier	17	13
wh3_dlc20_skill_path_to_glory_cost_modifier	18	14
wh3_dlc20_skill_path_to_glory_cost_modifier	19	15
wh3_dlc20_skill_path_to_glory_cost_modifier	20	16
wh3_dlc20_skill_path_to_glory_cost_modifier	21	17
wh3_dlc20_skill_path_to_glory_cost_modifier	22	18
wh3_dlc20_skill_path_to_glory_cost_modifier	23	19
wh3_dlc20_skill_path_to_glory_cost_modifier	24	20
wh3_dlc20_skill_path_to_glory_cost_modifier	25	21
wh3_dlc20_skill_path_to_glory_cost_modifier	26	22
wh3_dlc20_skill_path_to_glory_cost_modifier	27	23
wh3_dlc20_skill_path_to_glory_cost_modifier	28	24
wh3_dlc20_skill_path_to_glory_cost_modifier	29	25
wh3_dlc20_skill_path_to_glory_cost_modifier	30	26
wh3_dlc20_skill_path_to_glory_cost_modifier	31	27
wh3_dlc20_skill_path_to_glory_cost_modifier	32	28
