name	vo_actor_1	vo_actor_2	vo_actor_3	vo_actor_4	vo_actor_5	vo_actor_6	vo_actor_7	vo_actor_8	vo_actor_9	vo_actor_10	vo_actor_11	vo_actor_12	vo_actor_13	vo_actor_14	vo_actor_15	cooldown_overlap	container
wh2_dlc11_vo_actor_VampireCoast_Count_Noctuilus	wh2_dlc11_vo_actor_VampireCoast_Count_Noctuilus															0.0000	random
wh2_dlc11_vo_actor_VampireCoast_Cylostra_Direfin	wh2_dlc11_vo_actor_VampireCoast_Cylostra_Direfin															1.0000	random
wh2_dlc11_vo_actor_VampireCoast_Damned_Knight	wh2_dlc11_vo_actor_VampireCoast_Damned_Knight1	wh2_dlc11_vo_actor_VampireCoast_Damned_Knight2	wh2_dlc11_vo_actor_VampireCoast_Damned_Knight3	wh2_dlc11_vo_actor_VampireCoast_Damned_Knight4												1.0000	random
wh2_dlc11_vo_actor_VampireCoast_Damned_Paladin	wh2_dlc11_vo_actor_VampireCoast_Damned_Paladin2	wh2_dlc11_vo_actor_VampireCoast_Damned_Paladin1														1.0000	random
wh2_dlc11_vo_actor_VampireCoast_Depth_Guard	wh2_dlc11_vo_actor_VampireCoast_Depth_Guard1	wh2_dlc11_vo_actor_VampireCoast_Depth_Guard2	wh2_dlc11_vo_actor_VampireCoast_Depth_Guard3													0.0000	random
wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Female	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Female1	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Female2														0.0000	random
wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Male	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Male1	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Male2														0.0000	random
wh2_dlc11_vo_actor_VampireCoast_Fleet_Captain	wh2_dlc11_vo_actor_VampireCoast_Fleet_Captain1	wh2_dlc11_vo_actor_VampireCoast_Fleet_Captain2														0.0000	random
wh2_dlc11_vo_actor_VampireCoast_Gunnery_Wight	wh2_dlc11_vo_actor_VampireCoast_Gunnery_Wight1	wh2_dlc11_vo_actor_VampireCoast_Gunnery_Wight2														0.0000	random
wh2_dlc11_vo_actor_VampireCoast_Luthor_Harkon	wh2_dlc11_vo_actor_VampireCoast_Luthor_Harkon															0.0000	random
wh2_dlc11_vo_actor_VampireCoast_Mourngul_Haunter	wh2_dlc11_vo_actor_VampireCoast_Mourngul_Haunter															0.0000	random
wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob	wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob1	wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob2	wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob3	wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob4												0.0000	random
wh2_dlc12_vo_actor_Lizardmen_Lord_Kroak	wh2_dlc12_vo_actor_Lizardmen_Lord_Kroak															1.0000	random
wh2_dlc12_vo_actor_Lizardmen_Red_Crested_Skink_Chief	wh2_dlc12_vo_actor_Lizardmen_Red_Crested_Skink_Chief1	wh2_dlc12_vo_actor_Lizardmen_Red_Crested_Skink_Chief2														0.0000	random
wh2_dlc12_vo_actor_Lizardmen_Tehenhauin	wh2_dlc12_vo_actor_Lizardmen_Tehenhauin															0.0000	random
wh2_dlc12_vo_actor_Lizardmen_Tiktaqto	wh2_dlc12_vo_actor_Lizardmen_Tiktaqto															0.0000	random
wh2_dlc12_vo_actor_Skaven_Ikit_Claw	wh2_dlc12_vo_actor_Skaven_Ikit_Claw															0.0000	random
wh2_dlc12_vo_actor_Skaven_Vocalisation_Orders	wh2_dlc12_vo_actor_Skaven_Vocalisations_Only_Unit															0.0000	random
wh2_dlc12_vo_actor_Skaven_Warlock_Master	wh2_dlc12_vo_actor_Skaven_Warlock_Master1	wh2_dlc12_vo_actor_Skaven_Warlock_Master2														0.5000	random
wh2_dlc13_vo_actor_Ancient_Kroxigor	wh2_dlc13_vo_actor_Lizardmen_Ancient_Kroxigor															0.0000	random
wh2_dlc13_vo_actor_Dark_Elves_Malus_Darkblade	wh2_dlc13_vo_actor_Dark_Elves_Malus_Darkblade															0.0000	random
wh2_dlc13_vo_actor_Doctor_Hertwig_Van_Hal	wh2_dlc13_vo_actor_Doctor_Hertwig_Van_Hal															0.0000	random
wh2_dlc13_vo_actor_Empire_Huntsmarshal	wh2_dlc13_vo_actor_Empire_Huntsmarshal1	wh2_dlc13_vo_actor_Empire_Huntsmarshal2														0.0000	random
wh2_dlc13_vo_actor_Empire_Markus_Wulfhart	wh2_dlc13_vo_actor_Empire_Markus_Wulfhart															0.0000	random
wh2_dlc13_vo_actor_Jorek_Grimm	wh2_dlc13_vo_actor_Jorek_Grimm															0.0000	random
wh2_dlc13_vo_actor_Kalara_of_Wydrioth	wh2_dlc13_vo_actor_Kalara_of_Wydrioth															0.0000	random
wh2_dlc13_vo_actor_Lizardmen_Gor_Rok	wh2_dlc13_vo_actor_Lizardmen_Gor_Rok															0.0000	random
wh2_dlc13_vo_actor_Lizardmen_Nakai	wh2_dlc13_vo_actor_Lizardmen_Nakai															0.0000	random
wh2_dlc13_vo_actor_Rodrik_LAnguille	wh2_dlc13_vo_actor_Rodrik_LAnguille															0.0000	random
wh2_dlc14_vo_actor_Bretonnia_Henri_Le_Massif	wh2_dlc14_vo_actor_Bretonnia_Henri_Le_Massif															0.0000	random
wh2_dlc14_vo_actor_Bretonnia_Repanse_De_Lyonese	wh2_dlc14_vo_actor_Bretonnia_Repanse_De_Lyonese															0.0000	random
wh2_dlc14_vo_actor_Dark_Elf_Bloodwrack_Medusa	wh2_dlc14_vo_actor_Dark_Elf_Bloodwrack_Medusa_01	wh2_dlc14_vo_actor_Dark_Elf_Bloodwrack_Medusa_02														0.0000	random
wh2_dlc14_vo_actor_Dark_Elf_High_Beastmaster	wh2_dlc14_vo_actor_Dark_Elf_High_Beastmaster_01	wh2_dlc14_vo_actor_Dark_Elf_High_Beastmaster_02														0.0000	random
wh2_dlc14_vo_actor_Dark_Elf_Malus_Darkblade	wh2_dlc14_vo_actor_Dark_Elf_Malus_Darkblade															0.0000	random
wh2_dlc14_vo_actor_Dark_Elf_Master	wh2_dlc14_vo_actor_Dark_Elf_Master_01	wh2_dlc14_vo_actor_Dark_Elf_Master_02														0.0000	random
wh2_dlc14_vo_actor_Skaven_Eshin_Sorcerer	wh2_dlc14_vo_actor_Skaven_Eshin_Sorcerer_01	wh2_dlc14_vo_actor_Skaven_Eshin_Sorcerer_02														0.0000	random
wh2_dlc14_vo_actor_Skaven_Eshin_Triad	wh2_dlc14_vo_actor_Skaven_Eshin_Triad_01	wh2_dlc14_vo_actor_Skaven_Eshin_Triad_02	wh2_dlc14_vo_actor_Skaven_Eshin_Triad_03													0.0000	random
wh2_dlc14_vo_actor_Skaven_Master_Assassin	wh2_dlc14_vo_actor_Skaven_Master_Assassin_01	wh2_dlc14_vo_actor_Skaven_Master_Assassin_02														0.0000	random
wh2_dlc14_vo_actor_Skaven_Snikch	wh2_dlc14_vo_actor_Skaven_Snikch															0.0000	random
wh2_dlc14_vo_actor_Wild_TzArkan	wh2_dlc14_vo_actor_Wild_TzArkan															0.0000	random
wh2_dlc15_vo_actor_Goblin_Black_Tooth	wh2_dlc15_vo_actor_Goblin_Black_Tooth															0.0000	random
wh2_dlc15_vo_actor_Goblin_Grom	wh2_dlc15_vo_actor_Goblin_Grom															0.0000	random
wh2_dlc15_vo_actor_High_Elves_Arch_Mage	wh2_dlc15_vo_actor_High_Elves_Arch_Mage1	wh2_dlc15_vo_actor_High_Elves_Arch_Mage2														0.0000	random
wh2_dlc15_vo_actor_High_Elves_Eltharion	wh2_dlc15_vo_actor_High_Elves_Eltharion															0.0000	random
wh2_dlc15_vo_actor_High_Elves_Imrik	wh2_dlc15_vo_actor_High_Elves_Imrik															0.0000	random
wh2_dlc15_vo_actor_Orc_Black_Orc_BigBoss	wh2_dlc15_vo_actor_Orc_Black_Orc_BigBoss															0.0000	random
wh2_dlc15_vo_actor_Orc_Black_Orc_WarBoss	wh2_dlc15_vo_actor_Orc_Black_Orc_WarBoss															0.0000	random
wh2_dlc15_vo_actor_Snotling_Pumpwagon	wh2_dlc15_vo_actor_Snotling_Pumpwagon1	wh2_dlc15_vo_actor_Snotling_Pumpwagon2	wh2_dlc15_vo_actor_Snotling_Pumpwagon3	wh2_dlc15_vo_actor_Snotling_Pumpwagon4												0.0000	random
wh2_dlc15_vo_actor_Troll_River_Troll_Hag	wh2_dlc15_vo_actor_Troll_River_Troll_Hag1	wh2_dlc15_vo_actor_Troll_River_Troll_Hag2														0.0000	random
wh2_dlc16_vo_actor_Skaven_Chieftan	wh2_dlc16_vo_actor_Skaven_Chieftan1	wh2_dlc16_vo_actor_Skaven_Chieftan2														0.0000	random
wh2_dlc16_vo_actor_Skaven_Ghoritch	wh2_dlc16_vo_actor_Skaven_Ghoritch															0.0000	random
wh2_dlc16_vo_actor_Skaven_Packmaster	wh2_dlc16_vo_actor_Skaven_Packmaster1	wh2_dlc16_vo_actor_Skaven_Packmaster2														0.0000	random
wh2_dlc16_vo_actor_Skaven_Throt	wh2_dlc16_vo_actor_Skaven_Throt															0.0000	random
wh2_dlc16_vo_actor_Wood_Elves_Arahan	wh2_dlc16_vo_actor_Wood_Elves_Arahan															0.0000	random
wh2_dlc16_vo_actor_Wood_Elves_Ariel	wh2_dlc16_vo_actor_Wood_Elves_Ariel															0.0000	random
wh2_dlc16_vo_actor_Wood_Elves_Drycha	wh2_dlc16_vo_actor_Wood_Elves_Drycha															0.0000	random
wh2_dlc16_vo_actor_Wood_Elves_GladeCaptain	wh2_dlc16_vo_actor_Wood_Elves_GladeCaptain1	wh2_dlc16_vo_actor_Wood_Elves_GladeCaptain2														0.0000	random
wh2_dlc16_vo_actor_Wood_Elves_Great_Stag_Knights_ROR	wh2_dlc16_vo_actor_Wood_Elves_Great_Stag_Knights_ROR1	wh2_dlc16_vo_actor_Wood_Elves_Great_Stag_Knights_ROR2														0.0000	random
wh2_dlc16_vo_actor_Wood_Elves_Naestra	wh2_dlc16_vo_actor_Wood_Elves_Arahan															0.0000	random
wh2_dlc16_vo_actor_Wood_Elves_SistersOfTwilight	wh2_dlc16_vo_actor_Wood_Elves_SistersOfTwilight															0.0000	random
wh2_dlc16_vo_actor_Wood_Elves_SpellWeaver	wh2_dlc16_vo_actor_Wood_Elves_SpellWeaver1	wh2_dlc16_vo_actor_Wood_Elves_SpellWeaver2														0.0000	random
wh2_dlc17_vo_actor_Beastmen_Doombull	wh2_dlc17_vo_actor_Beastmen_Doombull1	wh2_dlc17_vo_actor_Beastmen_Doombull2														0.0000	random
wh2_dlc17_vo_actor_Beastmen_Taurox	wh2_dlc17_vo_actor_Beastmen_Taurox															0.0000	random
wh2_dlc17_vo_actor_Beastmen_Wargor	wh2_dlc17_vo_actor_Beastmen_Wargor1	wh2_dlc17_vo_actor_Beastmen_Wargor2														0.0000	random
wh2_dlc17_vo_actor_Dwarf_Thorek_Ironbrow	wh2_dlc17_vo_actor_Dwarf_Thorek_Ironbrow															0.0000	random
wh2_dlc17_vo_actor_Lizardmen_Chameleon_Stalker	wh2_dlc17_vo_actor_Lizardmen_Chameleon_Stalker1	wh2_dlc17_vo_actor_Lizardmen_Chameleon_Stalker2														0.0000	random
wh2_dlc17_vo_actor_Lizardmen_Oxyotl	wh2_dlc17_vo_actor_Lizardmen_Oxyotl															0.0000	random
wh2_dlc17_vo_actor_Lizardmen_Skink_Oracle	wh2_dlc17_vo_actor_Lizardmen_Skink_Oracle1	wh2_dlc17_vo_actor_Lizardmen_Skink_Oracle2														0.0000	random
wh2_main_vo_actor_Dark_Elves_Death_Hag	wh2_main_vo_actor_Dark_Elves_Death_Hag1	wh2_main_vo_actor_Dark_Elves_Death_Hag2														0.0000	random
wh2_main_vo_actor_Dark_Elves_Dreadlord	wh2_main_vo_actor_Dark_Elves_Dreadlord1	wh2_main_vo_actor_Dark_Elves_Dreadlord2														0.0000	random
wh2_main_vo_actor_Dark_Elves_DreadlordFemale	wh2_main_vo_actor_Dark_Elves_DreadlordFemale1	wh2_main_vo_actor_Dark_Elves_DreadlordFemale2														0.0000	random
wh2_main_vo_actor_Dark_Elves_Infantry	wh2_main_vo_actor_Dark_Elves_Inf1	wh2_main_vo_actor_Dark_Elves_Inf2	wh2_main_vo_actor_Dark_Elves_Inf3	wh2_main_vo_actor_Dark_Elves_Inf4												0.0000	random
wh2_main_vo_actor_Dark_Elves_Malekith	wh2_main_vo_actor_Dark_Elves_Malekith															0.0000	random
wh2_main_vo_actor_Dark_Elves_Morathi	wh2_main_vo_actor_Dark_Elves_Morathi															0.0000	random
wh2_main_vo_actor_Dark_Elves_Mounted	wh2_main_vo_actor_Dark_Elves_Mtd1	wh2_main_vo_actor_Dark_Elves_Mtd2	wh2_main_vo_actor_Dark_Elves_Mtd3	wh2_main_vo_actor_Dark_Elves_Mtd4												0.0000	random
wh2_main_vo_actor_Dark_Elves_Sisters_of_Slaughter	wh2_main_vo_actor_Dark_Elves_Sisters_of_Slaughter1	wh2_main_vo_actor_Dark_Elves_Sisters_of_Slaughter2	wh2_main_vo_actor_Dark_Elves_Sisters_of_Slaughter3													0.0000	random
wh2_main_vo_actor_Dark_Elves_Sorceress	wh2_main_vo_actor_Dark_Elves_Sorceress1	wh2_main_vo_actor_Dark_Elves_Sorceress2														0.0000	random
wh2_main_vo_actor_Dark_Elves_Witch_Elves_Inf	wh2_main_vo_actor_Dark_Elves_Witch_Elves_Inf1	wh2_main_vo_actor_Dark_Elves_Witch_Elves_Inf2	wh2_main_vo_actor_Dark_Elves_Witch_Elves_Inf3													0.0000	random
wh2_main_vo_actor_High_Elves_Infantry	wh2_main_vo_actor_High_Elves_Inf1	wh2_main_vo_actor_High_Elves_Inf2	wh2_main_vo_actor_High_Elves_Inf3	wh2_main_vo_actor_High_Elves_Inf4												0.0000	random
wh2_main_vo_actor_High_Elves_Loremasters_of_Hoeth	wh2_main_vo_actor_High_Elves_Loremasters_of_Hoeth1	wh2_main_vo_actor_High_Elves_Loremasters_of_Hoeth2														0.0000	random
wh2_main_vo_actor_High_Elves_Mage	wh2_main_vo_actor_High_Elves_Mage1	wh2_main_vo_actor_High_Elves_Mage2														0.0000	random
wh2_main_vo_actor_High_Elves_Mounted	wh2_main_vo_actor_High_Elves_Mtd1	wh2_main_vo_actor_High_Elves_Mtd2	wh2_main_vo_actor_High_Elves_Mtd3	wh2_main_vo_actor_High_Elves_Mtd4												0.0000	random
wh2_main_vo_actor_High_Elves_Noble	wh2_main_vo_actor_High_Elves_Noble1	wh2_main_vo_actor_High_Elves_Noble2														0.0000	random
wh2_main_vo_actor_High_Elves_Prince	wh2_main_vo_actor_High_Elves_Prince1	wh2_main_vo_actor_High_Elves_Prince2														0.0000	random
wh2_main_vo_actor_High_Elves_Princess	wh2_main_vo_actor_High_Elves_Princess1	wh2_main_vo_actor_High_Elves_Princess2														0.0000	random
wh2_main_vo_actor_High_Elves_Teclis	wh2_main_vo_actor_High_Elves_Teclis															0.0000	random
wh2_main_vo_actor_High_Elves_Tyrion	wh2_main_vo_actor_High_Elves_Tyrion															0.0000	random
wh2_main_vo_actor_Lizardmen_Chamelion_Skink_Chief	wh2_main_vo_actor_Lizardmen_Chamelion_Skink_Chief1	wh2_main_vo_actor_Lizardmen_Chamelion_Skink_Chief2														0.0000	random
wh2_main_vo_actor_Lizardmen_Kroq_Gar_Saurus	wh2_main_vo_actor_Lizardmen_Kroq_Gar_Saurus															0.0000	random
wh2_main_vo_actor_Lizardmen_Lord_Mazdamundi	wh2_main_vo_actor_Lizardmen_Lord_Mazdamundi															0.0000	random
wh2_main_vo_actor_Lizardmen_Saurus_Old_Blood_Lord	wh2_main_vo_actor_Lizardmen_Saurus_Old_Blood_Lord1	wh2_main_vo_actor_Lizardmen_Saurus_Old_Blood_Lord2														0.0000	random
wh2_main_vo_actor_Lizardmen_Saurus_Scar_Veteran	wh2_main_vo_actor_Lizardmen_Saurus_Scar_Veteran1	wh2_main_vo_actor_Lizardmen_Saurus_Scar_Veteran2														0.0000	random
wh2_main_vo_actor_Lizardmen_Saurus_Unit	wh2_main_vo_actor_Lizardmen_Saurus_Unit1	wh2_main_vo_actor_Lizardmen_Saurus_Unit2	wh2_main_vo_actor_Lizardmen_Saurus_Unit3	wh2_main_vo_actor_Lizardmen_Saurus_Unit4	wh2_main_vo_actor_Lizardmen_Saurus_Unit5	wh2_main_vo_actor_Lizardmen_Saurus_Unit6										0.0000	random
wh2_main_vo_actor_Lizardmen_Skink_Priest	wh2_main_vo_actor_Lizardmen_Skink_Priest1	wh2_main_vo_actor_Lizardmen_Skink_Priest2														0.0000	random
wh2_main_vo_actor_Lizardmen_Skink_Unit	wh2_main_vo_actor_Lizardmen_Skink_Unit1	wh2_main_vo_actor_Lizardmen_Skink_Unit2	wh2_main_vo_actor_Lizardmen_Skink_Unit3	wh2_main_vo_actor_Lizardmen_Skink_Unit4	wh2_main_vo_actor_Lizardmen_Skink_Unit5	wh2_main_vo_actor_Lizardmen_Skink_Unit6										0.0000	random
wh2_main_vo_actor_Lizardmen_Slann_Mage_Priest	wh2_main_vo_actor_Lizardmen_Slann_Mage_Priest1	wh2_main_vo_actor_Lizardmen_Slann_Mage_Priest2														0.0000	random
wh2_main_vo_actor_Skaven_Assassin	wh2_main_vo_actor_Skaven_Assassin1	wh2_main_vo_actor_Skaven_Assassin2														0.0000	random
wh2_main_vo_actor_Skaven_Grey_Seer	wh2_main_vo_actor_Skaven_Grey_Seer1	wh2_main_vo_actor_Skaven_Grey_Seer2														0.0000	random
wh2_main_vo_actor_Skaven_Lord_Skrolk	wh2_main_vo_actor_Skaven_Lord_Skrolk															0.0000	random
wh2_main_vo_actor_Skaven_Plague_Monk	wh2_main_vo_actor_Skaven_Plague_Monk1	wh2_main_vo_actor_Skaven_Plague_Monk2	wh2_main_vo_actor_Skaven_Plague_Monk3													0.0000	random
wh2_main_vo_actor_Skaven_Plague_Priest	wh2_main_vo_actor_Skaven_Plague_Priest1	wh2_main_vo_actor_Skaven_Plague_Priest2														0.0000	random
wh2_main_vo_actor_Skaven_Queek_Headtaker	wh2_main_vo_actor_Skaven_Queek_Headtaker															0.0000	random
wh2_main_vo_actor_Skaven_Unit	wh2_main_vo_actor_Skaven_Unit1	wh2_main_vo_actor_Skaven_Unit2	wh2_main_vo_actor_Skaven_Unit3	wh2_main_vo_actor_Skaven_Unit4	wh2_main_vo_actor_Skaven_Unit5											0.0000	random
wh2_main_vo_actor_Skaven_Warlock_Engineer	wh2_main_vo_actor_Skaven_Warlock_Engineer1	wh2_main_vo_actor_Skaven_Warlock_Engineer2														0.0000	random
wh2_main_vo_actor_Skaven_Warlord	wh2_main_vo_actor_Skaven_Warlord1	wh2_main_vo_actor_Skaven_Warlord2														0.0000	random
wh2_pro07_vo_actor_Empire_Amethyst_Wizard	wh2_pro07_vo_actor_Empire_Amethyst_Wizard															0.0000	random
wh2_pro08_vo_actor_neu_Felix	wh2_pro08_vo_actor_neu_Felix															0.0000	random
wh2_pro08_vo_actor_neu_Gotrek	wh2_pro08_vo_actor_neu_Gotrek															0.0000	random
wh2_twa03_vo_actor_Dark_Elf_Rakarth	wh2_twa03_vo_actor_Dark_Elf_Rakarth															0.0000	random
wh2_twa04_vo_actor_Beastmen_Great_Bray_Shaman	wh2_twa04_vo_actor_Beastmen_Great_Bray_Shaman1	wh2_twa04_vo_actor_Beastmen_Great_Bray_Shaman2														0.0000	random
wh2_twa05_vo_actor_OgreMercs	wh2_twa05_vo_actor_OgreMercs_Ogreunit1	wh2_twa05_vo_actor_OgreMercs_Ogreunit2	wh2_twa05_vo_actor_OgreMercs_Ogreunit3	wh2_twa05_vo_actor_OgreMercs_Ogreunit4	wh2_twa05_vo_actor_OgreMercs_Ogreunit5											0.0000	random
wh3_dlc20_vo_actor_Chaos_Marauder	wh3_dlc20_vo_actor_Chaos_Marauder1	wh3_dlc20_vo_actor_Chaos_Marauder2	wh3_dlc20_vo_actor_Chaos_Marauder3	wh3_dlc20_vo_actor_Chaos_Marauder4												0.0000	random
wh3_dlc20_vo_actor_Chaos_Warrior	wh3_dlc20_vo_actor_Chaos_Warrior1	wh3_dlc20_vo_actor_Chaos_Warrior2	wh3_dlc20_vo_actor_Chaos_Warrior3	wh3_dlc20_vo_actor_Chaos_Warrior6	wh3_dlc20_vo_actor_Chaos_Warrior7	wh3_dlc20_vo_actor_Chaos_Warrior8										0.0000	random
wh3_dlc20_vo_actor_DaemonPrince_Generic_Undivided	wh3_dlc20_vo_actor_DaemonPrince_Generic_Undivided															0.0000	random
wh3_dlc20_vo_actor_Khorne_Chaos_Lord_of_Khorne	wh3_dlc20_vo_actor_Khorne_Chaos_Lord_of_Khorne1	wh3_dlc20_vo_actor_Khorne_Chaos_Lord_of_Khorne2														0.0000	random
wh3_dlc20_vo_actor_Khorne_Exalted_Heroes_of_Khorne	wh3_dlc20_vo_actor_Khorne_Exalted_Hero_of_Khorne1	wh3_dlc20_vo_actor_Khorne_Exalted_Hero_of_Khorne2														0.0000	random
wh3_dlc20_vo_actor_Khorne_Valkia	wh3_dlc20_vo_actor_Khorne_Valkia															0.0000	random
wh3_dlc20_vo_actor_Nurgle_Exalted_Hero_of_Nurgle	wh3_dlc20_vo_actor_Nurgle_Exalted_Hero_of_Nurgle1	wh3_dlc20_vo_actor_Nurgle_Exalted_Hero_of_Nurgle2														0.0000	random
wh3_dlc20_vo_actor_Nurgle_Festus	wh3_dlc20_vo_actor_Nurgle_Festus															0.0000	random
wh3_dlc20_vo_actor_Nurgle_Sorcerer_Lord_of_Nurgle	wh3_dlc20_vo_actor_Nurgle_Sorcerer_Lord_of_Nurgle1	wh3_dlc20_vo_actor_Nurgle_Sorcerer_Lord_of_Nurgle2														0.0000	random
wh3_dlc20_vo_actor_Slaanesh_Azazel	wh3_dlc20_vo_actor_Slaanesh_Azazel															0.0000	random
wh3_dlc20_vo_actor_Slaanesh_Chaos_Lord_of_Slaanesh	wh3_dlc20_vo_actor_Slaanesh_Chaos_Lord_of_Slaanesh1	wh3_dlc20_vo_actor_Slaanesh_Chaos_Lord_of_Slaanesh2														0.0000	random
wh3_dlc20_vo_actor_Slaanesh_Sorcerer_of_Slaanesh	wh3_dlc20_vo_actor_Slaanesh_Sorcerer_of_Slaanesh1	wh3_dlc20_vo_actor_Slaanesh_Sorcerer_of_Slaanesh2														0.0000	random
wh3_dlc20_vo_actor_Tzeentch_Arzik	wh3_main_vo_actor_Tzeentch_Exalted_Lord_Of_Change2															0.0000	random
wh3_dlc20_vo_actor_Tzeentch_Sarthoreal	wh3_main_vo_actor_Tzeentch_Exalted_Lord_Of_Change1															0.0000	random
wh3_dlc20_vo_actor_Tzeentch_Sorcerer_Lord_of_Tzeentch	wh3_dlc20_vo_actor_Tzeentch_Sorcerer_Lord_of_Tzeentch1	wh3_dlc20_vo_actor_Tzeentch_Sorcerer_Lord_of_Tzeentch2														0.0000	random
wh3_dlc20_vo_actor_Tzeentch_Sorcerer_of_Tzeentch	wh3_dlc20_vo_actor_Tzeentch_Sorcerer_of_Tzeentch1	wh3_dlc20_vo_actor_Tzeentch_Sorcerer_of_Tzeentch2														0.0000	random
wh3_dlc20_vo_actor_Tzeentch_Vilitch	wh3_dlc20_vo_actor_Tzeentch_Vilitch															0.0000	random
