battle_personality	land_unit	attach	riders_attachment_point	engine_articulation_index	jettison_rider
wh2_dlc09_tmb_chariot_rider_1_archer	wh2_dlc09_tmb_veh_skeleton_archer_chariot_0	autonomous_rider	ap_crewposition_1	-1	true
wh2_dlc09_tmb_chariot_rider_0	wh2_dlc09_tmb_veh_skeleton_chariot_0	autonomous_rider	ap_crewposition_0	-1	true
wh2_dlc09_tmb_chariot_rider_1	wh2_dlc09_tmb_veh_skeleton_chariot_0	autonomous_rider	ap_crewposition_1	-1	true
wh2_dlc10_def_veh_cauldron_of_blood_crone	wh2_dlc10_def_cha_crone_4	autonomous_rider	ap_crewposition_0	-1	true
wh2_main_def_veh_cauldron_of_blood_rider_0	wh2_dlc10_def_cha_crone_4	autonomous_rider	ap_crewposition_1	-1	true
wh2_main_def_veh_cauldron_of_blood_rider_1	wh2_dlc10_def_cha_crone_4	autonomous_rider	ap_crewposition_2	-1	true
wh2_dlc10_def_cha_crone_manticore_rider1	wh2_dlc10_def_cha_crone_5	autonomous_rider		-1	true
wh2_dlc10_def_cha_supreme_sorceress_beasts_manticore_rider1	wh2_dlc10_def_cha_supreme_sorceress_beasts_4	autonomous_rider		-1	true
wh2_dlc10_def_cha_supreme_sorceress_beasts_dragon_rider1	wh2_dlc10_def_cha_supreme_sorceress_beasts_5	autonomous_rider	ap_riderposition_0	-1	true
wh2_dlc10_def_cha_supreme_sorceress_dark_manticore_rider1	wh2_dlc10_def_cha_supreme_sorceress_dark_4	autonomous_rider		-1	true
wh2_dlc10_def_cha_supreme_sorceress_dark_dragon_rider1	wh2_dlc10_def_cha_supreme_sorceress_dark_5	autonomous_rider	ap_riderposition_0	-1	true
wh2_dlc10_def_cha_supreme_sorceress_death_manticore_rider1	wh2_dlc10_def_cha_supreme_sorceress_death_4	autonomous_rider		-1	true
wh2_dlc10_def_cha_supreme_sorceress_death_dragon_rider1	wh2_dlc10_def_cha_supreme_sorceress_death_5	autonomous_rider	ap_riderposition_0	-1	true
wh2_dlc10_def_cha_supreme_sorceress_fire_manticore_rider1	wh2_dlc10_def_cha_supreme_sorceress_fire_4	autonomous_rider		-1	true
wh2_dlc10_def_cha_supreme_sorceress_fire_dragon_rider1	wh2_dlc10_def_cha_supreme_sorceress_fire_5	autonomous_rider	ap_riderposition_0	-1	true
wh2_dlc10_def_cha_supreme_sorceress_fire_manticore_rider1	wh2_dlc10_def_cha_supreme_sorceress_shadow_4	autonomous_rider		-1	true
wh2_dlc10_def_cha_supreme_sorceress_fire_dragon_rider1	wh2_dlc10_def_cha_supreme_sorceress_shadow_5	autonomous_rider	ap_riderposition_0	-1	true
wh2_dlc10_hef_alarielle_the_radiant_eagle_rider1	wh2_dlc10_hef_cha_alarielle_the_radiant_3	autonomous_rider		-1	true
wh2_dlc10_hef_chariot_mage_heavens	wh2_dlc10_hef_cha_mage_heavens_2	autonomous_rider	ap_crewposition_1	-1	true
wh2_main_hef_ithilmar_chariot_charioteer	wh2_dlc10_hef_cha_mage_heavens_2	autonomous_rider	ap_crewposition_0	-1	true
wh2_dlc10_hef_chariot_mage_shadows	wh2_dlc10_hef_cha_mage_shadows_2	autonomous_rider	ap_crewposition_1	-1	true
wh2_main_hef_ithilmar_chariot_charioteer	wh2_dlc10_hef_cha_mage_shadows_2	autonomous_rider	ap_crewposition_0	-1	true
wh2_dlc11_cst_cha_aranessa_1	wh2_dlc11_cst_cha_aranessa_1	autonomous_rider	ap_promethean_rider_0	-1	true
wh2_dlc11_cst_leviathan_cylostra_rider0	wh2_dlc11_cst_cha_cylostra_direfin_1	autonomous_rider	ap_leviathan_rider_5	-1	true
wh2_dlc11_cst_cha_gunnery_wight_1	wh2_dlc11_cst_cha_gunnery_wight_1	autonomous_rider	ap_promethean_rider_0	-1	true
wh2_dlc11_cst_cha_luthor_harkon_1	wh2_dlc11_cst_cha_luthor_harkon_1	autonomous_rider	ap_riderposition_0	-1	true
wh2_dlc11_cst_cha_vampire_fleet_admiral_1	wh2_dlc11_cst_cha_vampire_fleet_admiral_1	autonomous_rider	ap_promethean_rider_0	-1	true
wh2_dlc11_cst_cha_vampire_fleet_admiral_death_1	wh2_dlc11_cst_cha_vampire_fleet_admiral_death_1	autonomous_rider	ap_promethean_rider_0	-1	true
wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_1	wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_1	autonomous_rider	ap_promethean_rider_0	-1	true
wh2_dlc11_cst_cha_vampire_fleet_admiral_female_1	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_1	autonomous_rider	ap_promethean_rider_0	-1	true
wh2_dlc11_cst_cha_vampire_fleet_admiral_female_death_1	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_death_1	autonomous_rider	ap_promethean_rider_0	-1	true
wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_1	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_1	autonomous_rider	ap_promethean_rider_0	-1	true
wh2_cst_vampire_fleet_captain_promethean	wh2_dlc11_cst_cha_vampire_fleet_captain_1	autonomous_rider	ap_promethean_rider_0	-1	true
wh2_cst_vampire_fleet_captain_promethean	wh2_dlc11_cst_cha_vampire_fleet_captain_death_1	autonomous_rider	ap_promethean_rider_0	-1	true
wh2_cst_vampire_fleet_captain_promethean	wh2_dlc11_cst_cha_vampire_fleet_captain_deeps_1	autonomous_rider	ap_promethean_rider_0	-1	true
wh2_dlc11_cst_leviathan_noctilus_rider0	wh2_dlc11_cst_inf_count_noctilus_1	autonomous_rider	ap_rider_0	-1	true
wh2_dlc11_cst_necrofex_colossus_rider0	wh2_dlc11_cst_mon_necrofex_colossus_0	autonomous_rider	ap_rider_0	-1	true
wh2_dlc11_cst_necrofex_colossus_rider1	wh2_dlc11_cst_mon_necrofex_colossus_0	autonomous_rider	ap_rider_1	-1	true
wh2_dlc11_cst_necrofex_colossus_rider2	wh2_dlc11_cst_mon_necrofex_colossus_0	autonomous_rider	ap_rider_2	-1	true
wh2_dlc11_cst_necrofex_colossus_rider3	wh2_dlc11_cst_mon_necrofex_colossus_0	autonomous_rider	ap_rider_3	-1	true
wh2_dlc11_cst_necrofex_colossus_rider4	wh2_dlc11_cst_mon_necrofex_colossus_0	autonomous_rider	ap_rider_4	-1	true
wh2_dlc11_cst_necrofex_colossus_rider0	wh2_dlc11_cst_mon_necrofex_colossus_ror_0	autonomous_rider	ap_rider_0	-1	true
wh2_dlc11_cst_necrofex_colossus_rider1	wh2_dlc11_cst_mon_necrofex_colossus_ror_0	autonomous_rider	ap_rider_1	-1	true
wh2_dlc11_cst_necrofex_colossus_rider2	wh2_dlc11_cst_mon_necrofex_colossus_ror_0	autonomous_rider	ap_rider_2	-1	true
wh2_dlc11_cst_necrofex_colossus_rider3	wh2_dlc11_cst_mon_necrofex_colossus_ror_0	autonomous_rider	ap_rider_3	-1	true
wh2_dlc11_cst_necrofex_colossus_rider4	wh2_dlc11_cst_mon_necrofex_colossus_ror_0	autonomous_rider	ap_rider_4	-1	true
wh2_dlc11_cst_mon_rotting_leviathan_rider_0	wh2_dlc11_cst_mon_rotting_leviathan_0	autonomous_rider	ap_leviathan_rider_0	-1	true
wh2_dlc11_cst_mon_rotting_leviathan_rider_1	wh2_dlc11_cst_mon_rotting_leviathan_0	autonomous_rider	ap_leviathan_rider_1	-1	true
wh2_dlc11_cst_mon_rotting_leviathan_rider_2	wh2_dlc11_cst_mon_rotting_leviathan_0	autonomous_rider	ap_leviathan_rider_2	-1	true
wh2_dlc11_cst_mon_rotting_leviathan_rider_3	wh2_dlc11_cst_mon_rotting_leviathan_0	autonomous_rider	ap_leviathan_rider_3	-1	true
wh2_dlc11_cst_mon_rotting_leviathan_rider_4	wh2_dlc11_cst_mon_rotting_leviathan_0	autonomous_rider	ap_leviathan_rider_4	-1	true
wh2_dlc11_cst_mon_rotting_promethean_rider_0	wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_0	autonomous_rider	ap_promethean_rider_0	-1	true
wh2_dlc11_cst_mon_rotting_promethean_rider_1	wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_0	autonomous_rider	ap_promethean_rider_1	-1	true
wh2_dlc11_cst_mon_rotting_promethean_rider_0	wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_ror	autonomous_rider	ap_promethean_rider_0	-1	true
wh2_dlc11_cst_mon_rotting_promethean_rider_1	wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_ror	autonomous_rider	ap_promethean_rider_1	-1	true
wh2_dlc11_def_black_dragon_lokhir	wh2_dlc11_def_cha_lokhir_fellheart_1	autonomous_rider	ap_riderposition_0	-1	true
wh_main_vmp_cha_vampire_lord_3	wh2_dlc11_vmp_cha_bloodline_blood_dragon_lord_3	autonomous_rider	ap_riderposition_0	-1	true
wh2_dlc11_vmp_cha_bloodline_lahmian_lord_3	wh2_dlc11_vmp_cha_bloodline_lahmian_lord_3	autonomous_rider	ap_riderposition_0	-1	true
wh_main_vmp_cha_vampire_lord_3	wh2_dlc11_vmp_cha_bloodline_necrarch_lord_3	autonomous_rider	ap_riderposition_0	-1	true
wh_dlc04_vmp_cha_strigoi_ghoul_king_1	wh2_dlc11_vmp_cha_bloodline_strigoi_lord_1	autonomous_rider	ap_riderposition_0	-1	true
wh_main_vmp_cha_vampire_lord_3	wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_3	autonomous_rider	ap_riderposition_0	-1	true
wh2_dlc12_lzd_mon_stegadon_rider_red_crested_skink_chief_0	wh2_dlc12_lzd_cha_skink_chief_red_crested_3	autonomous_rider	ap_platform_rider_0	-1	true
wh2_main_lzd_mon_ancient_stegadon_rider_0	wh2_dlc12_lzd_cha_skink_chief_red_crested_3	autonomous_rider	ap_platform_rider_5	-1	true
wh2_main_lzd_mon_ancient_stegadon_rider_1	wh2_dlc12_lzd_cha_skink_chief_red_crested_3	autonomous_rider	ap_platform_rider_6	-1	true
wh2_main_lzd_mon_stegadon_rider_1	wh2_dlc12_lzd_cha_skink_chief_red_crested_3	autonomous_rider	ap_platform_rider_1	-1	true
wh2_main_lzd_mon_stegadon_rider_2	wh2_dlc12_lzd_cha_skink_chief_red_crested_3	autonomous_rider	ap_platform_rider_2	-1	true
wh2_dlc12_lzd_mon_ancient_stegadon_rider_0	wh2_dlc12_lzd_cha_skink_priest_beasts_4	autonomous_rider	ap_platform_rider_3	-1	true
wh2_dlc12_lzd_mon_ancient_stegadon_rider_1	wh2_dlc12_lzd_cha_skink_priest_beasts_4	autonomous_rider	ap_platform_rider_4	-1	true
wh2_dlc12_lzd_mon_stegadon_engine_rider_0	wh2_dlc12_lzd_cha_skink_priest_beasts_4	autonomous_rider	ap_platform_rider_7	-1	true
wh2_dlc12_lzd_mon_stegadon_engine_rider_1	wh2_dlc12_lzd_cha_skink_priest_beasts_4	autonomous_rider	ap_platform_rider_8	-1	true
wh2_main_lzd_mon_stegadon_engine_rider_skink_priest_0	wh2_dlc12_lzd_cha_skink_priest_beasts_4	autonomous_rider	ap_platform_rider_engine	-1	true
wh2_dlc12_lzd_mon_ancient_stegadon_rider_0	wh2_dlc12_lzd_cha_skink_priest_heavens_4	autonomous_rider	ap_platform_rider_3	-1	true
wh2_dlc12_lzd_mon_ancient_stegadon_rider_1	wh2_dlc12_lzd_cha_skink_priest_heavens_4	autonomous_rider	ap_platform_rider_4	-1	true
wh2_dlc12_lzd_mon_stegadon_engine_rider_0	wh2_dlc12_lzd_cha_skink_priest_heavens_4	autonomous_rider	ap_platform_rider_7	-1	true
wh2_dlc12_lzd_mon_stegadon_engine_rider_1	wh2_dlc12_lzd_cha_skink_priest_heavens_4	autonomous_rider	ap_platform_rider_8	-1	true
wh2_main_lzd_mon_stegadon_engine_rider_skink_priest_0	wh2_dlc12_lzd_cha_skink_priest_heavens_4	autonomous_rider	ap_platform_rider_engine	-1	true
wh2_dlc12_lzd_mon_ancient_stegadon_rider_0	wh2_dlc12_lzd_cha_tehenhauin_3	autonomous_rider	ap_platform_rider_3	-1	true
wh2_dlc12_lzd_mon_ancient_stegadon_rider_1	wh2_dlc12_lzd_cha_tehenhauin_3	autonomous_rider	ap_platform_rider_4	-1	true
wh2_dlc12_lzd_mon_ancient_stegadon_rider_tehenhauin_0	wh2_dlc12_lzd_cha_tehenhauin_3	autonomous_rider	ap_platform_rider_engine	-1	true
wh2_dlc12_lzd_mon_stegadon_engine_rider_0	wh2_dlc12_lzd_cha_tehenhauin_3	autonomous_rider	ap_platform_rider_7	-1	true
wh2_dlc12_lzd_mon_stegadon_engine_rider_1	wh2_dlc12_lzd_cha_tehenhauin_3	autonomous_rider	ap_platform_rider_8	-1	true
wh2_dlc12_lzd_lord_kroak_0	wh2_dlc12_lzd_lzd_cha_kroak_0_boss	autonomous_rider	ap_platform_rider_0	-1	true
wh2_dlc12_lzd_lord_kroak_0	wh2_dlc12_lzd_lzd_cha_kroak_0	autonomous_rider	ap_platform_rider_0	-1	true
wh2_dlc12_lzd_mon_ancient_stegadon_rider_0	wh2_dlc12_lzd_mon_ancient_stegadon_1	autonomous_rider	ap_platform_rider_3	-1	true
wh2_dlc12_lzd_mon_ancient_stegadon_rider_1	wh2_dlc12_lzd_mon_ancient_stegadon_1	autonomous_rider	ap_platform_rider_4	-1	true
wh2_dlc12_lzd_mon_stegadon_engine_rider_0	wh2_dlc12_lzd_mon_ancient_stegadon_1	autonomous_rider	ap_platform_rider_7	-1	true
wh2_dlc12_lzd_mon_stegadon_engine_rider_1	wh2_dlc12_lzd_mon_ancient_stegadon_1	autonomous_rider	ap_platform_rider_8	-1	true
wh2_dlc12_lzd_mon_stegadon_engine_rider_2	wh2_dlc12_lzd_mon_ancient_stegadon_1	autonomous_rider	ap_platform_rider_engine	-1	true
wh2_main_lzd_mon_ancient_stegadon_rider_0	wh2_dlc12_lzd_mon_ancient_stegadon_ror_0	autonomous_rider	ap_platform_rider_5	-1	true
wh2_main_lzd_mon_ancient_stegadon_rider_1	wh2_dlc12_lzd_mon_ancient_stegadon_ror_0	autonomous_rider	ap_platform_rider_6	-1	true
wh2_main_lzd_mon_stegadon_rider_0	wh2_dlc12_lzd_mon_ancient_stegadon_ror_0	autonomous_rider	ap_platform_rider_0	-1	true
wh2_main_lzd_mon_stegadon_rider_1	wh2_dlc12_lzd_mon_ancient_stegadon_ror_0	autonomous_rider	ap_platform_rider_1	-1	true
wh2_main_lzd_mon_stegadon_rider_2	wh2_dlc12_lzd_mon_ancient_stegadon_ror_0	autonomous_rider	ap_platform_rider_2	-1	true
wh2_main_lzd_mon_bastiladon_1_rider_0	wh2_dlc12_lzd_mon_bastiladon_3	autonomous_rider	ap_bastiladon_rider_0	-1	true
wh2_main_lzd_mon_bastiladon_1_rider_1	wh2_dlc12_lzd_mon_bastiladon_3	autonomous_rider	ap_bastiladon_rider_1	-1	true
wh2_main_lzd_mon_bastiladon_1_rider_2	wh2_dlc12_lzd_mon_bastiladon_3	autonomous_rider	ap_bastiladon_rider_2	-1	true
wh2_main_lzd_mon_bastiladon_1_rider_3	wh2_dlc12_lzd_mon_bastiladon_3	autonomous_rider	ap_bastiladon_rider_3	-1	true
wh2_dlc12_skv_veh_doom_flayer_ikit_claw_0	wh2_dlc12_skv_cha_ikit_claw_1	autonomous_rider	ap_riderpos_01	-1	true
wh2_dlc12_skv_veh_doomwheel_crew_ikit_0	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_crewposition_1	-1	true
wh2_dlc12_skv_veh_doomwheel_ikit_claw_0	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_crewposition_0	-1	true
wh2_dlc12_skv_veh_doomwheel_warp_lightning_ikit_0	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_weapon_front	-1	true
wh2_dlc12_skv_veh_doomwheel_warp_lightning_ikit_1	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_weapon_left	-1	true
wh2_dlc12_skv_veh_doomwheel_warp_lightning_ikit_2	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_weapon_right	-1	true
wh2_main_skv_veh_doomwheel_rat1	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_0	-1	true
wh2_main_skv_veh_doomwheel_rat10	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_9	-1	true
wh2_main_skv_veh_doomwheel_rat11	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_10	-1	true
wh2_main_skv_veh_doomwheel_rat12	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_11	-1	true
wh2_main_skv_veh_doomwheel_rat13	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_12	-1	true
wh2_main_skv_veh_doomwheel_rat14	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_13	-1	true
wh2_main_skv_veh_doomwheel_rat15	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_14	-1	true
wh2_main_skv_veh_doomwheel_rat16	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_15	-1	true
wh2_main_skv_veh_doomwheel_rat17	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_16	-1	true
wh2_main_skv_veh_doomwheel_rat18	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_17	-1	true
wh2_main_skv_veh_doomwheel_rat19	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_18	-1	true
wh2_main_skv_veh_doomwheel_rat2	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_1	-1	true
wh2_main_skv_veh_doomwheel_rat20	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_19	-1	true
wh2_main_skv_veh_doomwheel_rat3	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_2	-1	true
wh2_main_skv_veh_doomwheel_rat4	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_3	-1	true
wh2_main_skv_veh_doomwheel_rat5	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_4	-1	true
wh2_main_skv_veh_doomwheel_rat6	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_5	-1	true
wh2_main_skv_veh_doomwheel_rat7	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_6	-1	true
wh2_main_skv_veh_doomwheel_rat8	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_7	-1	true
wh2_main_skv_veh_doomwheel_rat9	wh2_dlc12_skv_cha_ikit_claw_2	autonomous_rider	ap_rat_8	-1	true
wh2_dlc12_skv_veh_doom_flayer_warlock_master_0	wh2_dlc12_skv_cha_warlock_master_1	autonomous_rider	ap_riderpos_01	-1	true
wh2_dlc12_skv_veh_doomwheel_warlock_master_0	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_crewposition_0	-1	true
wh2_main_skv_veh_doomwheel_crew_0	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_crewposition_1	-1	true
wh2_main_skv_veh_doomwheel_rat1	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_0	-1	true
wh2_main_skv_veh_doomwheel_rat10	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_9	-1	true
wh2_main_skv_veh_doomwheel_rat11	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_10	-1	true
wh2_main_skv_veh_doomwheel_rat12	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_11	-1	true
wh2_main_skv_veh_doomwheel_rat13	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_12	-1	true
wh2_main_skv_veh_doomwheel_rat14	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_13	-1	true
wh2_main_skv_veh_doomwheel_rat15	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_14	-1	true
wh2_main_skv_veh_doomwheel_rat16	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_15	-1	true
wh2_main_skv_veh_doomwheel_rat17	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_16	-1	true
wh2_main_skv_veh_doomwheel_rat18	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_17	-1	true
wh2_main_skv_veh_doomwheel_rat19	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_18	-1	true
wh2_main_skv_veh_doomwheel_rat2	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_1	-1	true
wh2_main_skv_veh_doomwheel_rat20	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_19	-1	true
wh2_main_skv_veh_doomwheel_rat3	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_2	-1	true
wh2_main_skv_veh_doomwheel_rat4	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_3	-1	true
wh2_main_skv_veh_doomwheel_rat5	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_4	-1	true
wh2_main_skv_veh_doomwheel_rat6	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_5	-1	true
wh2_main_skv_veh_doomwheel_rat7	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_6	-1	true
wh2_main_skv_veh_doomwheel_rat8	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_7	-1	true
wh2_main_skv_veh_doomwheel_rat9	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_rat_8	-1	true
wh2_main_skv_veh_doomwheel_warp_lightning_0	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_weapon_front	-1	true
wh2_main_skv_veh_doomwheel_warp_lightning_1	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_weapon_left	-1	true
wh2_main_skv_veh_doomwheel_warp_lightning_2	wh2_dlc12_skv_cha_warlock_master_2	autonomous_rider	ap_weapon_right	-1	true
wh2_dlc12_skv_veh_doom_flayer_driver_0	wh2_dlc12_skv_veh_doom_flayer_0	autonomous_rider	ap_riderpos_01	-1	true
wh2_dlc12_skv_veh_doom_flayer_driver_0_ror	wh2_dlc12_skv_veh_doom_flayer_ror_0	autonomous_rider	ap_riderpos_01	-1	true
wh2_dlc12_skv_veh_doom_flayer_driver_0_ror_tech_lab	wh2_dlc12_skv_veh_doom_flayer_ror_tech_lab_0	autonomous_rider	ap_riderpos_01	-1	true
wh2_dlc12_skv_veh_doomwheel_warp_lightning_ror_0	wh2_dlc12_skv_veh_doomwheel_ror_0	autonomous_rider	ap_weapon_front	-1	true
wh2_dlc12_skv_veh_doomwheel_warp_lightning_ror_1	wh2_dlc12_skv_veh_doomwheel_ror_0	autonomous_rider	ap_weapon_left	-1	true
wh2_dlc12_skv_veh_doomwheel_warp_lightning_ror_2	wh2_dlc12_skv_veh_doomwheel_ror_0	autonomous_rider	ap_weapon_right	-1	true
wh2_main_skv_veh_doomwheel_crew_0_ror	wh2_dlc12_skv_veh_doomwheel_ror_0	autonomous_rider	ap_crewposition_1	-1	true
wh2_main_skv_veh_doomwheel_driver_0_ror	wh2_dlc12_skv_veh_doomwheel_ror_0	autonomous_rider	ap_crewposition_0	-1	true
wh2_main_skv_veh_doomwheel_rat1	wh2_dlc12_skv_veh_doomwheel_ror_0	autonomous_rider	ap_rat_0	-1	true
