army_special_ability	unit_special_ability	unique_id	enables_siege_assault
wh2_main_army_abilities_khaines_flail	wh2_main_army_abilities_khaines_flail	53	false
wh2_main_army_abilities_khaines_lash	wh2_main_army_abilities_khaines_lash	30	false
wh2_main_army_abilities_khaines_scourge	wh2_main_army_abilities_khaines_scourge	64	false
wh2_main_army_abilities_lure_of_the_pale_queen	wh2_main_army_abilities_lure_of_the_pale_queen	411757914	false
wh2_main_army_abilities_mors_clanstone	wh2_main_army_abilities_mors_clanstone	817573956	false
wh2_main_army_abilities_moulder_clanstone	wh2_main_army_abilities_moulder_clanstone	1346584156	false
wh2_main_army_abilities_pestilens_clanstone	wh2_main_army_abilities_pestilens_clanstone	488546543	false
wh2_main_army_abilities_shadows_of_anlec	wh2_main_army_abilities_shadows_of_anlec	29071372	false
wh2_main_army_abilities_skaven_bomb	wh2_main_army_abilities_vortic_blast	2066870953	false
wh2_main_army_abilities_skryre_clanstone	wh2_main_army_abilities_skryre_clanstone	1671267645	false
wh2_main_army_abilities_sky_cauldron	wh2_main_army_abilities_sky_cauldron	46	false
wh2_main_army_abilities_soul_rain	wh2_main_army_abilities_soul_rain	36	false
wh2_main_army_abilities_soul_storm	wh2_main_army_abilities_soul_storm	71	false
wh2_main_army_abilities_soul_torrent	wh2_main_army_abilities_soul_torrent	55	false
wh2_main_army_abilities_stegadon_qb_scripted	wh2_main_army_abilities_stegadon_qb_scripted	779143048	false
wh2_main_army_abilities_temple_of_mists	wh2_main_army_abilities_temple_of_mists	1555958348	false
wh2_main_army_abilities_the_menace_below	wh2_main_army_abilities_the_menace_below	749510796	false
wh2_main_army_abilities_vauls_hammer	wh2_main_army_abilities_vauls_hammer	1341892182	true
wh2_main_army_abilities_warpbomb	wh2_main_army_abilities_warpbomb	11739743	false
wh3_dlc20_cataclysm_bound_ashes_and_dust	wh3_dlc20_cataclysm_bound_ashes_and_dust	1104351478	false
wh3_dlc20_cataclysm_bound_dance_of_despair	wh3_dlc20_cataclysm_bound_dance_of_despair	1749449781	false
wh3_dlc20_cataclysm_bound_gehennas_golden_globe	wh3_dlc20_cataclysm_bound_gehennas_golden_globe	854628613	false
wh3_dlc20_cataclysm_bound_magma_storm	wh3_dlc20_cataclysm_bound_magma_storm	936139148	false
wh3_dlc20_cataclysm_bound_merciws_monstrous_regiment	wh3_dlc20_cataclysm_bound_merciws_monstrous_regiment	944813022	false
wh3_dlc20_cataclysm_bound_storm_of_renewal	wh3_dlc20_cataclysm_bound_storm_of_renewal	1504691159	false
wh3_dlc20_cataclysm_bound_thorsens_thunderstorm	wh3_dlc20_cataclysm_bound_thorsens_thunderstorm	484251252	false
wh3_dlc20_cataclysm_bound_time_amok	wh3_dlc20_cataclysm_bound_time_amok	1996644795	false
wh3_dlc23_army_abilities_armour_of_contempt	wh3_dlc23_army_abilities_armour_of_contempt	72349898	false
wh3_dlc23_army_abilities_blood_and_fireborn	wh3_dlc23_lord_abilities_blood_and_fireborn	502674977	false
wh3_dlc23_army_abilities_doom_of_hashut	wh3_dlc23_army_abilities_doom_of_hashut	2026361851	false
wh3_dlc23_army_abilities_guns_of_zharr	wh3_dlc23_army_abilities_guns_of_zharr	582469304	false
wh3_dlc23_army_abilities_tower_ballistics	wh3_dlc23_army_abilities_tower_ballistics	1040606148	false
wh3_dlc23_army_abilities_tower_ballistics_upgraded_toz	wh3_dlc23_army_abilities_tower_ballistics_upgraded_toz	1288440574	false
wh3_dlc23_army_abilities_wrath_of_zharr	wh3_dlc23_army_abilities_wrath_of_zharr	1083141448	false
wh3_dlc24_tze_changeling_theatre_scheme_grand_cathay_doom_rocket	wh3_dlc24_tze_changeling_theatre_scheme_grand_cathay_doom_rocket	1319606815	false
wh3_dlc25_army_abilities_bjuna_bombard	wh3_dlc25_army_abilities_bjuna_bombard	854070345	false
wh3_dlc25_army_abilities_call_of_the_wild	wh3_dlc25_army_abilities_call_of_the_wild	1833983385	false
wh3_dlc25_army_abilities_gyrocopter_bomb	wh3_dlc25_army_abilities_gyrocopter_bomb	2117795338	false
wh3_dlc25_army_abilities_launch_gyrocopters	wh3_dlc25_army_abilities_launch_gyrocopters	104165648	false
wh3_dlc25_army_abilities_pandemicium	wh3_dlc25_army_abilities_pandemicium	271735378	false
wh3_dlc25_army_abilities_purple_eclipse	wh3_dlc25_army_abilities_purple_eclipse	1854995923	false
wh3_dlc25_army_abilities_spirit_barrage	wh3_dlc25_army_abilities_spirit_barrage	1372930277	false
wh3_dlc25_army_abilities_spirit_of_grungni	wh3_dlc25_army_abilities_spirit_of_grungni	68352042	false
wh3_dlc25_army_abilities_summon_miners	wh3_dlc25_army_abilities_summon_miners	1997545158	false
wh3_dlc25_cataclysm_beasts_merciws_monstrous_regiment_com	wh3_dlc25_cataclysm_beasts_merciws_monstrous_regiment_com	1419337879	false
wh3_dlc25_cataclysm_death_ashes_and_dust_com	wh3_dlc25_cataclysm_death_ashes_and_dust_com	388566245	false
wh3_dlc25_cataclysm_fire_magma_storm_com	wh3_dlc25_cataclysm_fire_magma_storm_com	656974965	false
wh3_dlc25_cataclysm_heavens_thorsens_thunderstorm_com	wh3_dlc25_cataclysm_heavens_thorsens_thunderstorm_com	32641518	false
wh3_dlc25_cataclysm_life_storm_of_renewal_com	wh3_dlc25_cataclysm_life_storm_of_renewal_com	586758317	false
wh3_dlc25_cataclysm_light_time_amok_com	wh3_dlc25_cataclysm_light_time_amok_com	1783511433	false
wh3_dlc25_cataclysm_metal_gehennas_golden_globe_com	wh3_dlc25_cataclysm_metal_gehennas_golden_globe_com	1248737494	false
wh3_dlc25_cataclysm_shadow_dance_of_despair_com	wh3_dlc25_cataclysm_shadow_dance_of_despair_com	539930595	false
wh3_main_ambush_unready	wh3_main_ambush_unready	680399126	false
wh3_main_army_abilities_ancestral_warriors	wh3_main_army_abilities_ancestral_warriors	113687485	false
wh3_main_army_abilities_arcane_surge	wh3_main_army_abilities_arcane_surge	1828044813	false
wh3_main_army_abilities_blade_of_khorne	wh3_main_army_abilities_blade_of_khorne	1792205377	false
wh3_main_army_abilities_bolt_of_change	wh3_main_army_abilities_bolt_of_change	42216034	false
wh3_main_army_abilities_celestial_intervention	wh3_main_army_abilities_celestial_intervention	1071393217	false
wh3_main_army_abilities_curse_of_the_slug	wh3_main_army_abilities_curse_of_the_slug	1455642776	false
wh3_main_army_abilities_fascination	wh3_main_army_abilities_fascination	634074450	false
wh3_main_army_abilities_fecundity	wh3_main_army_abilities_fecundity	1353654461	false
wh3_main_army_abilities_gluttony	wh3_main_army_abilities_gluttony	1686720814	false
wh3_main_army_abilities_horn_of_khorne	wh3_main_army_abilities_horn_of_khorne	1897113645	false
wh3_main_army_abilities_narcissism	wh3_main_army_abilities_narcissism	1980928673	false
wh3_main_army_abilities_relentless_rage	wh3_main_army_abilities_relentless_rage	788931002	false
wh3_main_army_abilities_rot_glorious_rot	wh3_main_army_abilities_rot_glorious_rot	336976004	false
wh3_main_army_abilities_stoneshaker	wh3_main_army_abilities_stoneshaker	1136787024	true
wh3_main_army_abilities_storm_of_fire	wh3_main_army_abilities_storm_of_fire	339231681	false
wh3_main_army_abilities_summoned_from_beyond_daemon_prince	wh3_main_army_abilities_summoned_from_beyond_daemon_prince	1671036421	false
wh3_main_army_abilities_summoned_from_beyond_khorne	wh3_main_army_abilities_summoned_from_beyond_khorne	696120051	false
wh3_main_army_abilities_summoned_from_beyond_nurgle	wh3_main_army_abilities_summoned_from_beyond_nurgle	697845915	false
wh3_main_army_abilities_summoned_from_beyond_slaanesh	wh3_main_army_abilities_summoned_from_beyond_slaanesh	460593551	false
wh3_main_army_abilities_summoned_from_beyond_tzeentch	wh3_main_army_abilities_summoned_from_beyond_tzeentch	1706763379	false
wh3_main_army_abilities_sweet_sorrow	wh3_main_army_abilities_sweet_sorrow	1519275208	false
wh3_main_army_abilities_the_bitterness_of_winter	wh3_main_army_abilities_the_bitterness_of_winter	893557047	false
wh3_main_army_abilities_the_land_awakened	wh3_main_army_abilities_the_land_awakened	575799377	false
wh3_main_army_abilities_thunder_charge	wh3_main_army_abilities_thunder_charge	1893107762	false
wh3_main_army_abilities_wrath_of_the_bear	wh3_main_army_abilities_wrath_of_the_bear	1653718704	false
wh3_main_cataclysm_beasts_ascendancy	wh3_main_ascendant_beasts_acendancy	1432796803	false
wh3_main_cataclysm_beasts_merciws_monstrous_regiment	wh3_main_cataclysm_beasts_merciws_monstrous_regiment	1183917638	false
wh3_main_cataclysm_death_ascendancy	wh3_main_ascendant_death_acendancy	1419409507	false
wh3_main_cataclysm_death_ashes_and_dust	wh3_main_cataclysm_death_ashes_and_dust	198500416	false
wh3_main_cataclysm_fire_ascendancy	wh3_main_ascendant_fire_acendancy	1449609882	false
wh3_main_cataclysm_fire_magma_storm	wh3_main_cataclysm_fire_magma_storm	2139414661	false
wh3_main_cataclysm_heavens_ascendancy	wh3_main_ascendant_heavens_acendancy	568070777	false
wh3_main_cataclysm_heavens_thorsens_thunderstorm	wh3_main_cataclysm_heavens_thorsens_thunderstorm	436087649	false
wh3_main_cataclysm_khorne_greater_gate_of_khorne	wh3_main_cataclysm_khorne_greater_gate_of_khorne	165470524	false
wh3_main_cataclysm_life_ascendancy	wh3_main_ascendant_life_ascendancy	1667330830	false
wh3_main_cataclysm_life_storm_of_renewal	wh3_main_cataclysm_life_storm_of_renewal	2066301838	false
wh3_main_cataclysm_light_ascendancy	wh3_main_ascendant_light_acendancy	609260927	false
wh3_main_cataclysm_light_time_amok	wh3_main_cataclysm_light_time_amok	1181938984	false
wh3_main_cataclysm_metal_ascendancy	wh3_main_ascendant_metal_acendancy	1735211619	false
wh3_main_cataclysm_metal_gehennas_golden_globe	wh3_main_cataclysm_metal_gehennas_golden_globe	1351977247	false
wh3_main_cataclysm_shadow_ascendancy	wh3_main_ascendant_shadow_acendancy	156035783	false
wh3_main_cataclysm_shadow_dance_of_despair	wh3_main_cataclysm_shadow_dance_of_despair	1542677066	false
wh3_main_prisoners_butcher	wh3_main_prisoners_butcher	1189903274	false
wh3_main_prisoners_dismember	wh3_main_prisoners_dismember	825204155	false
wh3_main_prisoners_massacre	wh3_main_prisoners_massacre	773909459	false
wh3_main_siege_momentum	wh3_main_siege_momentum	1995340363	false
wh3_pro10_army_abilities_diabolical_puppetry	wh3_pro10_army_abilities_diabolical_puppetry	2084410547	false
wh3_pro10_army_abilities_diabolical_puppetry_upgrade_1	wh3_pro10_army_abilities_diabolical_puppetry_upgrade_1	1255347020	false
wh3_pro10_army_abilities_diabolical_puppetry_upgrade_2	wh3_pro10_army_abilities_diabolical_puppetry_upgrade_2	1533670298	false
wh3_pro10_army_abilities_diabolical_puppetry_upgrade_3	wh3_pro10_army_abilities_diabolical_puppetry_upgrade_3	1315421000	false
wh3_pro10_army_abilities_inevitable_fate	wh3_pro10_army_abilities_inevitable_fate	767846319	false
wh3_pro10_army_abilities_inevitable_fate_upgrade_1	wh3_pro10_army_abilities_inevitable_fate_upgrade_1	1943137602	false
wh3_pro10_army_abilities_inevitable_fate_upgrade_2	wh3_pro10_army_abilities_inevitable_fate_upgrade_2	863939678	false
wh3_pro10_army_abilities_inevitable_fate_upgrade_3	wh3_pro10_army_abilities_inevitable_fate_upgrade_3	1400675478	false
wh3_pro10_army_abilities_tempest_of_blue_flame	wh3_pro10_army_abilities_tempest_of_blue_flame	804874390	false
wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_1	wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_1	1888393543	false
wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_2	wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_2	117739908	false
wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_3	wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_3	1706878305	false
