key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
wh2_dlc09_tmb_stalker_gaze	artillery	artillery_default		shell_spin	1	low	80	0	88	100.0000	10.0000	0.0000	26	104	false	false	0.1000	10.0000	80.0000	3.0000	0	0	wh2_dlc09_tmb_stalker_gaze		wh2_dlc_tmb_stalker_gaze	0.2000	false		1.0000	1	0.0000	40.0000			0.0000	true	true	true	45	very_low	110	false	true	false	true	1	false	false	false	true	1.5000		false	0.4200	0.4000		placeholder
wh2_dlc09_tmb_stalker_gaze_ror	artillery	artillery_default		shell_spin	1	low	80	0	88	100.0000	10.0000	0.0000	26	104	false	false	0.1000	10.0000	80.0000	3.0000	0	0	wh2_dlc09_tmb_stalker_gaze		wh2_dlc_tmb_stalker_gaze	0.2000	false	wh_main_unit_contact_poison	1.0000	1	0.0000	40.0000			0.0000	true	true	true	45	very_low	110	false	true	false	true	1	false	false	false	true	1.5000		false	0.4200	0.4000		placeholder
wh2_dlc09_tmb_ushabti_bolt_ror	arrow	artillery_canister	wh2_dlc09_tmb_ushabti_bolt_ror	none	1	fixed	255	20	88	70.0000	30.0000	2.5000	4	16	false	false	0.1000	11.0000	212.0000	10.0000	0	0	wh_tmb_ushabti_arrow		wh2_ushabti_bolt_ror	0.3000	true	wh2_dlc09_unit_contact_shieldbreaker	-1.0000	1	0.0000	20.0000			0.0000	false	true	true	20	medium	700	false	false	false	false	1	false	false	false	true	0.2500		false	0.6000	0.4000		placeholder
wh2_dlc09_tmb_warsphinx_arrow	arrow	small_arm_default		none	1	dual_low_fixed	115	0	88	45.0000	10.0000	0.0000	60	27	false	false	0.1000	6.0000	50.0000	2.9000	0	0	wh2_dlc09_tmb_arrow		wh_bow_arrow_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	160	false	false	false	false	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
wh2_dlc09_unit_abilities_death_from_above	misc	artillery_default	wh2_dlc09_unit_abilities_death_from_above	grenade_spin	1	low	20	0	88	15.0000	0.0000	3.0000	96	36	false	false	0.5000	1.0000	250.0000	10.0000	0	0	wh2_dlc09_tmb_skull_projectile_dropped		wh2_Terradon_Bomb	1.5000	false		10.0000	1	0.0000	25.0000			0.0000	false	false	true	45	very_low_magic	-1	false	true	false	true	1	false	false	false	true	1.0000		false	2.8000	0.4000		placeholder
wh2_dlc10_hef_alith_anar_arrow	artillery	artillery_default		none	1	dual_low_fixed	300	8	45	90.0000	40.0000	0.0000	100	300	false	false	0.1000	11.0000	250.0000	0.9000	0	0	wh2_dlc10_alith_anar_arrow		wh2_bolt_thrower_eagle_claw	0.5000	true		-1.0000	1	0.0000	50.0000			0.0000	false	true	true	45	large_4	700	false	false	false	false	1	false	false	false	true	1.5000		false	0.4700	0.4000		placeholder
wh2_dlc10_hef_alith_anar_mirror_arrow	artillery	artillery_default		none	1	dual_low_fixed	300	8	45	90.0000	40.0000	0.0000	0	0	false	false	0.1000	11.0000	250.0000	0.9000	0	0	wh2_dlc10_alith_anar_arrow		wh2_bolt_thrower_eagle_claw	0.5000	true		-1.0000	1	0.0000	50.0000			0.0000	false	true	true	45	large_4	700	false	false	false	false	1	false	false	false	true	1.5000		false	0.4700	0.4000		placeholder
wh2_dlc10_hef_alith_anar_mirror_arrow_upgraded	artillery	artillery_default		none	1	dual_low_fixed	300	8	45	90.0000	40.0000	0.0000	50	150	false	false	0.1000	11.0000	250.0000	0.9000	0	0	wh2_dlc10_alith_anar_arrow		wh2_bolt_thrower_eagle_claw	0.5000	true		-1.0000	1	0.0000	50.0000			0.0000	false	true	true	45	large_4	700	false	false	false	false	1	false	false	false	true	1.5000		false	0.4700	0.4000		placeholder
wh2_dlc10_hef_longbow_arrow_everqueen_court_guard	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	55.0000	10.0000	0.0000	4	18	false	false	0.1000	10.0000	120.0000	3.0000	0	0	wh2_dlc10_abilities_everqueen_court_guard		wh2_dlc10_bow_arrow_hef_SOA_magical	-1.0000	false		-1.0000	1	0.0000	6.0000			1.0000	true	true	true	45	very_low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
wh2_dlc10_hef_longbow_arrow_handmaiden	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	75.0000	10.0000	0.0000	55	125	false	false	0.1000	9.0000	150.0000	1.0000	0	0	wh2_dlc10_abilities_sisterofavalorn		wh_bow_arrow_magical	0.1000	false		-1.0000	1	0.0000	5.0000			1.0000	true	true	true	45	large_2	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.5600	0.4000		placeholder
wh2_dlc10_hef_longbow_arrow_shadow	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	45.0000	10.0000	0.0000	18	4	false	false	0.1000	11.0000	150.0000	5.6000	0	0	wh2_main_hef_bow_arrow		wh_bow_arrow_normal	-1.0000	false		-1.0000	1	0.0000	3.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
wh2_dlc10_hef_longbow_arrow_shadow_walker	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	57.0000	30.0000	0.0000	22	5	false	false	0.1000	11.0000	150.0000	3.1000	0	0	wh2_main_hef_bow_arrow		wh_bow_arrow_normal	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	3.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7400	0.4000		placeholder
wh2_dlc10_hef_longbow_arrow_sisters	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	55.0000	10.0000	0.0000	4	18	false	false	0.1000	10.0000	120.0000	3.0000	0	0	wh2_dlc10_abilities_sisterofavalorn		wh2_dlc10_bow_arrow_hef_SOA_magical	-1.0000	false		-1.0000	1	0.0000	6.0000			1.0000	true	true	true	45	very_low_magic	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.7600	0.4000		placeholder
wh2_dlc10_item_bound_assault_of_stone	misc	small_arm_default	wh2_dlc10_item_bound_assault_of_stone	grenade_spin	1	low	4	0	88	10.0000	0.0000	5.0000	48	68	false	false	0.4000	1.0000	250.0000	10.0000	0	0	wh2_dlc10_assault_of_stone		wh_catapult_rock_normal	0.5000	true		20.0000	1	0.0000	20.0000			0.0000	true	true	true	45	high	-1	false	false	false	false	1	false	false	true	true	1.0000		true	4.2000	0.4000		placeholder
wh2_dlc10_item_bound_blast	misc	artillery_default		none	1	low	100	20	60	100.0000	90.0000	0.0000	150	350	false	false	1.0000	15.0000	100.0000	1.0000	0	0	wh2_dlc10_blast		wh2_dlc13_luminark_bolt	1.3000	true		0.2000	1	0.0000	6.0000			1.0000	true	true	true	45	all	130	false	false	false	true	1	false	false	true	true	1.5000		true	0.4200	0.4000		placeholder
wh2_dlc10_spell_bound_lesser_doombolt	misc	artillery_explosive	wh2_dlc10_spell_bound_lesser_doombolt	shell_spin	1	low	300	0	50	85.0000	30.0000	0.0000	0	450	false	false	1.0000	1.0000	75.0000	0.1000	0	0	wh2_main_spell_dark_magic_doombolt		wh_magic_dark_magic_doombolt	3.0000	true		0.8500	1	0.0000	250.0000	homing_strong_magical_veryfast_bombardment		0.0000	true	true	true	45	very_low_magic	-1	false	false	false	true	1	false	false	true	true	1.0000		true	0.4900	0.4000		placeholder
wh2_dlc10_tmb_bone_giant_arrow	artillery	artillery_default	wh2_dlc10_bone_giant_explosion	none	1	low	350	10	88	95.0000	50.0000	0.0000	90	360	false	false	1.0000	11.0000	325.0000	4.0000	0	200	wh2_dlc10_tmb_bone_giant_arrow		wh2_dlc10_bone_arrow	0.7000	true		-1.0000	1	0.0000	350.0000			0.0000	true	true	true	45	very_high	700	false	false	false	false	1	false	false	false	true	1.5000		false	0.4400	0.4000		placeholder
wh2_dlc10_unit_abilities_frost_breath	misc	artillery_default	wh2_dlc10_abilities_frost_breath_explosion	none	1	low	90	0	88	44.0000	60.0000	0.0000	54	32	true	false	1.0000	6.0000	80.0000	22.0000	0	0	wh2_dlc10_frostbreath		wh2_dragon_breath_ice_multi	1.0000	false	wh_dlc08_unit_contact_frostbite	3.0000	1	0.0000	1.0000			0.0000	false	true	true	45	high_magic	100	false	true	false	true	12	false	true	true	true	1.0000		false	0.9500	0.4000		placeholder
wh2_dlc10_weapon_abilities_the_moonbow	misc	artillery_explosive	wh2_dlc10_weapon_abilities_the_moonbow	shell_spin	1	low	300	0	50	85.0000	40.0000	0.0000	0	672	false	false	1.0000	1.0000	275.0000	0.1000	0	0	wh2_dlc10_weapon_abilities_the_moonbow		wh2_dlc10_ability_the_moonbow	1.0000	true		-1.0000	1	0.0000	50.0000	homing_strong_magical_fast		0.0000	true	true	true	45	high_magic	-1	false	false	false	true	1	false	false	true	true	1.0000		true	0.4900	0.4000		placeholder
wh2_dlc11_army_abilities_rod_of_the_storm	misc	artillery_explosive	wh2_dlc11_army_abilities_rod_of_the_storm	shell_spin	1	low	200	0	50	120.0000	30.0000	0.0000	0	1344	false	false	2.0000	1.0000	75.0000	0.1000	0	0	wh_main_spell_heavens_urannons_thunderbolt		wh_magic_urannons_thunderbolt	2.0000	true		0.8500	1	0.0000	100.0000			0.0000	true	true	true	45	high_magic	-1	false	false	false	true	1	false	false	true	true	1.0000		true	0.3500	0.4000		placeholder
wh2_dlc11_army_abilities_wraith_storm	misc	small_arm_default	wh2_dlc11_army_abilities_wraith_storm	none	1	fixed	600	0	65	100.0000	100.0000	15.0000	80	80	false	false	1.0000	20.0000	300.0000	2.9000	0	0	wh2_dlc11_army_abilities_wraith_storm		wh2_dlc11_ability_wraith_storm	0.5000	false		20.0000	1	0.0000	300.0000	homing_strong_magical_bombardment		0.0000	false	true	true	30	very_high_magic	750	false	false	false	false	1	false	false	false	true	1.0000		false	0.4200	0.4000		placeholder
wh2_dlc11_character_abilities_bomb_throw	misc	explosives	wh2_dlc11_character_abilities_bomb_throw	grenade_spin	1	dual_low_fixed	70	0	88	35.0000	10.0000	0.0000	1	0	true	false	0.2000	9.0000	50.0000	2.0000	0	0	wh2_dlc11_unit_abilities_bomb_throw		wh2_dlc11_ability_bomb_throw	-1.0000	false		-1.0000	1	0.0000	3.0000			1.0000	false	false	true	55	very_low	-1	false	false	true	false	1	false	false	false	true	1.0000		false	1.2000	0.4000		placeholder
wh2_dlc11_character_abilities_cackle_fruit	misc	explosives	wh2_dlc11_character_abilities_cackle_fruit	grenade_spin	1	dual_low_fixed	70	0	88	35.0000	10.0000	0.0000	1	0	true	false	0.2000	9.0000	50.0000	2.0000	0	0	wh2_dlc11_abilities_cackle_fruit		wh2_dlc11_ability_bomb_throw	-1.0000	false		-1.0000	1	0.0000	3.0000			1.0000	false	false	true	55	very_low	-1	false	false	true	false	1	false	false	false	true	1.0000		false	1.2000	0.4000		placeholder
wh2_dlc11_character_abilities_pyromanianc	misc	explosives	wh2_dlc11_character_abilities_pyromanianc	grenade_spin	1	dual_low_fixed	70	0	88	35.0000	10.0000	0.0000	1	0	true	false	0.2000	9.0000	50.0000	2.0000	0	0	wh_main_unit_abilities_gyrocopter_grenade		wh2_dlc11_ability_pyromaniac	-1.0000	false	wh2_dlc11_character_abilities_pyromaniac	-1.0000	1	0.0000	3.0000			1.0000	false	false	true	55	very_low	-1	false	false	true	false	1	false	false	false	true	1.0000		false	1.2000	0.4000		placeholder
wh2_dlc11_cst_bomb	grenade	explosives	wh2_dlc11_cst_bomb_explosion	grenade_spin	1	dual_low_fixed	55	7	88	28.0000	10.0000	0.0000	1	0	true	false	0.2000	10.0000	50.0000	2.0000	0	0	wh2_dlc11_cst_zombie_gunnery_grenade		wh2_dlc11_grenade	-1.0000	false		-1.0000	1	0.0000	3.0000			1.0000	false	false	true	55	very_low	-1	false	false	true	false	1	false	false	false	true	3.0000		false	1.5000	0.4000		placeholder
wh2_dlc11_cst_bomb_deck_droppers	grenade	explosives	wh2_dlc11_cst_bomb_deckdroppers_explosion	grenade_spin	1	dual_low_fixed	60	7	88	28.0000	10.0000	0.0000	1	0	true	false	0.2000	14.0000	50.0000	6.0000	0	0	wh2_dlc11_cst_zombie_gunnery_grenade		wh2_dlc11_grenade_bomb	-1.0000	false		-1.0000	1	0.0000	3.0000			1.0000	false	false	true	55	very_low	-1	false	false	true	false	1	false	false	false	true	3.0000		false	1.5000	0.4000		placeholder
wh2_dlc11_cst_bomb_deck_droppers_ror	grenade	explosives	wh2_dlc11_cst_bomb_deckdroppers_ror_explosion	grenade_spin	1	dual_low_fixed	60	7	88	28.0000	10.0000	0.0000	0	1	true	false	0.2000	14.0000	50.0000	6.0000	0	0	wh2_dlc11_cst_zombie_gunnery_grenade		wh2_dlc11_grenade_bomb	-1.0000	false	wh_dlc06_unit_contact_sundered_armour	-1.0000	1	0.0000	3.0000			1.0000	false	false	true	55	very_low	-1	false	false	true	false	1	false	false	false	true	3.0000		false	1.5000	0.4000		placeholder
wh2_dlc11_cst_carronade_cannon_ball	artillery	artillery_default		none	1	low	450	10	40	100.0000	20.0000	0.0000	88	352	true	false	0.3000	22.0000	250.0000	8.5000	0	0	wh_emp_cannon_ball		wh_cannon_cannonball_normal	0.3000	true		-1.0000	1	0.0000	350.0000			0.0000	false	true	true	45	very_high_low_entity	700	false	false	true	false	1	false	false	true	true	1.5000		false	0.0000	0.4000		placeholder
wh2_dlc11_cst_handcannon_promethean	musket	small_arm_default		none	3	low	90	0	88	100.0000	10.0000	2.0000	4	12	false	false	0.0500	14.0000	45.0000	3.5000	0	0	wh_emp_rifle_bullet		wh2_bullet_multi_impact_large	-1.0000	false		-1.0000	1	0.0000	7.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	2	false	false	false	true	0.5000		false	0.4200	0.4000		placeholder
wh2_dlc11_cst_luthor_harkon_pistol	musket	small_arm_default		none	1	low	90	0	45	110.0000	60.0000	0.0000	40	120	false	false	0.0500	4.0000	80.0000	1.6000	0	0	wh_emp_rifle_bullet		wh_bullet_multi_impact	-1.0000	false	wh2_dlc11_unit_contact_disrupted	-1.0000	1	0.0000	6.0000			0.0000	false	true	true	45	medium	-1	false	false	false	false	1	false	false	false	true	0.5000		false	0.3800	0.4000		placeholder
wh2_dlc11_cst_luthor_harkon_pistol_explosive	musket	small_arm_default	wh2_dlc11_cst_luthor_harkon_pistol_explosive	none	1	low	90	0	45	110.0000	60.0000	0.0000	40	120	false	false	0.0500	4.0000	80.0000	1.6000	0	0	wh_emp_rifle_bullet		wh_bullet_multi_impact	-1.0000	false	wh2_dlc11_unit_contact_disrupted	-1.0000	1	0.0000	6.0000			0.0000	false	true	true	45	medium	-1	false	false	false	false	1	false	false	false	true	0.5000		false	0.3800	0.4000		placeholder
wh2_dlc11_cst_mortar_shell	artillery	artillery_explosive	wh_main_emp_mortar_explosion	axe_spin	1	fixed	380	60	56	68.0000	10.0000	0.0000	100	30	false	false	0.1600	20.0000	275.0000	400.0000	0	0	wh_emp_mortar		wh_mortar_cannonball	0.2000	true		-1.0000	1	0.0000	50.0000			0.0000	false	true	true	50	low	600	false	false	false	false	1	false	false	true	true	1.5000		false	0.0000	0.4000		placeholder
wh2_dlc11_cst_pistol_bullet	musket	small_arm_default		none	1	low	90	0	45	90.0000	10.0000	0.0000	12	2	false	false	0.0500	11.0000	65.0000	2.4000	0	0	wh_emp_rifle_bullet		wh_bullet	-1.0000	false		-1.0000	1	0.0000	2.0000			0.0000	false	true	true	45	low	200	false	false	false	false	1	false	false	false	true	0.5000		false	0.4700	0.4000		placeholder
wh2_dlc11_cst_pistol_deck_dropper_bullet	musket	small_arm_default		none	1	low	80	0	45	90.0000	10.0000	0.0000	24	6	false	false	0.0500	9.0000	65.0000	3.2000	0	0	wh_emp_rifle_bullet		wh_bullet	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	low	200	false	false	false	false	1	false	false	false	true	0.5000		false	0.4700	0.4000		placeholder
wh2_dlc11_cst_queen_bess	artillery	artillery_explosive	wh2_dlc11_cst_queen_bess	grenade_spin	1	fixed	450	50	60	120.0000	30.0000	0.0000	72	262	false	false	0.1600	18.0000	275.0000	70.0000	0	0	wh2_dlc11_cst_queen_bess		wh2_dlc11_queen_bess	0.3000	true	wh2_dlc11_unit_contact_monstrous_impact	-1.0000	1	0.0000	350.0000			1.0000	false	true	true	50	low	700	false	false	false	false	1	false	false	true	true	2.0000		false	0.0000	0.8000		placeholder
wh2_dlc11_cst_rifle_deck_dropper_bullet	musket	small_arm_default		none	1	low	130	0	88	100.0000	10.0000	0.0000	13	31	false	false	0.0500	13.0000	75.0000	5.0000	0	0	wh_emp_rifle_bullet		wh_bullet	-1.0000	false		-1.0000	1	0.0000	10.0000			0.0000	false	true	true	45	low	300	false	false	false	false	1	false	false	false	true	0.5000		false	0.4200	0.4000		placeholder
wh2_dlc11_cst_vampire_fleet_admiral_female_pistol	musket	small_arm_default		none	1	low	90	0	45	110.0000	60.0000	0.0000	30	120	false	false	0.0500	4.0000	80.0000	1.6000	0	0	wh_emp_rifle_bullet		wh_bullet_multi_impact	-1.0000	false		-1.0000	1	0.0000	6.0000			0.0000	false	true	true	45	medium	-1	false	false	false	false	1	false	false	false	true	0.5000		false	0.3800	0.4000		placeholder
wh2_dlc11_cst_vampire_fleet_captain_pistol	musket	small_arm_default		none	1	low	90	0	45	110.0000	60.0000	0.0000	33	117	false	false	0.0500	4.0000	80.0000	1.6000	0	0	wh_emp_rifle_bullet		wh_bullet_multi_impact	-1.0000	false		-1.0000	1	0.0000	6.0000			0.0000	false	true	true	45	medium	-1	false	false	false	false	1	false	false	false	true	0.5000		false	0.3800	0.4000		placeholder
wh2_dlc11_cst_vampire_fleet_captain_pistol_blunderbuss	musket	small_arm_default		none	4	low	90	0	45	110.0000	60.0000	3.0000	16	60	false	false	0.0500	4.0000	80.0000	1.6000	0	0	wh_emp_rifle_bullet		wh_bullet_multi_impact	-1.0000	false		-1.0000	1	0.0000	6.0000			0.0000	false	true	true	45	medium	-1	false	false	false	false	1	false	false	false	true	0.5000		false	0.3800	0.4000		placeholder
wh2_dlc11_gunnery_wight_rifle_bullet	musket	artillery_default		none	1	low	180	0	88	110.0000	70.0000	0.0000	60	180	false	false	0.1000	8.0000	150.0000	2.0000	0	0	wh_dwf_rifle_bullet		wh_bullet_multi_impact	-1.0000	false		-1.0000	1	0.0000	25.0000			0.0000	false	true	true	45	medium	-1	false	false	false	false	1	false	false	false	true	0.5000		false	0.3800	0.4000		placeholder
wh2_dlc11_gunnery_wight_rifle_bullet_blunderbuss	musket	artillery_default		none	4	low	180	0	88	110.0000	70.0000	3.0000	30	90	false	false	0.1000	8.0000	150.0000	2.0000	0	0	wh_dwf_rifle_bullet		wh_bullet_multi_impact	-1.0000	false		-1.0000	1	0.0000	25.0000			0.0000	false	true	true	45	medium	-1	false	false	false	false	1	false	false	false	true	0.5000		false	0.3800	0.4000		placeholder
wh2_dlc12_army_abilities_warpstorm_doomrocket	misc	artillery_explosive	wh2_dlc12_army_abilities_warpstorm_doomrocket	shell_spin	1	low	200	0	50	75.0000	30.0000	0.0000	0	11000	false	false	2.0000	1.0000	250.0000	1.0000	0	0	wh2_dlc12_warpstorm_doomrocket		wh2_dlc12_ability_warpstorm_doomrocket	3.5000	true		-1.0000	1	0.0000	300.0000			0.0000	true	true	true	45	very_high	-1	false	false	false	true	1	false	false	true	true	1.0000		false	0.5600	0.4000		placeholder
wh2_dlc12_army_abilities_warpstorm_doomrocket_upgrade	misc	artillery_explosive	wh2_dlc12_army_abilities_warpstorm_doomrocket_upgrade	shell_spin	1	low	200	0	50	75.0000	30.0000	0.0000	0	11000	false	false	2.0000	1.0000	250.0000	1.0000	0	0	wh2_dlc12_warpstorm_doomrocket		wh2_dlc12_ability_warpstorm_doomrocket	3.5000	true		-1.0000	1	0.0000	300.0000			0.0000	true	true	true	45	very_high	-1	false	false	false	true	1	false	false	true	true	1.0000		false	0.5600	0.4000		placeholder
wh2_dlc12_lord_abilities_drop_sphere_of_tepok	misc	artillery_default	wh2_dlc12_lord_abilities_drop_sphere_of_tepok	shell_spin	1	low	15	0	88	15.0000	0.0000	5.0000	120	30	false	false	0.5000	1.0000	250.0000	10.0000	0	0	wh2_dlc12_lord_abilities_drop_sphere_of_tepok		wh2_dlc12_Sphere_Of_Tepok	1.5000	false		10.0000	1	0.0000	25.0000			1.0000	false	false	true	45	very_low_magic	-1	false	true	false	true	1	false	false	false	true	1.0000		false	2.8000	0.4000		placeholder
wh2_dlc12_lord_abilities_drop_sphere_of_tepok_upgraded	misc	artillery_default	wh2_dlc12_lord_abilities_drop_sphere_of_tepok_upgraded	shell_spin	1	low	15	0	88	15.0000	0.0000	5.0000	160	60	false	false	0.5000	1.0000	250.0000	10.0000	0	0	wh2_dlc12_lord_abilities_drop_sphere_of_tepok		wh2_dlc12_Sphere_Of_Tepok	1.5000	false		10.0000	1	0.0000	25.0000			1.0000	false	false	true	45	very_low_magic	-1	false	true	false	true	1	false	false	false	true	1.0000		false	2.8000	0.4000		placeholder
wh2_dlc12_lord_warpstone_detonation	misc	artillery_explosive	wh2_main_spell_ruin_warp_lightning	none	1	low	200	25	50	120.0000	30.0000	0.0000	0	224	false	false	1.5000	1.0000	250.0000	1.0000	0	0	wh2_main_spell_ruin_warp_lightning		wh2_dlc12_ability_warpstone_detonation	1.5000	true		0.8000	1	0.0000	100.0000			0.0000	true	true	true	45	high_magic	-1	false	false	false	true	1	false	false	false	true	3.0000		true	0.3500	0.4000		placeholder
wh2_dlc12_lzd_salamander_flame	musket	small_arm_default	wh2_dlc12_lzd_salamander_flame	none	1	dual_low_fixed	140	0	88	70.0000	10.0000	0.0000	80	17	false	false	0.0500	12.0000	85.0000	2.9000	0	26	wh2_dlc12_lzd_salamander_flame		wh2_dlc12_salamander_flame	-1.0000	false		-1.0000	1	0.0000	160.0000			1.0000	false	true	true	45	very_low	160	false	true	false	false	1	false	false	false	true	0.5000		false	0.7600	0.4000		placeholder
