campaign_potential	base_value	random_roll_lower_bound	random_roll_median	random_roll_upper_bound
combi_khorne_skarbrand	175	0	30	60
combi_khorne_skulltaker	190	0	45	60
combi_kislev_boris	175	0	30	60
combi_kislev_katarin	175	0	30	60
combi_kislev_kostaltyn	175	0	30	60
combi_kislev_ostankya	150	0	30	60
combi_lizardmen_gorrok	210	0	30	60
combi_lizardmen_kroqgar	175	0	30	60
combi_lizardmen_mazdamundi	175	0	30	60
combi_lizardmen_nakai	175	0	30	60
combi_lizardmen_oxyotl	150	0	30	60
combi_lizardmen_tehenhauin	175	0	30	60
combi_lizardmen_tiktaqto	175	0	30	60
combi_minor	20	0	20	40
combi_minor_strong	50	0	5	10
combi_minor_survivor	100	0	10	30
combi_norsca_throgg	175	0	30	60
combi_norsca_wulfrik	175	0	30	60
combi_nur_tamurkhan	155	0	30	60
combi_nurgle_epidemius	145	0	30	60
combi_nurgle_kugath	155	0	30	60
combi_ogre_golgfag	175	0	30	60
combi_ogre_greasus	175	0	30	60
combi_ogre_skrag	175	0	30	60
combi_passive	40	0	0	0
combi_sentinels	200	0	30	60
combi_skaven_ikit	200	0	30	60
combi_skaven_queek	175	0	30	60
combi_skaven_skrolk	185	0	30	60
combi_skaven_snikch	175	0	30	60
combi_skaven_throt	195	0	30	60
combi_skaven_tretch	175	0	30	60
combi_slaanesh_nkari	200	0	25	60
combi_tombking_arkhan	175	0	30	60
combi_tombking_khalida	175	0	30	60
combi_tombking_khatep	150	0	30	60
combi_tombking_settra	190	0	30	60
combi_tzeentch_changeling	175	0	30	60
combi_tzeentch_kairos	195	0	30	60
combi_vampire_ghorst	180	0	30	60
combi_vampire_kemmler	160	0	30	60
combi_vampire_mannfred	175	0	30	60
combi_vampire_vlad	185	0	45	60
combi_vampirecoast_aranessa	150	0	30	60
combi_vampirecoast_cylostra	175	0	30	60
combi_vampirecoast_harkon	175	0	30	60
combi_vampirecoast_noctilus	175	0	30	60
combi_woodelf_drycha	160	0	30	60
combi_woodelf_durthu	175	0	30	60
combi_woodelf_orion	175	0	30	60
combi_woodelf_sisters	175	0	30	60
fixed_high	55	0	0	0
fixed_low	30	0	0	0
fixed_medium	40	0	0	0
major	150	0	25	50
major_buffed	70	0	10	20
minor	-25	0	50	100
minor_strong	50	0	40	80
minor_weak	-25	0	15	30
