ancillary	ownership_content_pack
wh3_dlc23_anc_armour_chd_armour_of_gazrakh	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_banner_chd_banner_of_the_khanate	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_banner_chd_eye_of_hashut	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_banner_chd_hellbound_standard	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_banner_chd_hobgoblin_standard	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_banner_chd_oath_of_contempt	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_banner_chd_standard_of_zharr	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_convoy_bones_of_the_maw	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_convoy_crown_of_skulls	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_convoy_eternal_servant	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_convoy_everchanging_shield	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_convoy_everlasting_glacier	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_convoy_mirror_blade	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_convoy_obedient_mutant	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_convoy_orc_shaman	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_convoy_powerful_berserker	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_convoy_radiating_spike	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_convoy_ring_of_thorns	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_convoy_spiked_whip	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_enchanted_item_chd_banner_of_slavery	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_enchanted_item_chd_chaos_runeshield	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_enchanted_item_daemon_flask_of_ashak	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_enchanted_item_furnace_blast_gem	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_enchanted_item_gauntlets_of_bazherak_the_cruel	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_enchanted_item_the_mask_of_the_furnace	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_enchanted_item_the_vial_of_hashut	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_arms_merchant	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_artificer	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_castellan_drillmaster	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_convoy_enforcer	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_dark_prophet	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_devoted_of_hashut	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_hobgoblin_scout	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_infernal_deathmask	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_infernal_engineer	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_infernal_musician	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_k'daai_hellsmith	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_khanate_assassin	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_khanate_raider	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_khanate_scout	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_navigator	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_sorcerer_priest	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_taur'ruk_guardian	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_train_operator	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_veteran_overseer	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_follower_chd_warsmith	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_daemonsmith_sorcerer_death_bale_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_daemonsmith_sorcerer_death_great_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_daemonsmith_sorcerer_death_lammasu	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_daemonsmith_sorcerer_fire_bale_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_daemonsmith_sorcerer_fire_great_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_daemonsmith_sorcerer_fire_lammasu	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_daemonsmith_sorcerer_hashut_bale_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_daemonsmith_sorcerer_hashut_great_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_daemonsmith_sorcerer_hashut_lammasu	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_daemonsmith_sorcerer_metal_bale_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_daemonsmith_sorcerer_metal_great_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_daemonsmith_sorcerer_metal_lammasu	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_drazhoath_the_ashen_bale_taurus_cinderbreath	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_gorduz_backstabber_giant_wolf	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_overseer_great_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_overseer_lammasu	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_sorcerer_prophet_death_bale_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_sorcerer_prophet_death_great_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_sorcerer_prophet_death_lammasu	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_sorcerer_prophet_fire_bale_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_sorcerer_prophet_fire_great_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_sorcerer_prophet_fire_lammasu	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_sorcerer_prophet_hashut_bale_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_sorcerer_prophet_hashut_great_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_sorcerer_prophet_hashut_lammasu	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_sorcerer_prophet_metal_bale_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_sorcerer_prophet_metal_great_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_sorcerer_prophet_metal_lammasu	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_zhatan_the_black_great_taurus	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_mount_chd_zhatan_the_black_lammasu	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_talisman_black_gem_of_gnar	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_talisman_hellshard_amulet	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_talisman_malignant_totem	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_talisman_possessed_amulet	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_talisman_stone_mantle	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_talisman_talisman_of_obsidian	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_weapon_black_hammer_of_hashut	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_weapon_chd_dagger_of_malice	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_weapon_chd_the_obsidian_axe	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_weapon_dark_mace	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_weapon_life_bane_blade	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_weapon_the_graven_sceptre	wh3_dlc23_chaos_dwarfs
wh3_dlc24_anc_arcane_item_alchemical_notes	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_arcane_item_alchemical_notes	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_arcane_item_captains_horn	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_arcane_item_captains_horn	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_arcane_item_corrupted_flame	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_arcane_item_corrupted_flame	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_arcane_item_crown_of_claws	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_arcane_item_crown_of_claws	wh3_dlc24_shadows_of_change_ksl
wh3_dlc24_anc_arcane_item_scrolls_of_sorcery	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_arcane_item_scrolls_of_sorcery	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_arcane_item_the_tricksters_staff	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_arcane_item_the_tricksters_staff	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_armour_armour_of_the_dragons_gaze	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_armour_armour_of_the_dragons_gaze	wh3_dlc24_shadows_of_change_cth
wh3_dlc24_anc_armour_scavenged_laboratory_materials	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_armour_scavenged_laboratory_materials	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_armour_unknown_champions_cloak	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_armour_unknown_champions_cloak	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_enchanted_item_cauldron_of_power	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_enchanted_item_cauldron_of_power	wh3_dlc24_shadows_of_change_ksl
wh3_dlc24_anc_enchanted_item_the_breath_of_life	wh3_dlc24_aekold_free
wh3_dlc24_anc_enchanted_item_totem_of_ursus	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_enchanted_item_totem_of_ursus	wh3_dlc24_shadows_of_change_ksl
wh3_dlc24_anc_mount_chs_cha_chaos_lord_mtze_chaos_chariot	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_mount_chs_cha_chaos_lord_mtze_chaos_chariot	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_mount_chs_cha_chaos_lord_mtze_chaos_steed	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_mount_chs_cha_chaos_lord_mtze_chaos_steed	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_mount_chs_cha_chaos_lord_mtze_disc_of_tzeentch	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_mount_chs_cha_chaos_lord_mtze_disc_of_tzeentch	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_mount_chs_cha_exalted_hero_mtze_chaos_chariot	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_mount_chs_cha_exalted_hero_mtze_chaos_chariot	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_mount_chs_cha_exalted_hero_mtze_chaos_steed	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_mount_chs_cha_exalted_hero_mtze_chaos_steed	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_mount_chs_cha_exalted_hero_mtze_disc_of_tzeentch	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_mount_chs_cha_exalted_hero_mtze_disc_of_tzeentch	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_mount_cth_astromancer_mount_great_moon_bird	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_mount_cth_astromancer_mount_great_moon_bird	wh3_dlc24_shadows_of_change_cth
wh3_dlc24_anc_mount_cth_celestial_general_celestial_lion	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_mount_cth_celestial_general_celestial_lion	wh3_dlc24_shadows_of_change_cth
wh3_dlc24_anc_mount_cth_celestial_general_longma	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_mount_cth_celestial_general_longma	wh3_dlc24_shadows_of_change_cth
wh3_dlc24_anc_mount_cth_celestial_general_warhorse	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_mount_cth_celestial_general_warhorse	wh3_dlc24_shadows_of_change_cth
wh3_dlc24_anc_mount_cth_gate_master_warhorse	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_mount_cth_gate_master_warhorse	wh3_dlc24_shadows_of_change_cth
wh3_dlc24_anc_mount_ksl_druzhina_warhorse	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_mount_ksl_druzhina_warhorse	wh3_dlc24_shadows_of_change_ksl
wh3_dlc24_anc_mount_ksl_ice_witch_ice_frost_wyrm	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_mount_ksl_ice_witch_ice_frost_wyrm	wh3_dlc24_shadows_of_change_ksl
wh3_dlc24_anc_mount_ksl_ice_witch_tempest_frost_wyrm	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_mount_ksl_ice_witch_tempest_frost_wyrm	wh3_dlc24_shadows_of_change_ksl
wh3_dlc24_anc_mount_ksl_katarin_frost_wyrm	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_mount_ksl_katarin_frost_wyrm	wh3_dlc24_shadows_of_change_ksl
wh3_dlc24_anc_mount_ksl_the_golden_knight_warhorse	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_mount_ksl_the_golden_knight_warhorse	wh3_dlc24_shadows_of_change_ksl
wh3_dlc24_anc_talisman_blessing_wafers	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_talisman_blessing_wafers	wh3_dlc24_shadows_of_change_ksl
wh3_dlc24_anc_talisman_corrupted_icon	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_talisman_corrupted_icon	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_talisman_facial_scruff	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_talisman_facial_scruff	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_talisman_hellforge_flame	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_talisman_hellforge_flame	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_talisman_kraken_fang	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_talisman_kraken_fang	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_talisman_magic_orb	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_talisman_magic_orb	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_talisman_pilfered_palanquin	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_talisman_pilfered_palanquin	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_talisman_tree_sap	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_talisman_tree_sap	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_talisman_undead_tome	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_talisman_undead_tome	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_weapon_runefang	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_weapon_runefang	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_weapon_the_dragons_fang	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_weapon_the_dragons_fang	wh3_dlc24_shadows_of_change_cth
wh3_dlc24_anc_weapon_the_windblade	wh3_dlc24_aekold_free
wh3_dlc24_anc_weapon_ursuns_claw	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_weapon_ursuns_claw	wh3_dlc24_shadows_of_change_ksl
wh3_dlc24_anc_weapon_weeping_blade	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_weapon_weeping_blade	wh3_dlc24_shadows_of_change_tze
wh3_dlc24_anc_weapon_wind_bow	wh3_dlc24_shadows_of_change
wh3_dlc24_anc_weapon_wind_bow	wh3_dlc24_shadows_of_change_cth
wh3_dlc25_anc_banner_arachnarok_trophy	wh3_dlc25_thrones_of_decay_dwf
wh3_dlc25_anc_banner_dragon_hide_cloaks	wh3_dlc25_thrones_of_decay_dwf
wh3_dlc25_anc_banner_emp_doomfire_ring	wh3_dlc25_thrones_of_decay_emp
wh3_dlc25_anc_banner_emp_everwood_root	wh3_dlc25_thrones_of_decay_emp
wh3_dlc25_anc_banner_emp_frostfire_gem	wh3_dlc25_thrones_of_decay_emp
wh3_dlc25_anc_banner_rune_of_the_furnace	wh3_dlc25_thrones_of_decay_dwf
wh3_dlc25_anc_enchanted_item_epidemius_hourglass	wh3_dlc25_epidemius_free
wh3_dlc25_anc_enchanted_item_heart_of_malevolence	wh3_dlc25_thrones_of_decay_dwf
wh3_dlc25_anc_enchanted_item_stormlance	core_base_empire
wh3_dlc25_anc_enchanted_item_stormlance	wh3_dlc25_thrones_of_decay_emp
wh3_dlc25_anc_enchanted_item_the_eyes_of_grungni	wh3_dlc25_thrones_of_decay_dwf
wh3_dlc25_anc_item_necrotic_phylactery	wh3_dlc25_thrones_of_decay_nur
wh3_dlc25_anc_mount_nur_bubebolos	wh3_dlc25_thrones_of_decay_nur
wh3_dlc25_anc_mount_nur_cha_bray_shaman_wild_chieftain_razorgor_chariot	wh3_dlc25_thrones_of_decay_nur
wh3_dlc25_anc_mount_nur_cha_bray_shaman_wild_chieftain_tuskgor_chariot	wh3_dlc25_thrones_of_decay_nur
wh3_dlc25_anc_mount_nur_cha_exalted_hero_chieftain_chaos_chariot	wh3_dlc25_thrones_of_decay_nur
wh3_dlc25_anc_mount_nur_cha_exalted_hero_chieftain_chaos_dragon	wh3_dlc25_thrones_of_decay_nur
wh3_dlc25_anc_mount_nur_cha_exalted_hero_chieftain_chaos_steed	wh3_dlc25_thrones_of_decay_nur
wh3_dlc25_anc_rune_personal_rune_of_thungni	wh3_dlc25_thrones_of_decay_dwf
wh3_dlc25_anc_talisman_baleflame_amulet	core_base_empire
wh3_dlc25_anc_talisman_baleflame_amulet	wh3_dlc25_thrones_of_decay_emp
wh3_dlc25_anc_talisman_crimson_gemstone	wh3_dlc25_thrones_of_decay_dwf
wh3_dlc25_anc_talisman_cursed_yhetee_jawbone	wh3_dlc25_thrones_of_decay_nur
wh3_dlc25_anc_talisman_deaths_timekeeper	core_base_empire
wh3_dlc25_anc_talisman_deaths_timekeeper	wh3_dlc25_thrones_of_decay_emp
wh3_dlc25_anc_talisman_icon_of_decay	wh3_dlc25_thrones_of_decay_nur
wh3_dlc25_anc_talisman_reeking_talisman	wh3_dlc25_thrones_of_decay_nur
wh3_dlc25_anc_talisman_sigil_of_madness	wh3_dlc25_thrones_of_decay_nur
wh3_dlc25_anc_talisman_unkind_taint	wh3_dlc25_thrones_of_decay_nur
wh3_dlc25_anc_talisman_virulent_boon	wh3_dlc25_thrones_of_decay_nur
wh3_dlc25_anc_weapon_axes_of_kadrin	wh3_dlc25_thrones_of_decay_dwf
wh3_dlc25_anc_weapon_epidemius_sword	wh3_dlc25_epidemius_free
wh3_dlc25_anc_weapon_glaive_gun	wh3_dlc25_thrones_of_decay_dwf
wh3_dlc25_anc_weapon_liarsbane	core_base_empire
wh3_dlc25_anc_weapon_liarsbane	wh3_dlc25_thrones_of_decay_emp
wh3_dlc25_anc_weapon_makaissons_persuader	wh3_dlc25_thrones_of_decay_dwf
wh3_dlc25_anc_weapon_sword_of_filth	wh3_dlc25_thrones_of_decay_nur
wh3_dlc25_anc_weapon_the_black_cleaver	wh3_dlc25_thrones_of_decay_nur
wh3_dlc25_anc_weapon_the_father_of_blades	wh3_dlc25_thrones_of_decay_nur
wh3_dlc25_anc_weapon_the_pale_scythe	core_base_empire
wh3_dlc25_anc_weapon_the_pale_scythe	wh3_dlc25_thrones_of_decay_emp
wh3_dlc26_anc_enchanted_item_bugmans_xxxxxx	core_base_ogre_kingdoms
wh3_dlc26_anc_mount_grn_gorbad_ironclaw_gnarla	wh3_dlc26_omens_of_destruction_grn
wh3_dlc26_anc_mount_grn_night_goblin_big_boss_great_cave_squig	wh3_dlc26_omens_of_destruction_grn
wh3_dlc26_anc_mount_grn_savage_orc_great_shaman_war_boar	wh3_dlc26_omens_of_destruction_grn
wh3_dlc26_anc_mount_grn_savage_orc_great_shaman_wyvern	wh3_dlc26_omens_of_destruction_grn
wh3_dlc26_anc_mount_kho_bloodspeaker_chaos_steed	wh3_dlc26_omens_of_destruction_kho
wh3_dlc26_anc_mount_kho_bloodspeaker_warshrine	wh3_dlc26_omens_of_destruction_kho
wh3_dlc26_anc_mount_kho_skulltaker_blood_throne	wh3_dlc26_omens_of_destruction_kho
wh3_dlc26_anc_mount_kho_skulltaker_kuhltyran	wh3_dlc26_omens_of_destruction_kho
wh3_dlc26_anc_weapon_the_slayer_sword	wh3_dlc26_omens_of_destruction_kho
wh3_dlc27_anc_enchanted_item_staff_of_the_masque	wh3_core_factions_slaanesh
wh3_dlc27_anc_mount_chs_cha_alluress_shadow_daemonic_steed	wh3_dlc27_tides_of_torment_sla
wh3_dlc27_anc_mount_chs_cha_alluress_slaanesh_daemonic_steed	wh3_dlc27_tides_of_torment_sla
wh3_dlc27_anc_mount_chs_cha_exalted_hero_msla_daemonic_steed	wh3_dlc27_tides_of_torment_sla
wh3_dlc27_anc_mount_chs_cha_herald_of_slaanesh_shadow_daemonic_steed	wh3_dlc27_tides_of_torment_sla
wh3_dlc27_anc_mount_chs_cha_herald_of_slaanesh_slaanesh_daemonic_steed	wh3_dlc27_tides_of_torment_sla
wh3_dlc27_anc_mount_chs_sorcerer_lord_shadows_msla_chaos_steed	wh3_dlc27_tides_of_torment_sla
wh3_dlc27_anc_mount_chs_sorcerer_lord_shadows_msla_daemonic_steed	wh3_dlc27_tides_of_torment_sla
wh3_dlc27_anc_mount_chs_sorcerer_lord_shadows_msla_warshrine	wh3_dlc27_tides_of_torment_sla
wh3_dlc27_anc_mount_chs_sorcerer_lord_slaanesh_msla_chaos_steed	wh3_dlc27_tides_of_torment_sla
wh3_dlc27_anc_mount_chs_sorcerer_lord_slaanesh_msla_daemonic_steed	wh3_dlc27_tides_of_torment_sla
wh3_dlc27_anc_mount_chs_sorcerer_lord_slaanesh_msla_warshrine	wh3_dlc27_tides_of_torment_sla
wh3_dlc27_anc_mount_hef_caradryan_ashtari	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_anc_mount_hef_caradryan_chariot	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_anc_mount_hef_caradryan_steed	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_anc_mount_hef_mist_mage_eagle	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_anc_mount_hef_mist_mage_skycutter	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_anc_mount_hef_sea_helm_eagle	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_anc_mount_hef_sea_helm_skycutter	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_anc_mount_hef_sea_lord_aislinn_skycutter	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_anc_mount_nor_great_shaman_sorcerer_death_chariot	wh3_dlc27_tides_of_torment_nor
wh3_dlc27_anc_mount_nor_great_shaman_sorcerer_death_mammoth	wh3_dlc27_tides_of_torment_nor
wh3_dlc27_anc_mount_nor_great_shaman_sorcerer_death_warhorse	wh3_dlc27_tides_of_torment_nor
wh3_dlc27_anc_mount_nor_great_shaman_sorcerer_fire_chariot	wh3_dlc27_tides_of_torment_nor
wh3_dlc27_anc_mount_nor_great_shaman_sorcerer_fire_mammoth	wh3_dlc27_tides_of_torment_nor
wh3_dlc27_anc_mount_nor_great_shaman_sorcerer_fire_warhorse	wh3_dlc27_tides_of_torment_nor
wh3_dlc27_anc_mount_nor_great_shaman_sorcerer_metal_chariot	wh3_dlc27_tides_of_torment_nor
wh3_dlc27_anc_mount_nor_great_shaman_sorcerer_metal_mammoth	wh3_dlc27_tides_of_torment_nor
wh3_dlc27_anc_mount_nor_great_shaman_sorcerer_metal_warhorse	wh3_dlc27_tides_of_torment_nor
wh3_dlc27_anc_mount_nor_sayl_the_faithless_chariot	wh3_dlc27_tides_of_torment_nor
wh3_dlc27_anc_mount_nor_sayl_the_faithless_mammoth	wh3_dlc27_tides_of_torment_nor
wh3_dlc27_anc_mount_nor_sayl_the_faithless_warhorse	wh3_dlc27_tides_of_torment_nor
wh3_dlc27_anc_mount_sla_druchii_anointed_cold_one	wh3_dlc27_tides_of_torment_sla
